# _root_ Jelenleg a határőrség nyolc közösségi szállásán mintegy 1500 külföldit helyezhetnek el , ám igazán jó körülményeket csupán 500-nak nyújthatnak , miközben a tényleges létszám megközelíti az 1200-at .
#goldHeads=10,3,10,6,6,10,9,9,10,0,10,10,10,15,16,19,19,19,10,19,25,24,24,25,19,27,25,10,
#predictedHeads=10,3,6,6,6,10,9,9,10,13,10,13,0,15,16,19,19,19,13,19,25,24,24,25,19,27,25,13,
(0,1),-2.05947 # DEPENDENCYPART_ARC
(0,3),-2.85132 # DEPENDENCYPART_ARC
(0,4),-2.34434 # DEPENDENCYPART_ARC
(0,5),-2.64249 # DEPENDENCYPART_ARC
(0,6),-4.03746 # DEPENDENCYPART_ARC
(0,7),-2.5952 # DEPENDENCYPART_ARC
(0,8),-3.01011 # DEPENDENCYPART_ARC
(0,9),-4.12917 # DEPENDENCYPART_ARC
(0,10),-1.57804 # DEPENDENCYPART_ARC
(0,11),-2.66727 # DEPENDENCYPART_ARC
(0,13),0.847449 # DEPENDENCYPART_ARC
(0,14),-2.51357 # DEPENDENCYPART_ARC
(0,15),-3.08903 # DEPENDENCYPART_ARC
(0,16),-4.27668 # DEPENDENCYPART_ARC
(0,17),-2.5869 # DEPENDENCYPART_ARC
(0,18),-4.14574 # DEPENDENCYPART_ARC
(0,19),-2.57681 # DEPENDENCYPART_ARC
(0,21),-2.98206 # DEPENDENCYPART_ARC
(0,23),-3.44475 # DEPENDENCYPART_ARC
(0,24),-4.30703 # DEPENDENCYPART_ARC
(0,25),-2.09505 # DEPENDENCYPART_ARC
(0,27),-4.84021 # DEPENDENCYPART_ARC
(1,2),-0.459822 # DEPENDENCYPART_ARC
(1,3),0.0959834 # DEPENDENCYPART_ARC
(1,4),-0.176575 # DEPENDENCYPART_ARC
(1,5),-0.331734 # DEPENDENCYPART_ARC
(1,6),-0.19838 # DEPENDENCYPART_ARC
(1,7),-0.406901 # DEPENDENCYPART_ARC
(1,8),-0.463333 # DEPENDENCYPART_ARC
(1,9),-0.477346 # DEPENDENCYPART_ARC
(1,10),-0.350011 # DEPENDENCYPART_ARC
(1,11),-0.550038 # DEPENDENCYPART_ARC
(1,12),-0.277565 # DEPENDENCYPART_ARC
(1,13),-0.449328 # DEPENDENCYPART_ARC
(1,14),-0.680792 # DEPENDENCYPART_ARC
(1,15),-1.11895 # DEPENDENCYPART_ARC
(1,16),-1.31811 # DEPENDENCYPART_ARC
(1,17),-0.703669 # DEPENDENCYPART_ARC
(1,18),-0.699184 # DEPENDENCYPART_ARC
(1,19),-0.907308 # DEPENDENCYPART_ARC
(1,20),-0.137613 # DEPENDENCYPART_ARC
(1,21),-0.822193 # DEPENDENCYPART_ARC
(1,22),-1.31386 # DEPENDENCYPART_ARC
(1,23),-1.34009 # DEPENDENCYPART_ARC
(1,24),-1.63389 # DEPENDENCYPART_ARC
(1,25),-1.30275 # DEPENDENCYPART_ARC
(1,26),-1.08094 # DEPENDENCYPART_ARC
(1,27),-0.810307 # DEPENDENCYPART_ARC
(1,28),0.29765 # DEPENDENCYPART_ARC
(2,3),-0.678066 # DEPENDENCYPART_ARC
(2,5),-0.640019 # DEPENDENCYPART_ARC
(2,6),-1.83477 # DEPENDENCYPART_ARC
(2,9),-1.89814 # DEPENDENCYPART_ARC
(2,12),-0.971708 # DEPENDENCYPART_ARC
(2,13),-1.47923 # DEPENDENCYPART_ARC
(2,15),-1.68616 # DEPENDENCYPART_ARC
(2,16),-2.39633 # DEPENDENCYPART_ARC
(2,20),-1.22512 # DEPENDENCYPART_ARC
(2,23),-1.94448 # DEPENDENCYPART_ARC
(2,24),-2.44276 # DEPENDENCYPART_ARC
(3,1),-0.320742 # DEPENDENCYPART_ARC
(3,2),3.33006 # DEPENDENCYPART_ARC
(3,4),-0.626547 # DEPENDENCYPART_ARC
(3,5),-0.537754 # DEPENDENCYPART_ARC
(3,6),-1.1184 # DEPENDENCYPART_ARC
(3,7),-0.803181 # DEPENDENCYPART_ARC
(3,8),-0.917363 # DEPENDENCYPART_ARC
(3,9),-1.38805 # DEPENDENCYPART_ARC
(3,10),-0.49292 # DEPENDENCYPART_ARC
(3,11),-0.782245 # DEPENDENCYPART_ARC
(3,12),-0.302822 # DEPENDENCYPART_ARC
(3,13),-0.612215 # DEPENDENCYPART_ARC
(3,14),-0.80349 # DEPENDENCYPART_ARC
(3,15),-1.7831 # DEPENDENCYPART_ARC
(3,16),-2.96465 # DEPENDENCYPART_ARC
(3,17),-0.960596 # DEPENDENCYPART_ARC
(3,18),-1.57026 # DEPENDENCYPART_ARC
(3,19),-1.09624 # DEPENDENCYPART_ARC
(3,20),-0.291707 # DEPENDENCYPART_ARC
(3,21),-0.871676 # DEPENDENCYPART_ARC
(3,22),-1.49822 # DEPENDENCYPART_ARC
(3,23),-2.00189 # DEPENDENCYPART_ARC
(3,24),-2.34528 # DEPENDENCYPART_ARC
(3,25),-1.34089 # DEPENDENCYPART_ARC
(3,26),-1.57568 # DEPENDENCYPART_ARC
(3,27),-1.46199 # DEPENDENCYPART_ARC
(3,28),0.0267993 # DEPENDENCYPART_ARC
(4,1),-0.216106 # DEPENDENCYPART_ARC
(4,2),0.306575 # DEPENDENCYPART_ARC
(4,3),0.306969 # DEPENDENCYPART_ARC
(4,5),-0.432413 # DEPENDENCYPART_ARC
(4,6),-0.980449 # DEPENDENCYPART_ARC
(4,7),-0.962279 # DEPENDENCYPART_ARC
(4,8),-1.17899 # DEPENDENCYPART_ARC
(4,9),-1.67082 # DEPENDENCYPART_ARC
(4,10),-0.400389 # DEPENDENCYPART_ARC
(4,12),-0.346029 # DEPENDENCYPART_ARC
(4,13),-1.05299 # DEPENDENCYPART_ARC
(4,14),-1.25443 # DEPENDENCYPART_ARC
(4,15),-1.40902 # DEPENDENCYPART_ARC
(4,16),-2.89677 # DEPENDENCYPART_ARC
(4,17),-1.42657 # DEPENDENCYPART_ARC
(4,18),-1.63634 # DEPENDENCYPART_ARC
(4,19),-1.09449 # DEPENDENCYPART_ARC
(4,20),-0.245099 # DEPENDENCYPART_ARC
(4,21),-1.48327 # DEPENDENCYPART_ARC
(4,22),-1.65237 # DEPENDENCYPART_ARC
(4,23),-1.45898 # DEPENDENCYPART_ARC
(4,24),-2.00545 # DEPENDENCYPART_ARC
(4,25),-1.04309 # DEPENDENCYPART_ARC
(4,26),-1.72856 # DEPENDENCYPART_ARC
(4,27),-1.88077 # DEPENDENCYPART_ARC
(4,28),0.40038 # DEPENDENCYPART_ARC
(5,1),-0.107817 # DEPENDENCYPART_ARC
(5,2),0.245316 # DEPENDENCYPART_ARC
(5,3),-0.033637 # DEPENDENCYPART_ARC
(5,4),1.92271 # DEPENDENCYPART_ARC
(5,6),-0.743897 # DEPENDENCYPART_ARC
(5,7),-1.21184 # DEPENDENCYPART_ARC
(5,8),-1.06283 # DEPENDENCYPART_ARC
(5,9),-1.94496 # DEPENDENCYPART_ARC
(5,10),-1.39711 # DEPENDENCYPART_ARC
(5,11),-1.52419 # DEPENDENCYPART_ARC
(5,12),-0.993511 # DEPENDENCYPART_ARC
(5,13),-1.33361 # DEPENDENCYPART_ARC
(5,14),-1.65305 # DEPENDENCYPART_ARC
(5,15),-2.13545 # DEPENDENCYPART_ARC
(5,16),-3.16863 # DEPENDENCYPART_ARC
(5,17),-1.76656 # DEPENDENCYPART_ARC
(5,18),-1.64493 # DEPENDENCYPART_ARC
(5,19),-2.02399 # DEPENDENCYPART_ARC
(5,20),-1.17967 # DEPENDENCYPART_ARC
(5,21),-1.7579 # DEPENDENCYPART_ARC
(5,22),-2.04314 # DEPENDENCYPART_ARC
(5,23),-2.42686 # DEPENDENCYPART_ARC
(5,24),-2.57574 # DEPENDENCYPART_ARC
(5,25),-2.04551 # DEPENDENCYPART_ARC
(5,26),-2.16405 # DEPENDENCYPART_ARC
(5,27),-1.77962 # DEPENDENCYPART_ARC
(5,28),-0.246769 # DEPENDENCYPART_ARC
(6,1),0.209437 # DEPENDENCYPART_ARC
(6,2),1.9348 # DEPENDENCYPART_ARC
(6,3),2.62444 # DEPENDENCYPART_ARC
(6,4),2.63876 # DEPENDENCYPART_ARC
(6,5),3.60754 # DEPENDENCYPART_ARC
(6,7),-0.78253 # DEPENDENCYPART_ARC
(6,8),-0.816222 # DEPENDENCYPART_ARC
(6,9),-1.10151 # DEPENDENCYPART_ARC
(6,10),-1.28353 # DEPENDENCYPART_ARC
(6,11),-0.887169 # DEPENDENCYPART_ARC
(6,12),-0.489774 # DEPENDENCYPART_ARC
(6,13),-0.642858 # DEPENDENCYPART_ARC
(6,14),-0.889198 # DEPENDENCYPART_ARC
(6,15),-2.03029 # DEPENDENCYPART_ARC
(6,16),-2.1216 # DEPENDENCYPART_ARC
(6,17),-1.0805 # DEPENDENCYPART_ARC
(6,18),-1.66905 # DEPENDENCYPART_ARC
(6,19),-2.04502 # DEPENDENCYPART_ARC
(6,20),-0.61961 # DEPENDENCYPART_ARC
(6,21),-0.97362 # DEPENDENCYPART_ARC
(6,22),-1.73325 # DEPENDENCYPART_ARC
(6,23),-2.28198 # DEPENDENCYPART_ARC
(6,24),-2.62212 # DEPENDENCYPART_ARC
(6,25),-2.46856 # DEPENDENCYPART_ARC
(6,26),-1.7913 # DEPENDENCYPART_ARC
(6,27),-1.4038 # DEPENDENCYPART_ARC
(6,28),0.0446293 # DEPENDENCYPART_ARC
(7,1),-0.139654 # DEPENDENCYPART_ARC
(7,2),-0.956741 # DEPENDENCYPART_ARC
(7,3),-0.285761 # DEPENDENCYPART_ARC
(7,4),-0.262791 # DEPENDENCYPART_ARC
(7,5),-0.302324 # DEPENDENCYPART_ARC
(7,6),-0.0683592 # DEPENDENCYPART_ARC
(7,8),-0.164183 # DEPENDENCYPART_ARC
(7,9),0.065299 # DEPENDENCYPART_ARC
(7,10),-0.0513371 # DEPENDENCYPART_ARC
(7,11),-0.448037 # DEPENDENCYPART_ARC
(7,12),-0.30415 # DEPENDENCYPART_ARC
(7,13),-0.266118 # DEPENDENCYPART_ARC
(7,14),-0.499218 # DEPENDENCYPART_ARC
(7,15),-0.8216 # DEPENDENCYPART_ARC
(7,16),-1.36772 # DEPENDENCYPART_ARC
(7,17),-0.636458 # DEPENDENCYPART_ARC
(7,18),-0.965658 # DEPENDENCYPART_ARC
(7,19),-0.863925 # DEPENDENCYPART_ARC
(7,20),-0.396464 # DEPENDENCYPART_ARC
(7,21),-0.784922 # DEPENDENCYPART_ARC
(7,22),-1.11969 # DEPENDENCYPART_ARC
(7,23),-1.23842 # DEPENDENCYPART_ARC
(7,24),-1.9637 # DEPENDENCYPART_ARC
(7,25),-1.13303 # DEPENDENCYPART_ARC
(7,26),-0.950398 # DEPENDENCYPART_ARC
(7,27),-1.07177 # DEPENDENCYPART_ARC
(7,28),-0.371275 # DEPENDENCYPART_ARC
(8,1),-0.763488 # DEPENDENCYPART_ARC
(8,2),-0.479926 # DEPENDENCYPART_ARC
(8,3),-1.29611 # DEPENDENCYPART_ARC
(8,4),-0.67538 # DEPENDENCYPART_ARC
(8,5),-0.943106 # DEPENDENCYPART_ARC
(8,6),-1.3191 # DEPENDENCYPART_ARC
(8,7),0.530963 # DEPENDENCYPART_ARC
(8,9),-0.958339 # DEPENDENCYPART_ARC
(8,10),-0.311141 # DEPENDENCYPART_ARC
(8,12),-0.488005 # DEPENDENCYPART_ARC
(8,13),-1.06072 # DEPENDENCYPART_ARC
(8,14),-1.14503 # DEPENDENCYPART_ARC
(8,15),-1.29595 # DEPENDENCYPART_ARC
(8,16),-2.67185 # DEPENDENCYPART_ARC
(8,17),-1.30163 # DEPENDENCYPART_ARC
(8,18),-1.55733 # DEPENDENCYPART_ARC
(8,19),-1.05467 # DEPENDENCYPART_ARC
(8,20),-0.433481 # DEPENDENCYPART_ARC
(8,21),-1.47825 # DEPENDENCYPART_ARC
(8,22),-1.59349 # DEPENDENCYPART_ARC
(8,23),-1.43814 # DEPENDENCYPART_ARC
(8,24),-1.89446 # DEPENDENCYPART_ARC
(8,25),-0.917007 # DEPENDENCYPART_ARC
(8,26),-1.71222 # DEPENDENCYPART_ARC
(8,27),-1.82493 # DEPENDENCYPART_ARC
(8,28),0.301047 # DEPENDENCYPART_ARC
(9,1),-0.23584 # DEPENDENCYPART_ARC
(9,2),0.821266 # DEPENDENCYPART_ARC
(9,3),-0.717526 # DEPENDENCYPART_ARC
(9,4),0.525066 # DEPENDENCYPART_ARC
(9,5),1.04092 # DEPENDENCYPART_ARC
(9,6),-2.30586 # DEPENDENCYPART_ARC
(9,7),2.08461 # DEPENDENCYPART_ARC
(9,8),3.19914 # DEPENDENCYPART_ARC
(9,10),-0.845328 # DEPENDENCYPART_ARC
(9,11),-1.09287 # DEPENDENCYPART_ARC
(9,12),-0.651309 # DEPENDENCYPART_ARC
(9,13),-0.864174 # DEPENDENCYPART_ARC
(9,14),-1.1782 # DEPENDENCYPART_ARC
(9,15),-1.88745 # DEPENDENCYPART_ARC
(9,16),-2.42166 # DEPENDENCYPART_ARC
(9,17),-1.28765 # DEPENDENCYPART_ARC
(9,18),-1.78783 # DEPENDENCYPART_ARC
(9,19),-1.73778 # DEPENDENCYPART_ARC
(9,20),-0.767043 # DEPENDENCYPART_ARC
(9,21),-1.26354 # DEPENDENCYPART_ARC
(9,22),-1.71858 # DEPENDENCYPART_ARC
(9,23),-2.24723 # DEPENDENCYPART_ARC
(9,24),-2.98001 # DEPENDENCYPART_ARC
(9,25),-1.72215 # DEPENDENCYPART_ARC
(9,26),-1.63898 # DEPENDENCYPART_ARC
(9,27),-1.71908 # DEPENDENCYPART_ARC
(9,28),-0.265071 # DEPENDENCYPART_ARC
(10,1),2.38254 # DEPENDENCYPART_ARC
(10,2),-0.218704 # DEPENDENCYPART_ARC
(10,3),1.21705 # DEPENDENCYPART_ARC
(10,4),0.0473016 # DEPENDENCYPART_ARC
(10,5),0.0451681 # DEPENDENCYPART_ARC
(10,6),2.82876 # DEPENDENCYPART_ARC
(10,7),1.35429 # DEPENDENCYPART_ARC
(10,8),0.776204 # DEPENDENCYPART_ARC
(10,9),2.8484 # DEPENDENCYPART_ARC
(10,11),3.49962 # DEPENDENCYPART_ARC
(10,12),1.77906 # DEPENDENCYPART_ARC
(10,13),0.740068 # DEPENDENCYPART_ARC
(10,14),0.606149 # DEPENDENCYPART_ARC
(10,15),-0.238404 # DEPENDENCYPART_ARC
(10,16),-0.145595 # DEPENDENCYPART_ARC
(10,17),0.447553 # DEPENDENCYPART_ARC
(10,18),0.550829 # DEPENDENCYPART_ARC
(10,19),0.430619 # DEPENDENCYPART_ARC
(10,20),0.70316 # DEPENDENCYPART_ARC
(10,21),-0.0888494 # DEPENDENCYPART_ARC
(10,22),-0.963965 # DEPENDENCYPART_ARC
(10,23),-1.56264 # DEPENDENCYPART_ARC
(10,24),-2.39558 # DEPENDENCYPART_ARC
(10,25),0.0862666 # DEPENDENCYPART_ARC
(10,26),-0.864652 # DEPENDENCYPART_ARC
(10,27),-0.257209 # DEPENDENCYPART_ARC
(10,28),2.27256 # DEPENDENCYPART_ARC
(11,1),-0.00695135 # DEPENDENCYPART_ARC
(11,3),-0.213179 # DEPENDENCYPART_ARC
(11,5),-0.452541 # DEPENDENCYPART_ARC
(11,6),-0.15863 # DEPENDENCYPART_ARC
(11,7),0.374927 # DEPENDENCYPART_ARC
(11,9),0.220175 # DEPENDENCYPART_ARC
(11,10),0.00570678 # DEPENDENCYPART_ARC
(11,12),-0.728043 # DEPENDENCYPART_ARC
(11,13),-0.546711 # DEPENDENCYPART_ARC
(11,14),-0.764533 # DEPENDENCYPART_ARC
(11,15),-0.900318 # DEPENDENCYPART_ARC
(11,16),-1.27238 # DEPENDENCYPART_ARC
(11,17),-0.966429 # DEPENDENCYPART_ARC
(11,19),-0.701761 # DEPENDENCYPART_ARC
(11,20),-0.875093 # DEPENDENCYPART_ARC
(11,23),-1.7626 # DEPENDENCYPART_ARC
(11,24),-2.57329 # DEPENDENCYPART_ARC
(11,25),-1.44626 # DEPENDENCYPART_ARC
(11,28),-0.598568 # DEPENDENCYPART_ARC
(13,1),0.114179 # DEPENDENCYPART_ARC
(13,2),-1.04907 # DEPENDENCYPART_ARC
(13,3),-0.54242 # DEPENDENCYPART_ARC
(13,4),0.329245 # DEPENDENCYPART_ARC
(13,5),-0.188751 # DEPENDENCYPART_ARC
(13,6),-0.443234 # DEPENDENCYPART_ARC
(13,7),0.0304906 # DEPENDENCYPART_ARC
(13,8),0.233997 # DEPENDENCYPART_ARC
(13,9),-0.4416 # DEPENDENCYPART_ARC
(13,10),2.22738 # DEPENDENCYPART_ARC
(13,12),2.2764 # DEPENDENCYPART_ARC
(13,14),0.263588 # DEPENDENCYPART_ARC
(13,15),0.693068 # DEPENDENCYPART_ARC
(13,16),-0.628652 # DEPENDENCYPART_ARC
(13,17),0.308288 # DEPENDENCYPART_ARC
(13,18),0.0318811 # DEPENDENCYPART_ARC
(13,19),1.41567 # DEPENDENCYPART_ARC
(13,20),1.10871 # DEPENDENCYPART_ARC
(13,21),-0.0661299 # DEPENDENCYPART_ARC
(13,22),-0.67109 # DEPENDENCYPART_ARC
(13,23),0.0782485 # DEPENDENCYPART_ARC
(13,24),-1.41293 # DEPENDENCYPART_ARC
(13,25),1.09617 # DEPENDENCYPART_ARC
(13,26),-0.536077 # DEPENDENCYPART_ARC
(13,27),-0.125827 # DEPENDENCYPART_ARC
(13,28),3.86046 # DEPENDENCYPART_ARC
(14,1),-0.464493 # DEPENDENCYPART_ARC
(14,2),-1.4368 # DEPENDENCYPART_ARC
(14,3),-0.80806 # DEPENDENCYPART_ARC
(14,4),-0.805356 # DEPENDENCYPART_ARC
(14,5),-0.661398 # DEPENDENCYPART_ARC
(14,6),-0.750235 # DEPENDENCYPART_ARC
(14,7),-0.349923 # DEPENDENCYPART_ARC
(14,8),-0.575484 # DEPENDENCYPART_ARC
(14,9),-0.456304 # DEPENDENCYPART_ARC
(14,10),0.0334483 # DEPENDENCYPART_ARC
(14,11),0.267101 # DEPENDENCYPART_ARC
(14,12),0.224486 # DEPENDENCYPART_ARC
(14,13),0.607463 # DEPENDENCYPART_ARC
(14,15),0.199024 # DEPENDENCYPART_ARC
(14,16),0.181643 # DEPENDENCYPART_ARC
(14,17),-0.325693 # DEPENDENCYPART_ARC
(14,18),-0.450125 # DEPENDENCYPART_ARC
(14,19),-0.0337628 # DEPENDENCYPART_ARC
(14,20),0.00887271 # DEPENDENCYPART_ARC
(14,21),-0.611488 # DEPENDENCYPART_ARC
(14,22),-0.919169 # DEPENDENCYPART_ARC
(14,23),-0.963167 # DEPENDENCYPART_ARC
(14,24),-1.19974 # DEPENDENCYPART_ARC
(14,25),-0.593806 # DEPENDENCYPART_ARC
(14,26),-0.896361 # DEPENDENCYPART_ARC
(14,27),-0.899492 # DEPENDENCYPART_ARC
(14,28),0.148425 # DEPENDENCYPART_ARC
(15,1),-2.34341 # DEPENDENCYPART_ARC
(15,2),-2.27365 # DEPENDENCYPART_ARC
(15,3),-2.81475 # DEPENDENCYPART_ARC
(15,4),-1.71584 # DEPENDENCYPART_ARC
(15,5),-2.2906 # DEPENDENCYPART_ARC
(15,6),-1.88628 # DEPENDENCYPART_ARC
(15,7),-1.25627 # DEPENDENCYPART_ARC
(15,8),-1.47638 # DEPENDENCYPART_ARC
(15,9),-1.77622 # DEPENDENCYPART_ARC
(15,10),-1.42247 # DEPENDENCYPART_ARC
(15,11),-0.529974 # DEPENDENCYPART_ARC
(15,12),-0.331792 # DEPENDENCYPART_ARC
(15,13),-0.584367 # DEPENDENCYPART_ARC
(15,14),1.09745 # DEPENDENCYPART_ARC
(15,16),-1.51024 # DEPENDENCYPART_ARC
(15,17),-1.16663 # DEPENDENCYPART_ARC
(15,18),-1.06427 # DEPENDENCYPART_ARC
(15,19),-1.107 # DEPENDENCYPART_ARC
(15,20),-0.888906 # DEPENDENCYPART_ARC
(15,21),-1.44608 # DEPENDENCYPART_ARC
(15,22),-1.83699 # DEPENDENCYPART_ARC
(15,23),-1.99316 # DEPENDENCYPART_ARC
(15,24),-1.91436 # DEPENDENCYPART_ARC
(15,25),-1.21515 # DEPENDENCYPART_ARC
(15,26),-1.89224 # DEPENDENCYPART_ARC
(15,27),-1.64134 # DEPENDENCYPART_ARC
(15,28),-0.282729 # DEPENDENCYPART_ARC
(16,1),-1.08156 # DEPENDENCYPART_ARC
(16,2),-0.236402 # DEPENDENCYPART_ARC
(16,3),-2.4437 # DEPENDENCYPART_ARC
(16,4),-1.64276 # DEPENDENCYPART_ARC
(16,5),0.278439 # DEPENDENCYPART_ARC
(16,6),-4.07005 # DEPENDENCYPART_ARC
(16,7),-0.230396 # DEPENDENCYPART_ARC
(16,8),-0.854629 # DEPENDENCYPART_ARC
(16,9),-2.25097 # DEPENDENCYPART_ARC
(16,10),-1.86133 # DEPENDENCYPART_ARC
(16,11),-0.333542 # DEPENDENCYPART_ARC
(16,12),0.0626208 # DEPENDENCYPART_ARC
(16,13),0.809687 # DEPENDENCYPART_ARC
(16,14),0.539635 # DEPENDENCYPART_ARC
(16,15),3.16615 # DEPENDENCYPART_ARC
(16,17),-0.670906 # DEPENDENCYPART_ARC
(16,18),-0.940826 # DEPENDENCYPART_ARC
(16,19),-1.02922 # DEPENDENCYPART_ARC
(16,20),-0.227889 # DEPENDENCYPART_ARC
(16,21),-0.798119 # DEPENDENCYPART_ARC
