# _root_ így becsületünk , amelyre mindenekelőtt tartunk , meg lenne mentve . "
#goldHeads=9,9,9,6,6,9,9,9,0,9,9,9,
#predictedHeads=9,9,9,6,6,0,9,9,6,9,9,6,
(0,1),-2.09101 # DEPENDENCYPART_ARC
(0,2),-2.80206 # DEPENDENCYPART_ARC
(0,5),-2.6174 # DEPENDENCYPART_ARC
(0,6),-1.97584 # DEPENDENCYPART_ARC
(0,8),-2.74131 # DEPENDENCYPART_ARC
(0,9),-2.11539 # DEPENDENCYPART_ARC
(0,10),-2.49565 # DEPENDENCYPART_ARC
(1,2),-0.348727 # DEPENDENCYPART_ARC
(1,3),-0.0413078 # DEPENDENCYPART_ARC
(1,4),-1.22297 # DEPENDENCYPART_ARC
(1,5),-0.621464 # DEPENDENCYPART_ARC
(1,6),0.221919 # DEPENDENCYPART_ARC
(1,7),0.35006 # DEPENDENCYPART_ARC
(1,9),-0.265909 # DEPENDENCYPART_ARC
(1,10),-0.705621 # DEPENDENCYPART_ARC
(1,11),0.68698 # DEPENDENCYPART_ARC
(1,12),0.195572 # DEPENDENCYPART_ARC
(2,1),0.676867 # DEPENDENCYPART_ARC
(2,3),0.549957 # DEPENDENCYPART_ARC
(2,4),-1.50193 # DEPENDENCYPART_ARC
(2,5),-0.295988 # DEPENDENCYPART_ARC
(2,6),-0.773771 # DEPENDENCYPART_ARC
(2,7),0.0994809 # DEPENDENCYPART_ARC
(2,8),-0.423294 # DEPENDENCYPART_ARC
(2,9),-0.985835 # DEPENDENCYPART_ARC
(2,10),-0.38854 # DEPENDENCYPART_ARC
(2,11),0.272981 # DEPENDENCYPART_ARC
(2,12),0.968383 # DEPENDENCYPART_ARC
(4,1),0.262736 # DEPENDENCYPART_ARC
(4,2),-1.48888 # DEPENDENCYPART_ARC
(5,1),-0.772318 # DEPENDENCYPART_ARC
(5,2),-1.44696 # DEPENDENCYPART_ARC
(5,3),-1.17036 # DEPENDENCYPART_ARC
(5,4),-0.120161 # DEPENDENCYPART_ARC
(5,6),-0.167411 # DEPENDENCYPART_ARC
(5,7),-0.822948 # DEPENDENCYPART_ARC
(5,8),-1.08221 # DEPENDENCYPART_ARC
(5,9),-1.01083 # DEPENDENCYPART_ARC
(5,10),-1.21092 # DEPENDENCYPART_ARC
(5,11),-0.715367 # DEPENDENCYPART_ARC
(5,12),-0.815023 # DEPENDENCYPART_ARC
(6,1),1.34298 # DEPENDENCYPART_ARC
(6,2),-1.03067 # DEPENDENCYPART_ARC
(6,3),0.647742 # DEPENDENCYPART_ARC
(6,4),2.31791 # DEPENDENCYPART_ARC
(6,5),2.92772 # DEPENDENCYPART_ARC
(6,7),1.45274 # DEPENDENCYPART_ARC
(6,8),0.55417 # DEPENDENCYPART_ARC
(6,9),2.32823 # DEPENDENCYPART_ARC
(6,10),0.652712 # DEPENDENCYPART_ARC
(6,11),1.00485 # DEPENDENCYPART_ARC
(6,12),1.67355 # DEPENDENCYPART_ARC
(8,1),-0.421437 # DEPENDENCYPART_ARC
(8,2),-1.7092 # DEPENDENCYPART_ARC
(8,3),-1.04114 # DEPENDENCYPART_ARC
(8,4),-0.662645 # DEPENDENCYPART_ARC
(8,5),-0.259688 # DEPENDENCYPART_ARC
(8,6),-0.322318 # DEPENDENCYPART_ARC
(8,7),-0.128431 # DEPENDENCYPART_ARC
(8,9),0.56972 # DEPENDENCYPART_ARC
(8,11),0.0154231 # DEPENDENCYPART_ARC
(8,12),-0.186518 # DEPENDENCYPART_ARC
(9,1),1.81677 # DEPENDENCYPART_ARC
(9,2),0.613097 # DEPENDENCYPART_ARC
(9,3),0.868365 # DEPENDENCYPART_ARC
(9,4),1.29262 # DEPENDENCYPART_ARC
(9,5),1.53732 # DEPENDENCYPART_ARC
(9,6),1.86149 # DEPENDENCYPART_ARC
(9,7),1.51947 # DEPENDENCYPART_ARC
(9,8),3.03081 # DEPENDENCYPART_ARC
(9,10),2.90914 # DEPENDENCYPART_ARC
(9,11),1.48377 # DEPENDENCYPART_ARC
(9,12),1.30992 # DEPENDENCYPART_ARC
(10,1),0.733416 # DEPENDENCYPART_ARC
(10,2),-0.568332 # DEPENDENCYPART_ARC
(10,3),0.296459 # DEPENDENCYPART_ARC
(10,4),0.306124 # DEPENDENCYPART_ARC
(10,5),0.746326 # DEPENDENCYPART_ARC
(10,6),0.347686 # DEPENDENCYPART_ARC
(10,7),0.455286 # DEPENDENCYPART_ARC
(10,8),1.23178 # DEPENDENCYPART_ARC
(10,9),1.03657 # DEPENDENCYPART_ARC
(10,11),0.528337 # DEPENDENCYPART_ARC
(10,12),0.175841 # DEPENDENCYPART_ARC
