# _root_ Olyanok is egyszerűen együtt élnek csak , akiknek semmi kifogásuk sincs sem az egyházi , sem a világi esküvő ellen — írja Trost .
#goldHeads=5,5,5,5,22,5,5,11,10,11,1,11,11,13,11,11,19,19,20,11,22,0,22,22,
#predictedHeads=5,5,5,5,22,5,5,11,10,11,22,11,19,13,22,22,19,19,20,22,22,0,22,22,
(0,1),-1.98882 # DEPENDENCYPART_ARC
(0,2),-1.799 # DEPENDENCYPART_ARC
(0,3),-1.70945 # DEPENDENCYPART_ARC
(0,4),-1.79892 # DEPENDENCYPART_ARC
(0,5),-0.590331 # DEPENDENCYPART_ARC
(0,6),-1.65976 # DEPENDENCYPART_ARC
(0,7),-2.48839 # DEPENDENCYPART_ARC
(0,8),-2.74728 # DEPENDENCYPART_ARC
(0,9),-2.00298 # DEPENDENCYPART_ARC
(0,10),-3.10637 # DEPENDENCYPART_ARC
(0,11),-1.76635 # DEPENDENCYPART_ARC
(0,12),-1.44547 # DEPENDENCYPART_ARC
(0,13),-2.51374 # DEPENDENCYPART_ARC
(0,14),-2.32541 # DEPENDENCYPART_ARC
(0,15),-2.9427 # DEPENDENCYPART_ARC
(0,16),-1.20099 # DEPENDENCYPART_ARC
(0,17),-2.88171 # DEPENDENCYPART_ARC
(0,18),-2.55171 # DEPENDENCYPART_ARC
(0,19),-3.76571 # DEPENDENCYPART_ARC
(0,20),-3.68299 # DEPENDENCYPART_ARC
(0,21),-3.0733 # DEPENDENCYPART_ARC
(0,22),-0.0574119 # DEPENDENCYPART_ARC
(0,23),-3.78516 # DEPENDENCYPART_ARC
(0,24),-4.13733 # DEPENDENCYPART_ARC
(1,2),-0.543191 # DEPENDENCYPART_ARC
(1,3),-0.275135 # DEPENDENCYPART_ARC
(1,4),0.0833635 # DEPENDENCYPART_ARC
(1,5),0.685338 # DEPENDENCYPART_ARC
(1,6),-0.00650345 # DEPENDENCYPART_ARC
(1,7),0.41604 # DEPENDENCYPART_ARC
(1,8),-0.0415379 # DEPENDENCYPART_ARC
(1,9),-0.253696 # DEPENDENCYPART_ARC
(1,10),-0.281749 # DEPENDENCYPART_ARC
(1,11),1.32355 # DEPENDENCYPART_ARC
(1,12),0.236784 # DEPENDENCYPART_ARC
(1,13),-0.553596 # DEPENDENCYPART_ARC
(1,14),-0.541541 # DEPENDENCYPART_ARC
(1,15),0.601697 # DEPENDENCYPART_ARC
(1,16),0.289619 # DEPENDENCYPART_ARC
(1,17),-0.879562 # DEPENDENCYPART_ARC
(1,18),-0.452484 # DEPENDENCYPART_ARC
(1,19),-0.0946958 # DEPENDENCYPART_ARC
(1,20),-0.0226989 # DEPENDENCYPART_ARC
(1,21),0.0761541 # DEPENDENCYPART_ARC
(1,22),-0.209393 # DEPENDENCYPART_ARC
(1,23),-0.851542 # DEPENDENCYPART_ARC
