# _root_ Mert csupán úgy adták elő a falhoz tapadó , földön vonagló vagy ölelkező " koreográfiákat " , amilyen szinten prózai színészektől kitelik .
#goldHeads=4,4,4,0,4,7,8,15,15,11,15,15,15,15,4,15,4,19,22,21,22,4,4,
#predictedHeads=4,4,4,0,4,7,8,15,4,11,15,15,15,15,4,15,4,22,20,21,22,4,4,
(0,1),-2.07537 # DEPENDENCYPART_ARC
(0,2),-2.24284 # DEPENDENCYPART_ARC
(0,3),-1.99296 # DEPENDENCYPART_ARC
(0,4),-1.0124 # DEPENDENCYPART_ARC
(0,5),-2.06718 # DEPENDENCYPART_ARC
(0,7),-3.34856 # DEPENDENCYPART_ARC
(0,8),-2.7105 # DEPENDENCYPART_ARC
(0,10),-3.482 # DEPENDENCYPART_ARC
(0,11),-2.92942 # DEPENDENCYPART_ARC
(0,12),-1.79213 # DEPENDENCYPART_ARC
(0,13),-2.91112 # DEPENDENCYPART_ARC
(0,15),-4.35148 # DEPENDENCYPART_ARC
(0,19),-4.31426 # DEPENDENCYPART_ARC
(0,20),-3.65695 # DEPENDENCYPART_ARC
(0,21),-5.0137 # DEPENDENCYPART_ARC
(0,22),-2.49364 # DEPENDENCYPART_ARC
(1,2),-0.882136 # DEPENDENCYPART_ARC
(1,3),-0.920567 # DEPENDENCYPART_ARC
(1,4),-0.0772611 # DEPENDENCYPART_ARC
(1,5),-1.11096 # DEPENDENCYPART_ARC
(1,6),-1.59433 # DEPENDENCYPART_ARC
(1,7),-2.01921 # DEPENDENCYPART_ARC
(1,8),-0.835568 # DEPENDENCYPART_ARC
(1,9),0.26916 # DEPENDENCYPART_ARC
(1,10),-2.15436 # DEPENDENCYPART_ARC
(1,11),-1.0168 # DEPENDENCYPART_ARC
(1,12),-0.633523 # DEPENDENCYPART_ARC
(1,13),-1.06776 # DEPENDENCYPART_ARC
(1,14),-0.0317163 # DEPENDENCYPART_ARC
(1,15),-2.48405 # DEPENDENCYPART_ARC
(1,16),-0.0911219 # DEPENDENCYPART_ARC
(1,17),-0.206622 # DEPENDENCYPART_ARC
(1,18),-1.61713 # DEPENDENCYPART_ARC
(1,19),-2.93581 # DEPENDENCYPART_ARC
(1,20),-1.21611 # DEPENDENCYPART_ARC
(1,21),-2.9749 # DEPENDENCYPART_ARC
