# _root_ A megyei munkaügyi központokat és a társminisztériumokat is arra ösztönzi a gazdasági tárca , hogy segítsenek megoldani a bányászok elhelyezkedését , illetve átképzését megfelelő munkákra .
#goldHeads=4,4,4,10,10,7,10,10,10,0,13,13,10,10,10,9,16,19,20,17,17,17,17,25,17,10,
#predictedHeads=4,4,4,10,10,7,10,10,10,0,13,13,10,10,10,9,16,19,20,17,10,25,24,25,17,10,
(0,2),-1.9179 # DEPENDENCYPART_ARC
(0,3),-2.34605 # DEPENDENCYPART_ARC
(0,4),-3.41941 # DEPENDENCYPART_ARC
(0,5),-2.7714 # DEPENDENCYPART_ARC
(0,7),-4.07135 # DEPENDENCYPART_ARC
(0,8),-2.42551 # DEPENDENCYPART_ARC
(0,9),-3.29379 # DEPENDENCYPART_ARC
(0,10),-0.962656 # DEPENDENCYPART_ARC
(0,12),-2.71087 # DEPENDENCYPART_ARC
(0,13),-3.94736 # DEPENDENCYPART_ARC
(0,15),-1.24841 # DEPENDENCYPART_ARC
(0,16),-2.42237 # DEPENDENCYPART_ARC
(0,17),-2.53432 # DEPENDENCYPART_ARC
(0,19),-4.29347 # DEPENDENCYPART_ARC
(0,20),-4.58352 # DEPENDENCYPART_ARC
(0,22),-2.73796 # DEPENDENCYPART_ARC
(0,23),-4.47571 # DEPENDENCYPART_ARC
(0,24),-2.65375 # DEPENDENCYPART_ARC
(0,25),-5.15377 # DEPENDENCYPART_ARC
(1,2),0.0624474 # DEPENDENCYPART_ARC
(1,3),-0.115927 # DEPENDENCYPART_ARC
(1,4),-1.30025 # DEPENDENCYPART_ARC
(1,5),-0.946359 # DEPENDENCYPART_ARC
(1,7),-1.77681 # DEPENDENCYPART_ARC
(1,8),-1.18338 # DEPENDENCYPART_ARC
(1,12),-1.44838 # DEPENDENCYPART_ARC
(1,13),-2.13356 # DEPENDENCYPART_ARC
(1,14),-1.05024 # DEPENDENCYPART_ARC
(1,19),-2.29647 # DEPENDENCYPART_ARC
(1,20),-2.70139 # DEPENDENCYPART_ARC
(1,21),-1.22186 # DEPENDENCYPART_ARC
(1,22),-1.79406 # DEPENDENCYPART_ARC
(1,23),-2.79804 # DEPENDENCYPART_ARC
(1,24),-2.43287 # DEPENDENCYPART_ARC
(1,25),-2.63393 # DEPENDENCYPART_ARC
(2,1),0.929058 # DEPENDENCYPART_ARC
(2,3),-0.768904 # DEPENDENCYPART_ARC
(2,4),-1.37685 # DEPENDENCYPART_ARC
(2,5),-1.12487 # DEPENDENCYPART_ARC
(2,6),-1.50652 # DEPENDENCYPART_ARC
(2,7),-2.21754 # DEPENDENCYPART_ARC
(2,8),-1.39782 # DEPENDENCYPART_ARC
(2,9),-2.05307 # DEPENDENCYPART_ARC
(2,10),-0.952113 # DEPENDENCYPART_ARC
(2,11),-1.73195 # DEPENDENCYPART_ARC
(2,12),-1.75367 # DEPENDENCYPART_ARC
(2,13),-1.67361 # DEPENDENCYPART_ARC
(2,14),-0.834807 # DEPENDENCYPART_ARC
(2,15),-1.29936 # DEPENDENCYPART_ARC
(2,16),-1.83896 # DEPENDENCYPART_ARC
(2,17),-1.43231 # DEPENDENCYPART_ARC
(2,18),-1.85139 # DEPENDENCYPART_ARC
(2,19),-2.67576 # DEPENDENCYPART_ARC
(2,20),-2.8416 # DEPENDENCYPART_ARC
(2,21),-0.895618 # DEPENDENCYPART_ARC
(2,22),-1.65407 # DEPENDENCYPART_ARC
(2,23),-3.34484 # DEPENDENCYPART_ARC
(2,24),-2.1641 # DEPENDENCYPART_ARC
(2,25),-2.82367 # DEPENDENCYPART_ARC
(2,26),0.0863758 # DEPENDENCYPART_ARC
(3,1),0.244506 # DEPENDENCYPART_ARC
(3,2),1.47451 # DEPENDENCYPART_ARC
(3,4),-1.44119 # DEPENDENCYPART_ARC
(3,5),-1.30795 # DEPENDENCYPART_ARC
(3,6),-1.57839 # DEPENDENCYPART_ARC
(3,7),-2.31483 # DEPENDENCYPART_ARC
(3,8),-1.62179 # DEPENDENCYPART_ARC
(3,9),-2.17491 # DEPENDENCYPART_ARC
(3,10),-1.15653 # DEPENDENCYPART_ARC
(3,11),-1.86505 # DEPENDENCYPART_ARC
(3,12),-1.99102 # DEPENDENCYPART_ARC
(3,13),-1.84109 # DEPENDENCYPART_ARC
(3,14),-0.917612 # DEPENDENCYPART_ARC
(3,15),-1.37354 # DEPENDENCYPART_ARC
(3,16),-2.06596 # DEPENDENCYPART_ARC
(3,17),-1.66614 # DEPENDENCYPART_ARC
(3,18),-2.01344 # DEPENDENCYPART_ARC
(3,19),-2.88213 # DEPENDENCYPART_ARC
(3,20),-2.9792 # DEPENDENCYPART_ARC
(3,21),-1.09107 # DEPENDENCYPART_ARC
(3,22),-1.65388 # DEPENDENCYPART_ARC
(3,23),-3.57615 # DEPENDENCYPART_ARC
(3,24),-2.42779 # DEPENDENCYPART_ARC
(3,25),-3.00495 # DEPENDENCYPART_ARC
(3,26),-0.171961 # DEPENDENCYPART_ARC
(4,1),2.38257 # DEPENDENCYPART_ARC
(4,2),2.8649 # DEPENDENCYPART_ARC
(4,3),3.59527 # DEPENDENCYPART_ARC
(4,5),-1.01246 # DEPENDENCYPART_ARC
(4,6),-1.57331 # DEPENDENCYPART_ARC
(4,7),-1.84114 # DEPENDENCYPART_ARC
(4,8),-1.49185 # DEPENDENCYPART_ARC
(4,9),-2.40261 # DEPENDENCYPART_ARC
(4,10),-2.05388 # DEPENDENCYPART_ARC
(4,11),-1.83301 # DEPENDENCYPART_ARC
(4,12),-2.09691 # DEPENDENCYPART_ARC
(4,13),-2.94784 # DEPENDENCYPART_ARC
(4,14),-1.47692 # DEPENDENCYPART_ARC
(4,15),-1.51525 # DEPENDENCYPART_ARC
(4,16),-3.14856 # DEPENDENCYPART_ARC
(4,17),-2.1618 # DEPENDENCYPART_ARC
(4,18),-2.05978 # DEPENDENCYPART_ARC
(4,19),-3.66054 # DEPENDENCYPART_ARC
(4,20),-3.79866 # DEPENDENCYPART_ARC
(4,21),-1.59759 # DEPENDENCYPART_ARC
(4,22),-1.82812 # DEPENDENCYPART_ARC
(4,23),-4.2204 # DEPENDENCYPART_ARC
(4,24),-2.71615 # DEPENDENCYPART_ARC
(4,25),-4.18205 # DEPENDENCYPART_ARC
(4,26),-0.359875 # DEPENDENCYPART_ARC
(5,1),-0.618104 # DEPENDENCYPART_ARC
(5,2),-0.232595 # DEPENDENCYPART_ARC
(5,3),-0.367861 # DEPENDENCYPART_ARC
(5,4),0.305731 # DEPENDENCYPART_ARC
(5,6),-0.305429 # DEPENDENCYPART_ARC
(5,7),0.485381 # DEPENDENCYPART_ARC
(5,8),-0.0139951 # DEPENDENCYPART_ARC
(5,9),-0.921253 # DEPENDENCYPART_ARC
(5,10),0.296417 # DEPENDENCYPART_ARC
(5,11),-0.732339 # DEPENDENCYPART_ARC
(5,12),-0.824085 # DEPENDENCYPART_ARC
(5,13),0.0153739 # DEPENDENCYPART_ARC
(5,14),-0.458355 # DEPENDENCYPART_ARC
(5,15),-0.00987858 # DEPENDENCYPART_ARC
(5,16),-1.0179 # DEPENDENCYPART_ARC
(5,17),-1.43439 # DEPENDENCYPART_ARC
(5,18),-1.00711 # DEPENDENCYPART_ARC
(5,19),-0.747786 # DEPENDENCYPART_ARC
(5,20),-1.05866 # DEPENDENCYPART_ARC
(5,21),-0.680032 # DEPENDENCYPART_ARC
(5,22),-1.2301 # DEPENDENCYPART_ARC
(5,23),-2.18402 # DEPENDENCYPART_ARC
(5,24),-1.74326 # DEPENDENCYPART_ARC
(5,25),-2.19583 # DEPENDENCYPART_ARC
(5,26),0.0424069 # DEPENDENCYPART_ARC
(6,2),-1.53844 # DEPENDENCYPART_ARC
(6,3),-1.27322 # DEPENDENCYPART_ARC
(6,4),-2.11671 # DEPENDENCYPART_ARC
(6,5),-0.534546 # DEPENDENCYPART_ARC
(6,7),-0.799628 # DEPENDENCYPART_ARC
(6,8),-1.04548 # DEPENDENCYPART_ARC
(6,12),-1.09347 # DEPENDENCYPART_ARC
(6,13),-1.8315 # DEPENDENCYPART_ARC
(6,14),-0.885063 # DEPENDENCYPART_ARC
(6,19),-2.23214 # DEPENDENCYPART_ARC
(6,20),-2.66139 # DEPENDENCYPART_ARC
(6,21),-1.10497 # DEPENDENCYPART_ARC
