# _root_ E párt a gyakorlatban szigorúan hierarchikus rendet szab , még akkor is , ha hivatalos ideológiája — mint a kommunistáké — egalitárius .
#goldHeads=2,8,4,8,6,7,8,0,8,14,14,14,14,8,16,22,18,22,20,18,18,14,8,
#predictedHeads=2,8,4,8,8,7,8,0,8,18,14,18,16,8,16,18,18,8,20,22,22,18,14,
(0,1),-2.56815 # DEPENDENCYPART_ARC
(0,2),-2.35397 # DEPENDENCYPART_ARC
(0,4),-3.03343 # DEPENDENCYPART_ARC
(0,5),-2.53493 # DEPENDENCYPART_ARC
(0,6),-2.91433 # DEPENDENCYPART_ARC
(0,7),-4.26478 # DEPENDENCYPART_ARC
(0,8),-1.20598 # DEPENDENCYPART_ARC
(0,10),-3.07574 # DEPENDENCYPART_ARC
(0,11),-2.47692 # DEPENDENCYPART_ARC
(0,12),-2.37181 # DEPENDENCYPART_ARC
(0,14),-1.38526 # DEPENDENCYPART_ARC
(0,15),-2.81588 # DEPENDENCYPART_ARC
(0,16),-4.16177 # DEPENDENCYPART_ARC
(0,18),-2.42094 # DEPENDENCYPART_ARC
(0,20),-4.49827 # DEPENDENCYPART_ARC
(0,22),-3.12326 # DEPENDENCYPART_ARC
(1,2),0.144319 # DEPENDENCYPART_ARC
(1,3),-1.06211 # DEPENDENCYPART_ARC
(1,4),0.00730124 # DEPENDENCYPART_ARC
(1,5),-0.488577 # DEPENDENCYPART_ARC
(1,6),-0.350047 # DEPENDENCYPART_ARC
(1,7),-0.737387 # DEPENDENCYPART_ARC
(1,8),0.811388 # DEPENDENCYPART_ARC
(1,9),0.290687 # DEPENDENCYPART_ARC
(1,10),-0.14311 # DEPENDENCYPART_ARC
(1,11),-0.0117202 # DEPENDENCYPART_ARC
(1,12),-0.0707068 # DEPENDENCYPART_ARC
(1,13),0.190981 # DEPENDENCYPART_ARC
(1,14),0.0956629 # DEPENDENCYPART_ARC
(1,15),-0.470069 # DEPENDENCYPART_ARC
(1,16),-0.594778 # DEPENDENCYPART_ARC
(1,17),-0.265098 # DEPENDENCYPART_ARC
(1,18),-0.409126 # DEPENDENCYPART_ARC
(1,19),-1.27407 # DEPENDENCYPART_ARC
(1,20),-0.725607 # DEPENDENCYPART_ARC
(1,21),-0.794636 # DEPENDENCYPART_ARC
(1,22),-0.595706 # DEPENDENCYPART_ARC
(1,23),-0.16748 # DEPENDENCYPART_ARC
(2,1),2.89202 # DEPENDENCYPART_ARC
(2,3),-0.136517 # DEPENDENCYPART_ARC
(2,4),0.132431 # DEPENDENCYPART_ARC
(2,5),-0.357772 # DEPENDENCYPART_ARC
(2,6),-0.166658 # DEPENDENCYPART_ARC
(2,7),-0.29329 # DEPENDENCYPART_ARC
(2,8),0.400465 # DEPENDENCYPART_ARC
(2,9),0.524282 # DEPENDENCYPART_ARC
(2,10),-0.206045 # DEPENDENCYPART_ARC
(2,11),-0.188999 # DEPENDENCYPART_ARC
(2,12),-0.433813 # DEPENDENCYPART_ARC
(2,13),-0.10204 # DEPENDENCYPART_ARC
(2,14),-0.524729 # DEPENDENCYPART_ARC
(2,15),-1.13348 # DEPENDENCYPART_ARC
(2,16),-1.71844 # DEPENDENCYPART_ARC
(2,17),-0.399392 # DEPENDENCYPART_ARC
(2,18),-0.601026 # DEPENDENCYPART_ARC
(2,19),-0.874355 # DEPENDENCYPART_ARC
(2,20),-2.85282 # DEPENDENCYPART_ARC
(2,21),-0.427052 # DEPENDENCYPART_ARC
(2,22),-1.33917 # DEPENDENCYPART_ARC
(2,23),0.454451 # DEPENDENCYPART_ARC
(3,2),-1.64468 # DEPENDENCYPART_ARC
(3,4),-0.668431 # DEPENDENCYPART_ARC
(3,5),-0.479019 # DEPENDENCYPART_ARC
(3,6),-0.604164 # DEPENDENCYPART_ARC
(3,7),-1.51803 # DEPENDENCYPART_ARC
(3,9),-0.749055 # DEPENDENCYPART_ARC
(3,12),-1.36981 # DEPENDENCYPART_ARC
(3,13),-0.823557 # DEPENDENCYPART_ARC
(3,15),-1.73395 # DEPENDENCYPART_ARC
(3,16),-2.53939 # DEPENDENCYPART_ARC
(3,17),-0.928955 # DEPENDENCYPART_ARC
(3,20),-2.4093 # DEPENDENCYPART_ARC
(3,21),-1.05232 # DEPENDENCYPART_ARC
(3,22),-2.38019 # DEPENDENCYPART_ARC
(4,1),-0.14621 # DEPENDENCYPART_ARC
(4,2),-1.55868 # DEPENDENCYPART_ARC
(4,3),3.06653 # DEPENDENCYPART_ARC
(4,5),-0.677848 # DEPENDENCYPART_ARC
(4,6),-0.621698 # DEPENDENCYPART_ARC
(4,7),-0.415675 # DEPENDENCYPART_ARC
(4,8),-0.569695 # DEPENDENCYPART_ARC
(4,9),-0.331713 # DEPENDENCYPART_ARC
(4,10),-1.03121 # DEPENDENCYPART_ARC
(4,11),-1.0247 # DEPENDENCYPART_ARC
(4,12),-1.05529 # DEPENDENCYPART_ARC
(4,13),-0.799223 # DEPENDENCYPART_ARC
(4,14),-1.13747 # DEPENDENCYPART_ARC
(4,15),-1.71248 # DEPENDENCYPART_ARC
(4,16),-2.36138 # DEPENDENCYPART_ARC
(4,17),-1.20755 # DEPENDENCYPART_ARC
(4,18),-1.33705 # DEPENDENCYPART_ARC
(4,19),-1.67631 # DEPENDENCYPART_ARC
(4,20),-3.55806 # DEPENDENCYPART_ARC
(4,21),-1.19056 # DEPENDENCYPART_ARC
(4,22),-1.78991 # DEPENDENCYPART_ARC
(4,23),-0.570759 # DEPENDENCYPART_ARC
(5,1),-0.306124 # DEPENDENCYPART_ARC
(5,2),-1.38282 # DEPENDENCYPART_ARC
(5,3),0.712095 # DEPENDENCYPART_ARC
(5,4),1.4558 # DEPENDENCYPART_ARC
(5,6),-0.213932 # DEPENDENCYPART_ARC
(5,7),-0.942727 # DEPENDENCYPART_ARC
(5,8),-0.899447 # DEPENDENCYPART_ARC
(5,9),-0.514804 # DEPENDENCYPART_ARC
(5,10),-1.09009 # DEPENDENCYPART_ARC
(5,11),-1.08828 # DEPENDENCYPART_ARC
(5,12),-0.962058 # DEPENDENCYPART_ARC
(5,13),-0.878381 # DEPENDENCYPART_ARC
(5,14),-0.978627 # DEPENDENCYPART_ARC
(5,15),-1.36981 # DEPENDENCYPART_ARC
(5,16),-1.93901 # DEPENDENCYPART_ARC
(5,17),-0.946237 # DEPENDENCYPART_ARC
(5,18),-1.28432 # DEPENDENCYPART_ARC
(5,19),-1.68013 # DEPENDENCYPART_ARC
(5,20),-2.26564 # DEPENDENCYPART_ARC
(5,21),-0.976973 # DEPENDENCYPART_ARC
(5,22),-1.74147 # DEPENDENCYPART_ARC
(5,23),-0.121196 # DEPENDENCYPART_ARC
(6,1),-0.795482 # DEPENDENCYPART_ARC
(6,2),-1.23108 # DEPENDENCYPART_ARC
(6,3),0.094502 # DEPENDENCYPART_ARC
(6,4),1.37079 # DEPENDENCYPART_ARC
(6,5),1.86502 # DEPENDENCYPART_ARC
(6,7),-1.09277 # DEPENDENCYPART_ARC
(6,8),-0.840977 # DEPENDENCYPART_ARC
(6,9),-0.730919 # DEPENDENCYPART_ARC
(6,10),-1.34537 # DEPENDENCYPART_ARC
(6,11),-1.46133 # DEPENDENCYPART_ARC
(6,12),-1.30092 # DEPENDENCYPART_ARC
(6,13),-1.08053 # DEPENDENCYPART_ARC
(6,14),-1.23801 # DEPENDENCYPART_ARC
(6,15),-2.12692 # DEPENDENCYPART_ARC
(6,16),-2.26902 # DEPENDENCYPART_ARC
(6,17),-1.05586 # DEPENDENCYPART_ARC
(6,18),-1.50101 # DEPENDENCYPART_ARC
(6,19),-2.03724 # DEPENDENCYPART_ARC
(6,20),-2.83222 # DEPENDENCYPART_ARC
(6,21),-1.11482 # DEPENDENCYPART_ARC
(6,22),-2.50171 # DEPENDENCYPART_ARC
(6,23),-0.494906 # DEPENDENCYPART_ARC
(7,1),0.994655 # DEPENDENCYPART_ARC
(7,2),-1.11204 # DEPENDENCYPART_ARC
(7,3),1.80797 # DEPENDENCYPART_ARC
(7,4),-0.509969 # DEPENDENCYPART_ARC
(7,5),0.738303 # DEPENDENCYPART_ARC
(7,6),3.64804 # DEPENDENCYPART_ARC
(7,8),-0.8571 # DEPENDENCYPART_ARC
(7,9),-0.706571 # DEPENDENCYPART_ARC
(7,10),-1.09726 # DEPENDENCYPART_ARC
(7,11),-1.17558 # DEPENDENCYPART_ARC
(7,12),-1.15975 # DEPENDENCYPART_ARC
(7,13),-1.11233 # DEPENDENCYPART_ARC
(7,14),-1.25695 # DEPENDENCYPART_ARC
(7,15),-2.01437 # DEPENDENCYPART_ARC
(7,16),-2.86661 # DEPENDENCYPART_ARC
(7,17),-1.26063 # DEPENDENCYPART_ARC
(7,18),-1.44869 # DEPENDENCYPART_ARC
(7,19),-1.81189 # DEPENDENCYPART_ARC
(7,20),-4.07522 # DEPENDENCYPART_ARC
(7,21),-1.47058 # DEPENDENCYPART_ARC
(7,22),-2.29527 # DEPENDENCYPART_ARC
(7,23),-0.77834 # DEPENDENCYPART_ARC
(8,1),0.723071 # DEPENDENCYPART_ARC
(8,2),2.45589 # DEPENDENCYPART_ARC
(8,3),-0.530335 # DEPENDENCYPART_ARC
(8,4),1.96164 # DEPENDENCYPART_ARC
(8,5),1.87794 # DEPENDENCYPART_ARC
(8,6),0.757795 # DEPENDENCYPART_ARC
(8,7),3.21886 # DEPENDENCYPART_ARC
(8,9),1.54451 # DEPENDENCYPART_ARC
(8,10),0.671092 # DEPENDENCYPART_ARC
(8,11),0.507886 # DEPENDENCYPART_ARC
(8,12),1.05051 # DEPENDENCYPART_ARC
(8,13),0.9113 # DEPENDENCYPART_ARC
(8,14),1.21717 # DEPENDENCYPART_ARC
(8,15),-0.579245 # DEPENDENCYPART_ARC
(8,16),-0.921192 # DEPENDENCYPART_ARC
(8,17),0.108024 # DEPENDENCYPART_ARC
(8,18),0.718431 # DEPENDENCYPART_ARC
(8,19),-1.07734 # DEPENDENCYPART_ARC
(8,20),-2.59956 # DEPENDENCYPART_ARC
(8,21),-0.606658 # DEPENDENCYPART_ARC
(8,22),-1.18524 # DEPENDENCYPART_ARC
(8,23),1.88996 # DEPENDENCYPART_ARC
(10,1),-1.79465 # DEPENDENCYPART_ARC
(10,2),-1.36476 # DEPENDENCYPART_ARC
(10,3),-1.85676 # DEPENDENCYPART_ARC
(10,4),-1.28906 # DEPENDENCYPART_ARC
(10,5),-1.30951 # DEPENDENCYPART_ARC
(10,6),-1.21881 # DEPENDENCYPART_ARC
(10,7),-1.16155 # DEPENDENCYPART_ARC
(10,8),-0.76154 # DEPENDENCYPART_ARC
(10,9),-0.559173 # DEPENDENCYPART_ARC
(10,11),-0.466274 # DEPENDENCYPART_ARC
(10,12),-0.466776 # DEPENDENCYPART_ARC
(10,13),-0.433484 # DEPENDENCYPART_ARC
(10,14),-0.427812 # DEPENDENCYPART_ARC
(10,15),-0.655322 # DEPENDENCYPART_ARC
(10,16),-1.16936 # DEPENDENCYPART_ARC
(10,17),-0.351828 # DEPENDENCYPART_ARC
(10,18),-0.675242 # DEPENDENCYPART_ARC
(10,19),-1.19928 # DEPENDENCYPART_ARC
(10,20),-1.63299 # DEPENDENCYPART_ARC
(10,21),-0.724013 # DEPENDENCYPART_ARC
(10,22),-1.59496 # DEPENDENCYPART_ARC
(10,23),-0.843204 # DEPENDENCYPART_ARC
(11,1),-1.16119 # DEPENDENCYPART_ARC
(11,2),-1.0186 # DEPENDENCYPART_ARC
(11,4),-0.862552 # DEPENDENCYPART_ARC
(11,5),-0.778989 # DEPENDENCYPART_ARC
(11,6),-0.804495 # DEPENDENCYPART_ARC
(11,7),-0.82286 # DEPENDENCYPART_ARC
(11,8),-0.165613 # DEPENDENCYPART_ARC
(11,9),-0.352174 # DEPENDENCYPART_ARC
(11,10),0.36915 # DEPENDENCYPART_ARC
(11,12),-0.189671 # DEPENDENCYPART_ARC
(11,13),-0.439265 # DEPENDENCYPART_ARC
