# _root_ Akkor voltak 350-en , most 250 körüli a létszáma a 310_millió forint jegyzett tőkéjű vállalkozásnak , amely ma tipikus középvállalkozásnak mondható — mondja Erdész_András elnök-vezérigazgató .
#goldHeads=2,23,2,23,23,7,5,9,5,15,12,15,14,15,5,5,21,21,20,21,5,23,0,25,23,23,
#predictedHeads=2,23,2,2,7,7,2,9,2,15,12,13,15,15,2,23,23,23,20,21,23,23,0,25,23,23,
(0,1),-1.41938 # DEPENDENCYPART_ARC
(0,2),-0.0927276 # DEPENDENCYPART_ARC
(0,3),-1.56201 # DEPENDENCYPART_ARC
(0,4),-2.4003 # DEPENDENCYPART_ARC
(0,5),-1.82288 # DEPENDENCYPART_ARC
(0,6),-1.88541 # DEPENDENCYPART_ARC
(0,7),-2.48004 # DEPENDENCYPART_ARC
(0,8),-2.79619 # DEPENDENCYPART_ARC
(0,9),-3.36911 # DEPENDENCYPART_ARC
(0,10),-2.91935 # DEPENDENCYPART_ARC
(0,11),-2.64512 # DEPENDENCYPART_ARC
(0,12),-3.78901 # DEPENDENCYPART_ARC
(0,13),-2.87565 # DEPENDENCYPART_ARC
(0,14),-3.13957 # DEPENDENCYPART_ARC
(0,15),-4.32885 # DEPENDENCYPART_ARC
(0,16),-3.51386 # DEPENDENCYPART_ARC
(0,17),-3.50464 # DEPENDENCYPART_ARC
(0,18),-2.70325 # DEPENDENCYPART_ARC
(0,19),-3.14365 # DEPENDENCYPART_ARC
(0,20),-4.69424 # DEPENDENCYPART_ARC
(0,21),-3.35988 # DEPENDENCYPART_ARC
(0,22),-3.38747 # DEPENDENCYPART_ARC
(0,23),-0.0924737 # DEPENDENCYPART_ARC
(0,24),-4.22665 # DEPENDENCYPART_ARC
(0,25),-4.86161 # DEPENDENCYPART_ARC
(0,26),-5.31631 # DEPENDENCYPART_ARC
(1,2),0.311341 # DEPENDENCYPART_ARC
(1,3),-0.283339 # DEPENDENCYPART_ARC
(1,4),0.238013 # DEPENDENCYPART_ARC
(1,5),-0.452752 # DEPENDENCYPART_ARC
(1,6),-0.533736 # DEPENDENCYPART_ARC
(1,7),-0.783718 # DEPENDENCYPART_ARC
(1,8),-0.93429 # DEPENDENCYPART_ARC
(1,9),-1.17752 # DEPENDENCYPART_ARC
(1,10),-1.00545 # DEPENDENCYPART_ARC
(1,11),-0.70392 # DEPENDENCYPART_ARC
(1,12),-1.41349 # DEPENDENCYPART_ARC
(1,13),-1.33893 # DEPENDENCYPART_ARC
(1,14),-1.31568 # DEPENDENCYPART_ARC
(1,15),-1.35192 # DEPENDENCYPART_ARC
(1,16),-0.205402 # DEPENDENCYPART_ARC
(1,17),-1.30402 # DEPENDENCYPART_ARC
(1,18),-0.486533 # DEPENDENCYPART_ARC
(1,19),-1.55896 # DEPENDENCYPART_ARC
