# _root_ Nem is adott senki névre , papírra , dokumentre .
#goldHeads=3,3,0,3,3,3,3,3,3,3,
#predictedHeads=3,3,0,5,3,3,3,3,3,3,
(0,1),-1.50402 # DEPENDENCYPART_ARC
(0,2),-1.4582 # DEPENDENCYPART_ARC
(0,3),-0.358683 # DEPENDENCYPART_ARC
(0,4),-2.05805 # DEPENDENCYPART_ARC
(0,5),-2.5199 # DEPENDENCYPART_ARC
(0,6),-2.70296 # DEPENDENCYPART_ARC
(0,7),-2.8981 # DEPENDENCYPART_ARC
(0,8),-2.99268 # DEPENDENCYPART_ARC
(0,9),-1.99884 # DEPENDENCYPART_ARC
(0,10),-3.26387 # DEPENDENCYPART_ARC
(1,2),-0.474029 # DEPENDENCYPART_ARC
(1,3),-0.218911 # DEPENDENCYPART_ARC
(1,4),-0.785009 # DEPENDENCYPART_ARC
(1,5),-0.73716 # DEPENDENCYPART_ARC
(1,6),-0.363662 # DEPENDENCYPART_ARC
(1,7),-1.25238 # DEPENDENCYPART_ARC
(1,8),-0.37911 # DEPENDENCYPART_ARC
(1,9),-0.787649 # DEPENDENCYPART_ARC
(1,10),0.147689 # DEPENDENCYPART_ARC
(2,1),0.804946 # DEPENDENCYPART_ARC
(2,3),0.187881 # DEPENDENCYPART_ARC
(2,4),-0.609804 # DEPENDENCYPART_ARC
(2,5),-0.492537 # DEPENDENCYPART_ARC
(2,6),-0.190299 # DEPENDENCYPART_ARC
(2,7),-0.949 # DEPENDENCYPART_ARC
(2,8),-0.289545 # DEPENDENCYPART_ARC
(2,9),-0.715389 # DEPENDENCYPART_ARC
(2,10),0.214395 # DEPENDENCYPART_ARC
(3,1),2.63672 # DEPENDENCYPART_ARC
(3,2),3.21193 # DEPENDENCYPART_ARC
(3,4),2.24621 # DEPENDENCYPART_ARC
(3,5),3.83884 # DEPENDENCYPART_ARC
(3,6),2.26872 # DEPENDENCYPART_ARC
(3,7),2.76504 # DEPENDENCYPART_ARC
(3,8),2.12604 # DEPENDENCYPART_ARC
(3,9),0.91036 # DEPENDENCYPART_ARC
(3,10),2.56592 # DEPENDENCYPART_ARC
(4,1),-0.525252 # DEPENDENCYPART_ARC
(4,2),-0.800725 # DEPENDENCYPART_ARC
(4,3),-0.215077 # DEPENDENCYPART_ARC
(4,5),-0.955442 # DEPENDENCYPART_ARC
(4,6),-0.896457 # DEPENDENCYPART_ARC
(4,7),-1.41523 # DEPENDENCYPART_ARC
(4,8),-0.832316 # DEPENDENCYPART_ARC
(4,9),-0.626478 # DEPENDENCYPART_ARC
(4,10),-0.051693 # DEPENDENCYPART_ARC
(5,1),-0.0904196 # DEPENDENCYPART_ARC
(5,2),-0.110433 # DEPENDENCYPART_ARC
(5,3),-0.436997 # DEPENDENCYPART_ARC
(5,4),3.45571 # DEPENDENCYPART_ARC
(5,6),0.146865 # DEPENDENCYPART_ARC
(5,7),-0.843206 # DEPENDENCYPART_ARC
(5,8),0.0576804 # DEPENDENCYPART_ARC
(5,9),-0.495396 # DEPENDENCYPART_ARC
(5,10),-0.00411803 # DEPENDENCYPART_ARC
(6,1),-2.10617 # DEPENDENCYPART_ARC
(6,2),-1.96648 # DEPENDENCYPART_ARC
(6,3),-1.82131 # DEPENDENCYPART_ARC
(6,4),-1.3585 # DEPENDENCYPART_ARC
(6,5),-1.68356 # DEPENDENCYPART_ARC
(6,7),-1.5295 # DEPENDENCYPART_ARC
(6,8),-1.17146 # DEPENDENCYPART_ARC
(6,9),-1.35057 # DEPENDENCYPART_ARC
(6,10),-1.46765 # DEPENDENCYPART_ARC
(7,1),-0.342002 # DEPENDENCYPART_ARC
(7,2),-0.442303 # DEPENDENCYPART_ARC
(7,3),-1.24865 # DEPENDENCYPART_ARC
(7,4),1.35894 # DEPENDENCYPART_ARC
(7,5),0.379405 # DEPENDENCYPART_ARC
(7,6),1.07598 # DEPENDENCYPART_ARC
(7,8),0.857398 # DEPENDENCYPART_ARC
(7,9),-0.0736812 # DEPENDENCYPART_ARC
(7,10),0.345523 # DEPENDENCYPART_ARC
(8,1),-2.14756 # DEPENDENCYPART_ARC
(8,2),-2.08182 # DEPENDENCYPART_ARC
(8,3),-2.03795 # DEPENDENCYPART_ARC
(8,4),-1.77949 # DEPENDENCYPART_ARC
(8,5),-2.44568 # DEPENDENCYPART_ARC
(8,6),-1.42349 # DEPENDENCYPART_ARC
(8,7),-1.55126 # DEPENDENCYPART_ARC
(8,9),-0.932992 # DEPENDENCYPART_ARC
(8,10),-1.3381 # DEPENDENCYPART_ARC
(9,1),0.630628 # DEPENDENCYPART_ARC
(9,2),0.660312 # DEPENDENCYPART_ARC
(9,3),0.793758 # DEPENDENCYPART_ARC
(9,4),1.01966 # DEPENDENCYPART_ARC
(9,5),0.678686 # DEPENDENCYPART_ARC
(9,6),1.1609 # DEPENDENCYPART_ARC
(9,7),1.35639 # DEPENDENCYPART_ARC
(9,8),1.83282 # DEPENDENCYPART_ARC
(9,10),1.60013 # DEPENDENCYPART_ARC
(10,1),-2.73731 # DEPENDENCYPART_ARC
(10,2),-2.70279 # DEPENDENCYPART_ARC
(10,3),-2.59937 # DEPENDENCYPART_ARC
(10,4),-2.57015 # DEPENDENCYPART_ARC
(10,5),-3.13597 # DEPENDENCYPART_ARC
(10,6),-2.00514 # DEPENDENCYPART_ARC
(10,7),-2.79568 # DEPENDENCYPART_ARC
(10,8),-1.91225 # DEPENDENCYPART_ARC
(10,9),-1.14405 # DEPENDENCYPART_ARC
