# _root_ Egyébként a helyi legenda szerint Bregovity éppen itt , Gucsán szedte össze azokat a bandákat is , amelyekkel aztán a stúdióban feljátszatta az említett filmek slágereit .
#goldHeads=11,4,4,5,11,11,11,11,11,11,0,11,15,15,11,11,11,22,22,21,22,13,25,25,26,22,11,
#predictedHeads=11,4,4,5,11,11,11,11,11,11,0,11,15,15,11,11,11,22,22,21,22,13,25,25,26,22,11,
(0,1),-2.06796 # DEPENDENCYPART_ARC
(0,3),-2.37098 # DEPENDENCYPART_ARC
(0,4),-3.16523 # DEPENDENCYPART_ARC
(0,5),-3.29248 # DEPENDENCYPART_ARC
(0,6),-3.05772 # DEPENDENCYPART_ARC
(0,7),-2.56405 # DEPENDENCYPART_ARC
(0,8),-2.25922 # DEPENDENCYPART_ARC
(0,10),-3.36575 # DEPENDENCYPART_ARC
(0,11),-1.27723 # DEPENDENCYPART_ARC
(0,12),-2.67187 # DEPENDENCYPART_ARC
(0,13),-3.63061 # DEPENDENCYPART_ARC
(0,15),-4.66496 # DEPENDENCYPART_ARC
(0,16),-3.20231 # DEPENDENCYPART_ARC
(0,19),-2.59949 # DEPENDENCYPART_ARC
(0,21),-4.42388 # DEPENDENCYPART_ARC
(0,22),-1.59282 # DEPENDENCYPART_ARC
(0,24),-3.09416 # DEPENDENCYPART_ARC
(0,25),-4.96492 # DEPENDENCYPART_ARC
(0,26),-5.63455 # DEPENDENCYPART_ARC
(1,2),-0.436439 # DEPENDENCYPART_ARC
(1,3),-0.0113502 # DEPENDENCYPART_ARC
(1,4),-0.0261638 # DEPENDENCYPART_ARC
(1,5),0.342744 # DEPENDENCYPART_ARC
(1,6),-0.271036 # DEPENDENCYPART_ARC
(1,7),-0.488737 # DEPENDENCYPART_ARC
(1,8),-0.432251 # DEPENDENCYPART_ARC
(1,9),0.0642957 # DEPENDENCYPART_ARC
(1,10),-0.887489 # DEPENDENCYPART_ARC
(1,11),-0.0409581 # DEPENDENCYPART_ARC
(1,12),-0.612354 # DEPENDENCYPART_ARC
(1,13),-1.05807 # DEPENDENCYPART_ARC
