# _root_ És persze leellenőrizték a családot , körbenéztek a szomszédoknál , kik vagyunk .
#goldHeads=0,3,1,5,3,1,1,9,7,7,12,7,1,
#predictedHeads=3,3,0,5,3,3,3,9,7,7,12,7,3,
(0,1),-2.25506 # DEPENDENCYPART_ARC
(0,2),-2.0916 # DEPENDENCYPART_ARC
(0,3),-0.634258 # DEPENDENCYPART_ARC
(0,4),-2.84083 # DEPENDENCYPART_ARC
(0,5),-3.13095 # DEPENDENCYPART_ARC
(0,6),-2.98382 # DEPENDENCYPART_ARC
(0,7),-0.730025 # DEPENDENCYPART_ARC
(0,8),-3.11839 # DEPENDENCYPART_ARC
(0,9),-3.82896 # DEPENDENCYPART_ARC
(0,10),-3.33647 # DEPENDENCYPART_ARC
(0,11),-2.7631 # DEPENDENCYPART_ARC
(0,12),-1.81063 # DEPENDENCYPART_ARC
(0,13),-3.82103 # DEPENDENCYPART_ARC
(1,2),-0.762366 # DEPENDENCYPART_ARC
(1,3),0.571239 # DEPENDENCYPART_ARC
(1,4),-1.11832 # DEPENDENCYPART_ARC
(1,5),-0.824109 # DEPENDENCYPART_ARC
(1,6),0.520552 # DEPENDENCYPART_ARC
(1,7),0.104746 # DEPENDENCYPART_ARC
(1,8),-1.35058 # DEPENDENCYPART_ARC
(1,9),-1.19378 # DEPENDENCYPART_ARC
(1,10),0.560126 # DEPENDENCYPART_ARC
(1,11),-1.13585 # DEPENDENCYPART_ARC
(1,12),-0.378175 # DEPENDENCYPART_ARC
(1,13),0.116862 # DEPENDENCYPART_ARC
(2,1),0.202151 # DEPENDENCYPART_ARC
(2,3),-0.114298 # DEPENDENCYPART_ARC
(2,4),-1.08 # DEPENDENCYPART_ARC
(2,5),-0.90774 # DEPENDENCYPART_ARC
(2,6),-0.734182 # DEPENDENCYPART_ARC
(2,7),-0.856885 # DEPENDENCYPART_ARC
(2,8),-1.2424 # DEPENDENCYPART_ARC
(2,9),-1.58815 # DEPENDENCYPART_ARC
(2,10),-0.916595 # DEPENDENCYPART_ARC
(2,11),-1.32265 # DEPENDENCYPART_ARC
(2,12),-0.784079 # DEPENDENCYPART_ARC
(2,13),0.0706059 # DEPENDENCYPART_ARC
(3,1),2.06695 # DEPENDENCYPART_ARC
(3,2),3.16861 # DEPENDENCYPART_ARC
(3,4),0.634996 # DEPENDENCYPART_ARC
(3,5),3.8859 # DEPENDENCYPART_ARC
(3,6),1.92043 # DEPENDENCYPART_ARC
(3,7),1.53377 # DEPENDENCYPART_ARC
(3,8),0.00516645 # DEPENDENCYPART_ARC
(3,9),1.38284 # DEPENDENCYPART_ARC
(3,10),1.80305 # DEPENDENCYPART_ARC
(3,11),-0.808315 # DEPENDENCYPART_ARC
(3,12),1.37545 # DEPENDENCYPART_ARC
(3,13),2.79898 # DEPENDENCYPART_ARC
(4,1),-1.55192 # DEPENDENCYPART_ARC
(4,2),-1.57998 # DEPENDENCYPART_ARC
(4,3),-0.992449 # DEPENDENCYPART_ARC
(4,5),-0.257391 # DEPENDENCYPART_ARC
(4,6),-0.160923 # DEPENDENCYPART_ARC
(4,7),-0.967354 # DEPENDENCYPART_ARC
(4,8),-0.847952 # DEPENDENCYPART_ARC
(4,9),-1.20323 # DEPENDENCYPART_ARC
(4,10),-0.405589 # DEPENDENCYPART_ARC
(4,11),-1.18091 # DEPENDENCYPART_ARC
(4,12),-1.3584 # DEPENDENCYPART_ARC
(4,13),-1.2936 # DEPENDENCYPART_ARC
(5,1),-1.13719 # DEPENDENCYPART_ARC
(5,2),-0.67473 # DEPENDENCYPART_ARC
(5,3),-0.238013 # DEPENDENCYPART_ARC
(5,4),3.33334 # DEPENDENCYPART_ARC
(5,6),0.278069 # DEPENDENCYPART_ARC
(5,7),-0.347845 # DEPENDENCYPART_ARC
(5,8),-0.725285 # DEPENDENCYPART_ARC
(5,9),-1.26236 # DEPENDENCYPART_ARC
(5,10),-0.128918 # DEPENDENCYPART_ARC
(5,11),-1.13938 # DEPENDENCYPART_ARC
(5,12),-0.847741 # DEPENDENCYPART_ARC
(5,13),0.926986 # DEPENDENCYPART_ARC
