# _root_ Dustin_Hoffman , Al_Pacino , Gene_Hackman .
#goldHeads=5,5,5,5,0,5,
#predictedHeads=3,3,5,5,0,5,
(0,1),-2.03625 # DEPENDENCYPART_ARC
(0,2),-2.74153 # DEPENDENCYPART_ARC
(0,3),-2.25621 # DEPENDENCYPART_ARC
(0,4),-3.0496 # DEPENDENCYPART_ARC
(0,5),-2.56832 # DEPENDENCYPART_ARC
(0,6),-3.65545 # DEPENDENCYPART_ARC
(1,2),0.127298 # DEPENDENCYPART_ARC
(1,3),-0.328394 # DEPENDENCYPART_ARC
(1,4),0.163815 # DEPENDENCYPART_ARC
(1,5),-0.950899 # DEPENDENCYPART_ARC
(1,6),0.0816156 # DEPENDENCYPART_ARC
(2,1),-1.4717 # DEPENDENCYPART_ARC
(2,3),-1.44539 # DEPENDENCYPART_ARC
(2,4),-1.08735 # DEPENDENCYPART_ARC
(2,5),-2.13618 # DEPENDENCYPART_ARC
(2,6),-1.45433 # DEPENDENCYPART_ARC
(3,1),0.702005 # DEPENDENCYPART_ARC
(3,2),0.868903 # DEPENDENCYPART_ARC
(3,4),0.534283 # DEPENDENCYPART_ARC
(3,5),-0.412978 # DEPENDENCYPART_ARC
(3,6),0.209938 # DEPENDENCYPART_ARC
(4,1),-2.37929 # DEPENDENCYPART_ARC
(4,2),-1.33093 # DEPENDENCYPART_ARC
(4,3),-1.49528 # DEPENDENCYPART_ARC
(4,5),-1.60089 # DEPENDENCYPART_ARC
(4,6),-1.48564 # DEPENDENCYPART_ARC
(5,1),0.508439 # DEPENDENCYPART_ARC
(5,2),0.795686 # DEPENDENCYPART_ARC
(5,3),1.70533 # DEPENDENCYPART_ARC
(5,4),0.944698 # DEPENDENCYPART_ARC
(5,6),0.486979 # DEPENDENCYPART_ARC
(6,1),-3.39659 # DEPENDENCYPART_ARC
(6,2),-2.17845 # DEPENDENCYPART_ARC
(6,3),-3.0447 # DEPENDENCYPART_ARC
(6,4),-2.08556 # DEPENDENCYPART_ARC
(6,5),-2.39143 # DEPENDENCYPART_ARC
