# _root_ Ha mégis belemelegedne , Savon leinti : csitt , ne politizálj !
#goldHeads=6,3,6,6,6,0,6,6,6,11,6,6,
#predictedHeads=6,6,6,6,6,0,6,6,6,11,6,6,
(0,1),-1.7439 # DEPENDENCYPART_ARC
(0,2),-1.96097 # DEPENDENCYPART_ARC
(0,3),-0.882173 # DEPENDENCYPART_ARC
(0,4),-2.6786 # DEPENDENCYPART_ARC
(0,5),-2.06674 # DEPENDENCYPART_ARC
(0,6),-1.18608 # DEPENDENCYPART_ARC
(0,7),-2.81616 # DEPENDENCYPART_ARC
(0,8),-2.05615 # DEPENDENCYPART_ARC
(0,9),-3.07231 # DEPENDENCYPART_ARC
(0,10),-2.24934 # DEPENDENCYPART_ARC
(0,11),-2.44491 # DEPENDENCYPART_ARC
(0,12),-2.83767 # DEPENDENCYPART_ARC
(1,2),-0.263178 # DEPENDENCYPART_ARC
(1,3),-0.634073 # DEPENDENCYPART_ARC
(1,4),0.227876 # DEPENDENCYPART_ARC
(1,5),-0.724693 # DEPENDENCYPART_ARC
(1,6),-1.07379 # DEPENDENCYPART_ARC
(1,7),0.216336 # DEPENDENCYPART_ARC
(1,8),-0.781616 # DEPENDENCYPART_ARC
(1,9),-0.255288 # DEPENDENCYPART_ARC
(1,10),-1.17461 # DEPENDENCYPART_ARC
(1,11),-2.02925 # DEPENDENCYPART_ARC
(1,12),-0.594867 # DEPENDENCYPART_ARC
(2,1),-0.122116 # DEPENDENCYPART_ARC
(2,3),0.646612 # DEPENDENCYPART_ARC
(2,4),0.0192123 # DEPENDENCYPART_ARC
(2,5),-0.859347 # DEPENDENCYPART_ARC
(2,6),-0.216813 # DEPENDENCYPART_ARC
(2,7),0.0591346 # DEPENDENCYPART_ARC
(2,8),-0.614703 # DEPENDENCYPART_ARC
(2,9),-0.143143 # DEPENDENCYPART_ARC
(2,10),-1.05262 # DEPENDENCYPART_ARC
(2,11),-0.804812 # DEPENDENCYPART_ARC
(2,12),0.544489 # DEPENDENCYPART_ARC
(3,1),0.739036 # DEPENDENCYPART_ARC
(3,2),2.13741 # DEPENDENCYPART_ARC
(3,4),1.52496 # DEPENDENCYPART_ARC
(3,5),0.19368 # DEPENDENCYPART_ARC
(3,6),1.49565 # DEPENDENCYPART_ARC
(3,7),1.46779 # DEPENDENCYPART_ARC
(3,8),0.319938 # DEPENDENCYPART_ARC
(3,9),0.607574 # DEPENDENCYPART_ARC
(3,10),-0.557498 # DEPENDENCYPART_ARC
(3,11),0.606001 # DEPENDENCYPART_ARC
(3,12),2.26319 # DEPENDENCYPART_ARC
(4,1),-1.74205 # DEPENDENCYPART_ARC
(4,2),-1.69504 # DEPENDENCYPART_ARC
(4,3),-0.956948 # DEPENDENCYPART_ARC
(4,5),-1.44482 # DEPENDENCYPART_ARC
(4,6),-1.26399 # DEPENDENCYPART_ARC
(4,7),-1.18019 # DEPENDENCYPART_ARC
(4,8),-1.44588 # DEPENDENCYPART_ARC
(4,9),-1.34699 # DEPENDENCYPART_ARC
(4,10),-1.62601 # DEPENDENCYPART_ARC
(4,11),-1.67458 # DEPENDENCYPART_ARC
(4,12),-1.29975 # DEPENDENCYPART_ARC
(5,1),-0.545147 # DEPENDENCYPART_ARC
(5,2),0.466864 # DEPENDENCYPART_ARC
(5,3),0.112544 # DEPENDENCYPART_ARC
(5,4),0.571813 # DEPENDENCYPART_ARC
(5,6),0.0961533 # DEPENDENCYPART_ARC
(5,7),-0.140132 # DEPENDENCYPART_ARC
(5,8),-0.316144 # DEPENDENCYPART_ARC
(5,9),-0.0788443 # DEPENDENCYPART_ARC
(5,10),-0.674633 # DEPENDENCYPART_ARC
(5,11),-0.926072 # DEPENDENCYPART_ARC
(5,12),0.278904 # DEPENDENCYPART_ARC
(6,1),1.52247 # DEPENDENCYPART_ARC
(6,2),2.33684 # DEPENDENCYPART_ARC
(6,3),1.86038 # DEPENDENCYPART_ARC
(6,4),1.63092 # DEPENDENCYPART_ARC
(6,5),4.70064 # DEPENDENCYPART_ARC
(6,7),2.36649 # DEPENDENCYPART_ARC
(6,8),1.3634 # DEPENDENCYPART_ARC
(6,9),1.51062 # DEPENDENCYPART_ARC
(6,10),0.422129 # DEPENDENCYPART_ARC
(6,11),2.20971 # DEPENDENCYPART_ARC
(6,12),2.56441 # DEPENDENCYPART_ARC
(7,1),-2.01039 # DEPENDENCYPART_ARC
(7,2),-2.14196 # DEPENDENCYPART_ARC
(7,3),-2.28531 # DEPENDENCYPART_ARC
(7,4),-1.71409 # DEPENDENCYPART_ARC
(7,5),-2.2348 # DEPENDENCYPART_ARC
(7,6),-0.945536 # DEPENDENCYPART_ARC
(7,8),-0.89373 # DEPENDENCYPART_ARC
(7,9),-0.960716 # DEPENDENCYPART_ARC
(7,10),-1.33801 # DEPENDENCYPART_ARC
(7,11),-1.32017 # DEPENDENCYPART_ARC
(7,12),-1.28445 # DEPENDENCYPART_ARC
(8,1),-0.684523 # DEPENDENCYPART_ARC
(8,2),-0.586346 # DEPENDENCYPART_ARC
(8,3),-0.944702 # DEPENDENCYPART_ARC
(8,4),-0.598449 # DEPENDENCYPART_ARC
(8,5),-0.505451 # DEPENDENCYPART_ARC
(8,6),-0.103944 # DEPENDENCYPART_ARC
(8,7),0.459673 # DEPENDENCYPART_ARC
(8,9),0.927827 # DEPENDENCYPART_ARC
(8,10),0.25402 # DEPENDENCYPART_ARC
(8,11),0.461369 # DEPENDENCYPART_ARC
(8,12),0.663562 # DEPENDENCYPART_ARC
(9,1),-2.18851 # DEPENDENCYPART_ARC
(9,2),-2.14985 # DEPENDENCYPART_ARC
(9,3),-2.53917 # DEPENDENCYPART_ARC
(9,4),-2.1233 # DEPENDENCYPART_ARC
(9,5),-2.79092 # DEPENDENCYPART_ARC
(9,6),-1.88907 # DEPENDENCYPART_ARC
(9,7),-1.6157 # DEPENDENCYPART_ARC
(9,8),-0.774248 # DEPENDENCYPART_ARC
(9,10),-1.16514 # DEPENDENCYPART_ARC
(9,11),-1.20388 # DEPENDENCYPART_ARC
(9,12),-1.21256 # DEPENDENCYPART_ARC
(10,1),0.146234 # DEPENDENCYPART_ARC
(10,2),-0.374237 # DEPENDENCYPART_ARC
(10,3),-0.545301 # DEPENDENCYPART_ARC
(10,4),-0.710697 # DEPENDENCYPART_ARC
(10,5),-0.802245 # DEPENDENCYPART_ARC
(10,6),-0.216864 # DEPENDENCYPART_ARC
(10,7),-0.182413 # DEPENDENCYPART_ARC
(10,8),-0.345518 # DEPENDENCYPART_ARC
(10,9),0.0537509 # DEPENDENCYPART_ARC
(10,11),0.702326 # DEPENDENCYPART_ARC
(10,12),-0.0878505 # DEPENDENCYPART_ARC
(11,1),1.46738 # DEPENDENCYPART_ARC
(11,2),1.32005 # DEPENDENCYPART_ARC
(11,3),-0.113504 # DEPENDENCYPART_ARC
(11,4),0.405553 # DEPENDENCYPART_ARC
(11,5),0.828148 # DEPENDENCYPART_ARC
(11,6),-0.58233 # DEPENDENCYPART_ARC
(11,7),0.197975 # DEPENDENCYPART_ARC
(11,8),1.06303 # DEPENDENCYPART_ARC
(11,9),1.05608 # DEPENDENCYPART_ARC
(11,10),3.14084 # DEPENDENCYPART_ARC
(11,12),1.20952 # DEPENDENCYPART_ARC
(12,1),-2.89649 # DEPENDENCYPART_ARC
(12,2),-2.78131 # DEPENDENCYPART_ARC
(12,3),-3.19061 # DEPENDENCYPART_ARC
(12,4),-2.65983 # DEPENDENCYPART_ARC
(12,5),-3.6361 # DEPENDENCYPART_ARC
(12,6),-2.98228 # DEPENDENCYPART_ARC
(12,7),-2.60809 # DEPENDENCYPART_ARC
(12,8),-2.63125 # DEPENDENCYPART_ARC
(12,9),-2.26461 # DEPENDENCYPART_ARC
(12,10),-2.21065 # DEPENDENCYPART_ARC
(12,11),-1.42949 # DEPENDENCYPART_ARC
