# _root_ — Ha bármilyen módon tudomásunkra jutott , hogy egy elhunyt nem járul hozzá szervei átültetéséhez , eddig sem nyúltunk a tetemhez .
#goldHeads=19,19,4,6,6,19,6,6,10,12,12,6,12,15,12,19,19,19,0,21,19,19,
#predictedHeads=2,19,4,6,6,0,6,6,10,12,12,6,12,15,12,12,19,19,12,21,19,6,
(0,1),-2.32211 # DEPENDENCYPART_ARC
(0,2),-1.25931 # DEPENDENCYPART_ARC
(0,3),-2.07014 # DEPENDENCYPART_ARC
(0,4),-2.56074 # DEPENDENCYPART_ARC
(0,5),-2.84789 # DEPENDENCYPART_ARC
(0,6),-0.698635 # DEPENDENCYPART_ARC
(0,7),-2.96945 # DEPENDENCYPART_ARC
(0,8),-1.18902 # DEPENDENCYPART_ARC
(0,9),-2.47716 # DEPENDENCYPART_ARC
(0,10),-3.14307 # DEPENDENCYPART_ARC
(0,11),-2.12353 # DEPENDENCYPART_ARC
(0,12),-1.36278 # DEPENDENCYPART_ARC
(0,13),-2.50508 # DEPENDENCYPART_ARC
(0,14),-2.93348 # DEPENDENCYPART_ARC
(0,15),-3.16488 # DEPENDENCYPART_ARC
(0,16),-3.73742 # DEPENDENCYPART_ARC
(0,17),-2.35468 # DEPENDENCYPART_ARC
(0,18),-2.91749 # DEPENDENCYPART_ARC
(0,19),-1.51756 # DEPENDENCYPART_ARC
(0,20),-3.37606 # DEPENDENCYPART_ARC
(0,21),-3.83284 # DEPENDENCYPART_ARC
(0,22),-4.8498 # DEPENDENCYPART_ARC
(1,2),-1.01635 # DEPENDENCYPART_ARC
(1,3),-1.35797 # DEPENDENCYPART_ARC
(1,4),-1.93209 # DEPENDENCYPART_ARC
(1,5),-2.07658 # DEPENDENCYPART_ARC
(1,6),-1.51283 # DEPENDENCYPART_ARC
(1,7),-1.26497 # DEPENDENCYPART_ARC
(1,8),-1.30098 # DEPENDENCYPART_ARC
(1,9),-1.70307 # DEPENDENCYPART_ARC
(1,10),-2.53701 # DEPENDENCYPART_ARC
(1,11),-1.66923 # DEPENDENCYPART_ARC
(1,12),-1.74536 # DEPENDENCYPART_ARC
(1,13),-1.68905 # DEPENDENCYPART_ARC
(1,14),-2.73423 # DEPENDENCYPART_ARC
(1,15),-2.79622 # DEPENDENCYPART_ARC
(1,16),-1.54008 # DEPENDENCYPART_ARC
(1,17),-1.72521 # DEPENDENCYPART_ARC
(1,18),-1.67985 # DEPENDENCYPART_ARC
(1,19),-1.91153 # DEPENDENCYPART_ARC
(1,20),-1.82499 # DEPENDENCYPART_ARC
(1,21),-3.0842 # DEPENDENCYPART_ARC
(1,22),-1.85898 # DEPENDENCYPART_ARC
(2,1),1.14477 # DEPENDENCYPART_ARC
(2,3),-1.1571 # DEPENDENCYPART_ARC
(2,4),-0.673746 # DEPENDENCYPART_ARC
(2,5),-1.1239 # DEPENDENCYPART_ARC
(2,6),0.382887 # DEPENDENCYPART_ARC
(2,7),-0.287161 # DEPENDENCYPART_ARC
(2,8),0.52924 # DEPENDENCYPART_ARC
(2,9),-1.19463 # DEPENDENCYPART_ARC
(2,10),-1.59302 # DEPENDENCYPART_ARC
(2,11),-0.670915 # DEPENDENCYPART_ARC
(2,12),-0.48034 # DEPENDENCYPART_ARC
(2,13),-0.603172 # DEPENDENCYPART_ARC
(2,14),-0.916769 # DEPENDENCYPART_ARC
(2,15),-1.3701 # DEPENDENCYPART_ARC
(2,16),0.0355334 # DEPENDENCYPART_ARC
(2,17),-0.664963 # DEPENDENCYPART_ARC
(2,18),-0.27188 # DEPENDENCYPART_ARC
(2,19),-0.553526 # DEPENDENCYPART_ARC
(2,20),-1.87299 # DEPENDENCYPART_ARC
(2,21),-2.11399 # DEPENDENCYPART_ARC
(2,22),1.37995 # DEPENDENCYPART_ARC
(3,1),-1.51329 # DEPENDENCYPART_ARC
(3,2),-1.20218 # DEPENDENCYPART_ARC
(3,4),-0.997169 # DEPENDENCYPART_ARC
(3,5),-1.09431 # DEPENDENCYPART_ARC
(3,6),-0.454827 # DEPENDENCYPART_ARC
(3,7),-0.837959 # DEPENDENCYPART_ARC
(3,8),-1.3204 # DEPENDENCYPART_ARC
(3,9),-1.48502 # DEPENDENCYPART_ARC
(3,10),-1.40169 # DEPENDENCYPART_ARC
(3,11),-1.04997 # DEPENDENCYPART_ARC
(3,12),-0.37371 # DEPENDENCYPART_ARC
(3,13),-1.05668 # DEPENDENCYPART_ARC
(3,14),-1.29986 # DEPENDENCYPART_ARC
(3,15),-1.94088 # DEPENDENCYPART_ARC
(3,16),-0.746946 # DEPENDENCYPART_ARC
(3,17),-0.832957 # DEPENDENCYPART_ARC
(3,18),-0.920017 # DEPENDENCYPART_ARC
(3,19),-0.65768 # DEPENDENCYPART_ARC
(3,20),-2.27513 # DEPENDENCYPART_ARC
(3,21),-2.22006 # DEPENDENCYPART_ARC
(3,22),-1.06281 # DEPENDENCYPART_ARC
(4,1),-0.238812 # DEPENDENCYPART_ARC
(4,2),-0.279668 # DEPENDENCYPART_ARC
(4,3),2.6719 # DEPENDENCYPART_ARC
(4,5),-0.84648 # DEPENDENCYPART_ARC
(4,6),-0.28555 # DEPENDENCYPART_ARC
(4,7),-0.479588 # DEPENDENCYPART_ARC
(4,8),-0.80765 # DEPENDENCYPART_ARC
(4,9),-1.08308 # DEPENDENCYPART_ARC
(4,10),-1.87442 # DEPENDENCYPART_ARC
(4,11),-1.12097 # DEPENDENCYPART_ARC
(4,12),-0.936383 # DEPENDENCYPART_ARC
(4,13),-1.01272 # DEPENDENCYPART_ARC
(4,14),-2.17597 # DEPENDENCYPART_ARC
(4,15),-2.57757 # DEPENDENCYPART_ARC
(4,16),-0.766087 # DEPENDENCYPART_ARC
(4,17),-1.1564 # DEPENDENCYPART_ARC
(4,18),-1.26279 # DEPENDENCYPART_ARC
(4,19),-1.64583 # DEPENDENCYPART_ARC
(4,20),-1.63143 # DEPENDENCYPART_ARC
(4,21),-3.09588 # DEPENDENCYPART_ARC
(4,22),-0.141304 # DEPENDENCYPART_ARC
(5,1),0.139853 # DEPENDENCYPART_ARC
(5,2),0.101898 # DEPENDENCYPART_ARC
(5,3),1.78317 # DEPENDENCYPART_ARC
(5,4),-0.445902 # DEPENDENCYPART_ARC
(5,6),-0.631122 # DEPENDENCYPART_ARC
(5,7),-0.472268 # DEPENDENCYPART_ARC
(5,8),-0.777252 # DEPENDENCYPART_ARC
(5,9),-0.860218 # DEPENDENCYPART_ARC
(5,10),-1.8565 # DEPENDENCYPART_ARC
(5,11),-0.923096 # DEPENDENCYPART_ARC
(5,12),-1.61662 # DEPENDENCYPART_ARC
(5,13),-0.854352 # DEPENDENCYPART_ARC
(5,14),-2.5834 # DEPENDENCYPART_ARC
(5,15),-2.52084 # DEPENDENCYPART_ARC
(5,16),-0.548873 # DEPENDENCYPART_ARC
(5,17),-0.976522 # DEPENDENCYPART_ARC
(5,18),-1.11249 # DEPENDENCYPART_ARC
(5,19),-2.25393 # DEPENDENCYPART_ARC
(5,20),-1.60763 # DEPENDENCYPART_ARC
(5,21),-3.31376 # DEPENDENCYPART_ARC
(5,22),0.182857 # DEPENDENCYPART_ARC
(6,1),0.92093 # DEPENDENCYPART_ARC
(6,2),0.820878 # DEPENDENCYPART_ARC
(6,3),1.88254 # DEPENDENCYPART_ARC
(6,4),3.23832 # DEPENDENCYPART_ARC
(6,5),4.393 # DEPENDENCYPART_ARC
(6,7),2.12574 # DEPENDENCYPART_ARC
(6,8),3.24836 # DEPENDENCYPART_ARC
(6,9),-0.146634 # DEPENDENCYPART_ARC
(6,10),-0.249317 # DEPENDENCYPART_ARC
(6,11),0.775029 # DEPENDENCYPART_ARC
(6,12),1.64406 # DEPENDENCYPART_ARC
(6,13),0.781816 # DEPENDENCYPART_ARC
(6,14),-1.05763 # DEPENDENCYPART_ARC
(6,15),0.315958 # DEPENDENCYPART_ARC
(6,16),0.991991 # DEPENDENCYPART_ARC
(6,17),-0.532242 # DEPENDENCYPART_ARC
(6,18),-0.121493 # DEPENDENCYPART_ARC
(6,19),0.858579 # DEPENDENCYPART_ARC
(6,20),-0.793115 # DEPENDENCYPART_ARC
(6,21),-1.18709 # DEPENDENCYPART_ARC
(6,22),3.07795 # DEPENDENCYPART_ARC
(7,1),-2.5101 # DEPENDENCYPART_ARC
(7,2),-2.65515 # DEPENDENCYPART_ARC
(7,3),-2.75169 # DEPENDENCYPART_ARC
(7,4),-3.10328 # DEPENDENCYPART_ARC
(7,5),-2.86294 # DEPENDENCYPART_ARC
(7,6),-1.54458 # DEPENDENCYPART_ARC
(7,8),-1.46483 # DEPENDENCYPART_ARC
(7,9),-1.77759 # DEPENDENCYPART_ARC
(7,10),-2.42338 # DEPENDENCYPART_ARC
(7,11),-1.95329 # DEPENDENCYPART_ARC
(7,12),-2.01312 # DEPENDENCYPART_ARC
(7,13),-2.00698 # DEPENDENCYPART_ARC
(7,14),-2.83862 # DEPENDENCYPART_ARC
(7,15),-2.93989 # DEPENDENCYPART_ARC
(7,16),-1.84726 # DEPENDENCYPART_ARC
(7,17),-2.10124 # DEPENDENCYPART_ARC
(7,18),-2.09626 # DEPENDENCYPART_ARC
(7,19),-2.34732 # DEPENDENCYPART_ARC
(7,20),-2.25398 # DEPENDENCYPART_ARC
(7,21),-3.28498 # DEPENDENCYPART_ARC
(7,22),-2.06729 # DEPENDENCYPART_ARC
(8,1),0.830307 # DEPENDENCYPART_ARC
(8,2),0.871173 # DEPENDENCYPART_ARC
(8,3),0.370689 # DEPENDENCYPART_ARC
(8,4),0.494242 # DEPENDENCYPART_ARC
(8,5),0.453374 # DEPENDENCYPART_ARC
(8,6),0.551879 # DEPENDENCYPART_ARC
(8,7),1.25938 # DEPENDENCYPART_ARC
(8,9),-0.0993828 # DEPENDENCYPART_ARC
(8,10),-0.249205 # DEPENDENCYPART_ARC
(8,11),0.384854 # DEPENDENCYPART_ARC
(8,12),1.35926 # DEPENDENCYPART_ARC
(8,13),0.0472949 # DEPENDENCYPART_ARC
(8,14),-0.365801 # DEPENDENCYPART_ARC
(8,15),-0.806982 # DEPENDENCYPART_ARC
(8,16),0.696736 # DEPENDENCYPART_ARC
(8,17),-0.0674405 # DEPENDENCYPART_ARC
(8,18),0.0482097 # DEPENDENCYPART_ARC
(8,19),0.802088 # DEPENDENCYPART_ARC
(8,20),-0.985164 # DEPENDENCYPART_ARC
(8,21),-1.92529 # DEPENDENCYPART_ARC
(8,22),2.37041 # DEPENDENCYPART_ARC
(9,1),-1.64083 # DEPENDENCYPART_ARC
(9,2),-1.77085 # DEPENDENCYPART_ARC
(9,3),-2.42215 # DEPENDENCYPART_ARC
(9,4),-2.78732 # DEPENDENCYPART_ARC
(9,5),-2.80915 # DEPENDENCYPART_ARC
(9,6),-1.50728 # DEPENDENCYPART_ARC
(9,7),-1.19429 # DEPENDENCYPART_ARC
(9,8),-0.598397 # DEPENDENCYPART_ARC
(9,10),-0.215148 # DEPENDENCYPART_ARC
(9,11),-0.540699 # DEPENDENCYPART_ARC
(9,12),-0.570098 # DEPENDENCYPART_ARC
(9,13),-0.783266 # DEPENDENCYPART_ARC
(9,14),-1.20773 # DEPENDENCYPART_ARC
(9,15),-1.42947 # DEPENDENCYPART_ARC
(9,16),-0.329484 # DEPENDENCYPART_ARC
(9,17),-0.958742 # DEPENDENCYPART_ARC
(9,18),-0.97777 # DEPENDENCYPART_ARC
(9,19),-1.03355 # DEPENDENCYPART_ARC
(9,20),-1.02923 # DEPENDENCYPART_ARC
(9,21),-1.64173 # DEPENDENCYPART_ARC
(9,22),-1.3315 # DEPENDENCYPART_ARC
(10,1),-1.49637 # DEPENDENCYPART_ARC
(10,2),-1.40726 # DEPENDENCYPART_ARC
(10,3),-0.78057 # DEPENDENCYPART_ARC
(10,4),-3.32119 # DEPENDENCYPART_ARC
(10,5),-3.14213 # DEPENDENCYPART_ARC
(10,6),-0.987253 # DEPENDENCYPART_ARC
(10,7),-0.49486 # DEPENDENCYPART_ARC
(10,8),-0.643201 # DEPENDENCYPART_ARC
(10,9),3.75799 # DEPENDENCYPART_ARC
(10,11),-0.46019 # DEPENDENCYPART_ARC
(10,12),-0.137342 # DEPENDENCYPART_ARC
(10,13),-0.467129 # DEPENDENCYPART_ARC
(10,14),-1.43694 # DEPENDENCYPART_ARC
(10,15),-1.23664 # DEPENDENCYPART_ARC
(10,16),0.0467265 # DEPENDENCYPART_ARC
(10,17),-0.627393 # DEPENDENCYPART_ARC
(10,18),-0.73567 # DEPENDENCYPART_ARC
(10,19),-0.852063 # DEPENDENCYPART_ARC
(10,20),-1.08245 # DEPENDENCYPART_ARC
(10,21),-2.26188 # DEPENDENCYPART_ARC
(10,22),0.176482 # DEPENDENCYPART_ARC
(11,1),-0.704418 # DEPENDENCYPART_ARC
(11,2),-0.490231 # DEPENDENCYPART_ARC
(11,3),-1.37632 # DEPENDENCYPART_ARC
(11,4),-0.727624 # DEPENDENCYPART_ARC
(11,5),-0.70761 # DEPENDENCYPART_ARC
(11,6),-0.705363 # DEPENDENCYPART_ARC
(11,7),-0.22785 # DEPENDENCYPART_ARC
(11,8),-0.371789 # DEPENDENCYPART_ARC
(11,9),-0.221205 # DEPENDENCYPART_ARC
