# _root_ A szóvivő valószínűtlennek tartotta , hogy Arkan tudva a körözéséről , átlépte volna a magyar határt .
#goldHeads=2,4,4,0,4,4,12,12,10,8,12,4,12,16,16,12,4,
#predictedHeads=2,4,4,0,4,4,8,12,10,8,12,4,12,16,16,12,4,
(0,2),-1.74648 # DEPENDENCYPART_ARC
(0,3),-2.17897 # DEPENDENCYPART_ARC
(0,4),0.160844 # DEPENDENCYPART_ARC
(0,6),-0.429306 # DEPENDENCYPART_ARC
(0,7),-2.60551 # DEPENDENCYPART_ARC
(0,8),-2.3632 # DEPENDENCYPART_ARC
(0,10),-3.67936 # DEPENDENCYPART_ARC
(0,12),-0.758895 # DEPENDENCYPART_ARC
(0,13),-1.24394 # DEPENDENCYPART_ARC
(0,15),-2.71102 # DEPENDENCYPART_ARC
(0,16),-4.44623 # DEPENDENCYPART_ARC
(1,2),-0.695246 # DEPENDENCYPART_ARC
(1,3),-0.53854 # DEPENDENCYPART_ARC
(1,5),-0.773387 # DEPENDENCYPART_ARC
(1,7),-1.7872 # DEPENDENCYPART_ARC
(1,10),-2.4266 # DEPENDENCYPART_ARC
(1,11),-1.01377 # DEPENDENCYPART_ARC
(1,15),-1.97593 # DEPENDENCYPART_ARC
(1,16),-2.56778 # DEPENDENCYPART_ARC
(2,1),2.89528 # DEPENDENCYPART_ARC
(2,3),-0.528861 # DEPENDENCYPART_ARC
(2,4),-0.142365 # DEPENDENCYPART_ARC
(2,5),-0.0173559 # DEPENDENCYPART_ARC
(2,6),-0.751633 # DEPENDENCYPART_ARC
(2,7),-1.10302 # DEPENDENCYPART_ARC
(2,8),-0.729137 # DEPENDENCYPART_ARC
(2,9),-1.12243 # DEPENDENCYPART_ARC
(2,10),-2.61334 # DEPENDENCYPART_ARC
(2,11),-0.236574 # DEPENDENCYPART_ARC
(2,12),-0.648657 # DEPENDENCYPART_ARC
(2,14),-1.33105 # DEPENDENCYPART_ARC
(2,15),-1.65775 # DEPENDENCYPART_ARC
(2,16),-2.34396 # DEPENDENCYPART_ARC
(2,17),0.318695 # DEPENDENCYPART_ARC
(3,1),1.01913 # DEPENDENCYPART_ARC
(3,2),0.459206 # DEPENDENCYPART_ARC
(3,4),-0.493359 # DEPENDENCYPART_ARC
(3,5),-0.397491 # DEPENDENCYPART_ARC
(3,6),-0.704432 # DEPENDENCYPART_ARC
(3,7),-1.51601 # DEPENDENCYPART_ARC
(3,8),-1.07505 # DEPENDENCYPART_ARC
(3,9),-1.32329 # DEPENDENCYPART_ARC
(3,10),-2.10884 # DEPENDENCYPART_ARC
(3,11),-0.545758 # DEPENDENCYPART_ARC
(3,12),-1.39476 # DEPENDENCYPART_ARC
(3,14),-1.47206 # DEPENDENCYPART_ARC
(3,15),-1.40644 # DEPENDENCYPART_ARC
(3,16),-2.59498 # DEPENDENCYPART_ARC
(3,17),0.406043 # DEPENDENCYPART_ARC
(4,1),-0.224637 # DEPENDENCYPART_ARC
(4,2),2.13124 # DEPENDENCYPART_ARC
(4,3),3.29052 # DEPENDENCYPART_ARC
(4,5),2.33542 # DEPENDENCYPART_ARC
(4,6),2.95008 # DEPENDENCYPART_ARC
(4,7),-0.589259 # DEPENDENCYPART_ARC
(4,8),0.867 # DEPENDENCYPART_ARC
(4,9),-0.663506 # DEPENDENCYPART_ARC
(4,10),0.141903 # DEPENDENCYPART_ARC
(4,11),0.804941 # DEPENDENCYPART_ARC
(4,12),1.25302 # DEPENDENCYPART_ARC
(4,13),1.8963 # DEPENDENCYPART_ARC
(4,14),-0.949673 # DEPENDENCYPART_ARC
(4,15),-1.33646 # DEPENDENCYPART_ARC
(4,16),-0.821001 # DEPENDENCYPART_ARC
(4,17),2.56721 # DEPENDENCYPART_ARC
(6,1),-0.671929 # DEPENDENCYPART_ARC
(6,2),0.868385 # DEPENDENCYPART_ARC
(6,3),0.825892 # DEPENDENCYPART_ARC
(6,4),0.365323 # DEPENDENCYPART_ARC
(6,5),1.38033 # DEPENDENCYPART_ARC
(6,7),-0.453492 # DEPENDENCYPART_ARC
(6,8),-0.202091 # DEPENDENCYPART_ARC
(6,9),-0.97412 # DEPENDENCYPART_ARC
(6,10),-1.47661 # DEPENDENCYPART_ARC
(6,11),-0.290065 # DEPENDENCYPART_ARC
(6,12),0.666163 # DEPENDENCYPART_ARC
(6,13),-0.132743 # DEPENDENCYPART_ARC
(6,14),-1.28905 # DEPENDENCYPART_ARC
(6,15),-0.928645 # DEPENDENCYPART_ARC
(6,16),-2.36433 # DEPENDENCYPART_ARC
(6,17),1.65724 # DEPENDENCYPART_ARC
(7,1),-1.27217 # DEPENDENCYPART_ARC
(7,2),-2.92587 # DEPENDENCYPART_ARC
(7,3),-3.52437 # DEPENDENCYPART_ARC
(7,4),-1.47729 # DEPENDENCYPART_ARC
(7,5),-1.1368 # DEPENDENCYPART_ARC
(7,6),-1.28585 # DEPENDENCYPART_ARC
(7,8),-0.768558 # DEPENDENCYPART_ARC
(7,9),-1.09378 # DEPENDENCYPART_ARC
(7,10),-1.66828 # DEPENDENCYPART_ARC
(7,11),-0.188955 # DEPENDENCYPART_ARC
(7,12),-0.63569 # DEPENDENCYPART_ARC
(7,14),-1.2935 # DEPENDENCYPART_ARC
(7,15),-1.31097 # DEPENDENCYPART_ARC
(7,16),-1.68367 # DEPENDENCYPART_ARC
(7,17),0.110974 # DEPENDENCYPART_ARC
(8,1),-0.166723 # DEPENDENCYPART_ARC
(8,2),0.632647 # DEPENDENCYPART_ARC
(8,3),0.495591 # DEPENDENCYPART_ARC
(8,4),0.815174 # DEPENDENCYPART_ARC
(8,5),1.08802 # DEPENDENCYPART_ARC
(8,6),0.94732 # DEPENDENCYPART_ARC
(8,7),1.75989 # DEPENDENCYPART_ARC
(8,9),0.493656 # DEPENDENCYPART_ARC
(8,10),1.42967 # DEPENDENCYPART_ARC
(8,11),1.0981 # DEPENDENCYPART_ARC
(8,12),0.857782 # DEPENDENCYPART_ARC
(8,14),0.130749 # DEPENDENCYPART_ARC
(8,15),0.00872887 # DEPENDENCYPART_ARC
(8,16),0.306787 # DEPENDENCYPART_ARC
(8,17),0.963001 # DEPENDENCYPART_ARC
(9,2),-3.4198 # DEPENDENCYPART_ARC
(9,3),-2.08919 # DEPENDENCYPART_ARC
(9,5),-1.2218 # DEPENDENCYPART_ARC
(9,7),-2.25997 # DEPENDENCYPART_ARC
(9,10),-0.820483 # DEPENDENCYPART_ARC
(9,11),-0.382399 # DEPENDENCYPART_ARC
(9,15),-0.872962 # DEPENDENCYPART_ARC
(9,16),-1.78074 # DEPENDENCYPART_ARC
(10,1),-1.93931 # DEPENDENCYPART_ARC
(10,2),-1.01099 # DEPENDENCYPART_ARC
(10,3),-4.51724 # DEPENDENCYPART_ARC
(10,4),-1.77685 # DEPENDENCYPART_ARC
(10,5),-0.732665 # DEPENDENCYPART_ARC
(10,6),-1.21165 # DEPENDENCYPART_ARC
(10,7),0.308832 # DEPENDENCYPART_ARC
(10,8),-0.264719 # DEPENDENCYPART_ARC
(10,9),2.49372 # DEPENDENCYPART_ARC
(10,11),-0.0512929 # DEPENDENCYPART_ARC
(10,12),-0.184678 # DEPENDENCYPART_ARC
(10,14),-1.37736 # DEPENDENCYPART_ARC
(10,15),-1.29186 # DEPENDENCYPART_ARC
(10,16),-1.74339 # DEPENDENCYPART_ARC
(10,17),0.00512177 # DEPENDENCYPART_ARC
(12,1),-1.63657 # DEPENDENCYPART_ARC
(12,2),-0.673161 # DEPENDENCYPART_ARC
(12,3),-0.120124 # DEPENDENCYPART_ARC
(12,4),0.0670395 # DEPENDENCYPART_ARC
(12,5),0.751792 # DEPENDENCYPART_ARC
(12,6),0.351998 # DEPENDENCYPART_ARC
(12,7),1.11415 # DEPENDENCYPART_ARC
(12,8),1.3861 # DEPENDENCYPART_ARC
(12,9),-0.742668 # DEPENDENCYPART_ARC
(12,10),0.623399 # DEPENDENCYPART_ARC
(12,11),1.29373 # DEPENDENCYPART_ARC
(12,13),4.21104 # DEPENDENCYPART_ARC
(12,14),0.050462 # DEPENDENCYPART_ARC
(12,15),-0.174123 # DEPENDENCYPART_ARC
(12,16),2.51413 # DEPENDENCYPART_ARC
(12,17),2.39409 # DEPENDENCYPART_ARC
(13,2),-2.01901 # DEPENDENCYPART_ARC
(13,3),-0.890341 # DEPENDENCYPART_ARC
(13,4),-1.24613 # DEPENDENCYPART_ARC
(13,5),-0.390195 # DEPENDENCYPART_ARC
(13,6),-0.378954 # DEPENDENCYPART_ARC
(13,7),0.141705 # DEPENDENCYPART_ARC
(13,8),0.448476 # DEPENDENCYPART_ARC
(13,10),-0.598088 # DEPENDENCYPART_ARC
(13,11),-0.110859 # DEPENDENCYPART_ARC
(13,12),0.865139 # DEPENDENCYPART_ARC
(13,15),-0.714721 # DEPENDENCYPART_ARC
(13,16),0.266583 # DEPENDENCYPART_ARC
(13,17),0.125692 # DEPENDENCYPART_ARC
(14,2),-3.33585 # DEPENDENCYPART_ARC
(14,3),-1.88778 # DEPENDENCYPART_ARC
(14,5),-1.3173 # DEPENDENCYPART_ARC
(14,7),-2.90513 # DEPENDENCYPART_ARC
(14,10),-3.15524 # DEPENDENCYPART_ARC
(14,11),-1.11227 # DEPENDENCYPART_ARC
(14,15),0.35036 # DEPENDENCYPART_ARC
(14,16),-0.729161 # DEPENDENCYPART_ARC
(15,1),-2.9027 # DEPENDENCYPART_ARC
(15,2),-3.83201 # DEPENDENCYPART_ARC
(15,3),-2.57686 # DEPENDENCYPART_ARC
(15,4),-2.7682 # DEPENDENCYPART_ARC
(15,5),-2.19961 # DEPENDENCYPART_ARC
(15,6),-2.0204 # DEPENDENCYPART_ARC
(15,7),-3.70269 # DEPENDENCYPART_ARC
(15,8),-2.35868 # DEPENDENCYPART_ARC
(15,9),-1.97178 # DEPENDENCYPART_ARC
(15,10),-2.74917 # DEPENDENCYPART_ARC
(15,11),-1.66241 # DEPENDENCYPART_ARC
(15,12),-2.12674 # DEPENDENCYPART_ARC
(15,14),0.442049 # DEPENDENCYPART_ARC
(15,16),-1.37461 # DEPENDENCYPART_ARC
(15,17),-1.73716 # DEPENDENCYPART_ARC
(16,1),-2.22956 # DEPENDENCYPART_ARC
(16,2),-3.07576 # DEPENDENCYPART_ARC
(16,3),-3.40297 # DEPENDENCYPART_ARC
(16,4),-1.9345 # DEPENDENCYPART_ARC
(16,5),-1.83555 # DEPENDENCYPART_ARC
(16,6),-1.15828 # DEPENDENCYPART_ARC
(16,7),-2.57525 # DEPENDENCYPART_ARC
(16,8),-1.18199 # DEPENDENCYPART_ARC
(16,9),-0.407399 # DEPENDENCYPART_ARC
(16,10),-4.58481 # DEPENDENCYPART_ARC
(16,11),-1.62924 # DEPENDENCYPART_ARC
(16,12),-0.855634 # DEPENDENCYPART_ARC
(16,14),2.64401 # DEPENDENCYPART_ARC
(16,15),3.57717 # DEPENDENCYPART_ARC
(16,17),-0.397833 # DEPENDENCYPART_ARC
