# _root_ S bár aranyat ér minden találatuk , Hímer és Kökény hadrendbe állásával kézzelfoghatóvá vált , hogy a kubaiak játéka az egyéni improvizációra épül .
#goldHeads=14,14,4,14,6,4,14,12,12,12,12,14,14,0,14,14,18,19,23,22,22,23,14,14,
#predictedHeads=4,14,4,0,6,4,4,14,14,11,12,14,14,4,14,14,18,19,23,22,22,23,14,4,
(0,1),-1.77729 # DEPENDENCYPART_ARC
(0,2),-2.07153 # DEPENDENCYPART_ARC
(0,3),-2.81812 # DEPENDENCYPART_ARC
(0,4),-1.15987 # DEPENDENCYPART_ARC
(0,5),-2.73295 # DEPENDENCYPART_ARC
(0,6),-3.35699 # DEPENDENCYPART_ARC
(0,8),-3.08134 # DEPENDENCYPART_ARC
(0,9),-2.11188 # DEPENDENCYPART_ARC
(0,10),-2.80691 # DEPENDENCYPART_ARC
(0,11),-3.196 # DEPENDENCYPART_ARC
(0,12),-3.65243 # DEPENDENCYPART_ARC
(0,13),-3.22002 # DEPENDENCYPART_ARC
(0,14),-0.649619 # DEPENDENCYPART_ARC
(0,16),-3.08219 # DEPENDENCYPART_ARC
(0,18),-4.02174 # DEPENDENCYPART_ARC
(0,19),-3.7731 # DEPENDENCYPART_ARC
(0,21),-3.42389 # DEPENDENCYPART_ARC
(0,22),-4.45682 # DEPENDENCYPART_ARC
(0,23),-2.31449 # DEPENDENCYPART_ARC
(1,2),0.263714 # DEPENDENCYPART_ARC
(1,3),-0.395444 # DEPENDENCYPART_ARC
(1,4),0.916184 # DEPENDENCYPART_ARC
(1,5),-0.934544 # DEPENDENCYPART_ARC
(1,6),-0.527472 # DEPENDENCYPART_ARC
(1,7),0.592594 # DEPENDENCYPART_ARC
(1,8),-0.998768 # DEPENDENCYPART_ARC
(1,9),-0.208327 # DEPENDENCYPART_ARC
(1,10),-1.07899 # DEPENDENCYPART_ARC
(1,11),-1.14775 # DEPENDENCYPART_ARC
(1,12),-1.33962 # DEPENDENCYPART_ARC
(1,13),-0.84994 # DEPENDENCYPART_ARC
(1,14),0.307285 # DEPENDENCYPART_ARC
(1,15),0.549022 # DEPENDENCYPART_ARC
(1,16),-0.230104 # DEPENDENCYPART_ARC
(1,17),-1.39183 # DEPENDENCYPART_ARC
(1,18),-1.09815 # DEPENDENCYPART_ARC
(1,19),-1.16978 # DEPENDENCYPART_ARC
(1,20),-1.15525 # DEPENDENCYPART_ARC
(1,21),-0.77802 # DEPENDENCYPART_ARC
(1,22),-1.40498 # DEPENDENCYPART_ARC
(1,23),0.263496 # DEPENDENCYPART_ARC
(1,24),2.31568 # DEPENDENCYPART_ARC
(2,1),0.489048 # DEPENDENCYPART_ARC
(2,3),-0.706899 # DEPENDENCYPART_ARC
(2,4),0.343143 # DEPENDENCYPART_ARC
(2,6),-0.26406 # DEPENDENCYPART_ARC
(2,7),0.0627194 # DEPENDENCYPART_ARC
(2,8),-0.94016 # DEPENDENCYPART_ARC
(2,9),-0.034933 # DEPENDENCYPART_ARC
(2,10),-1.18541 # DEPENDENCYPART_ARC
(2,11),-1.49454 # DEPENDENCYPART_ARC
(2,12),-1.46515 # DEPENDENCYPART_ARC
(2,13),-0.758763 # DEPENDENCYPART_ARC
(2,14),-1.03041 # DEPENDENCYPART_ARC
(2,15),-0.330585 # DEPENDENCYPART_ARC
(2,16),-0.369482 # DEPENDENCYPART_ARC
(2,17),-1.48537 # DEPENDENCYPART_ARC
(2,18),-1.4553 # DEPENDENCYPART_ARC
(2,19),-1.27903 # DEPENDENCYPART_ARC
(2,20),-1.2229 # DEPENDENCYPART_ARC
(2,21),-0.827945 # DEPENDENCYPART_ARC
