# _root_ A szponzoroknak és nekünk is szívügyünk az utánpótlás , ezért mindent elkövetünk , hogy a jövőben még több pénzt fordítsunk erre .
#goldHeads=2,4,4,6,6,10,8,6,10,0,12,10,12,12,16,20,19,19,20,12,20,10,
#predictedHeads=2,12,10,10,10,10,8,6,10,0,12,10,12,12,16,20,20,19,20,12,20,10,
(0,1),-2.07918 # DEPENDENCYPART_ARC
(0,2),-2.33974 # DEPENDENCYPART_ARC
(0,3),-1.94413 # DEPENDENCYPART_ARC
(0,4),-2.03587 # DEPENDENCYPART_ARC
(0,5),-1.86504 # DEPENDENCYPART_ARC
(0,6),-2.37418 # DEPENDENCYPART_ARC
(0,7),-2.50203 # DEPENDENCYPART_ARC
(0,8),-2.6629 # DEPENDENCYPART_ARC
(0,9),-3.05135 # DEPENDENCYPART_ARC
(0,10),-0.706869 # DEPENDENCYPART_ARC
(0,11),-3.44829 # DEPENDENCYPART_ARC
(0,12),-0.99596 # DEPENDENCYPART_ARC
(0,13),-3.1683 # DEPENDENCYPART_ARC
(0,14),-1.48592 # DEPENDENCYPART_ARC
(0,15),-3.02113 # DEPENDENCYPART_ARC
(0,16),-3.07677 # DEPENDENCYPART_ARC
(0,17),-2.62799 # DEPENDENCYPART_ARC
(0,18),-3.4838 # DEPENDENCYPART_ARC
(0,19),-3.62219 # DEPENDENCYPART_ARC
(0,20),-2.44211 # DEPENDENCYPART_ARC
(0,21),-2.93576 # DEPENDENCYPART_ARC
(0,22),-4.51534 # DEPENDENCYPART_ARC
(1,2),-0.696867 # DEPENDENCYPART_ARC
(1,3),-0.877185 # DEPENDENCYPART_ARC
(1,4),-0.958009 # DEPENDENCYPART_ARC
(1,5),-1.0538 # DEPENDENCYPART_ARC
(1,6),-1.42528 # DEPENDENCYPART_ARC
(1,7),-1.15626 # DEPENDENCYPART_ARC
(1,8),-1.60522 # DEPENDENCYPART_ARC
(1,9),-0.690039 # DEPENDENCYPART_ARC
(1,10),-1.25286 # DEPENDENCYPART_ARC
(1,11),-1.46167 # DEPENDENCYPART_ARC
(1,12),-1.70216 # DEPENDENCYPART_ARC
(1,13),-0.879656 # DEPENDENCYPART_ARC
(1,14),-1.45979 # DEPENDENCYPART_ARC
(1,15),-1.43733 # DEPENDENCYPART_ARC
(1,16),-2.17486 # DEPENDENCYPART_ARC
(1,17),-1.4051 # DEPENDENCYPART_ARC
(1,18),-1.24924 # DEPENDENCYPART_ARC
(1,19),-2.2521 # DEPENDENCYPART_ARC
(1,20),-1.94173 # DEPENDENCYPART_ARC
(1,21),-1.79265 # DEPENDENCYPART_ARC
(1,22),-2.18051 # DEPENDENCYPART_ARC
(2,1),3.30305 # DEPENDENCYPART_ARC
(2,3),-0.648872 # DEPENDENCYPART_ARC
(2,4),-0.966804 # DEPENDENCYPART_ARC
(2,5),-0.841446 # DEPENDENCYPART_ARC
(2,6),-2.08716 # DEPENDENCYPART_ARC
(2,7),-1.31808 # DEPENDENCYPART_ARC
(2,8),-2.24876 # DEPENDENCYPART_ARC
(2,9),-0.903899 # DEPENDENCYPART_ARC
(2,10),-0.938841 # DEPENDENCYPART_ARC
(2,11),-1.82492 # DEPENDENCYPART_ARC
(2,12),-2.08136 # DEPENDENCYPART_ARC
(2,13),-1.5144 # DEPENDENCYPART_ARC
(2,14),-1.08222 # DEPENDENCYPART_ARC
(2,15),-1.68631 # DEPENDENCYPART_ARC
(2,16),-4.04403 # DEPENDENCYPART_ARC
(2,17),-1.29443 # DEPENDENCYPART_ARC
(2,18),-1.37787 # DEPENDENCYPART_ARC
(2,19),-3.8889 # DEPENDENCYPART_ARC
(2,20),-3.07213 # DEPENDENCYPART_ARC
(2,21),-2.14082 # DEPENDENCYPART_ARC
(2,22),-0.0083912 # DEPENDENCYPART_ARC
(3,1),-0.167961 # DEPENDENCYPART_ARC
(3,2),0.579165 # DEPENDENCYPART_ARC
(3,4),-0.111103 # DEPENDENCYPART_ARC
(3,5),-0.0231283 # DEPENDENCYPART_ARC
(3,6),-0.311881 # DEPENDENCYPART_ARC
(3,7),-0.629575 # DEPENDENCYPART_ARC
(3,8),-0.324247 # DEPENDENCYPART_ARC
(3,9),-0.525935 # DEPENDENCYPART_ARC
(3,10),-0.307532 # DEPENDENCYPART_ARC
(3,11),-1.14024 # DEPENDENCYPART_ARC
(3,12),-0.729177 # DEPENDENCYPART_ARC
(3,13),-0.483119 # DEPENDENCYPART_ARC
(3,14),-0.0423105 # DEPENDENCYPART_ARC
(3,15),-1.13488 # DEPENDENCYPART_ARC
(3,16),-2.15342 # DEPENDENCYPART_ARC
(3,17),-1.11127 # DEPENDENCYPART_ARC
(3,18),-1.14551 # DEPENDENCYPART_ARC
(3,19),-2.49711 # DEPENDENCYPART_ARC
(3,20),-1.58831 # DEPENDENCYPART_ARC
(3,21),-1.33756 # DEPENDENCYPART_ARC
(3,22),1.69885 # DEPENDENCYPART_ARC
(4,1),-0.260136 # DEPENDENCYPART_ARC
(4,2),0.143186 # DEPENDENCYPART_ARC
(4,3),0.515803 # DEPENDENCYPART_ARC
(4,5),-0.292462 # DEPENDENCYPART_ARC
(4,6),-0.300307 # DEPENDENCYPART_ARC
(4,7),-0.866485 # DEPENDENCYPART_ARC
(4,8),-0.714585 # DEPENDENCYPART_ARC
(4,9),-0.821292 # DEPENDENCYPART_ARC
(4,10),-0.465228 # DEPENDENCYPART_ARC
(4,11),-1.11548 # DEPENDENCYPART_ARC
(4,12),-0.337248 # DEPENDENCYPART_ARC
(4,13),-1.12178 # DEPENDENCYPART_ARC
(4,14),-0.388819 # DEPENDENCYPART_ARC
(4,15),-1.3213 # DEPENDENCYPART_ARC
(4,16),-2.40113 # DEPENDENCYPART_ARC
(4,17),-1.08301 # DEPENDENCYPART_ARC
(4,18),-1.3369 # DEPENDENCYPART_ARC
(4,19),-2.31714 # DEPENDENCYPART_ARC
(4,20),-1.02603 # DEPENDENCYPART_ARC
(4,21),-1.27638 # DEPENDENCYPART_ARC
(4,22),-0.0132393 # DEPENDENCYPART_ARC
(5,1),-1.10498 # DEPENDENCYPART_ARC
(5,2),-0.772259 # DEPENDENCYPART_ARC
(5,3),-0.206552 # DEPENDENCYPART_ARC
(5,4),0.450534 # DEPENDENCYPART_ARC
(5,6),-0.171026 # DEPENDENCYPART_ARC
