# _root_ Holbrooke megkérdezte : világos -e vajon , hogy mi történik , ha a válasz tagadó lesz .
#goldHeads=2,0,2,2,2,2,2,2,10,2,10,10,14,16,16,10,2,
#predictedHeads=2,0,2,8,8,2,2,2,10,2,10,10,14,16,16,2,2,
(0,1),-1.77386 # DEPENDENCYPART_ARC
(0,2),0.10644 # DEPENDENCYPART_ARC
(0,3),-2.436 # DEPENDENCYPART_ARC
(0,4),-2.26057 # DEPENDENCYPART_ARC
(0,5),-1.92396 # DEPENDENCYPART_ARC
(0,6),-1.89562 # DEPENDENCYPART_ARC
(0,7),-2.85753 # DEPENDENCYPART_ARC
(0,8),-0.495873 # DEPENDENCYPART_ARC
(0,9),-2.76801 # DEPENDENCYPART_ARC
(0,10),-1.04956 # DEPENDENCYPART_ARC
(0,11),-2.94808 # DEPENDENCYPART_ARC
(0,12),-1.37061 # DEPENDENCYPART_ARC
(0,13),-3.06238 # DEPENDENCYPART_ARC
(0,14),-3.14893 # DEPENDENCYPART_ARC
(0,15),-2.6296 # DEPENDENCYPART_ARC
(0,16),-1.90104 # DEPENDENCYPART_ARC
(0,17),-3.60573 # DEPENDENCYPART_ARC
(1,2),-0.354892 # DEPENDENCYPART_ARC
(1,3),-0.370931 # DEPENDENCYPART_ARC
(1,4),-0.663283 # DEPENDENCYPART_ARC
(1,5),-0.878316 # DEPENDENCYPART_ARC
(1,6),-0.909487 # DEPENDENCYPART_ARC
(1,7),-0.640464 # DEPENDENCYPART_ARC
(1,8),-0.943059 # DEPENDENCYPART_ARC
(1,9),-1.54501 # DEPENDENCYPART_ARC
(1,10),-0.971882 # DEPENDENCYPART_ARC
(1,11),-0.760388 # DEPENDENCYPART_ARC
(1,12),-1.09075 # DEPENDENCYPART_ARC
(1,13),-1.54308 # DEPENDENCYPART_ARC
(1,14),-2.42095 # DEPENDENCYPART_ARC
(1,15),-1.63894 # DEPENDENCYPART_ARC
(1,16),-1.44207 # DEPENDENCYPART_ARC
(1,17),0.448464 # DEPENDENCYPART_ARC
(2,1),4.39217 # DEPENDENCYPART_ARC
(2,3),2.56441 # DEPENDENCYPART_ARC
(2,4),0.909863 # DEPENDENCYPART_ARC
(2,5),1.47143 # DEPENDENCYPART_ARC
(2,6),1.88129 # DEPENDENCYPART_ARC
(2,7),2.17163 # DEPENDENCYPART_ARC
(2,8),2.39251 # DEPENDENCYPART_ARC
(2,9),-0.644851 # DEPENDENCYPART_ARC
(2,10),2.00872 # DEPENDENCYPART_ARC
(2,11),1.38645 # DEPENDENCYPART_ARC
(2,12),1.27277 # DEPENDENCYPART_ARC
(2,13),-0.267874 # DEPENDENCYPART_ARC
(2,14),-3.41662 # DEPENDENCYPART_ARC
(2,15),-0.622598 # DEPENDENCYPART_ARC
(2,16),1.56389 # DEPENDENCYPART_ARC
(2,17),2.67091 # DEPENDENCYPART_ARC
(3,1),-2.26854 # DEPENDENCYPART_ARC
(3,2),-0.986101 # DEPENDENCYPART_ARC
(3,4),-0.947594 # DEPENDENCYPART_ARC
(3,5),-1.23714 # DEPENDENCYPART_ARC
(3,6),-1.34581 # DEPENDENCYPART_ARC
(3,7),-1.08422 # DEPENDENCYPART_ARC
(3,8),-1.2631 # DEPENDENCYPART_ARC
(3,9),-1.69072 # DEPENDENCYPART_ARC
(3,10),-1.47855 # DEPENDENCYPART_ARC
(3,11),-1.20227 # DEPENDENCYPART_ARC
(3,12),-1.27735 # DEPENDENCYPART_ARC
(3,13),-1.62951 # DEPENDENCYPART_ARC
(3,14),-2.42406 # DEPENDENCYPART_ARC
(3,15),-1.88437 # DEPENDENCYPART_ARC
(3,16),-1.73558 # DEPENDENCYPART_ARC
(3,17),-1.47557 # DEPENDENCYPART_ARC
(4,1),-2.31977 # DEPENDENCYPART_ARC
(4,2),-1.3533 # DEPENDENCYPART_ARC
(4,3),-0.608927 # DEPENDENCYPART_ARC
(4,5),-0.101132 # DEPENDENCYPART_ARC
(4,6),-0.256899 # DEPENDENCYPART_ARC
(4,7),0.154796 # DEPENDENCYPART_ARC
(4,8),-0.171469 # DEPENDENCYPART_ARC
(4,9),-1.07039 # DEPENDENCYPART_ARC
(4,10),-0.236128 # DEPENDENCYPART_ARC
(4,11),-0.0285564 # DEPENDENCYPART_ARC
(4,12),-0.245047 # DEPENDENCYPART_ARC
(4,13),-0.908221 # DEPENDENCYPART_ARC
(4,14),-1.225 # DEPENDENCYPART_ARC
(4,15),-1.141 # DEPENDENCYPART_ARC
(4,16),-0.795103 # DEPENDENCYPART_ARC
(4,17),0.776196 # DEPENDENCYPART_ARC
(5,1),-0.328085 # DEPENDENCYPART_ARC
(5,2),-0.370905 # DEPENDENCYPART_ARC
(5,3),-0.263982 # DEPENDENCYPART_ARC
(5,4),0.226515 # DEPENDENCYPART_ARC
(5,6),-0.224106 # DEPENDENCYPART_ARC
(5,7),-0.333817 # DEPENDENCYPART_ARC
(5,8),-0.109773 # DEPENDENCYPART_ARC
(5,9),-0.731422 # DEPENDENCYPART_ARC
(5,10),-0.0874118 # DEPENDENCYPART_ARC
(5,11),-0.583792 # DEPENDENCYPART_ARC
(5,12),-0.496389 # DEPENDENCYPART_ARC
(5,13),-1.04549 # DEPENDENCYPART_ARC
(5,14),-1.61812 # DEPENDENCYPART_ARC
(5,15),-1.18312 # DEPENDENCYPART_ARC
(5,16),-0.896196 # DEPENDENCYPART_ARC
(5,17),0.140119 # DEPENDENCYPART_ARC
(6,1),0.221164 # DEPENDENCYPART_ARC
(6,2),-0.0508801 # DEPENDENCYPART_ARC
(6,3),0.491097 # DEPENDENCYPART_ARC
(6,4),0.54531 # DEPENDENCYPART_ARC
(6,5),1.27882 # DEPENDENCYPART_ARC
(6,7),0.559174 # DEPENDENCYPART_ARC
(6,8),0.545465 # DEPENDENCYPART_ARC
(6,9),-0.0134921 # DEPENDENCYPART_ARC
(6,10),0.823677 # DEPENDENCYPART_ARC
(6,11),0.072413 # DEPENDENCYPART_ARC
(6,12),0.390632 # DEPENDENCYPART_ARC
(6,13),-0.364004 # DEPENDENCYPART_ARC
(6,14),-0.952769 # DEPENDENCYPART_ARC
(6,15),-0.625626 # DEPENDENCYPART_ARC
(6,16),-0.0619781 # DEPENDENCYPART_ARC
(6,17),0.880324 # DEPENDENCYPART_ARC
(7,1),-3.53344 # DEPENDENCYPART_ARC
(7,2),-2.73952 # DEPENDENCYPART_ARC
(7,3),-2.21496 # DEPENDENCYPART_ARC
(7,4),-2.48678 # DEPENDENCYPART_ARC
(7,5),-1.99869 # DEPENDENCYPART_ARC
(7,6),-1.3608 # DEPENDENCYPART_ARC
(7,8),-1.25153 # DEPENDENCYPART_ARC
(7,9),-1.59507 # DEPENDENCYPART_ARC
(7,10),-1.55877 # DEPENDENCYPART_ARC
(7,11),-1.42281 # DEPENDENCYPART_ARC
(7,12),-1.60336 # DEPENDENCYPART_ARC
(7,13),-1.85634 # DEPENDENCYPART_ARC
(7,14),-2.61366 # DEPENDENCYPART_ARC
(7,15),-2.08807 # DEPENDENCYPART_ARC
(7,16),-1.91134 # DEPENDENCYPART_ARC
(7,17),-1.61402 # DEPENDENCYPART_ARC
(8,1),0.926523 # DEPENDENCYPART_ARC
(8,2),-0.54215 # DEPENDENCYPART_ARC
(8,3),0.616359 # DEPENDENCYPART_ARC
(8,4),1.48588 # DEPENDENCYPART_ARC
(8,5),1.72564 # DEPENDENCYPART_ARC
(8,6),1.37465 # DEPENDENCYPART_ARC
(8,7),1.25375 # DEPENDENCYPART_ARC
(8,9),-1.05947 # DEPENDENCYPART_ARC
(8,10),1.02607 # DEPENDENCYPART_ARC
(8,11),-0.0278011 # DEPENDENCYPART_ARC
(8,12),0.429704 # DEPENDENCYPART_ARC
(8,13),-1.16942 # DEPENDENCYPART_ARC
(8,14),-1.71816 # DEPENDENCYPART_ARC
(8,15),-0.887684 # DEPENDENCYPART_ARC
(8,16),0.00209658 # DEPENDENCYPART_ARC
(8,17),2.04879 # DEPENDENCYPART_ARC
(9,1),-2.18621 # DEPENDENCYPART_ARC
(9,2),-1.21522 # DEPENDENCYPART_ARC
(9,3),-1.04344 # DEPENDENCYPART_ARC
(9,4),-2.20624 # DEPENDENCYPART_ARC
(9,5),-1.03873 # DEPENDENCYPART_ARC
(9,6),-0.835884 # DEPENDENCYPART_ARC
(9,7),-1.32357 # DEPENDENCYPART_ARC
(9,8),-1.0111 # DEPENDENCYPART_ARC
(9,10),-0.0451748 # DEPENDENCYPART_ARC
(9,11),0.216009 # DEPENDENCYPART_ARC
(9,12),0.112515 # DEPENDENCYPART_ARC
(9,13),-0.947753 # DEPENDENCYPART_ARC
(9,14),0.21618 # DEPENDENCYPART_ARC
(9,15),-0.101504 # DEPENDENCYPART_ARC
(9,16),0.883927 # DEPENDENCYPART_ARC
(9,17),0.447267 # DEPENDENCYPART_ARC
(10,1),1.27524 # DEPENDENCYPART_ARC
(10,2),-0.558512 # DEPENDENCYPART_ARC
(10,3),0.237478 # DEPENDENCYPART_ARC
(10,4),0.0136054 # DEPENDENCYPART_ARC
(10,5),1.07683 # DEPENDENCYPART_ARC
(10,6),1.29784 # DEPENDENCYPART_ARC
(10,7),1.0763 # DEPENDENCYPART_ARC
(10,8),0.859712 # DEPENDENCYPART_ARC
(10,9),3.51236 # DEPENDENCYPART_ARC
(10,11),2.2021 # DEPENDENCYPART_ARC
(10,12),2.28509 # DEPENDENCYPART_ARC
(10,13),-0.992693 # DEPENDENCYPART_ARC
(10,14),-1.09391 # DEPENDENCYPART_ARC
(10,15),-0.877677 # DEPENDENCYPART_ARC
(10,16),0.203414 # DEPENDENCYPART_ARC
(10,17),1.78284 # DEPENDENCYPART_ARC
(11,1),-3.21346 # DEPENDENCYPART_ARC
(11,2),-2.6599 # DEPENDENCYPART_ARC
(11,3),-2.04727 # DEPENDENCYPART_ARC
(11,4),-2.61167 # DEPENDENCYPART_ARC
(11,5),-2.20569 # DEPENDENCYPART_ARC
(11,6),-2.12522 # DEPENDENCYPART_ARC
(11,7),-1.91164 # DEPENDENCYPART_ARC
(11,8),-1.73438 # DEPENDENCYPART_ARC
(11,9),-1.65225 # DEPENDENCYPART_ARC
(11,10),-0.953282 # DEPENDENCYPART_ARC
(11,12),-1.18352 # DEPENDENCYPART_ARC
(11,13),-1.49628 # DEPENDENCYPART_ARC
(11,14),-2.14207 # DEPENDENCYPART_ARC
(11,15),-1.7153 # DEPENDENCYPART_ARC
(11,16),-1.71363 # DEPENDENCYPART_ARC
(11,17),-1.49954 # DEPENDENCYPART_ARC
(12,1),0.0896189 # DEPENDENCYPART_ARC
(12,2),-1.18694 # DEPENDENCYPART_ARC
(12,3),0.58377 # DEPENDENCYPART_ARC
(12,4),0.446995 # DEPENDENCYPART_ARC
(12,5),0.367713 # DEPENDENCYPART_ARC
(12,6),0.208182 # DEPENDENCYPART_ARC
(12,7),0.493596 # DEPENDENCYPART_ARC
(12,8),0.60949 # DEPENDENCYPART_ARC
(12,9),0.646977 # DEPENDENCYPART_ARC
(12,10),-0.316827 # DEPENDENCYPART_ARC
(12,11),1.13991 # DEPENDENCYPART_ARC
(12,13),-0.527978 # DEPENDENCYPART_ARC
(12,14),0.103175 # DEPENDENCYPART_ARC
(12,15),-0.0937935 # DEPENDENCYPART_ARC
(12,16),1.04059 # DEPENDENCYPART_ARC
(12,17),1.51144 # DEPENDENCYPART_ARC
(13,1),-3.92436 # DEPENDENCYPART_ARC
(13,2),-3.2442 # DEPENDENCYPART_ARC
(13,3),-2.24204 # DEPENDENCYPART_ARC
(13,4),-2.60605 # DEPENDENCYPART_ARC
(13,5),-2.68265 # DEPENDENCYPART_ARC
(13,6),-2.64399 # DEPENDENCYPART_ARC
(13,7),-1.88161 # DEPENDENCYPART_ARC
(13,8),-2.33076 # DEPENDENCYPART_ARC
(13,9),-2.9878 # DEPENDENCYPART_ARC
(13,10),-2.36401 # DEPENDENCYPART_ARC
(13,11),-1.63283 # DEPENDENCYPART_ARC
(13,12),-1.05099 # DEPENDENCYPART_ARC
(13,14),-0.772207 # DEPENDENCYPART_ARC
(13,15),-0.681588 # DEPENDENCYPART_ARC
(13,16),-1.48941 # DEPENDENCYPART_ARC
(13,17),-1.71377 # DEPENDENCYPART_ARC
(14,1),-3.08929 # DEPENDENCYPART_ARC
(14,2),-1.99621 # DEPENDENCYPART_ARC
(14,3),-2.49097 # DEPENDENCYPART_ARC
(14,4),-2.52484 # DEPENDENCYPART_ARC
(14,5),-1.87045 # DEPENDENCYPART_ARC
(14,6),-1.91417 # DEPENDENCYPART_ARC
(14,7),-2.15019 # DEPENDENCYPART_ARC
(14,8),-2.10214 # DEPENDENCYPART_ARC
(14,9),-1.26541 # DEPENDENCYPART_ARC
(14,10),-2.12249 # DEPENDENCYPART_ARC
(14,11),-0.792176 # DEPENDENCYPART_ARC
(14,12),-0.794354 # DEPENDENCYPART_ARC
(14,13),3.15628 # DEPENDENCYPART_ARC
(14,15),-0.491875 # DEPENDENCYPART_ARC
(14,16),-0.0282258 # DEPENDENCYPART_ARC
(14,17),0.0452276 # DEPENDENCYPART_ARC
