# _root_ 1998 márciusában az ÁPTF a Riverbank név használatát sem engedélyezte egy kft számára , mondván , nem végez pénzügyi szolgáltatási tevékenységet .
#goldHeads=2,10,4,10,7,7,8,10,10,0,12,13,10,10,10,10,18,15,20,21,18,10,
#predictedHeads=2,10,4,10,6,7,8,10,10,0,12,10,10,10,10,10,18,15,21,21,18,10,
(0,1),-1.0666 # DEPENDENCYPART_ARC
(0,2),-1.96054 # DEPENDENCYPART_ARC
(0,3),-2.40431 # DEPENDENCYPART_ARC
(0,4),-2.43056 # DEPENDENCYPART_ARC
(0,5),-2.72731 # DEPENDENCYPART_ARC
(0,6),-3.01676 # DEPENDENCYPART_ARC
(0,7),-3.12418 # DEPENDENCYPART_ARC
(0,8),-3.72453 # DEPENDENCYPART_ARC
(0,9),-2.72359 # DEPENDENCYPART_ARC
(0,10),-0.907359 # DEPENDENCYPART_ARC
(0,11),-2.64183 # DEPENDENCYPART_ARC
(0,12),-2.40877 # DEPENDENCYPART_ARC
(0,13),-3.87321 # DEPENDENCYPART_ARC
(0,14),-3.57624 # DEPENDENCYPART_ARC
(0,15),-2.55344 # DEPENDENCYPART_ARC
(0,16),-3.63722 # DEPENDENCYPART_ARC
(0,17),-1.93431 # DEPENDENCYPART_ARC
(0,18),-1.71728 # DEPENDENCYPART_ARC
(0,19),-2.55362 # DEPENDENCYPART_ARC
(0,20),-2.88483 # DEPENDENCYPART_ARC
(0,21),-4.45697 # DEPENDENCYPART_ARC
(0,22),-4.98092 # DEPENDENCYPART_ARC
(1,2),-0.174715 # DEPENDENCYPART_ARC
(1,3),-0.967469 # DEPENDENCYPART_ARC
(1,4),-1.20828 # DEPENDENCYPART_ARC
(1,5),-1.17089 # DEPENDENCYPART_ARC
(1,6),-1.43342 # DEPENDENCYPART_ARC
(1,7),-1.18403 # DEPENDENCYPART_ARC
(1,8),-1.98901 # DEPENDENCYPART_ARC
(1,9),-1.31739 # DEPENDENCYPART_ARC
(1,10),-0.665677 # DEPENDENCYPART_ARC
(1,11),-1.19218 # DEPENDENCYPART_ARC
(1,12),-0.996018 # DEPENDENCYPART_ARC
(1,13),-1.17398 # DEPENDENCYPART_ARC
(1,14),-0.762706 # DEPENDENCYPART_ARC
(1,15),-1.56431 # DEPENDENCYPART_ARC
(1,16),-0.803585 # DEPENDENCYPART_ARC
(1,17),-1.66769 # DEPENDENCYPART_ARC
(1,18),-0.982384 # DEPENDENCYPART_ARC
(1,19),-1.4876 # DEPENDENCYPART_ARC
(1,20),-1.45736 # DEPENDENCYPART_ARC
(1,21),-2.90869 # DEPENDENCYPART_ARC
(1,22),0.104505 # DEPENDENCYPART_ARC
(2,1),2.8259 # DEPENDENCYPART_ARC
(2,3),-0.447731 # DEPENDENCYPART_ARC
(2,4),0.667423 # DEPENDENCYPART_ARC
(2,5),-0.619698 # DEPENDENCYPART_ARC
(2,6),0.376998 # DEPENDENCYPART_ARC
(2,7),-0.179818 # DEPENDENCYPART_ARC
(2,8),-0.663385 # DEPENDENCYPART_ARC
(2,9),-0.42972 # DEPENDENCYPART_ARC
(2,10),-0.79498 # DEPENDENCYPART_ARC
(2,11),-0.520267 # DEPENDENCYPART_ARC
(2,12),-0.25419 # DEPENDENCYPART_ARC
(2,13),-0.0296072 # DEPENDENCYPART_ARC
(2,14),-0.149077 # DEPENDENCYPART_ARC
(2,15),-0.417234 # DEPENDENCYPART_ARC
(2,16),-0.354933 # DEPENDENCYPART_ARC
(2,17),-0.530564 # DEPENDENCYPART_ARC
(2,18),-1.0873 # DEPENDENCYPART_ARC
(2,19),-1.48557 # DEPENDENCYPART_ARC
(2,20),-1.42951 # DEPENDENCYPART_ARC
