# _root_ Mint mondja , ősszel ők ketten lőtték a csapat góljainak felét , és ők vittek látványosságot a játékba .
#goldHeads=2,0,2,7,7,7,2,9,10,7,7,2,2,15,2,15,18,15,2,
#predictedHeads=2,13,2,7,7,7,13,9,10,7,7,13,0,15,13,15,18,15,2,
(0,1),-1.95527 # DEPENDENCYPART_ARC
(0,2),-0.454549 # DEPENDENCYPART_ARC
(0,4),-2.14552 # DEPENDENCYPART_ARC
(0,5),-2.32112 # DEPENDENCYPART_ARC
(0,6),-2.6408 # DEPENDENCYPART_ARC
(0,7),-1.18449 # DEPENDENCYPART_ARC
(0,9),-3.65619 # DEPENDENCYPART_ARC
(0,10),-3.95424 # DEPENDENCYPART_ARC
(0,11),-4.06946 # DEPENDENCYPART_ARC
(0,13),-0.426656 # DEPENDENCYPART_ARC
(0,14),-2.76977 # DEPENDENCYPART_ARC
(0,15),-1.67339 # DEPENDENCYPART_ARC
(0,16),-4.1154 # DEPENDENCYPART_ARC
(0,18),-4.79129 # DEPENDENCYPART_ARC
(1,2),0.455481 # DEPENDENCYPART_ARC
(1,3),-0.118853 # DEPENDENCYPART_ARC
(1,6),-0.651616 # DEPENDENCYPART_ARC
(1,7),-0.592525 # DEPENDENCYPART_ARC
(1,9),-1.50841 # DEPENDENCYPART_ARC
(1,10),-1.61044 # DEPENDENCYPART_ARC
(1,11),-1.48014 # DEPENDENCYPART_ARC
(1,12),-0.617591 # DEPENDENCYPART_ARC
(1,15),-0.586686 # DEPENDENCYPART_ARC
(1,16),-2.30357 # DEPENDENCYPART_ARC
(1,18),-2.44868 # DEPENDENCYPART_ARC
(1,19),-0.201231 # DEPENDENCYPART_ARC
(2,1),2.42321 # DEPENDENCYPART_ARC
(2,3),1.47873 # DEPENDENCYPART_ARC
(2,4),0.223258 # DEPENDENCYPART_ARC
(2,5),-0.765269 # DEPENDENCYPART_ARC
(2,6),-0.457446 # DEPENDENCYPART_ARC
(2,7),0.997774 # DEPENDENCYPART_ARC
(2,8),-1.61479 # DEPENDENCYPART_ARC
(2,9),-2.34949 # DEPENDENCYPART_ARC
(2,10),-1.8939 # DEPENDENCYPART_ARC
(2,11),-0.722324 # DEPENDENCYPART_ARC
(2,12),0.196709 # DEPENDENCYPART_ARC
(2,13),0.218844 # DEPENDENCYPART_ARC
(2,14),-1.98781 # DEPENDENCYPART_ARC
(2,15),0.293501 # DEPENDENCYPART_ARC
(2,16),-2.43725 # DEPENDENCYPART_ARC
(2,17),-1.84705 # DEPENDENCYPART_ARC
(2,18),-3.02211 # DEPENDENCYPART_ARC
(2,19),3.42041 # DEPENDENCYPART_ARC
(4,1),-0.518904 # DEPENDENCYPART_ARC
(4,2),-0.52289 # DEPENDENCYPART_ARC
(4,3),-0.400022 # DEPENDENCYPART_ARC
(4,5),-0.539402 # DEPENDENCYPART_ARC
(4,6),-0.335316 # DEPENDENCYPART_ARC
(4,7),0.0705761 # DEPENDENCYPART_ARC
(4,8),-0.775742 # DEPENDENCYPART_ARC
(4,9),-0.86123 # DEPENDENCYPART_ARC
(4,10),-1.10671 # DEPENDENCYPART_ARC
(4,11),-0.935509 # DEPENDENCYPART_ARC
(4,12),-0.28735 # DEPENDENCYPART_ARC
(4,13),-0.308685 # DEPENDENCYPART_ARC
(4,14),-1.10565 # DEPENDENCYPART_ARC
(4,15),-0.492995 # DEPENDENCYPART_ARC
(4,16),-1.61996 # DEPENDENCYPART_ARC
(4,17),-1.21533 # DEPENDENCYPART_ARC
(4,18),-1.72853 # DEPENDENCYPART_ARC
(4,19),0.507584 # DEPENDENCYPART_ARC
(5,2),0.355512 # DEPENDENCYPART_ARC
(5,3),0.131461 # DEPENDENCYPART_ARC
(5,7),-0.10695 # DEPENDENCYPART_ARC
(5,9),-0.180649 # DEPENDENCYPART_ARC
(5,10),-0.0888235 # DEPENDENCYPART_ARC
(5,11),-0.512618 # DEPENDENCYPART_ARC
(5,12),0.0707267 # DEPENDENCYPART_ARC
(5,13),-0.0279697 # DEPENDENCYPART_ARC
(5,14),-0.736568 # DEPENDENCYPART_ARC
(5,15),0.680139 # DEPENDENCYPART_ARC
(5,16),-0.806141 # DEPENDENCYPART_ARC
(5,18),-0.828716 # DEPENDENCYPART_ARC
(5,19),0.336442 # DEPENDENCYPART_ARC
(6,1),-0.813888 # DEPENDENCYPART_ARC
(6,2),-1.40891 # DEPENDENCYPART_ARC
(6,3),-0.397816 # DEPENDENCYPART_ARC
(6,4),-0.0929459 # DEPENDENCYPART_ARC
(6,7),-0.907517 # DEPENDENCYPART_ARC
(6,8),-1.40723 # DEPENDENCYPART_ARC
(6,9),-1.4367 # DEPENDENCYPART_ARC
(6,10),-2.25921 # DEPENDENCYPART_ARC
(6,11),-2.2366 # DEPENDENCYPART_ARC
(6,12),-0.921103 # DEPENDENCYPART_ARC
(6,13),-1.28714 # DEPENDENCYPART_ARC
(6,15),-1.85035 # DEPENDENCYPART_ARC
