# _root_ Rendes körülmények között , a rosszak , akiket támadnak a mieink .
#goldHeads=2,3,0,3,6,3,3,9,3,11,9,3,
#predictedHeads=2,3,9,9,6,9,9,9,0,11,9,9,
(0,1),-1.71135 # DEPENDENCYPART_ARC
(0,2),-2.15482 # DEPENDENCYPART_ARC
(0,3),-2.53045 # DEPENDENCYPART_ARC
(0,4),-2.80862 # DEPENDENCYPART_ARC
(0,5),-2.84213 # DEPENDENCYPART_ARC
(0,6),-3.45031 # DEPENDENCYPART_ARC
(0,7),-3.19382 # DEPENDENCYPART_ARC
(0,8),-3.70581 # DEPENDENCYPART_ARC
(0,9),-1.64791 # DEPENDENCYPART_ARC
(0,10),-3.1103 # DEPENDENCYPART_ARC
(0,11),-4.17501 # DEPENDENCYPART_ARC
(0,12),-4.06266 # DEPENDENCYPART_ARC
(1,2),-0.651084 # DEPENDENCYPART_ARC
(1,3),-0.445132 # DEPENDENCYPART_ARC
(1,4),-0.44441 # DEPENDENCYPART_ARC
(1,5),-1.33777 # DEPENDENCYPART_ARC
(1,6),-1.48503 # DEPENDENCYPART_ARC
(1,7),-0.481193 # DEPENDENCYPART_ARC
(1,8),-1.65097 # DEPENDENCYPART_ARC
(1,9),-0.865149 # DEPENDENCYPART_ARC
(1,10),-1.53128 # DEPENDENCYPART_ARC
(1,11),-2.18674 # DEPENDENCYPART_ARC
(1,12),-0.0406601 # DEPENDENCYPART_ARC
(2,1),3.76607 # DEPENDENCYPART_ARC
(2,3),-0.0209016 # DEPENDENCYPART_ARC
(2,4),-0.354433 # DEPENDENCYPART_ARC
(2,5),-1.09728 # DEPENDENCYPART_ARC
(2,6),-0.840176 # DEPENDENCYPART_ARC
(2,7),-0.338096 # DEPENDENCYPART_ARC
(2,8),-0.966534 # DEPENDENCYPART_ARC
(2,9),-0.617309 # DEPENDENCYPART_ARC
(2,10),-1.39246 # DEPENDENCYPART_ARC
(2,11),-1.84392 # DEPENDENCYPART_ARC
(2,12),0.387984 # DEPENDENCYPART_ARC
(3,1),0.980013 # DEPENDENCYPART_ARC
(3,2),4.17748 # DEPENDENCYPART_ARC
(3,4),0.133401 # DEPENDENCYPART_ARC
(3,5),-0.356814 # DEPENDENCYPART_ARC
(3,6),-0.268111 # DEPENDENCYPART_ARC
(3,7),0.00501669 # DEPENDENCYPART_ARC
(3,8),-0.695348 # DEPENDENCYPART_ARC
(3,9),0.0182314 # DEPENDENCYPART_ARC
(3,10),-0.488923 # DEPENDENCYPART_ARC
(3,11),-1.00261 # DEPENDENCYPART_ARC
(3,12),0.155668 # DEPENDENCYPART_ARC
(4,1),-1.6139 # DEPENDENCYPART_ARC
(4,2),-1.82421 # DEPENDENCYPART_ARC
(4,3),-0.61056 # DEPENDENCYPART_ARC
(4,5),-0.433496 # DEPENDENCYPART_ARC
(4,6),-0.906804 # DEPENDENCYPART_ARC
(4,7),-0.408411 # DEPENDENCYPART_ARC
(4,8),-0.935355 # DEPENDENCYPART_ARC
(4,9),-0.820928 # DEPENDENCYPART_ARC
(4,10),-0.903666 # DEPENDENCYPART_ARC
(4,11),-1.81266 # DEPENDENCYPART_ARC
(4,12),-0.773326 # DEPENDENCYPART_ARC
(5,1),-1.23798 # DEPENDENCYPART_ARC
(5,2),-1.91648 # DEPENDENCYPART_ARC
(5,3),-0.962843 # DEPENDENCYPART_ARC
(5,4),-0.36673 # DEPENDENCYPART_ARC
(5,6),-0.165563 # DEPENDENCYPART_ARC
(5,7),-0.0290012 # DEPENDENCYPART_ARC
(5,8),-0.639337 # DEPENDENCYPART_ARC
(5,9),-0.877972 # DEPENDENCYPART_ARC
(5,10),-0.742979 # DEPENDENCYPART_ARC
(5,11),-1.30512 # DEPENDENCYPART_ARC
(5,12),-1.15763 # DEPENDENCYPART_ARC
(6,1),-0.744007 # DEPENDENCYPART_ARC
(6,2),-1.47918 # DEPENDENCYPART_ARC
(6,3),-0.530339 # DEPENDENCYPART_ARC
(6,4),-0.663155 # DEPENDENCYPART_ARC
(6,5),3.40235 # DEPENDENCYPART_ARC
(6,7),0.266513 # DEPENDENCYPART_ARC
(6,8),-0.252416 # DEPENDENCYPART_ARC
(6,9),0.193768 # DEPENDENCYPART_ARC
(6,10),-0.773978 # DEPENDENCYPART_ARC
(6,11),-1.15824 # DEPENDENCYPART_ARC
(6,12),0.744693 # DEPENDENCYPART_ARC
(7,1),-2.28796 # DEPENDENCYPART_ARC
(7,2),-2.83383 # DEPENDENCYPART_ARC
(7,3),-1.72889 # DEPENDENCYPART_ARC
(7,4),-1.44839 # DEPENDENCYPART_ARC
(7,5),-1.20154 # DEPENDENCYPART_ARC
(7,6),-1.80507 # DEPENDENCYPART_ARC
(7,8),-1.28653 # DEPENDENCYPART_ARC
(7,9),-1.25056 # DEPENDENCYPART_ARC
(7,10),-1.51772 # DEPENDENCYPART_ARC
(7,11),-2.25758 # DEPENDENCYPART_ARC
(7,12),-1.56969 # DEPENDENCYPART_ARC
(8,1),-0.0887788 # DEPENDENCYPART_ARC
(8,2),-0.84679 # DEPENDENCYPART_ARC
(8,3),-0.618415 # DEPENDENCYPART_ARC
(8,4),-0.426821 # DEPENDENCYPART_ARC
(8,5),0.565994 # DEPENDENCYPART_ARC
(8,6),-0.557185 # DEPENDENCYPART_ARC
(8,7),-0.413749 # DEPENDENCYPART_ARC
