# _root_ Még inkább meglepődtek a vizsgálódók azon , hogy az idősek és fiatalok értékválasztása alig különbözött : az 55 éven felüliek 97 százaléka , a 15-24 évesek 93 százaléka említette első helyen a családot .
#goldHeads=2,3,0,5,3,3,3,3,10,13,13,13,15,15,6,3,20,19,20,22,22,29,29,26,26,28,28,29,3,31,29,33,29,3,
#predictedHeads=3,3,0,5,3,3,3,3,10,15,13,13,15,15,6,15,19,19,20,22,22,29,29,26,26,28,28,29,15,31,29,33,29,3,
(0,1),-1.83625 # DEPENDENCYPART_ARC
(0,2),-1.65242 # DEPENDENCYPART_ARC
(0,3),-0.710111 # DEPENDENCYPART_ARC
(0,4),-2.74465 # DEPENDENCYPART_ARC
(0,5),-2.37485 # DEPENDENCYPART_ARC
(0,6),-3.02859 # DEPENDENCYPART_ARC
(0,7),-2.83433 # DEPENDENCYPART_ARC
(0,8),-0.688015 # DEPENDENCYPART_ARC
(0,9),-2.85438 # DEPENDENCYPART_ARC
(0,10),-2.74815 # DEPENDENCYPART_ARC
(0,11),-1.99414 # DEPENDENCYPART_ARC
(0,12),-3.61461 # DEPENDENCYPART_ARC
(0,13),-3.63811 # DEPENDENCYPART_ARC
(0,14),-2.70498 # DEPENDENCYPART_ARC
(0,15),-1.56922 # DEPENDENCYPART_ARC
(0,16),-3.2298 # DEPENDENCYPART_ARC
(0,17),-2.95751 # DEPENDENCYPART_ARC
(0,18),-3.54791 # DEPENDENCYPART_ARC
(0,19),-4.17249 # DEPENDENCYPART_ARC
(0,20),-3.02093 # DEPENDENCYPART_ARC
(0,21),-3.8595 # DEPENDENCYPART_ARC
(0,22),-4.66612 # DEPENDENCYPART_ARC
(0,23),-4.27089 # DEPENDENCYPART_ARC
(0,24),-3.6663 # DEPENDENCYPART_ARC
(0,25),-4.32927 # DEPENDENCYPART_ARC
(0,26),-5.15293 # DEPENDENCYPART_ARC
(0,27),-4.47719 # DEPENDENCYPART_ARC
(0,28),-5.51208 # DEPENDENCYPART_ARC
(0,29),-2.3894 # DEPENDENCYPART_ARC
