# _root_ A jogszabályok nem voltak ilyen szabadok , de utasításba adtam , hogy minden kétes esetben a kutató javára kell dönteni .
#goldHeads=2,4,4,8,6,4,8,0,10,8,10,10,15,15,20,17,18,20,10,19,8,
#predictedHeads=2,4,4,8,4,4,8,0,10,8,10,10,15,15,20,17,18,20,10,19,8,
(0,2),-2.23703 # DEPENDENCYPART_ARC
(0,3),-1.82844 # DEPENDENCYPART_ARC
(0,4),-0.487307 # DEPENDENCYPART_ARC
(0,5),-1.85931 # DEPENDENCYPART_ARC
(0,6),-2.28735 # DEPENDENCYPART_ARC
(0,8),0.313657 # DEPENDENCYPART_ARC
(0,9),-2.97254 # DEPENDENCYPART_ARC
(0,10),-0.51086 # DEPENDENCYPART_ARC
(0,12),-1.96108 # DEPENDENCYPART_ARC
(0,13),-2.37467 # DEPENDENCYPART_ARC
(0,14),-2.75052 # DEPENDENCYPART_ARC
(0,15),-2.91111 # DEPENDENCYPART_ARC
(0,17),-3.52561 # DEPENDENCYPART_ARC
(0,18),-3.85638 # DEPENDENCYPART_ARC
(0,19),-1.52297 # DEPENDENCYPART_ARC
(0,20),-2.50388 # DEPENDENCYPART_ARC
(1,2),-0.704923 # DEPENDENCYPART_ARC
(1,6),-1.18304 # DEPENDENCYPART_ARC
(1,7),-0.779905 # DEPENDENCYPART_ARC
(1,8),-1.16887 # DEPENDENCYPART_ARC
(1,9),-2.07083 # DEPENDENCYPART_ARC
(1,11),-0.875708 # DEPENDENCYPART_ARC
(1,14),-1.77826 # DEPENDENCYPART_ARC
(1,15),-2.4246 # DEPENDENCYPART_ARC
(1,17),-2.38072 # DEPENDENCYPART_ARC
(1,18),-2.77494 # DEPENDENCYPART_ARC
(2,1),3.19937 # DEPENDENCYPART_ARC
(2,3),-0.51665 # DEPENDENCYPART_ARC
(2,4),-0.302809 # DEPENDENCYPART_ARC
(2,5),-0.486647 # DEPENDENCYPART_ARC
(2,6),-0.653501 # DEPENDENCYPART_ARC
(2,7),-0.256854 # DEPENDENCYPART_ARC
(2,8),-0.448724 # DEPENDENCYPART_ARC
(2,9),-2.21016 # DEPENDENCYPART_ARC
(2,10),-1.16114 # DEPENDENCYPART_ARC
(2,11),-0.19809 # DEPENDENCYPART_ARC
(2,12),-0.64371 # DEPENDENCYPART_ARC
(2,13),-1.36367 # DEPENDENCYPART_ARC
(2,14),-1.38778 # DEPENDENCYPART_ARC
(2,15),-2.79527 # DEPENDENCYPART_ARC
(2,16),-1.30601 # DEPENDENCYPART_ARC
(2,17),-2.66165 # DEPENDENCYPART_ARC
(2,18),-3.32635 # DEPENDENCYPART_ARC
(2,19),-0.901105 # DEPENDENCYPART_ARC
(2,20),-0.961781 # DEPENDENCYPART_ARC
(2,21),0.608797 # DEPENDENCYPART_ARC
(3,2),0.0244539 # DEPENDENCYPART_ARC
(3,4),-0.165623 # DEPENDENCYPART_ARC
(3,5),-0.710954 # DEPENDENCYPART_ARC
(3,6),-0.625324 # DEPENDENCYPART_ARC
(3,7),-0.76152 # DEPENDENCYPART_ARC
(3,8),-0.838045 # DEPENDENCYPART_ARC
(3,9),-1.65019 # DEPENDENCYPART_ARC
(3,10),-1.08539 # DEPENDENCYPART_ARC
(3,11),-1.03112 # DEPENDENCYPART_ARC
(3,12),-0.844097 # DEPENDENCYPART_ARC
(3,14),-1.36515 # DEPENDENCYPART_ARC
(3,15),-2.12736 # DEPENDENCYPART_ARC
(3,17),-2.34391 # DEPENDENCYPART_ARC
(3,18),-2.37007 # DEPENDENCYPART_ARC
