# _root_ Külön biztató , hogy a részvények nemcsak a hazai , hanem a külföldi befektetők számára is újra vonzóak .
#goldHeads=4,4,4,0,6,18,18,18,8,18,18,14,14,15,18,18,18,4,4,
#predictedHeads=4,4,4,0,6,15,16,14,14,11,4,14,14,15,18,18,18,11,11,
(0,1),-1.48641 # DEPENDENCYPART_ARC
(0,2),-1.70252 # DEPENDENCYPART_ARC
(0,4),-0.301046 # DEPENDENCYPART_ARC
(0,6),-3.57326 # DEPENDENCYPART_ARC
(0,7),-2.41729 # DEPENDENCYPART_ARC
(0,9),-2.51692 # DEPENDENCYPART_ARC
(0,11),-0.936795 # DEPENDENCYPART_ARC
(0,13),-2.72184 # DEPENDENCYPART_ARC
(0,14),-4.24896 # DEPENDENCYPART_ARC
(0,15),-3.36234 # DEPENDENCYPART_ARC
(0,16),-2.35994 # DEPENDENCYPART_ARC
(0,17),-2.9667 # DEPENDENCYPART_ARC
(0,18),-2.60468 # DEPENDENCYPART_ARC
(1,2),-0.254727 # DEPENDENCYPART_ARC
(1,3),-0.616686 # DEPENDENCYPART_ARC
(1,4),-0.457585 # DEPENDENCYPART_ARC
(1,5),-1.07152 # DEPENDENCYPART_ARC
(1,6),-1.26976 # DEPENDENCYPART_ARC
(1,7),-0.660125 # DEPENDENCYPART_ARC
(1,8),-1.27612 # DEPENDENCYPART_ARC
(1,9),-1.36731 # DEPENDENCYPART_ARC
(1,10),-1.19358 # DEPENDENCYPART_ARC
(1,11),-1.01413 # DEPENDENCYPART_ARC
(1,12),-1.42442 # DEPENDENCYPART_ARC
(1,13),-1.7533 # DEPENDENCYPART_ARC
(1,14),-2.05804 # DEPENDENCYPART_ARC
(1,15),-0.912413 # DEPENDENCYPART_ARC
(1,16),-1.78174 # DEPENDENCYPART_ARC
(1,17),-1.14077 # DEPENDENCYPART_ARC
(1,18),-2.08315 # DEPENDENCYPART_ARC
(1,19),-0.493265 # DEPENDENCYPART_ARC
(2,1),0.974673 # DEPENDENCYPART_ARC
(2,3),0.00182897 # DEPENDENCYPART_ARC
(2,4),-0.575878 # DEPENDENCYPART_ARC
(2,5),-0.96527 # DEPENDENCYPART_ARC
(2,6),-1.34956 # DEPENDENCYPART_ARC
(2,7),-0.852591 # DEPENDENCYPART_ARC
(2,8),-1.14513 # DEPENDENCYPART_ARC
(2,9),-1.17696 # DEPENDENCYPART_ARC
(2,10),-0.36218 # DEPENDENCYPART_ARC
(2,11),-0.757206 # DEPENDENCYPART_ARC
(2,12),-1.2421 # DEPENDENCYPART_ARC
(2,13),-1.48311 # DEPENDENCYPART_ARC
(2,14),-2.00332 # DEPENDENCYPART_ARC
(2,15),-0.695767 # DEPENDENCYPART_ARC
(2,16),-1.23914 # DEPENDENCYPART_ARC
(2,17),-1.08424 # DEPENDENCYPART_ARC
(2,18),-1.59663 # DEPENDENCYPART_ARC
(2,19),0.697779 # DEPENDENCYPART_ARC
(4,1),1.75291 # DEPENDENCYPART_ARC
(4,2),1.26116 # DEPENDENCYPART_ARC
(4,3),1.12847 # DEPENDENCYPART_ARC
(4,5),-0.678694 # DEPENDENCYPART_ARC
(4,6),-0.832437 # DEPENDENCYPART_ARC
(4,7),0.340805 # DEPENDENCYPART_ARC
(4,8),-1.09351 # DEPENDENCYPART_ARC
(4,9),-0.443296 # DEPENDENCYPART_ARC
(4,10),-0.497648 # DEPENDENCYPART_ARC
(4,11),0.421854 # DEPENDENCYPART_ARC
(4,12),-1.29455 # DEPENDENCYPART_ARC
(4,13),-0.912618 # DEPENDENCYPART_ARC
(4,14),-1.57843 # DEPENDENCYPART_ARC
(4,15),-0.554378 # DEPENDENCYPART_ARC
(4,16),-0.294651 # DEPENDENCYPART_ARC
(4,17),-0.56195 # DEPENDENCYPART_ARC
(4,18),-0.859089 # DEPENDENCYPART_ARC
(4,19),2.04452 # DEPENDENCYPART_ARC
(5,2),-1.81829 # DEPENDENCYPART_ARC
(5,3),-1.42196 # DEPENDENCYPART_ARC
(5,6),-0.520628 # DEPENDENCYPART_ARC
(5,7),-0.825436 # DEPENDENCYPART_ARC
(5,9),-0.750949 # DEPENDENCYPART_ARC
(5,10),-0.594137 # DEPENDENCYPART_ARC
(5,11),-0.955784 # DEPENDENCYPART_ARC
(5,13),-1.18777 # DEPENDENCYPART_ARC
(5,14),-1.83961 # DEPENDENCYPART_ARC
(5,16),-1.40988 # DEPENDENCYPART_ARC
(5,18),-1.77702 # DEPENDENCYPART_ARC
(6,1),-1.63632 # DEPENDENCYPART_ARC
(6,2),-1.57062 # DEPENDENCYPART_ARC
(6,3),-0.502022 # DEPENDENCYPART_ARC
(6,4),-1.30639 # DEPENDENCYPART_ARC
(6,5),2.96475 # DEPENDENCYPART_ARC
(6,7),-0.831957 # DEPENDENCYPART_ARC
(6,8),-1.31111 # DEPENDENCYPART_ARC
(6,9),-0.972222 # DEPENDENCYPART_ARC
(6,10),-0.713867 # DEPENDENCYPART_ARC
(6,11),-1.06818 # DEPENDENCYPART_ARC
(6,12),-1.49218 # DEPENDENCYPART_ARC
(6,13),-1.38646 # DEPENDENCYPART_ARC
(6,14),-1.70557 # DEPENDENCYPART_ARC
(6,15),-0.603681 # DEPENDENCYPART_ARC
(6,16),-1.51719 # DEPENDENCYPART_ARC
(6,17),-1.16863 # DEPENDENCYPART_ARC
(6,18),-1.685 # DEPENDENCYPART_ARC
(6,19),-0.926323 # DEPENDENCYPART_ARC
(7,1),-0.249683 # DEPENDENCYPART_ARC
(7,2),-0.948631 # DEPENDENCYPART_ARC
(7,3),-0.341151 # DEPENDENCYPART_ARC
(7,4),-0.379561 # DEPENDENCYPART_ARC
(7,5),-0.836608 # DEPENDENCYPART_ARC
(7,6),-0.0237952 # DEPENDENCYPART_ARC
(7,8),-1.00592 # DEPENDENCYPART_ARC
(7,9),-0.464058 # DEPENDENCYPART_ARC
(7,10),-0.714181 # DEPENDENCYPART_ARC
(7,11),-0.557912 # DEPENDENCYPART_ARC
(7,12),-1.4445 # DEPENDENCYPART_ARC
(7,13),-1.08775 # DEPENDENCYPART_ARC
(7,14),-0.743731 # DEPENDENCYPART_ARC
(7,15),-0.717721 # DEPENDENCYPART_ARC
(7,16),-0.706689 # DEPENDENCYPART_ARC
(7,17),-1.05142 # DEPENDENCYPART_ARC
(7,18),-0.885284 # DEPENDENCYPART_ARC
(7,19),-0.218 # DEPENDENCYPART_ARC
(8,2),-1.45742 # DEPENDENCYPART_ARC
(8,3),-0.835608 # DEPENDENCYPART_ARC
(8,6),-2.0482 # DEPENDENCYPART_ARC
(8,7),-0.418322 # DEPENDENCYPART_ARC
(8,9),0.267746 # DEPENDENCYPART_ARC
(8,10),-0.282199 # DEPENDENCYPART_ARC
(8,11),-0.640557 # DEPENDENCYPART_ARC
(8,13),-0.585115 # DEPENDENCYPART_ARC
(8,14),-1.57348 # DEPENDENCYPART_ARC
(8,16),-1.05506 # DEPENDENCYPART_ARC
(8,18),-1.23314 # DEPENDENCYPART_ARC
(9,1),-1.98106 # DEPENDENCYPART_ARC
(9,2),-2.43124 # DEPENDENCYPART_ARC
(9,3),-1.37424 # DEPENDENCYPART_ARC
(9,4),-1.76318 # DEPENDENCYPART_ARC
(9,5),-1.51804 # DEPENDENCYPART_ARC
(9,6),-2.21863 # DEPENDENCYPART_ARC
(9,7),-0.815801 # DEPENDENCYPART_ARC
(9,8),0.30116 # DEPENDENCYPART_ARC
(9,10),-0.265202 # DEPENDENCYPART_ARC
(9,11),-1.01112 # DEPENDENCYPART_ARC
(9,12),-1.31514 # DEPENDENCYPART_ARC
(9,13),-1.28574 # DEPENDENCYPART_ARC
(9,14),-1.56049 # DEPENDENCYPART_ARC
(9,15),-0.788542 # DEPENDENCYPART_ARC
(9,16),-1.23324 # DEPENDENCYPART_ARC
(9,17),-1.16767 # DEPENDENCYPART_ARC
(9,18),-1.59476 # DEPENDENCYPART_ARC
(9,19),-0.279546 # DEPENDENCYPART_ARC
(11,1),0.771986 # DEPENDENCYPART_ARC
(11,2),-0.241337 # DEPENDENCYPART_ARC
(11,3),0.459254 # DEPENDENCYPART_ARC
(11,4),0.0378851 # DEPENDENCYPART_ARC
(11,5),-0.927557 # DEPENDENCYPART_ARC
(11,6),-0.692192 # DEPENDENCYPART_ARC
(11,7),0.141634 # DEPENDENCYPART_ARC
(11,8),-0.437995 # DEPENDENCYPART_ARC
(11,9),-0.0961429 # DEPENDENCYPART_ARC
(11,10),1.498 # DEPENDENCYPART_ARC
(11,12),-0.398974 # DEPENDENCYPART_ARC
(11,13),0.133786 # DEPENDENCYPART_ARC
(11,14),0.1111 # DEPENDENCYPART_ARC
