# _root_ Európában elsősorban az olaszok és a franciák híresek kávézóikról , ahol a fekete ital számos változatát készítik , fogyasztásuk pedig mindennapos szertartássá vált .
#goldHeads=9,9,4,5,9,7,5,9,0,9,17,14,14,16,16,17,9,17,23,23,22,23,17,9,
#predictedHeads=17,17,4,17,17,7,8,9,17,23,17,14,14,16,16,17,0,17,23,23,22,23,17,23,
(0,1),-1.7857 # DEPENDENCYPART_ARC
(0,2),-1.76167 # DEPENDENCYPART_ARC
(0,3),-2.50814 # DEPENDENCYPART_ARC
(0,4),-3.17629 # DEPENDENCYPART_ARC
(0,5),-2.45902 # DEPENDENCYPART_ARC
(0,6),-2.95746 # DEPENDENCYPART_ARC
(0,7),-3.37309 # DEPENDENCYPART_ARC
(0,8),-2.55649 # DEPENDENCYPART_ARC
(0,9),-4.2766 # DEPENDENCYPART_ARC
(0,10),-3.59457 # DEPENDENCYPART_ARC
(0,11),-2.37096 # DEPENDENCYPART_ARC
(0,12),-3.32355 # DEPENDENCYPART_ARC
(0,13),-2.68501 # DEPENDENCYPART_ARC
(0,14),-4.03453 # DEPENDENCYPART_ARC
(0,15),-3.79564 # DEPENDENCYPART_ARC
(0,16),-4.8232 # DEPENDENCYPART_ARC
(0,17),-1.95769 # DEPENDENCYPART_ARC
(0,18),-4.20674 # DEPENDENCYPART_ARC
(0,19),-4.55093 # DEPENDENCYPART_ARC
(0,20),-2.28154 # DEPENDENCYPART_ARC
(0,21),-3.03633 # DEPENDENCYPART_ARC
(0,22),-4.62157 # DEPENDENCYPART_ARC
(0,23),-0.905772 # DEPENDENCYPART_ARC
(0,24),-5.77123 # DEPENDENCYPART_ARC
(1,2),-0.345285 # DEPENDENCYPART_ARC
(1,3),-0.707138 # DEPENDENCYPART_ARC
(1,4),-0.852991 # DEPENDENCYPART_ARC
(1,5),-0.345094 # DEPENDENCYPART_ARC
(1,6),-0.873874 # DEPENDENCYPART_ARC
(1,7),-1.38905 # DEPENDENCYPART_ARC
(1,8),-0.79435 # DEPENDENCYPART_ARC
(1,9),-1.76804 # DEPENDENCYPART_ARC
(1,10),-0.18712 # DEPENDENCYPART_ARC
(1,11),-0.552888 # DEPENDENCYPART_ARC
(1,12),-1.11815 # DEPENDENCYPART_ARC
(1,13),-1.09808 # DEPENDENCYPART_ARC
(1,14),-1.3025 # DEPENDENCYPART_ARC
(1,15),-0.543456 # DEPENDENCYPART_ARC
(1,16),-1.40252 # DEPENDENCYPART_ARC
(1,17),-1.27558 # DEPENDENCYPART_ARC
(1,18),-0.30364 # DEPENDENCYPART_ARC
(1,19),-2.11599 # DEPENDENCYPART_ARC
(1,20),-1.02581 # DEPENDENCYPART_ARC
(1,21),-1.44373 # DEPENDENCYPART_ARC
(1,22),-2.16655 # DEPENDENCYPART_ARC
(1,23),-1.76265 # DEPENDENCYPART_ARC
(1,24),0.285621 # DEPENDENCYPART_ARC
(2,1),1.04671 # DEPENDENCYPART_ARC
(2,3),-0.194815 # DEPENDENCYPART_ARC
(2,4),0.487012 # DEPENDENCYPART_ARC
(2,5),0.383317 # DEPENDENCYPART_ARC
(2,6),-0.412599 # DEPENDENCYPART_ARC
(2,7),0.0997828 # DEPENDENCYPART_ARC
(2,8),-0.352751 # DEPENDENCYPART_ARC
(2,9),0.230403 # DEPENDENCYPART_ARC
(2,10),0.218566 # DEPENDENCYPART_ARC
(2,11),-0.287172 # DEPENDENCYPART_ARC
(2,12),-0.717832 # DEPENDENCYPART_ARC
(2,13),-0.848963 # DEPENDENCYPART_ARC
(2,14),-0.515698 # DEPENDENCYPART_ARC
(2,15),-0.661537 # DEPENDENCYPART_ARC
(2,16),-0.555682 # DEPENDENCYPART_ARC
(2,17),0.289704 # DEPENDENCYPART_ARC
(2,18),-0.285179 # DEPENDENCYPART_ARC
(2,19),-1.15518 # DEPENDENCYPART_ARC
(2,20),-0.695974 # DEPENDENCYPART_ARC
(2,21),-1.29187 # DEPENDENCYPART_ARC
(2,22),-0.999 # DEPENDENCYPART_ARC
(2,23),-0.165052 # DEPENDENCYPART_ARC
(2,24),0.659774 # DEPENDENCYPART_ARC
(3,1),-1.73537 # DEPENDENCYPART_ARC
(3,2),-0.503897 # DEPENDENCYPART_ARC
(3,4),-0.282552 # DEPENDENCYPART_ARC
(3,5),-0.614682 # DEPENDENCYPART_ARC
(3,6),-0.676299 # DEPENDENCYPART_ARC
(3,7),-0.943606 # DEPENDENCYPART_ARC
(3,8),-0.878535 # DEPENDENCYPART_ARC
(3,9),-1.62208 # DEPENDENCYPART_ARC
(3,10),-0.389278 # DEPENDENCYPART_ARC
(3,11),-1.06079 # DEPENDENCYPART_ARC
(3,12),-0.982177 # DEPENDENCYPART_ARC
(3,13),-1.14203 # DEPENDENCYPART_ARC
(3,14),-1.71155 # DEPENDENCYPART_ARC
(3,15),-1.14204 # DEPENDENCYPART_ARC
(3,16),-2.10675 # DEPENDENCYPART_ARC
(3,17),-1.46562 # DEPENDENCYPART_ARC
(3,18),-0.718229 # DEPENDENCYPART_ARC
(3,19),-2.01033 # DEPENDENCYPART_ARC
(3,20),-1.39683 # DEPENDENCYPART_ARC
(3,21),-1.77624 # DEPENDENCYPART_ARC
(3,22),-1.99487 # DEPENDENCYPART_ARC
(3,23),-1.82752 # DEPENDENCYPART_ARC
(3,24),-1.86797 # DEPENDENCYPART_ARC
(4,1),-1.47998 # DEPENDENCYPART_ARC
(4,2),-0.231413 # DEPENDENCYPART_ARC
(4,3),3.23035 # DEPENDENCYPART_ARC
(4,5),-1.19187 # DEPENDENCYPART_ARC
(4,6),-1.69162 # DEPENDENCYPART_ARC
(4,7),-1.60581 # DEPENDENCYPART_ARC
(4,8),-1.45216 # DEPENDENCYPART_ARC
(4,9),-2.67886 # DEPENDENCYPART_ARC
(4,10),-0.926222 # DEPENDENCYPART_ARC
(4,11),-1.49874 # DEPENDENCYPART_ARC
(4,12),-1.95555 # DEPENDENCYPART_ARC
