# _root_ Azért nem lettem katona sem , mert nem tudtam volna elfogadni , hogy csak egy irány van .
#goldHeads=3,3,0,3,3,3,3,9,1,9,9,9,9,17,16,17,11,3,
#predictedHeads=3,3,0,3,3,3,3,9,1,9,9,9,9,17,16,17,9,7,
(0,1),-2.99603 # DEPENDENCYPART_ARC
(0,2),-1.81411 # DEPENDENCYPART_ARC
(0,3),-0.158273 # DEPENDENCYPART_ARC
(0,4),-2.4558 # DEPENDENCYPART_ARC
(0,5),-2.05312 # DEPENDENCYPART_ARC
(0,7),0.0073678 # DEPENDENCYPART_ARC
(0,8),-2.15368 # DEPENDENCYPART_ARC
(0,9),-0.810943 # DEPENDENCYPART_ARC
(0,10),-1.06403 # DEPENDENCYPART_ARC
(0,11),-1.62952 # DEPENDENCYPART_ARC
(0,13),-3.36091 # DEPENDENCYPART_ARC
(0,14),-1.86041 # DEPENDENCYPART_ARC
(0,15),-1.89512 # DEPENDENCYPART_ARC
(0,16),-2.88142 # DEPENDENCYPART_ARC
(0,17),-1.36937 # DEPENDENCYPART_ARC
(1,2),0.141977 # DEPENDENCYPART_ARC
(1,3),0.502796 # DEPENDENCYPART_ARC
(1,4),-0.301605 # DEPENDENCYPART_ARC
(1,5),0.147018 # DEPENDENCYPART_ARC
(1,6),0.72553 # DEPENDENCYPART_ARC
(1,7),0.942815 # DEPENDENCYPART_ARC
(1,8),0.312745 # DEPENDENCYPART_ARC
(1,9),1.61188 # DEPENDENCYPART_ARC
(1,10),1.59227 # DEPENDENCYPART_ARC
(1,11),0.772027 # DEPENDENCYPART_ARC
(1,12),1.69844 # DEPENDENCYPART_ARC
(1,13),1.22885 # DEPENDENCYPART_ARC
(1,14),0.230414 # DEPENDENCYPART_ARC
(1,15),-0.314517 # DEPENDENCYPART_ARC
(1,16),-0.873964 # DEPENDENCYPART_ARC
(1,17),0.610811 # DEPENDENCYPART_ARC
(1,18),1.0388 # DEPENDENCYPART_ARC
(2,1),0.503623 # DEPENDENCYPART_ARC
(2,3),0.358227 # DEPENDENCYPART_ARC
(2,4),-0.231096 # DEPENDENCYPART_ARC
(2,5),-0.448191 # DEPENDENCYPART_ARC
(2,6),-0.405956 # DEPENDENCYPART_ARC
(2,7),-0.37633 # DEPENDENCYPART_ARC
(2,8),-0.66923 # DEPENDENCYPART_ARC
(2,9),-0.647245 # DEPENDENCYPART_ARC
(2,11),-0.943182 # DEPENDENCYPART_ARC
(2,12),-0.807058 # DEPENDENCYPART_ARC
(2,13),-0.590566 # DEPENDENCYPART_ARC
(2,14),-1.00423 # DEPENDENCYPART_ARC
(2,16),-2.15823 # DEPENDENCYPART_ARC
(2,17),-1.54028 # DEPENDENCYPART_ARC
(2,18),-1.03736 # DEPENDENCYPART_ARC
(3,1),2.15696 # DEPENDENCYPART_ARC
(3,2),2.98651 # DEPENDENCYPART_ARC
(3,4),2.17963 # DEPENDENCYPART_ARC
(3,5),2.18082 # DEPENDENCYPART_ARC
(3,6),1.83603 # DEPENDENCYPART_ARC
(3,7),2.16573 # DEPENDENCYPART_ARC
(3,8),0.085344 # DEPENDENCYPART_ARC
(3,9),0.613637 # DEPENDENCYPART_ARC
(3,10),1.7303 # DEPENDENCYPART_ARC
(3,11),1.38655 # DEPENDENCYPART_ARC
(3,12),0.940882 # DEPENDENCYPART_ARC
(3,13),1.01909 # DEPENDENCYPART_ARC
(3,14),-0.681346 # DEPENDENCYPART_ARC
(3,15),-1.59046 # DEPENDENCYPART_ARC
(3,16),-3.16249 # DEPENDENCYPART_ARC
(3,17),0.505377 # DEPENDENCYPART_ARC
(3,18),1.98236 # DEPENDENCYPART_ARC
(4,1),-2.0247 # DEPENDENCYPART_ARC
(4,2),-0.126134 # DEPENDENCYPART_ARC
(4,3),0.641984 # DEPENDENCYPART_ARC
(4,5),-1.02718 # DEPENDENCYPART_ARC
(4,6),-0.728142 # DEPENDENCYPART_ARC
(4,7),-1.23244 # DEPENDENCYPART_ARC
(4,8),-1.18093 # DEPENDENCYPART_ARC
(4,9),-1.42534 # DEPENDENCYPART_ARC
(4,11),-1.15469 # DEPENDENCYPART_ARC
(4,12),-0.781542 # DEPENDENCYPART_ARC
(4,13),-1.32426 # DEPENDENCYPART_ARC
(4,14),-1.15345 # DEPENDENCYPART_ARC
(4,15),-1.72639 # DEPENDENCYPART_ARC
(4,16),-3.16095 # DEPENDENCYPART_ARC
(4,17),-2.06675 # DEPENDENCYPART_ARC
(4,18),-0.204778 # DEPENDENCYPART_ARC
(5,1),-0.884505 # DEPENDENCYPART_ARC
(5,2),0.108659 # DEPENDENCYPART_ARC
(5,3),-0.621564 # DEPENDENCYPART_ARC
(5,4),0.57879 # DEPENDENCYPART_ARC
(5,6),-0.0461254 # DEPENDENCYPART_ARC
(5,7),-0.147688 # DEPENDENCYPART_ARC
(5,8),-0.344288 # DEPENDENCYPART_ARC
(5,9),0.0151847 # DEPENDENCYPART_ARC
(5,11),-0.366148 # DEPENDENCYPART_ARC
(5,12),-0.42667 # DEPENDENCYPART_ARC
(5,13),-0.153325 # DEPENDENCYPART_ARC
(5,14),-0.719069 # DEPENDENCYPART_ARC
(5,16),-1.79141 # DEPENDENCYPART_ARC
(5,17),-0.992506 # DEPENDENCYPART_ARC
(5,18),-0.54375 # DEPENDENCYPART_ARC
(7,1),0.325852 # DEPENDENCYPART_ARC
(7,2),1.05316 # DEPENDENCYPART_ARC
(7,3),0.389836 # DEPENDENCYPART_ARC
(7,4),1.3208 # DEPENDENCYPART_ARC
(7,5),1.24167 # DEPENDENCYPART_ARC
(7,6),1.33979 # DEPENDENCYPART_ARC
(7,8),-0.225729 # DEPENDENCYPART_ARC
(7,9),1.23449 # DEPENDENCYPART_ARC
(7,10),0.551907 # DEPENDENCYPART_ARC
(7,11),0.274518 # DEPENDENCYPART_ARC
(7,12),0.163989 # DEPENDENCYPART_ARC
(7,13),0.383379 # DEPENDENCYPART_ARC
(7,14),-0.516961 # DEPENDENCYPART_ARC
(7,15),-0.394389 # DEPENDENCYPART_ARC
(7,16),-1.49712 # DEPENDENCYPART_ARC
(7,17),0.142771 # DEPENDENCYPART_ARC
(7,18),2.67918 # DEPENDENCYPART_ARC
(8,1),-1.5789 # DEPENDENCYPART_ARC
(8,2),-1.04284 # DEPENDENCYPART_ARC
(8,3),-0.745012 # DEPENDENCYPART_ARC
(8,4),-1.01363 # DEPENDENCYPART_ARC
(8,5),-0.546533 # DEPENDENCYPART_ARC
(8,6),-0.467593 # DEPENDENCYPART_ARC
(8,7),-0.423476 # DEPENDENCYPART_ARC
(8,9),-0.188732 # DEPENDENCYPART_ARC
(8,11),-0.741441 # DEPENDENCYPART_ARC
(8,12),-1.02211 # DEPENDENCYPART_ARC
(8,13),-0.658844 # DEPENDENCYPART_ARC
(8,14),-1.16448 # DEPENDENCYPART_ARC
(8,16),-1.97809 # DEPENDENCYPART_ARC
(8,17),-1.571 # DEPENDENCYPART_ARC
(8,18),-1.16832 # DEPENDENCYPART_ARC
(9,1),0.133443 # DEPENDENCYPART_ARC
(9,2),0.356212 # DEPENDENCYPART_ARC
(9,3),-0.024781 # DEPENDENCYPART_ARC
(9,4),0.260341 # DEPENDENCYPART_ARC
(9,5),1.1534 # DEPENDENCYPART_ARC
(9,6),1.36919 # DEPENDENCYPART_ARC
(9,7),0.585409 # DEPENDENCYPART_ARC
(9,8),3.17134 # DEPENDENCYPART_ARC
(9,10),4.82577 # DEPENDENCYPART_ARC
(9,11),3.36666 # DEPENDENCYPART_ARC
(9,12),2.66179 # DEPENDENCYPART_ARC
(9,13),2.95714 # DEPENDENCYPART_ARC
(9,14),0.775984 # DEPENDENCYPART_ARC
(9,15),-0.713605 # DEPENDENCYPART_ARC
(9,16),-1.32628 # DEPENDENCYPART_ARC
(9,17),1.93069 # DEPENDENCYPART_ARC
(9,18),2.36403 # DEPENDENCYPART_ARC
(10,1),-1.20004 # DEPENDENCYPART_ARC
(10,2),-1.70386 # DEPENDENCYPART_ARC
(10,3),-1.60324 # DEPENDENCYPART_ARC
(10,4),-1.25151 # DEPENDENCYPART_ARC
(10,5),-0.654591 # DEPENDENCYPART_ARC
(10,6),-0.374848 # DEPENDENCYPART_ARC
(10,7),-0.624129 # DEPENDENCYPART_ARC
(10,8),0.214493 # DEPENDENCYPART_ARC
(10,9),0.563244 # DEPENDENCYPART_ARC
(10,11),2.3243 # DEPENDENCYPART_ARC
(10,12),0.454232 # DEPENDENCYPART_ARC
(10,13),1.39884 # DEPENDENCYPART_ARC
(10,14),-1.10786 # DEPENDENCYPART_ARC
(10,15),-1.68575 # DEPENDENCYPART_ARC
(10,16),-3.31162 # DEPENDENCYPART_ARC
(10,17),-0.293256 # DEPENDENCYPART_ARC
(10,18),0.368204 # DEPENDENCYPART_ARC
(11,1),1.04698 # DEPENDENCYPART_ARC
(11,2),-0.24756 # DEPENDENCYPART_ARC
(11,3),-0.118377 # DEPENDENCYPART_ARC
(11,4),-0.0618218 # DEPENDENCYPART_ARC
(11,5),0.669795 # DEPENDENCYPART_ARC
(11,6),0.899978 # DEPENDENCYPART_ARC
(11,7),-0.143592 # DEPENDENCYPART_ARC
(11,8),1.26835 # DEPENDENCYPART_ARC
(11,9),1.41614 # DEPENDENCYPART_ARC
(11,10),1.56 # DEPENDENCYPART_ARC
(11,12),0.996147 # DEPENDENCYPART_ARC
(11,13),1.27225 # DEPENDENCYPART_ARC
(11,14),-0.290969 # DEPENDENCYPART_ARC
(11,15),-0.570191 # DEPENDENCYPART_ARC
(11,16),-1.79746 # DEPENDENCYPART_ARC
(11,17),0.793846 # DEPENDENCYPART_ARC
(11,18),1.0327 # DEPENDENCYPART_ARC
(13,1),-1.6364 # DEPENDENCYPART_ARC
(13,2),-0.86899 # DEPENDENCYPART_ARC
(13,3),-0.25357 # DEPENDENCYPART_ARC
(13,4),-0.465038 # DEPENDENCYPART_ARC
(13,5),-0.481413 # DEPENDENCYPART_ARC
(13,6),-0.13659 # DEPENDENCYPART_ARC
(13,7),0.0557236 # DEPENDENCYPART_ARC
(13,8),0.18743 # DEPENDENCYPART_ARC
(13,9),0.0090685 # DEPENDENCYPART_ARC
(13,10),-0.253881 # DEPENDENCYPART_ARC
(13,11),0.237047 # DEPENDENCYPART_ARC
(13,12),1.2869 # DEPENDENCYPART_ARC
(13,14),-0.122243 # DEPENDENCYPART_ARC
(13,15),-0.110806 # DEPENDENCYPART_ARC
(13,16),-1.1192 # DEPENDENCYPART_ARC
(13,17),0.8712 # DEPENDENCYPART_ARC
(13,18),1.41919 # DEPENDENCYPART_ARC
(14,1),-2.36475 # DEPENDENCYPART_ARC
(14,2),-1.88768 # DEPENDENCYPART_ARC
(14,3),-1.49099 # DEPENDENCYPART_ARC
(14,4),-2.33596 # DEPENDENCYPART_ARC
(14,5),-1.97389 # DEPENDENCYPART_ARC
(14,6),-1.05504 # DEPENDENCYPART_ARC
(14,7),-1.47249 # DEPENDENCYPART_ARC
(14,8),-1.54468 # DEPENDENCYPART_ARC
(14,9),-1.47465 # DEPENDENCYPART_ARC
(14,11),-0.945475 # DEPENDENCYPART_ARC
(14,12),-0.854138 # DEPENDENCYPART_ARC
(14,13),-0.524525 # DEPENDENCYPART_ARC
(14,15),-0.0280703 # DEPENDENCYPART_ARC
(14,16),0.265269 # DEPENDENCYPART_ARC
(14,17),0.170205 # DEPENDENCYPART_ARC
(14,18),0.155911 # DEPENDENCYPART_ARC
(15,1),-2.10702 # DEPENDENCYPART_ARC
(15,2),-1.49963 # DEPENDENCYPART_ARC
(15,3),-1.24918 # DEPENDENCYPART_ARC
(15,4),-2.07498 # DEPENDENCYPART_ARC
(15,5),-1.30319 # DEPENDENCYPART_ARC
(15,6),-1.1294 # DEPENDENCYPART_ARC
(15,7),-0.525012 # DEPENDENCYPART_ARC
(15,8),-1.17825 # DEPENDENCYPART_ARC
(15,9),-1.24312 # DEPENDENCYPART_ARC
(15,10),-1.52363 # DEPENDENCYPART_ARC
(15,11),-0.492705 # DEPENDENCYPART_ARC
(15,12),-0.425678 # DEPENDENCYPART_ARC
(15,13),-0.0013088 # DEPENDENCYPART_ARC
(15,14),0.394311 # DEPENDENCYPART_ARC
(15,16),-0.14806 # DEPENDENCYPART_ARC
(15,17),-0.102449 # DEPENDENCYPART_ARC
(15,18),-0.298559 # DEPENDENCYPART_ARC
(16,1),-4.08876 # DEPENDENCYPART_ARC
(16,2),-1.03605 # DEPENDENCYPART_ARC
(16,3),-1.6895 # DEPENDENCYPART_ARC
(16,4),-3.1352 # DEPENDENCYPART_ARC
(16,5),-1.07155 # DEPENDENCYPART_ARC
(16,6),-1.94414 # DEPENDENCYPART_ARC
(16,7),-1.26389 # DEPENDENCYPART_ARC
(16,8),-0.756846 # DEPENDENCYPART_ARC
(16,9),-1.05698 # DEPENDENCYPART_ARC
(16,11),0.170942 # DEPENDENCYPART_ARC
(16,12),-0.251388 # DEPENDENCYPART_ARC
(16,13),-0.411372 # DEPENDENCYPART_ARC
(16,14),0.941292 # DEPENDENCYPART_ARC
(16,15),2.94871 # DEPENDENCYPART_ARC
(16,17),-0.397816 # DEPENDENCYPART_ARC
(16,18),-0.991618 # DEPENDENCYPART_ARC
(17,1),-0.565288 # DEPENDENCYPART_ARC
(17,2),-1.30353 # DEPENDENCYPART_ARC
(17,3),-1.06374 # DEPENDENCYPART_ARC
(17,4),-0.103186 # DEPENDENCYPART_ARC
(17,5),-0.586384 # DEPENDENCYPART_ARC
(17,6),0.517061 # DEPENDENCYPART_ARC
(17,7),-0.606362 # DEPENDENCYPART_ARC
(17,8),-0.0927692 # DEPENDENCYPART_ARC
(17,9),-0.348354 # DEPENDENCYPART_ARC
(17,10),0.0364652 # DEPENDENCYPART_ARC
(17,11),0.0216338 # DEPENDENCYPART_ARC
(17,12),0.411962 # DEPENDENCYPART_ARC
(17,13),0.328696 # DEPENDENCYPART_ARC
(17,14),2.06228 # DEPENDENCYPART_ARC
(17,15),0.528294 # DEPENDENCYPART_ARC
(17,16),3.54346 # DEPENDENCYPART_ARC
(17,18),1.66906 # DEPENDENCYPART_ARC
