# _root_ Lajtos és Rózsavölgyi él-hal a sportágért , így aztán nem csoda , ha nem sajnálják a pénzt a futballra .
#goldHeads=4,4,4,9,6,4,9,9,0,13,13,13,9,15,13,17,15,19,15,9,
#predictedHeads=4,4,4,8,6,4,8,0,15,15,13,15,15,15,8,17,15,19,15,8,
(0,1),-2.00736 # DEPENDENCYPART_ARC
(0,2),-2.51234 # DEPENDENCYPART_ARC
(0,3),-2.07561 # DEPENDENCYPART_ARC
(0,4),-0.776636 # DEPENDENCYPART_ARC
(0,5),-2.90071 # DEPENDENCYPART_ARC
(0,6),-3.35711 # DEPENDENCYPART_ARC
(0,7),-3.23465 # DEPENDENCYPART_ARC
(0,8),0.4585 # DEPENDENCYPART_ARC
(0,9),-1.07441 # DEPENDENCYPART_ARC
(0,10),-2.20721 # DEPENDENCYPART_ARC
(0,11),-2.82129 # DEPENDENCYPART_ARC
(0,12),-3.58282 # DEPENDENCYPART_ARC
(0,13),-1.46155 # DEPENDENCYPART_ARC
(0,14),-2.16511 # DEPENDENCYPART_ARC
(0,15),-1.55506 # DEPENDENCYPART_ARC
(0,16),-3.30871 # DEPENDENCYPART_ARC
(0,17),-3.48239 # DEPENDENCYPART_ARC
(0,18),-3.49787 # DEPENDENCYPART_ARC
(0,19),-3.93723 # DEPENDENCYPART_ARC
(0,20),-5.15298 # DEPENDENCYPART_ARC
(1,2),-0.990835 # DEPENDENCYPART_ARC
(1,3),-0.927839 # DEPENDENCYPART_ARC
(1,4),-0.798317 # DEPENDENCYPART_ARC
(1,5),-1.48904 # DEPENDENCYPART_ARC
(1,6),-2.19269 # DEPENDENCYPART_ARC
(1,7),-0.90567 # DEPENDENCYPART_ARC
(1,8),-1.2212 # DEPENDENCYPART_ARC
(1,9),-1.35561 # DEPENDENCYPART_ARC
(1,10),-1.21345 # DEPENDENCYPART_ARC
(1,11),-2.31792 # DEPENDENCYPART_ARC
(1,12),-1.52231 # DEPENDENCYPART_ARC
(1,13),-1.64025 # DEPENDENCYPART_ARC
(1,14),-1.37151 # DEPENDENCYPART_ARC
(1,15),-1.81609 # DEPENDENCYPART_ARC
(1,16),-1.84339 # DEPENDENCYPART_ARC
(1,17),-3.76182 # DEPENDENCYPART_ARC
(1,18),-1.84971 # DEPENDENCYPART_ARC
(1,19),-4.16196 # DEPENDENCYPART_ARC
(1,20),-0.476031 # DEPENDENCYPART_ARC
(2,1),0.522586 # DEPENDENCYPART_ARC
(2,3),0.294793 # DEPENDENCYPART_ARC
(2,4),0.720551 # DEPENDENCYPART_ARC
(2,5),-0.464533 # DEPENDENCYPART_ARC
(2,6),-0.0190744 # DEPENDENCYPART_ARC
(2,7),-0.0743545 # DEPENDENCYPART_ARC
(2,8),-0.0737529 # DEPENDENCYPART_ARC
(2,9),-0.133301 # DEPENDENCYPART_ARC
(2,10),-0.536403 # DEPENDENCYPART_ARC
(2,11),-1.12664 # DEPENDENCYPART_ARC
(2,12),-0.24439 # DEPENDENCYPART_ARC
(2,13),-0.271215 # DEPENDENCYPART_ARC
(2,14),-0.645074 # DEPENDENCYPART_ARC
(2,15),-1.30309 # DEPENDENCYPART_ARC
(2,16),-1.07275 # DEPENDENCYPART_ARC
(2,17),-1.91742 # DEPENDENCYPART_ARC
(2,18),-1.14929 # DEPENDENCYPART_ARC
(2,19),-2.6127 # DEPENDENCYPART_ARC
(2,20),1.00434 # DEPENDENCYPART_ARC
(3,1),0.914014 # DEPENDENCYPART_ARC
(3,2),1.17187 # DEPENDENCYPART_ARC
(3,4),-0.0777247 # DEPENDENCYPART_ARC
(3,5),-1.04726 # DEPENDENCYPART_ARC
(3,6),-1.27226 # DEPENDENCYPART_ARC
(3,7),-0.324925 # DEPENDENCYPART_ARC
(3,8),-0.879805 # DEPENDENCYPART_ARC
(3,9),-0.839744 # DEPENDENCYPART_ARC
(3,10),-0.777348 # DEPENDENCYPART_ARC
(3,11),-1.55393 # DEPENDENCYPART_ARC
(3,12),-0.820214 # DEPENDENCYPART_ARC
(3,13),-1.03616 # DEPENDENCYPART_ARC
(3,14),-0.888443 # DEPENDENCYPART_ARC
(3,15),-1.2346 # DEPENDENCYPART_ARC
(3,16),-1.4709 # DEPENDENCYPART_ARC
(3,17),-3.04091 # DEPENDENCYPART_ARC
(3,18),-1.47437 # DEPENDENCYPART_ARC
(3,19),-3.30739 # DEPENDENCYPART_ARC
(3,20),0.0887803 # DEPENDENCYPART_ARC
(4,1),2.87087 # DEPENDENCYPART_ARC
(4,2),2.33076 # DEPENDENCYPART_ARC
(4,3),4.24281 # DEPENDENCYPART_ARC
(4,5),-0.143459 # DEPENDENCYPART_ARC
(4,6),2.93921 # DEPENDENCYPART_ARC
(4,7),1.52516 # DEPENDENCYPART_ARC
(4,8),0.96038 # DEPENDENCYPART_ARC
(4,9),-0.217456 # DEPENDENCYPART_ARC
(4,10),0.0667746 # DEPENDENCYPART_ARC
(4,11),0.44293 # DEPENDENCYPART_ARC
(4,12),0.499741 # DEPENDENCYPART_ARC
(4,13),0.725191 # DEPENDENCYPART_ARC
(4,14),-0.466941 # DEPENDENCYPART_ARC
(4,15),0.226932 # DEPENDENCYPART_ARC
(4,16),-1.32542 # DEPENDENCYPART_ARC
(4,17),-2.1288 # DEPENDENCYPART_ARC
(4,18),-1.21336 # DEPENDENCYPART_ARC
(4,19),-1.67885 # DEPENDENCYPART_ARC
(4,20),2.21652 # DEPENDENCYPART_ARC
(5,1),-2.71877 # DEPENDENCYPART_ARC
(5,2),-1.4804 # DEPENDENCYPART_ARC
(5,3),-2.30666 # DEPENDENCYPART_ARC
(5,4),-0.967324 # DEPENDENCYPART_ARC
(5,6),-0.190123 # DEPENDENCYPART_ARC
(5,7),-0.0966631 # DEPENDENCYPART_ARC
(5,8),-0.614327 # DEPENDENCYPART_ARC
(5,9),-0.707057 # DEPENDENCYPART_ARC
(5,10),-0.876827 # DEPENDENCYPART_ARC
(5,11),-1.19077 # DEPENDENCYPART_ARC
(5,12),-0.325714 # DEPENDENCYPART_ARC
(5,13),-0.834516 # DEPENDENCYPART_ARC
(5,14),-0.998747 # DEPENDENCYPART_ARC
(5,15),-1.33618 # DEPENDENCYPART_ARC
(5,16),-1.07036 # DEPENDENCYPART_ARC
(5,17),-1.7661 # DEPENDENCYPART_ARC
(5,18),-1.1683 # DEPENDENCYPART_ARC
(5,19),-1.86428 # DEPENDENCYPART_ARC
(5,20),-1.67095 # DEPENDENCYPART_ARC
(6,1),-2.00816 # DEPENDENCYPART_ARC
(6,2),-0.756139 # DEPENDENCYPART_ARC
(6,3),-1.72283 # DEPENDENCYPART_ARC
(6,4),-1.38899 # DEPENDENCYPART_ARC
(6,5),3.22312 # DEPENDENCYPART_ARC
(6,7),-0.21682 # DEPENDENCYPART_ARC
(6,8),-0.73506 # DEPENDENCYPART_ARC
(6,9),-0.703506 # DEPENDENCYPART_ARC
(6,10),-0.940549 # DEPENDENCYPART_ARC
(6,11),-1.42581 # DEPENDENCYPART_ARC
(6,12),-0.708257 # DEPENDENCYPART_ARC
(6,13),-0.999486 # DEPENDENCYPART_ARC
(6,14),-1.06371 # DEPENDENCYPART_ARC
(6,15),-1.29116 # DEPENDENCYPART_ARC
(6,16),-1.33101 # DEPENDENCYPART_ARC
(6,17),-3.06717 # DEPENDENCYPART_ARC
(6,18),-1.5181 # DEPENDENCYPART_ARC
(6,19),-3.4828 # DEPENDENCYPART_ARC
(6,20),-0.39572 # DEPENDENCYPART_ARC
(7,1),-3.13136 # DEPENDENCYPART_ARC
(7,2),-2.16073 # DEPENDENCYPART_ARC
(7,3),-2.88138 # DEPENDENCYPART_ARC
(7,4),-1.89914 # DEPENDENCYPART_ARC
(7,5),-1.27999 # DEPENDENCYPART_ARC
(7,6),-1.80468 # DEPENDENCYPART_ARC
(7,8),-1.18335 # DEPENDENCYPART_ARC
(7,9),-1.3601 # DEPENDENCYPART_ARC
(7,10),-1.58468 # DEPENDENCYPART_ARC
(7,11),-2.20481 # DEPENDENCYPART_ARC
(7,12),-1.44438 # DEPENDENCYPART_ARC
(7,13),-1.39105 # DEPENDENCYPART_ARC
(7,14),-1.74384 # DEPENDENCYPART_ARC
(7,15),-1.81963 # DEPENDENCYPART_ARC
(7,16),-1.88005 # DEPENDENCYPART_ARC
(7,17),-2.66789 # DEPENDENCYPART_ARC
(7,18),-1.92001 # DEPENDENCYPART_ARC
(7,19),-3.02902 # DEPENDENCYPART_ARC
(7,20),-1.79446 # DEPENDENCYPART_ARC
(8,1),-0.179579 # DEPENDENCYPART_ARC
(8,2),0.617141 # DEPENDENCYPART_ARC
(8,3),0.0123056 # DEPENDENCYPART_ARC
(8,4),1.8622 # DEPENDENCYPART_ARC
(8,5),0.169335 # DEPENDENCYPART_ARC
(8,6),-0.0279919 # DEPENDENCYPART_ARC
(8,7),1.75819 # DEPENDENCYPART_ARC
(8,9),0.367291 # DEPENDENCYPART_ARC
(8,10),0.0549558 # DEPENDENCYPART_ARC
(8,11),-0.320441 # DEPENDENCYPART_ARC
(8,12),-0.143192 # DEPENDENCYPART_ARC
(8,13),0.532271 # DEPENDENCYPART_ARC
(8,14),0.0307102 # DEPENDENCYPART_ARC
(8,15),0.829282 # DEPENDENCYPART_ARC
(8,16),-0.663626 # DEPENDENCYPART_ARC
(8,17),-1.65269 # DEPENDENCYPART_ARC
(8,18),-0.742463 # DEPENDENCYPART_ARC
(8,19),-2.3673 # DEPENDENCYPART_ARC
(8,20),3.1001 # DEPENDENCYPART_ARC
(9,1),-0.893186 # DEPENDENCYPART_ARC
(9,2),0.191226 # DEPENDENCYPART_ARC
(9,3),-0.633543 # DEPENDENCYPART_ARC
(9,4),1.21498 # DEPENDENCYPART_ARC
(9,5),-0.353885 # DEPENDENCYPART_ARC
(9,6),-0.420303 # DEPENDENCYPART_ARC
(9,7),1.20047 # DEPENDENCYPART_ARC
(9,8),1.47342 # DEPENDENCYPART_ARC
(9,10),0.505787 # DEPENDENCYPART_ARC
(9,11),0.557645 # DEPENDENCYPART_ARC
(9,12),0.408189 # DEPENDENCYPART_ARC
(9,13),0.588639 # DEPENDENCYPART_ARC
(9,14),0.12136 # DEPENDENCYPART_ARC
(9,15),0.917059 # DEPENDENCYPART_ARC
(9,16),-0.404586 # DEPENDENCYPART_ARC
(9,17),-0.568622 # DEPENDENCYPART_ARC
(9,18),-0.533141 # DEPENDENCYPART_ARC
(9,19),-1.03298 # DEPENDENCYPART_ARC
(9,20),1.79987 # DEPENDENCYPART_ARC
(10,1),-0.552766 # DEPENDENCYPART_ARC
(10,2),-0.771742 # DEPENDENCYPART_ARC
(10,3),-0.664716 # DEPENDENCYPART_ARC
(10,4),-0.571081 # DEPENDENCYPART_ARC
(10,5),-0.690761 # DEPENDENCYPART_ARC
(10,6),-0.43925 # DEPENDENCYPART_ARC
(10,7),0.588507 # DEPENDENCYPART_ARC
(10,8),-0.276462 # DEPENDENCYPART_ARC
(10,9),0.431024 # DEPENDENCYPART_ARC
(10,11),-0.0808044 # DEPENDENCYPART_ARC
(10,12),-0.257958 # DEPENDENCYPART_ARC
(10,13),0.0564734 # DEPENDENCYPART_ARC
