# _root_ Az ÁPTF április 30-ig meghosszabbította a CB_Bróker_Értékpapír-forgalmazó_Rt.-nek , a LaSalle_Értékpapír-forgalmazó_Rt.-nek , a Pannonbróker_Értékpapír-forgalmazó_Rt.-nek és a Pest-Buda_Értékház_Értékpapír-kereskedő_és_Befektetési_Tanácsadó_Rt.-nek a Központi_Elszámolóház_és_Értéktár_(KELER)_Rt.-nél vezetett valamennyi számlája feletti rendelkezési joga felfüggesztését .
#goldHeads=2,5,4,5,0,7,14,14,10,14,14,13,14,5,16,14,18,19,21,21,22,23,24,25,5,5,
#predictedHeads=2,3,4,5,0,7,5,5,10,5,5,13,14,5,16,14,18,19,21,21,22,24,24,25,5,5,
(0,1),-2.06827 # DEPENDENCYPART_ARC
(0,2),-1.45564 # DEPENDENCYPART_ARC
(0,3),-1.96033 # DEPENDENCYPART_ARC
(0,4),-2.51989 # DEPENDENCYPART_ARC
(0,5),0.0739671 # DEPENDENCYPART_ARC
(0,6),-2.72475 # DEPENDENCYPART_ARC
(0,7),-2.84525 # DEPENDENCYPART_ARC
(0,8),-3.2206 # DEPENDENCYPART_ARC
(0,9),-2.94854 # DEPENDENCYPART_ARC
(0,10),-3.24167 # DEPENDENCYPART_ARC
(0,11),-3.49181 # DEPENDENCYPART_ARC
(0,12),-3.12501 # DEPENDENCYPART_ARC
(0,13),-4.01697 # DEPENDENCYPART_ARC
(0,14),-1.63033 # DEPENDENCYPART_ARC
(0,15),-3.25633 # DEPENDENCYPART_ARC
(0,16),-3.827 # DEPENDENCYPART_ARC
(0,17),-3.34709 # DEPENDENCYPART_ARC
(0,18),-4.04407 # DEPENDENCYPART_ARC
(0,19),-2.11021 # DEPENDENCYPART_ARC
(0,20),-3.73457 # DEPENDENCYPART_ARC
(0,21),-4.63212 # DEPENDENCYPART_ARC
(0,22),-2.77201 # DEPENDENCYPART_ARC
(0,23),-3.22515 # DEPENDENCYPART_ARC
(0,24),-5.08496 # DEPENDENCYPART_ARC
(0,25),-5.93408 # DEPENDENCYPART_ARC
(0,26),-7.09805 # DEPENDENCYPART_ARC
(1,2),-0.205859 # DEPENDENCYPART_ARC
(1,3),-0.446613 # DEPENDENCYPART_ARC
(1,4),-1.23051 # DEPENDENCYPART_ARC
(1,5),-0.963708 # DEPENDENCYPART_ARC
(1,6),-0.894467 # DEPENDENCYPART_ARC
(1,7),-1.37759 # DEPENDENCYPART_ARC
(1,8),-0.403802 # DEPENDENCYPART_ARC
(1,9),-1.01689 # DEPENDENCYPART_ARC
(1,10),-1.5674 # DEPENDENCYPART_ARC
(1,11),-0.504177 # DEPENDENCYPART_ARC
(1,12),-1.09362 # DEPENDENCYPART_ARC
(1,13),-1.88994 # DEPENDENCYPART_ARC
(1,14),-1.26878 # DEPENDENCYPART_ARC
(1,15),-1.18531 # DEPENDENCYPART_ARC
