# _root_ Szívet melengető érzés , hogy Európában még mindig mekkora kultusza van , és a mostani negyvenévesek milyen nosztalgiával emlegetik őt .
#goldHeads=2,3,5,5,0,11,11,11,10,11,13,13,5,16,16,19,18,19,13,19,5,
#predictedHeads=2,3,5,5,0,11,11,11,10,11,13,13,5,16,16,19,18,19,13,19,13,
(0,1),-2.6871 # DEPENDENCYPART_ARC
(0,2),-2.3265 # DEPENDENCYPART_ARC
(0,3),-3.27875 # DEPENDENCYPART_ARC
(0,5),-1.17659 # DEPENDENCYPART_ARC
(0,6),-3.05304 # DEPENDENCYPART_ARC
(0,7),-3.06776 # DEPENDENCYPART_ARC
(0,9),-3.40728 # DEPENDENCYPART_ARC
(0,10),-3.86578 # DEPENDENCYPART_ARC
(0,11),-1.60703 # DEPENDENCYPART_ARC
(0,13),-1.10063 # DEPENDENCYPART_ARC
(0,15),-3.28783 # DEPENDENCYPART_ARC
(0,16),-3.51355 # DEPENDENCYPART_ARC
(0,17),-3.74749 # DEPENDENCYPART_ARC
(0,18),-4.9431 # DEPENDENCYPART_ARC
(0,19),-2.33119 # DEPENDENCYPART_ARC
(0,20),-4.54054 # DEPENDENCYPART_ARC
(1,2),-0.695749 # DEPENDENCYPART_ARC
(1,3),-0.437386 # DEPENDENCYPART_ARC
(1,4),-0.200595 # DEPENDENCYPART_ARC
(1,5),-0.886499 # DEPENDENCYPART_ARC
(1,6),-1.23427 # DEPENDENCYPART_ARC
(1,7),-1.06606 # DEPENDENCYPART_ARC
(1,8),-0.974471 # DEPENDENCYPART_ARC
(1,9),-2.11472 # DEPENDENCYPART_ARC
(1,10),-2.3192 # DEPENDENCYPART_ARC
(1,11),-0.974327 # DEPENDENCYPART_ARC
(1,12),-0.863268 # DEPENDENCYPART_ARC
(1,13),-0.627365 # DEPENDENCYPART_ARC
(1,14),-1.53034 # DEPENDENCYPART_ARC
(1,15),-2.02418 # DEPENDENCYPART_ARC
(1,16),-1.76148 # DEPENDENCYPART_ARC
(1,17),-2.25124 # DEPENDENCYPART_ARC
(1,18),-3.15197 # DEPENDENCYPART_ARC
(1,19),-1.39823 # DEPENDENCYPART_ARC
(1,20),-2.21859 # DEPENDENCYPART_ARC
(1,21),0.326946 # DEPENDENCYPART_ARC
(2,1),1.91479 # DEPENDENCYPART_ARC
(2,3),-0.485563 # DEPENDENCYPART_ARC
(2,4),-0.634524 # DEPENDENCYPART_ARC
(2,5),-1.02296 # DEPENDENCYPART_ARC
(2,6),-1.6656 # DEPENDENCYPART_ARC
(2,7),-1.29134 # DEPENDENCYPART_ARC
(2,8),-1.24689 # DEPENDENCYPART_ARC
(2,9),-1.95047 # DEPENDENCYPART_ARC
(2,10),-2.14471 # DEPENDENCYPART_ARC
(2,11),-1.43899 # DEPENDENCYPART_ARC
(2,12),-0.980849 # DEPENDENCYPART_ARC
(2,13),-1.17248 # DEPENDENCYPART_ARC
(2,14),-1.88816 # DEPENDENCYPART_ARC
(2,15),-2.19566 # DEPENDENCYPART_ARC
(2,16),-2.05776 # DEPENDENCYPART_ARC
(2,17),-2.15037 # DEPENDENCYPART_ARC
(2,18),-2.79115 # DEPENDENCYPART_ARC
(2,19),-1.5024 # DEPENDENCYPART_ARC
(2,20),-2.3237 # DEPENDENCYPART_ARC
(2,21),0.136829 # DEPENDENCYPART_ARC
(3,1),-0.501037 # DEPENDENCYPART_ARC
(3,2),3.92525 # DEPENDENCYPART_ARC
(3,4),0.0372537 # DEPENDENCYPART_ARC
(3,5),-0.979441 # DEPENDENCYPART_ARC
(3,6),-1.12013 # DEPENDENCYPART_ARC
(3,7),-0.916868 # DEPENDENCYPART_ARC
(3,8),-0.871496 # DEPENDENCYPART_ARC
(3,9),-1.69699 # DEPENDENCYPART_ARC
(3,10),-1.66031 # DEPENDENCYPART_ARC
(3,11),-0.727372 # DEPENDENCYPART_ARC
(3,12),-0.707316 # DEPENDENCYPART_ARC
(3,13),-0.596874 # DEPENDENCYPART_ARC
(3,14),-1.46851 # DEPENDENCYPART_ARC
(3,15),-1.98402 # DEPENDENCYPART_ARC
(3,16),-1.83562 # DEPENDENCYPART_ARC
(3,17),-1.9154 # DEPENDENCYPART_ARC
(3,18),-2.96232 # DEPENDENCYPART_ARC
(3,19),-0.83602 # DEPENDENCYPART_ARC
(3,20),-2.09062 # DEPENDENCYPART_ARC
(3,21),0.849716 # DEPENDENCYPART_ARC
(5,1),0.937684 # DEPENDENCYPART_ARC
(5,2),1.30608 # DEPENDENCYPART_ARC
(5,3),1.16796 # DEPENDENCYPART_ARC
(5,4),1.14154 # DEPENDENCYPART_ARC
(5,6),-0.678706 # DEPENDENCYPART_ARC
(5,7),-0.171005 # DEPENDENCYPART_ARC
(5,8),-0.133907 # DEPENDENCYPART_ARC
(5,9),-1.1326 # DEPENDENCYPART_ARC
(5,10),-1.30524 # DEPENDENCYPART_ARC
(5,11),0.776398 # DEPENDENCYPART_ARC
(5,12),0.251283 # DEPENDENCYPART_ARC
(5,13),0.680508 # DEPENDENCYPART_ARC
(5,14),-1.32168 # DEPENDENCYPART_ARC
(5,15),-0.690554 # DEPENDENCYPART_ARC
(5,16),-0.887587 # DEPENDENCYPART_ARC
(5,17),-1.40325 # DEPENDENCYPART_ARC
(5,18),-2.68085 # DEPENDENCYPART_ARC
(5,19),0.322051 # DEPENDENCYPART_ARC
(5,20),-1.57116 # DEPENDENCYPART_ARC
(5,21),2.4593 # DEPENDENCYPART_ARC
(6,1),-3.3612 # DEPENDENCYPART_ARC
(6,2),-0.709597 # DEPENDENCYPART_ARC
(6,3),-1.95548 # DEPENDENCYPART_ARC
