# _root_ És van egy elvem , ami lehet , hogy sokak szemében nem lesz szimpatikus : nem szeretnék semminek a mártírja lenni .
#goldHeads=0,1,4,2,2,7,2,7,7,11,13,13,7,13,1,17,1,17,20,21,17,1,
#predictedHeads=2,0,4,2,2,7,2,7,7,11,13,13,9,13,13,17,13,17,20,21,17,2,
(0,1),-2.24598 # DEPENDENCYPART_ARC
(0,2),-1.06357 # DEPENDENCYPART_ARC
(0,4),-3.52294 # DEPENDENCYPART_ARC
(0,7),-1.62726 # DEPENDENCYPART_ARC
(0,9),-2.3624 # DEPENDENCYPART_ARC
(0,10),-3.16184 # DEPENDENCYPART_ARC
(0,11),-3.98788 # DEPENDENCYPART_ARC
(0,12),-2.58697 # DEPENDENCYPART_ARC
(0,13),-2.30172 # DEPENDENCYPART_ARC
(0,14),-3.18523 # DEPENDENCYPART_ARC
(0,16),-2.59011 # DEPENDENCYPART_ARC
(0,17),-1.86021 # DEPENDENCYPART_ARC
(0,18),-3.45051 # DEPENDENCYPART_ARC
(0,20),-4.79672 # DEPENDENCYPART_ARC
(0,21),-3.37026 # DEPENDENCYPART_ARC
(1,2),0.615148 # DEPENDENCYPART_ARC
(1,4),-0.658583 # DEPENDENCYPART_ARC
(1,5),0.605178 # DEPENDENCYPART_ARC
(1,6),-1.35976 # DEPENDENCYPART_ARC
(1,7),-0.0941622 # DEPENDENCYPART_ARC
(1,8),0.299684 # DEPENDENCYPART_ARC
(1,9),-0.542726 # DEPENDENCYPART_ARC
(1,10),-1.04194 # DEPENDENCYPART_ARC
(1,11),-1.34722 # DEPENDENCYPART_ARC
(1,12),-1.11487 # DEPENDENCYPART_ARC
(1,13),-0.312217 # DEPENDENCYPART_ARC
(1,14),-1.20634 # DEPENDENCYPART_ARC
(1,15),0.823956 # DEPENDENCYPART_ARC
(1,16),-1.19273 # DEPENDENCYPART_ARC
(1,17),-0.129159 # DEPENDENCYPART_ARC
(1,18),-1.30952 # DEPENDENCYPART_ARC
(1,19),-1.64189 # DEPENDENCYPART_ARC
(1,20),-1.73467 # DEPENDENCYPART_ARC
(1,21),-0.456005 # DEPENDENCYPART_ARC
(1,22),0.883473 # DEPENDENCYPART_ARC
(2,1),1.80424 # DEPENDENCYPART_ARC
(2,3),-0.0233189 # DEPENDENCYPART_ARC
(2,4),3.52098 # DEPENDENCYPART_ARC
(2,5),2.25659 # DEPENDENCYPART_ARC
(2,6),0.237017 # DEPENDENCYPART_ARC
(2,7),1.36053 # DEPENDENCYPART_ARC
(2,8),1.29883 # DEPENDENCYPART_ARC
(2,9),1.91676 # DEPENDENCYPART_ARC
(2,10),-0.210186 # DEPENDENCYPART_ARC
(2,11),-0.718643 # DEPENDENCYPART_ARC
(2,12),0.146808 # DEPENDENCYPART_ARC
(2,13),0.730238 # DEPENDENCYPART_ARC
(2,14),-0.274544 # DEPENDENCYPART_ARC
(2,15),0.601817 # DEPENDENCYPART_ARC
(2,16),-0.475457 # DEPENDENCYPART_ARC
(2,17),1.1114 # DEPENDENCYPART_ARC
(2,18),-0.640033 # DEPENDENCYPART_ARC
(2,19),-0.664392 # DEPENDENCYPART_ARC
(2,20),-2.59698 # DEPENDENCYPART_ARC
(2,21),1.87028 # DEPENDENCYPART_ARC
(2,22),2.9135 # DEPENDENCYPART_ARC
(3,5),-0.122824 # DEPENDENCYPART_ARC
(3,8),-0.294422 # DEPENDENCYPART_ARC
(3,14),-0.954834 # DEPENDENCYPART_ARC
(3,15),-0.423729 # DEPENDENCYPART_ARC
(4,1),-0.755417 # DEPENDENCYPART_ARC
(4,2),-1.55432 # DEPENDENCYPART_ARC
(4,3),2.92612 # DEPENDENCYPART_ARC
(4,5),0.0300017 # DEPENDENCYPART_ARC
(4,6),-1.86521 # DEPENDENCYPART_ARC
(4,7),-1.14046 # DEPENDENCYPART_ARC
(4,8),-0.352383 # DEPENDENCYPART_ARC
(4,9),-1.08614 # DEPENDENCYPART_ARC
(4,10),-1.01443 # DEPENDENCYPART_ARC
(4,11),-2.37531 # DEPENDENCYPART_ARC
(4,12),-1.0381 # DEPENDENCYPART_ARC
(4,13),-1.81348 # DEPENDENCYPART_ARC
(4,14),-1.57612 # DEPENDENCYPART_ARC
(4,15),-0.4715 # DEPENDENCYPART_ARC
(4,16),-1.08104 # DEPENDENCYPART_ARC
(4,17),-2.58611 # DEPENDENCYPART_ARC
(4,18),-2.55669 # DEPENDENCYPART_ARC
(4,19),-1.59365 # DEPENDENCYPART_ARC
(4,20),-2.82309 # DEPENDENCYPART_ARC
(4,21),-0.518291 # DEPENDENCYPART_ARC
(4,22),1.14983 # DEPENDENCYPART_ARC
(6,1),-0.464459 # DEPENDENCYPART_ARC
(6,4),-1.06276 # DEPENDENCYPART_ARC
(6,11),-0.316415 # DEPENDENCYPART_ARC
(6,14),-0.507576 # DEPENDENCYPART_ARC
(6,20),-0.881479 # DEPENDENCYPART_ARC
(7,1),0.514454 # DEPENDENCYPART_ARC
(7,2),-0.565409 # DEPENDENCYPART_ARC
(7,3),-0.93035 # DEPENDENCYPART_ARC
(7,4),0.293869 # DEPENDENCYPART_ARC
(7,5),0.313967 # DEPENDENCYPART_ARC
(7,6),2.86795 # DEPENDENCYPART_ARC
(7,8),2.31356 # DEPENDENCYPART_ARC
(7,9),2.65164 # DEPENDENCYPART_ARC
(7,10),-0.711523 # DEPENDENCYPART_ARC
(7,11),-0.768527 # DEPENDENCYPART_ARC
(7,12),-0.347926 # DEPENDENCYPART_ARC
(7,13),0.230188 # DEPENDENCYPART_ARC
(7,14),-0.942717 # DEPENDENCYPART_ARC
(7,15),0.241554 # DEPENDENCYPART_ARC
(7,16),-1.16022 # DEPENDENCYPART_ARC
(7,17),0.39798 # DEPENDENCYPART_ARC
(7,18),-1.33197 # DEPENDENCYPART_ARC
(7,19),-1.69368 # DEPENDENCYPART_ARC
(7,20),-3.58836 # DEPENDENCYPART_ARC
(7,21),0.426472 # DEPENDENCYPART_ARC
