# _root_ Az egység vitathatatlan , ugyanakkor megfigyelők szerint feltűnő , hogy nem került sor ennél határozottabb hangú közös fellépésre .
#goldHeads=2,3,0,3,10,7,10,10,10,3,12,10,12,15,16,18,18,12,3,
#predictedHeads=2,3,10,8,8,7,8,10,10,0,12,10,12,18,16,18,18,12,10,
(0,2),-1.77035 # DEPENDENCYPART_ARC
(0,3),-1.99852 # DEPENDENCYPART_ARC
(0,5),-2.1903 # DEPENDENCYPART_ARC
(0,6),-2.94654 # DEPENDENCYPART_ARC
(0,7),-3.25487 # DEPENDENCYPART_ARC
(0,8),-2.49519 # DEPENDENCYPART_ARC
(0,10),-0.732785 # DEPENDENCYPART_ARC
(0,11),-2.3809 # DEPENDENCYPART_ARC
(0,12),-1.75711 # DEPENDENCYPART_ARC
(0,13),-3.16563 # DEPENDENCYPART_ARC
(0,14),-3.78717 # DEPENDENCYPART_ARC
(0,15),-3.19003 # DEPENDENCYPART_ARC
(0,16),-3.06134 # DEPENDENCYPART_ARC
(0,17),-3.15148 # DEPENDENCYPART_ARC
(0,18),-4.4726 # DEPENDENCYPART_ARC
(1,2),-0.6261 # DEPENDENCYPART_ARC
(1,3),-0.690984 # DEPENDENCYPART_ARC
(1,4),-0.499142 # DEPENDENCYPART_ARC
(1,6),-1.48568 # DEPENDENCYPART_ARC
(1,8),-1.32143 # DEPENDENCYPART_ARC
(1,9),-0.87034 # DEPENDENCYPART_ARC
(1,13),-2.20438 # DEPENDENCYPART_ARC
(1,15),-1.732 # DEPENDENCYPART_ARC
(1,16),-1.51329 # DEPENDENCYPART_ARC
(1,17),-1.43704 # DEPENDENCYPART_ARC
(1,18),-2.42408 # DEPENDENCYPART_ARC
(2,1),3.1169 # DEPENDENCYPART_ARC
(2,3),-0.292749 # DEPENDENCYPART_ARC
(2,4),0.238033 # DEPENDENCYPART_ARC
(2,5),-0.394518 # DEPENDENCYPART_ARC
(2,6),-0.578987 # DEPENDENCYPART_ARC
(2,7),0.30666 # DEPENDENCYPART_ARC
(2,8),-0.77135 # DEPENDENCYPART_ARC
(2,9),0.282696 # DEPENDENCYPART_ARC
(2,10),-0.616406 # DEPENDENCYPART_ARC
(2,11),-0.696201 # DEPENDENCYPART_ARC
(2,12),-0.212644 # DEPENDENCYPART_ARC
(2,13),-1.59977 # DEPENDENCYPART_ARC
(2,14),-1.79833 # DEPENDENCYPART_ARC
(2,15),-1.22972 # DEPENDENCYPART_ARC
(2,16),-1.21461 # DEPENDENCYPART_ARC
(2,17),-1.12133 # DEPENDENCYPART_ARC
(2,18),-1.99192 # DEPENDENCYPART_ARC
(2,19),0.136504 # DEPENDENCYPART_ARC
(3,1),0.386956 # DEPENDENCYPART_ARC
(3,2),1.42918 # DEPENDENCYPART_ARC
(3,4),0.405345 # DEPENDENCYPART_ARC
(3,5),-0.186961 # DEPENDENCYPART_ARC
(3,6),-0.918246 # DEPENDENCYPART_ARC
(3,7),-0.0992185 # DEPENDENCYPART_ARC
(3,8),-0.632901 # DEPENDENCYPART_ARC
(3,9),-0.0938964 # DEPENDENCYPART_ARC
(3,10),-0.349631 # DEPENDENCYPART_ARC
(3,11),-0.468529 # DEPENDENCYPART_ARC
(3,12),-0.0966637 # DEPENDENCYPART_ARC
(3,13),-1.45403 # DEPENDENCYPART_ARC
(3,14),-1.39696 # DEPENDENCYPART_ARC
(3,15),-1.22489 # DEPENDENCYPART_ARC
(3,16),-1.40713 # DEPENDENCYPART_ARC
(3,17),-1.39144 # DEPENDENCYPART_ARC
(3,18),-1.53806 # DEPENDENCYPART_ARC
(3,19),0.388798 # DEPENDENCYPART_ARC
(5,2),-0.238013 # DEPENDENCYPART_ARC
(5,3),-0.368529 # DEPENDENCYPART_ARC
(5,4),0.158208 # DEPENDENCYPART_ARC
(5,6),-0.123608 # DEPENDENCYPART_ARC
(5,7),0.270565 # DEPENDENCYPART_ARC
(5,8),-0.210638 # DEPENDENCYPART_ARC
(5,9),-0.0479625 # DEPENDENCYPART_ARC
(5,10),-0.0782046 # DEPENDENCYPART_ARC
(5,12),-0.078175 # DEPENDENCYPART_ARC
(5,13),-1.10083 # DEPENDENCYPART_ARC
(5,14),-1.05972 # DEPENDENCYPART_ARC
(5,15),-1.00611 # DEPENDENCYPART_ARC
(5,16),-1.11332 # DEPENDENCYPART_ARC
