# _root_ Ígéretei a lakásépítés , az egészségügy , az energetika és az infrastruktúra átalakítására és belendítésére eddig nem váltak be .
#goldHeads=18,3,13,13,6,13,13,9,13,13,12,13,15,15,18,18,18,0,18,18,
#predictedHeads=18,3,18,18,6,18,18,9,13,18,12,13,18,18,18,18,18,0,18,18,
(0,1),-2.90005 # DEPENDENCYPART_ARC
(0,3),-3.4218 # DEPENDENCYPART_ARC
(0,6),-4.19687 # DEPENDENCYPART_ARC
(0,9),-4.70284 # DEPENDENCYPART_ARC
(0,10),-3.08386 # DEPENDENCYPART_ARC
(0,12),-4.70567 # DEPENDENCYPART_ARC
(0,13),-5.11824 # DEPENDENCYPART_ARC
(0,14),-3.40697 # DEPENDENCYPART_ARC
(0,15),-4.91412 # DEPENDENCYPART_ARC
(0,16),-3.53438 # DEPENDENCYPART_ARC
(0,17),-2.58818 # DEPENDENCYPART_ARC
(0,18),-2.73839 # DEPENDENCYPART_ARC
(0,19),-2.83719 # DEPENDENCYPART_ARC
(1,2),-0.693194 # DEPENDENCYPART_ARC
(1,3),-0.171065 # DEPENDENCYPART_ARC
(1,4),0.208453 # DEPENDENCYPART_ARC
(1,5),-0.917909 # DEPENDENCYPART_ARC
(1,6),-0.52594 # DEPENDENCYPART_ARC
(1,7),0.0524822 # DEPENDENCYPART_ARC
(1,8),-1.06798 # DEPENDENCYPART_ARC
(1,9),-0.991341 # DEPENDENCYPART_ARC
(1,10),-0.440284 # DEPENDENCYPART_ARC
(1,11),-1.13781 # DEPENDENCYPART_ARC
(1,12),-1.4837 # DEPENDENCYPART_ARC
(1,13),-2.25068 # DEPENDENCYPART_ARC
(1,14),-0.66999 # DEPENDENCYPART_ARC
(1,15),-2.58888 # DEPENDENCYPART_ARC
(1,16),-0.795887 # DEPENDENCYPART_ARC
(1,17),-0.857554 # DEPENDENCYPART_ARC
(1,18),-0.925263 # DEPENDENCYPART_ARC
(1,19),-0.80895 # DEPENDENCYPART_ARC
(1,20),-0.133855 # DEPENDENCYPART_ARC
(2,1),-2.03141 # DEPENDENCYPART_ARC
(2,3),-0.495712 # DEPENDENCYPART_ARC
(2,4),-0.408985 # DEPENDENCYPART_ARC
(2,6),-1.27512 # DEPENDENCYPART_ARC
(2,7),-0.632338 # DEPENDENCYPART_ARC
(2,9),-1.74913 # DEPENDENCYPART_ARC
(2,10),-1.4255 # DEPENDENCYPART_ARC
(2,12),-1.8817 # DEPENDENCYPART_ARC
(2,13),-2.45983 # DEPENDENCYPART_ARC
(2,14),-1.86566 # DEPENDENCYPART_ARC
(2,15),-2.59975 # DEPENDENCYPART_ARC
(3,1),-2.14777 # DEPENDENCYPART_ARC
(3,2),3.15338 # DEPENDENCYPART_ARC
(3,4),0.220014 # DEPENDENCYPART_ARC
(3,5),-1.01844 # DEPENDENCYPART_ARC
(3,6),-0.400497 # DEPENDENCYPART_ARC
(3,7),0.0601208 # DEPENDENCYPART_ARC
(3,8),-1.15615 # DEPENDENCYPART_ARC
(3,9),-1.04067 # DEPENDENCYPART_ARC
(3,10),-0.723529 # DEPENDENCYPART_ARC
(3,11),-1.26671 # DEPENDENCYPART_ARC
(3,12),-1.35775 # DEPENDENCYPART_ARC
(3,13),-1.85447 # DEPENDENCYPART_ARC
(3,14),-0.90941 # DEPENDENCYPART_ARC
(3,15),-2.62051 # DEPENDENCYPART_ARC
(3,16),-1.18724 # DEPENDENCYPART_ARC
(3,17),-1.22347 # DEPENDENCYPART_ARC
(3,18),-1.2135 # DEPENDENCYPART_ARC
(3,19),-1.12039 # DEPENDENCYPART_ARC
(3,20),-0.451222 # DEPENDENCYPART_ARC
(5,1),-2.77564 # DEPENDENCYPART_ARC
(5,3),-1.85961 # DEPENDENCYPART_ARC
(5,4),-0.496133 # DEPENDENCYPART_ARC
(5,6),-0.379335 # DEPENDENCYPART_ARC
(5,7),-0.19954 # DEPENDENCYPART_ARC
(5,9),-1.15078 # DEPENDENCYPART_ARC
(5,10),-0.944808 # DEPENDENCYPART_ARC
(5,12),-1.52656 # DEPENDENCYPART_ARC
(5,13),-1.90801 # DEPENDENCYPART_ARC
(5,14),-1.08657 # DEPENDENCYPART_ARC
(5,15),-1.87803 # DEPENDENCYPART_ARC
(6,1),-3.56773 # DEPENDENCYPART_ARC
(6,2),0.609247 # DEPENDENCYPART_ARC
(6,3),-1.24954 # DEPENDENCYPART_ARC
(6,4),-0.667464 # DEPENDENCYPART_ARC
(6,5),3.08665 # DEPENDENCYPART_ARC
(6,7),0.19998 # DEPENDENCYPART_ARC
(6,8),-1.03848 # DEPENDENCYPART_ARC
(6,9),-0.672796 # DEPENDENCYPART_ARC
(6,10),-0.728396 # DEPENDENCYPART_ARC
(6,11),-1.18076 # DEPENDENCYPART_ARC
(6,12),-1.25576 # DEPENDENCYPART_ARC
(6,13),-1.8047 # DEPENDENCYPART_ARC
(6,14),-0.839705 # DEPENDENCYPART_ARC
(6,15),-2.3377 # DEPENDENCYPART_ARC
(6,16),-1.06461 # DEPENDENCYPART_ARC
(6,17),-1.1207 # DEPENDENCYPART_ARC
(6,18),-1.27214 # DEPENDENCYPART_ARC
(6,19),-1.14409 # DEPENDENCYPART_ARC
(6,20),-0.646052 # DEPENDENCYPART_ARC
(8,1),-3.0978 # DEPENDENCYPART_ARC
(8,3),-2.44533 # DEPENDENCYPART_ARC
(8,4),-1.18131 # DEPENDENCYPART_ARC
(8,6),-1.84541 # DEPENDENCYPART_ARC
(8,7),-0.481938 # DEPENDENCYPART_ARC
(8,9),-0.466032 # DEPENDENCYPART_ARC
(8,10),-0.775419 # DEPENDENCYPART_ARC
(8,12),-1.14139 # DEPENDENCYPART_ARC
(8,13),-1.56692 # DEPENDENCYPART_ARC
(8,14),-0.953992 # DEPENDENCYPART_ARC
(8,15),-1.78689 # DEPENDENCYPART_ARC
(9,1),-4.47217 # DEPENDENCYPART_ARC
(9,2),-0.504455 # DEPENDENCYPART_ARC
(9,3),-2.39267 # DEPENDENCYPART_ARC
(9,4),-1.25843 # DEPENDENCYPART_ARC
(9,5),0.564695 # DEPENDENCYPART_ARC
(9,6),-1.45653 # DEPENDENCYPART_ARC
(9,7),-0.773426 # DEPENDENCYPART_ARC
(9,8),3.08417 # DEPENDENCYPART_ARC
(9,10),-1.24646 # DEPENDENCYPART_ARC
(9,11),-1.76725 # DEPENDENCYPART_ARC
(9,12),-1.6454 # DEPENDENCYPART_ARC
(9,13),-2.49695 # DEPENDENCYPART_ARC
(9,14),-1.52988 # DEPENDENCYPART_ARC
(9,15),-3.08177 # DEPENDENCYPART_ARC
(9,16),-1.67153 # DEPENDENCYPART_ARC
(9,17),-1.71807 # DEPENDENCYPART_ARC
(9,18),-1.93309 # DEPENDENCYPART_ARC
(9,19),-1.64939 # DEPENDENCYPART_ARC
(9,20),-1.51114 # DEPENDENCYPART_ARC
(10,1),-0.540664 # DEPENDENCYPART_ARC
(10,2),-1.25091 # DEPENDENCYPART_ARC
(10,3),-0.191868 # DEPENDENCYPART_ARC
(10,4),0.297028 # DEPENDENCYPART_ARC
(10,5),-0.700466 # DEPENDENCYPART_ARC
(10,6),-0.00652602 # DEPENDENCYPART_ARC
(10,7),0.673384 # DEPENDENCYPART_ARC
(10,8),-0.098796 # DEPENDENCYPART_ARC
(10,9),0.550801 # DEPENDENCYPART_ARC
(10,11),-0.258695 # DEPENDENCYPART_ARC
(10,12),0.908266 # DEPENDENCYPART_ARC
(10,13),-0.407785 # DEPENDENCYPART_ARC
(10,14),-0.301502 # DEPENDENCYPART_ARC
(10,15),-1.10809 # DEPENDENCYPART_ARC
(10,16),-0.521687 # DEPENDENCYPART_ARC
(10,17),-0.242799 # DEPENDENCYPART_ARC
(10,18),0.335878 # DEPENDENCYPART_ARC
(10,20),1.16797 # DEPENDENCYPART_ARC
(11,1),-3.31922 # DEPENDENCYPART_ARC
(11,3),-2.75119 # DEPENDENCYPART_ARC
(11,4),-1.06917 # DEPENDENCYPART_ARC
(11,6),-2.53272 # DEPENDENCYPART_ARC
