# _root_ A társaság a HungarHotelst nem tudja ugyan megvenni , mégis tovább működött , fb-elnöki tisztéről Récsey 1998 áprilisában mondott le .
#goldHeads=2,6,4,8,6,10,6,6,10,0,12,10,10,15,19,19,18,19,10,19,10,
#predictedHeads=2,6,4,6,6,10,6,6,6,0,12,10,15,15,19,19,18,19,6,19,10,
(0,2),-1.93404 # DEPENDENCYPART_ARC
(0,4),-2.85894 # DEPENDENCYPART_ARC
(0,5),-2.07391 # DEPENDENCYPART_ARC
(0,6),-1.28417 # DEPENDENCYPART_ARC
(0,7),-0.898609 # DEPENDENCYPART_ARC
(0,8),-1.74256 # DEPENDENCYPART_ARC
(0,10),-0.373075 # DEPENDENCYPART_ARC
(0,11),-2.36117 # DEPENDENCYPART_ARC
(0,12),-1.0213 # DEPENDENCYPART_ARC
(0,14),-2.35825 # DEPENDENCYPART_ARC
(0,15),-3.50738 # DEPENDENCYPART_ARC
(0,16),-2.56648 # DEPENDENCYPART_ARC
(0,17),-3.44745 # DEPENDENCYPART_ARC
(0,18),-3.63161 # DEPENDENCYPART_ARC
(0,19),-1.12794 # DEPENDENCYPART_ARC
(0,20),-2.13641 # DEPENDENCYPART_ARC
(1,2),-0.716939 # DEPENDENCYPART_ARC
(1,4),-1.39813 # DEPENDENCYPART_ARC
(1,9),-0.820802 # DEPENDENCYPART_ARC
(1,10),-1.26248 # DEPENDENCYPART_ARC
(1,13),-0.955011 # DEPENDENCYPART_ARC
(1,14),-1.797 # DEPENDENCYPART_ARC
(1,15),-2.68441 # DEPENDENCYPART_ARC
(1,16),-2.22807 # DEPENDENCYPART_ARC
(1,18),-2.6867 # DEPENDENCYPART_ARC
(2,1),3.42726 # DEPENDENCYPART_ARC
(2,3),-0.315996 # DEPENDENCYPART_ARC
(2,4),-0.510331 # DEPENDENCYPART_ARC
(2,5),-0.295672 # DEPENDENCYPART_ARC
(2,6),0.214797 # DEPENDENCYPART_ARC
(2,7),-0.62177 # DEPENDENCYPART_ARC
(2,8),-0.186243 # DEPENDENCYPART_ARC
(2,9),0.161514 # DEPENDENCYPART_ARC
(2,10),-0.281753 # DEPENDENCYPART_ARC
(2,11),-0.284233 # DEPENDENCYPART_ARC
(2,12),-0.691461 # DEPENDENCYPART_ARC
(2,13),-0.0422865 # DEPENDENCYPART_ARC
(2,14),-1.37047 # DEPENDENCYPART_ARC
(2,15),-3.10878 # DEPENDENCYPART_ARC
(2,16),-1.98812 # DEPENDENCYPART_ARC
(2,17),-0.860932 # DEPENDENCYPART_ARC
(2,18),-2.40991 # DEPENDENCYPART_ARC
(2,19),-0.855624 # DEPENDENCYPART_ARC
(2,20),-0.460448 # DEPENDENCYPART_ARC
(2,21),0.545322 # DEPENDENCYPART_ARC
(3,2),-1.48333 # DEPENDENCYPART_ARC
(3,4),-0.537125 # DEPENDENCYPART_ARC
(3,9),-0.443707 # DEPENDENCYPART_ARC
(3,10),-0.859074 # DEPENDENCYPART_ARC
(3,13),-0.54012 # DEPENDENCYPART_ARC
(3,14),-1.28166 # DEPENDENCYPART_ARC
(3,15),-2.35962 # DEPENDENCYPART_ARC
(3,16),-1.94874 # DEPENDENCYPART_ARC
(3,18),-2.41318 # DEPENDENCYPART_ARC
(4,1),0.297789 # DEPENDENCYPART_ARC
(4,2),-1.08391 # DEPENDENCYPART_ARC
(4,3),2.54809 # DEPENDENCYPART_ARC
(4,5),-0.922685 # DEPENDENCYPART_ARC
(4,6),-0.674364 # DEPENDENCYPART_ARC
(4,7),-0.992975 # DEPENDENCYPART_ARC
(4,8),-0.725456 # DEPENDENCYPART_ARC
(4,9),-0.572663 # DEPENDENCYPART_ARC
(4,10),-0.86111 # DEPENDENCYPART_ARC
(4,11),-0.947733 # DEPENDENCYPART_ARC
(4,12),-1.51083 # DEPENDENCYPART_ARC
(4,13),-0.668926 # DEPENDENCYPART_ARC
(4,14),-1.40521 # DEPENDENCYPART_ARC
(4,15),-3.46221 # DEPENDENCYPART_ARC
(4,16),-2.82004 # DEPENDENCYPART_ARC
(4,17),-1.37949 # DEPENDENCYPART_ARC
(4,18),-3.0977 # DEPENDENCYPART_ARC
(4,19),-1.69953 # DEPENDENCYPART_ARC
(4,21),-0.229624 # DEPENDENCYPART_ARC
(5,2),-0.111576 # DEPENDENCYPART_ARC
(5,4),0.409939 # DEPENDENCYPART_ARC
(5,6),-0.0930548 # DEPENDENCYPART_ARC
(5,7),-0.595358 # DEPENDENCYPART_ARC
(5,8),-0.725039 # DEPENDENCYPART_ARC
(5,9),-0.895552 # DEPENDENCYPART_ARC
(5,10),-0.665467 # DEPENDENCYPART_ARC
(5,11),-0.931542 # DEPENDENCYPART_ARC
(5,12),-1.12133 # DEPENDENCYPART_ARC
(5,13),-1.11116 # DEPENDENCYPART_ARC
(5,14),-1.26016 # DEPENDENCYPART_ARC
(5,15),-1.99012 # DEPENDENCYPART_ARC
(5,16),-2.20437 # DEPENDENCYPART_ARC
(5,18),-2.30574 # DEPENDENCYPART_ARC
(5,19),-1.89093 # DEPENDENCYPART_ARC
(5,21),-1.29936 # DEPENDENCYPART_ARC
(6,1),-1.17296 # DEPENDENCYPART_ARC
(6,2),1.5942 # DEPENDENCYPART_ARC
(6,3),-0.891694 # DEPENDENCYPART_ARC
(6,4),2.53109 # DEPENDENCYPART_ARC
(6,5),2.83547 # DEPENDENCYPART_ARC
(6,7),3.19561 # DEPENDENCYPART_ARC
(6,8),2.38821 # DEPENDENCYPART_ARC
(6,9),1.74977 # DEPENDENCYPART_ARC
(6,10),1.09714 # DEPENDENCYPART_ARC
(6,11),0.0254808 # DEPENDENCYPART_ARC
(6,12),0.921752 # DEPENDENCYPART_ARC
(6,13),0.655545 # DEPENDENCYPART_ARC
(6,14),-0.960755 # DEPENDENCYPART_ARC
(6,15),-1.14192 # DEPENDENCYPART_ARC
(6,16),-1.82873 # DEPENDENCYPART_ARC
(6,17),-0.834767 # DEPENDENCYPART_ARC
(6,18),-1.58207 # DEPENDENCYPART_ARC
(6,19),0.992209 # DEPENDENCYPART_ARC
(6,20),0.138981 # DEPENDENCYPART_ARC
(6,21),2.02612 # DEPENDENCYPART_ARC
(7,1),-1.33174 # DEPENDENCYPART_ARC
(7,2),-0.434029 # DEPENDENCYPART_ARC
(7,3),-1.10255 # DEPENDENCYPART_ARC
(7,4),-0.619462 # DEPENDENCYPART_ARC
(7,5),0.030099 # DEPENDENCYPART_ARC
(7,6),-0.142324 # DEPENDENCYPART_ARC
(7,8),0.392227 # DEPENDENCYPART_ARC
(7,9),0.222788 # DEPENDENCYPART_ARC
(7,10),-0.0236416 # DEPENDENCYPART_ARC
(7,11),-0.663797 # DEPENDENCYPART_ARC
(7,12),-0.653096 # DEPENDENCYPART_ARC
(7,13),0.322512 # DEPENDENCYPART_ARC
(7,14),-0.740058 # DEPENDENCYPART_ARC
(7,15),-1.02454 # DEPENDENCYPART_ARC
(7,16),-0.818358 # DEPENDENCYPART_ARC
(7,17),-0.574708 # DEPENDENCYPART_ARC
(7,18),-1.30868 # DEPENDENCYPART_ARC
(7,19),-0.897619 # DEPENDENCYPART_ARC
(7,20),-0.92506 # DEPENDENCYPART_ARC
(7,21),0.870296 # DEPENDENCYPART_ARC
(8,1),-1.10768 # DEPENDENCYPART_ARC
(8,2),0.0209316 # DEPENDENCYPART_ARC
(8,3),-1.03677 # DEPENDENCYPART_ARC
(8,4),2.04596 # DEPENDENCYPART_ARC
(8,5),1.03235 # DEPENDENCYPART_ARC
(8,6),-0.428134 # DEPENDENCYPART_ARC
(8,7),0.45242 # DEPENDENCYPART_ARC
(8,9),1.40339 # DEPENDENCYPART_ARC
(8,10),0.451192 # DEPENDENCYPART_ARC
(8,11),-0.41126 # DEPENDENCYPART_ARC
(8,12),0.427465 # DEPENDENCYPART_ARC
(8,13),0.0387276 # DEPENDENCYPART_ARC
(8,14),-0.129751 # DEPENDENCYPART_ARC
(8,15),-1.04396 # DEPENDENCYPART_ARC
(8,16),-3.45176 # DEPENDENCYPART_ARC
(8,17),-0.832578 # DEPENDENCYPART_ARC
(8,18),-1.2252 # DEPENDENCYPART_ARC
(8,19),0.242731 # DEPENDENCYPART_ARC
(8,20),-0.722335 # DEPENDENCYPART_ARC
(8,21),1.42011 # DEPENDENCYPART_ARC
(10,1),-1.3037 # DEPENDENCYPART_ARC
(10,2),-1.00677 # DEPENDENCYPART_ARC
(10,3),-1.12819 # DEPENDENCYPART_ARC
(10,4),-0.957005 # DEPENDENCYPART_ARC
(10,5),0.0660167 # DEPENDENCYPART_ARC
(10,6),1.62559 # DEPENDENCYPART_ARC
(10,7),0.57134 # DEPENDENCYPART_ARC
(10,8),0.850406 # DEPENDENCYPART_ARC
(10,9),1.72549 # DEPENDENCYPART_ARC
(10,11),-0.0486007 # DEPENDENCYPART_ARC
(10,12),1.78248 # DEPENDENCYPART_ARC
(10,13),0.584981 # DEPENDENCYPART_ARC
(10,14),-0.280132 # DEPENDENCYPART_ARC
(10,15),-0.825905 # DEPENDENCYPART_ARC
(10,16),-0.895767 # DEPENDENCYPART_ARC
(10,17),-0.405364 # DEPENDENCYPART_ARC
(10,18),-1.15418 # DEPENDENCYPART_ARC
(10,19),0.861802 # DEPENDENCYPART_ARC
(10,21),2.45427 # DEPENDENCYPART_ARC
(11,1),-1.58709 # DEPENDENCYPART_ARC
(11,2),-1.30918 # DEPENDENCYPART_ARC
(11,3),-1.3674 # DEPENDENCYPART_ARC
(11,4),-1.33832 # DEPENDENCYPART_ARC
(11,5),-0.820954 # DEPENDENCYPART_ARC
(11,6),-0.745991 # DEPENDENCYPART_ARC
(11,7),-0.633799 # DEPENDENCYPART_ARC
(11,8),-0.241384 # DEPENDENCYPART_ARC
(11,9),-0.316162 # DEPENDENCYPART_ARC
(11,10),0.0611641 # DEPENDENCYPART_ARC
(11,12),0.227788 # DEPENDENCYPART_ARC
(11,13),-0.578874 # DEPENDENCYPART_ARC
(11,14),-0.746096 # DEPENDENCYPART_ARC
(11,15),-1.10915 # DEPENDENCYPART_ARC
(11,16),-1.08847 # DEPENDENCYPART_ARC
(11,17),-0.955685 # DEPENDENCYPART_ARC
(11,18),-1.35891 # DEPENDENCYPART_ARC
(11,19),-0.891032 # DEPENDENCYPART_ARC
