# _root_ Szőke leányka megkérdezi az óriást , óriás a copfos fiút , aki többnyire tudja a választ .
#goldHeads=2,3,0,5,3,3,3,10,10,7,7,14,14,7,16,14,3,
#predictedHeads=2,3,0,5,3,3,3,10,10,3,3,14,14,3,16,14,3,
(0,1),-1.71135 # DEPENDENCYPART_ARC
(0,2),-2.04867 # DEPENDENCYPART_ARC
(0,3),-0.577908 # DEPENDENCYPART_ARC
(0,4),-2.76339 # DEPENDENCYPART_ARC
(0,5),-3.27537 # DEPENDENCYPART_ARC
(0,6),-3.04421 # DEPENDENCYPART_ARC
(0,7),-3.12158 # DEPENDENCYPART_ARC
(0,8),-3.13628 # DEPENDENCYPART_ARC
(0,9),-2.7713 # DEPENDENCYPART_ARC
(0,10),-4.02556 # DEPENDENCYPART_ARC
(0,11),-3.62516 # DEPENDENCYPART_ARC
(0,12),-3.92783 # DEPENDENCYPART_ARC
(0,13),-2.71853 # DEPENDENCYPART_ARC
(0,14),-2.28918 # DEPENDENCYPART_ARC
(0,15),-3.31691 # DEPENDENCYPART_ARC
(0,16),-4.83118 # DEPENDENCYPART_ARC
(0,17),-4.81851 # DEPENDENCYPART_ARC
(1,2),-0.329557 # DEPENDENCYPART_ARC
(1,3),-0.428264 # DEPENDENCYPART_ARC
(1,4),-1.2488 # DEPENDENCYPART_ARC
(1,5),-1.58187 # DEPENDENCYPART_ARC
(1,6),-0.448516 # DEPENDENCYPART_ARC
(1,7),-1.55282 # DEPENDENCYPART_ARC
(1,8),-1.46048 # DEPENDENCYPART_ARC
(1,9),-1.60646 # DEPENDENCYPART_ARC
(1,10),-2.0174 # DEPENDENCYPART_ARC
(1,11),-0.539167 # DEPENDENCYPART_ARC
(1,12),-1.87495 # DEPENDENCYPART_ARC
(1,13),-1.20618 # DEPENDENCYPART_ARC
(1,14),-1.02317 # DEPENDENCYPART_ARC
(1,15),-1.6143 # DEPENDENCYPART_ARC
(1,16),-2.6961 # DEPENDENCYPART_ARC
(1,17),0.109484 # DEPENDENCYPART_ARC
(2,1),3.63179 # DEPENDENCYPART_ARC
(2,3),-0.206386 # DEPENDENCYPART_ARC
(2,4),-1.02736 # DEPENDENCYPART_ARC
(2,5),-1.22884 # DEPENDENCYPART_ARC
(2,6),-0.154206 # DEPENDENCYPART_ARC
(2,7),-0.92087 # DEPENDENCYPART_ARC
(2,8),-1.2328 # DEPENDENCYPART_ARC
(2,9),-1.39189 # DEPENDENCYPART_ARC
(2,10),-1.3297 # DEPENDENCYPART_ARC
(2,11),-0.170648 # DEPENDENCYPART_ARC
(2,12),-1.62357 # DEPENDENCYPART_ARC
(2,13),-0.808043 # DEPENDENCYPART_ARC
(2,14),-0.707104 # DEPENDENCYPART_ARC
(2,15),-1.47129 # DEPENDENCYPART_ARC
(2,16),-2.41089 # DEPENDENCYPART_ARC
(2,17),0.787516 # DEPENDENCYPART_ARC
(3,1),0.940621 # DEPENDENCYPART_ARC
(3,2),3.85607 # DEPENDENCYPART_ARC
(3,4),0.0682448 # DEPENDENCYPART_ARC
(3,5),3.6105 # DEPENDENCYPART_ARC
(3,6),1.76529 # DEPENDENCYPART_ARC
(3,7),1.57859 # DEPENDENCYPART_ARC
(3,8),-0.538686 # DEPENDENCYPART_ARC
(3,9),-0.801127 # DEPENDENCYPART_ARC
(3,10),2.29492 # DEPENDENCYPART_ARC
(3,11),1.94734 # DEPENDENCYPART_ARC
(3,12),-0.32228 # DEPENDENCYPART_ARC
(3,13),0.433426 # DEPENDENCYPART_ARC
(3,14),1.28553 # DEPENDENCYPART_ARC
