# _root_ Sokan őt okolták ugyanis a vereségért , hiszen a nevéhez fűződött például az 1993-as , nagy port kavart MDF-Fidesz-székházügy .
#goldHeads=3,3,8,3,6,3,8,0,10,11,8,11,19,19,19,17,18,19,11,8,
#predictedHeads=3,3,8,3,6,3,8,0,10,11,8,11,17,19,19,17,18,19,11,8,
(0,1),-1.74723 # DEPENDENCYPART_ARC
(0,2),-2.59809 # DEPENDENCYPART_ARC
(0,3),-0.47092 # DEPENDENCYPART_ARC
(0,4),-0.703644 # DEPENDENCYPART_ARC
(0,5),-2.68827 # DEPENDENCYPART_ARC
(0,6),-3.14265 # DEPENDENCYPART_ARC
(0,7),-2.83141 # DEPENDENCYPART_ARC
(0,8),0.613458 # DEPENDENCYPART_ARC
(0,9),-2.95865 # DEPENDENCYPART_ARC
(0,10),-3.61832 # DEPENDENCYPART_ARC
(0,11),-1.13304 # DEPENDENCYPART_ARC
(0,12),-2.29379 # DEPENDENCYPART_ARC
(0,13),-2.78525 # DEPENDENCYPART_ARC
(0,14),-2.31351 # DEPENDENCYPART_ARC
(0,15),-3.27126 # DEPENDENCYPART_ARC
(0,16),-1.93211 # DEPENDENCYPART_ARC
(0,17),-3.93358 # DEPENDENCYPART_ARC
(0,18),-2.64981 # DEPENDENCYPART_ARC
(0,19),-4.29373 # DEPENDENCYPART_ARC
(0,20),-4.68017 # DEPENDENCYPART_ARC
(1,2),-0.689466 # DEPENDENCYPART_ARC
(1,3),-0.0234353 # DEPENDENCYPART_ARC
(1,4),-0.258074 # DEPENDENCYPART_ARC
(1,5),-1.01505 # DEPENDENCYPART_ARC
(1,6),-0.940284 # DEPENDENCYPART_ARC
(1,7),-0.548736 # DEPENDENCYPART_ARC
(1,8),-0.296719 # DEPENDENCYPART_ARC
(1,9),-1.22441 # DEPENDENCYPART_ARC
(1,10),-1.74661 # DEPENDENCYPART_ARC
(1,11),-0.775406 # DEPENDENCYPART_ARC
(1,12),-1.0394 # DEPENDENCYPART_ARC
(1,13),-1.25033 # DEPENDENCYPART_ARC
(1,14),-1.58089 # DEPENDENCYPART_ARC
(1,15),-1.21054 # DEPENDENCYPART_ARC
(1,16),-1.6196 # DEPENDENCYPART_ARC
(1,17),-2.06502 # DEPENDENCYPART_ARC
(1,18),-1.64847 # DEPENDENCYPART_ARC
(1,19),-2.07592 # DEPENDENCYPART_ARC
(1,20),-0.0595343 # DEPENDENCYPART_ARC
(2,1),0.278142 # DEPENDENCYPART_ARC
(2,3),0.107777 # DEPENDENCYPART_ARC
(2,4),-0.338307 # DEPENDENCYPART_ARC
(2,5),-1.18095 # DEPENDENCYPART_ARC
(2,6),-0.344549 # DEPENDENCYPART_ARC
(2,7),-0.159437 # DEPENDENCYPART_ARC
(2,8),0.185338 # DEPENDENCYPART_ARC
(2,9),-1.26949 # DEPENDENCYPART_ARC
(2,10),-1.31626 # DEPENDENCYPART_ARC
(2,11),1.4217 # DEPENDENCYPART_ARC
(2,12),-0.204118 # DEPENDENCYPART_ARC
(2,13),-1.04984 # DEPENDENCYPART_ARC
(2,14),-0.8923 # DEPENDENCYPART_ARC
(2,15),0.0764211 # DEPENDENCYPART_ARC
(2,16),-0.862688 # DEPENDENCYPART_ARC
(2,17),-1.10826 # DEPENDENCYPART_ARC
(2,18),-0.676622 # DEPENDENCYPART_ARC
(2,19),-0.534634 # DEPENDENCYPART_ARC
(2,20),0.15433 # DEPENDENCYPART_ARC
(3,1),2.18602 # DEPENDENCYPART_ARC
(3,2),2.60085 # DEPENDENCYPART_ARC
(3,4),2.66701 # DEPENDENCYPART_ARC
(3,5),0.439949 # DEPENDENCYPART_ARC
(3,6),2.59028 # DEPENDENCYPART_ARC
(3,7),1.95117 # DEPENDENCYPART_ARC
(3,8),1.62257 # DEPENDENCYPART_ARC
(3,9),-0.15268 # DEPENDENCYPART_ARC
(3,10),0.0560748 # DEPENDENCYPART_ARC
(3,11),0.927386 # DEPENDENCYPART_ARC
(3,12),0.933681 # DEPENDENCYPART_ARC
(3,13),-0.228172 # DEPENDENCYPART_ARC
(3,14),-1.16784 # DEPENDENCYPART_ARC
(3,15),0.327161 # DEPENDENCYPART_ARC
(3,16),-1.60974 # DEPENDENCYPART_ARC
(3,17),-1.15418 # DEPENDENCYPART_ARC
(3,18),-1.46647 # DEPENDENCYPART_ARC
(3,19),-1.15886 # DEPENDENCYPART_ARC
(3,20),2.78616 # DEPENDENCYPART_ARC
(4,1),-0.0255654 # DEPENDENCYPART_ARC
(4,2),-1.03548 # DEPENDENCYPART_ARC
(4,3),1.35859 # DEPENDENCYPART_ARC
(4,5),-0.000861232 # DEPENDENCYPART_ARC
(4,6),0.729456 # DEPENDENCYPART_ARC
(4,7),0.409586 # DEPENDENCYPART_ARC
(4,8),0.354398 # DEPENDENCYPART_ARC
(4,9),-0.434974 # DEPENDENCYPART_ARC
(4,10),-0.462099 # DEPENDENCYPART_ARC
(4,11),0.870326 # DEPENDENCYPART_ARC
(4,12),-0.0663603 # DEPENDENCYPART_ARC
(4,13),-0.373691 # DEPENDENCYPART_ARC
(4,14),-0.0472657 # DEPENDENCYPART_ARC
(4,15),0.639268 # DEPENDENCYPART_ARC
(4,16),-0.231356 # DEPENDENCYPART_ARC
(4,17),-0.618931 # DEPENDENCYPART_ARC
(4,18),-0.186069 # DEPENDENCYPART_ARC
(4,19),-0.485312 # DEPENDENCYPART_ARC
(4,20),2.01572 # DEPENDENCYPART_ARC
(5,1),-1.61846 # DEPENDENCYPART_ARC
(5,2),-2.05656 # DEPENDENCYPART_ARC
(5,3),-1.42881 # DEPENDENCYPART_ARC
(5,4),-0.407352 # DEPENDENCYPART_ARC
(5,6),-0.055648 # DEPENDENCYPART_ARC
(5,7),0.155303 # DEPENDENCYPART_ARC
(5,8),-0.367257 # DEPENDENCYPART_ARC
(5,9),-0.481201 # DEPENDENCYPART_ARC
(5,10),-1.18822 # DEPENDENCYPART_ARC
(5,11),-0.906969 # DEPENDENCYPART_ARC
