# _root_ Az oroszok azonban feltűnően békésen viselkednek , s egyelőre semmi jele annak , hogy a katonák erőszakos akcióra készülnének .
#goldHeads=2,6,6,5,6,8,8,0,14,11,14,14,14,8,16,19,18,19,14,8,
#predictedHeads=2,6,6,6,6,8,8,0,14,11,14,14,14,6,16,19,18,19,12,8,
(0,2),-2.47322 # DEPENDENCYPART_ARC
(0,3),-2.08469 # DEPENDENCYPART_ARC
(0,4),-1.9987 # DEPENDENCYPART_ARC
(0,5),-2.43165 # DEPENDENCYPART_ARC
(0,6),-0.720384 # DEPENDENCYPART_ARC
(0,8),0.424325 # DEPENDENCYPART_ARC
(0,9),-2.64918 # DEPENDENCYPART_ARC
(0,10),-2.74876 # DEPENDENCYPART_ARC
(0,11),-3.41661 # DEPENDENCYPART_ARC
(0,12),-3.30331 # DEPENDENCYPART_ARC
(0,14),-1.42985 # DEPENDENCYPART_ARC
(0,16),-3.62711 # DEPENDENCYPART_ARC
(0,17),-2.83243 # DEPENDENCYPART_ARC
(0,18),-4.1282 # DEPENDENCYPART_ARC
(0,19),-2.1253 # DEPENDENCYPART_ARC
(1,2),-0.66393 # DEPENDENCYPART_ARC
(1,3),-1.00371 # DEPENDENCYPART_ARC
(1,4),-1.03178 # DEPENDENCYPART_ARC
(1,5),-1.00764 # DEPENDENCYPART_ARC
(1,7),-0.614358 # DEPENDENCYPART_ARC
(1,8),-0.912641 # DEPENDENCYPART_ARC
(1,11),-2.18701 # DEPENDENCYPART_ARC
(1,13),-1.01762 # DEPENDENCYPART_ARC
(1,16),-2.15943 # DEPENDENCYPART_ARC
(1,17),-1.65758 # DEPENDENCYPART_ARC
(1,18),-2.31907 # DEPENDENCYPART_ARC
(2,1),2.9415 # DEPENDENCYPART_ARC
(2,3),-0.764514 # DEPENDENCYPART_ARC
(2,4),-0.793121 # DEPENDENCYPART_ARC
(2,5),-0.796957 # DEPENDENCYPART_ARC
(2,6),-0.872849 # DEPENDENCYPART_ARC
(2,7),-0.637032 # DEPENDENCYPART_ARC
(2,8),-0.833667 # DEPENDENCYPART_ARC
(2,9),-0.966438 # DEPENDENCYPART_ARC
(2,10),-1.71613 # DEPENDENCYPART_ARC
(2,11),-2.82256 # DEPENDENCYPART_ARC
(2,12),-1.94814 # DEPENDENCYPART_ARC
(2,13),-1.23088 # DEPENDENCYPART_ARC
(2,14),-1.16307 # DEPENDENCYPART_ARC
(2,15),-1.71484 # DEPENDENCYPART_ARC
(2,16),-3.16872 # DEPENDENCYPART_ARC
(2,17),-1.88855 # DEPENDENCYPART_ARC
(2,18),-3.54336 # DEPENDENCYPART_ARC
(2,19),-1.66563 # DEPENDENCYPART_ARC
(2,20),0.147906 # DEPENDENCYPART_ARC
(3,1),-0.296153 # DEPENDENCYPART_ARC
(3,2),0.169552 # DEPENDENCYPART_ARC
(3,4),-0.498325 # DEPENDENCYPART_ARC
(3,5),-0.491578 # DEPENDENCYPART_ARC
(3,6),-0.0784966 # DEPENDENCYPART_ARC
(3,7),-0.154158 # DEPENDENCYPART_ARC
(3,8),-0.297072 # DEPENDENCYPART_ARC
(3,9),-0.788231 # DEPENDENCYPART_ARC
(3,10),-1.19006 # DEPENDENCYPART_ARC
(3,11),-0.891708 # DEPENDENCYPART_ARC
(3,12),-1.31727 # DEPENDENCYPART_ARC
(3,13),-0.547827 # DEPENDENCYPART_ARC
(3,14),0.172095 # DEPENDENCYPART_ARC
(3,15),-1.38066 # DEPENDENCYPART_ARC
(3,16),-1.1397 # DEPENDENCYPART_ARC
(3,17),-1.17522 # DEPENDENCYPART_ARC
(3,18),-1.40152 # DEPENDENCYPART_ARC
(3,19),-2.18494 # DEPENDENCYPART_ARC
(3,20),0.651156 # DEPENDENCYPART_ARC
(4,1),-0.42533 # DEPENDENCYPART_ARC
(4,2),-0.974175 # DEPENDENCYPART_ARC
(4,3),0.602314 # DEPENDENCYPART_ARC
(4,5),-0.321968 # DEPENDENCYPART_ARC
(4,6),-0.483052 # DEPENDENCYPART_ARC
(4,7),-0.257901 # DEPENDENCYPART_ARC
