# _root_ Magához inti Miradia_Gosit , a 13 éves , síró kislányt .
#goldHeads=2,0,2,2,10,7,10,10,10,2,2,
#predictedHeads=2,0,2,2,10,7,10,10,10,2,2,
(0,2),0.00561898 # DEPENDENCYPART_ARC
(0,3),-2.30017 # DEPENDENCYPART_ARC
(0,6),-2.49035 # DEPENDENCYPART_ARC
(0,7),-2.8869 # DEPENDENCYPART_ARC
(0,9),-3.14781 # DEPENDENCYPART_ARC
(0,10),-4.77022 # DEPENDENCYPART_ARC
(1,5),-1.01537 # DEPENDENCYPART_ARC
(2,1),3.32513 # DEPENDENCYPART_ARC
(2,3),2.6046 # DEPENDENCYPART_ARC
(2,4),1.51999 # DEPENDENCYPART_ARC
(2,5),-0.708065 # DEPENDENCYPART_ARC
(2,6),-0.341699 # DEPENDENCYPART_ARC
(2,7),-0.505372 # DEPENDENCYPART_ARC
(2,8),0.695855 # DEPENDENCYPART_ARC
(2,9),-1.18622 # DEPENDENCYPART_ARC
(2,10),0.864971 # DEPENDENCYPART_ARC
(2,11),1.96872 # DEPENDENCYPART_ARC
(3,2),0.391764 # DEPENDENCYPART_ARC
(3,4),0.251029 # DEPENDENCYPART_ARC
(3,5),-0.892171 # DEPENDENCYPART_ARC
(3,6),-0.409332 # DEPENDENCYPART_ARC
(3,7),-0.220687 # DEPENDENCYPART_ARC
(3,8),-0.0821058 # DEPENDENCYPART_ARC
(3,9),-0.648191 # DEPENDENCYPART_ARC
(3,10),-1.03849 # DEPENDENCYPART_ARC
(3,11),0.252427 # DEPENDENCYPART_ARC
(5,3),-1.70943 # DEPENDENCYPART_ARC
(5,4),-0.300343 # DEPENDENCYPART_ARC
(5,7),0.352677 # DEPENDENCYPART_ARC
(5,8),0.152511 # DEPENDENCYPART_ARC
(5,9),0.0716996 # DEPENDENCYPART_ARC
(5,10),-1.05214 # DEPENDENCYPART_ARC
(6,2),-1.52094 # DEPENDENCYPART_ARC
(6,3),-0.795048 # DEPENDENCYPART_ARC
(6,4),-0.885008 # DEPENDENCYPART_ARC
(6,5),0.581543 # DEPENDENCYPART_ARC
(6,7),-0.494061 # DEPENDENCYPART_ARC
(6,8),-0.399444 # DEPENDENCYPART_ARC
(6,9),-1.02624 # DEPENDENCYPART_ARC
(6,10),-1.68831 # DEPENDENCYPART_ARC
(6,11),-0.798171 # DEPENDENCYPART_ARC
(7,1),-0.171641 # DEPENDENCYPART_ARC
(7,2),-0.411241 # DEPENDENCYPART_ARC
(7,3),-0.991548 # DEPENDENCYPART_ARC
(7,4),0.489012 # DEPENDENCYPART_ARC
(7,5),0.6946 # DEPENDENCYPART_ARC
(7,6),2.6569 # DEPENDENCYPART_ARC
(7,8),0.247847 # DEPENDENCYPART_ARC
(7,9),-0.767511 # DEPENDENCYPART_ARC
(7,10),-1.24212 # DEPENDENCYPART_ARC
(7,11),-0.318828 # DEPENDENCYPART_ARC
(9,1),-0.714132 # DEPENDENCYPART_ARC
(9,2),-0.801546 # DEPENDENCYPART_ARC
(9,3),-1.80608 # DEPENDENCYPART_ARC
(9,4),-0.354063 # DEPENDENCYPART_ARC
(9,5),-0.140239 # DEPENDENCYPART_ARC
(9,6),0.391134 # DEPENDENCYPART_ARC
(9,7),0.122236 # DEPENDENCYPART_ARC
(9,8),0.70677 # DEPENDENCYPART_ARC
(9,10),-0.820638 # DEPENDENCYPART_ARC
(9,11),-1.02258 # DEPENDENCYPART_ARC
(10,1),-1.03294 # DEPENDENCYPART_ARC
(10,2),-1.14451 # DEPENDENCYPART_ARC
(10,3),0.174222 # DEPENDENCYPART_ARC
(10,4),-0.0438096 # DEPENDENCYPART_ARC
(10,5),2.03532 # DEPENDENCYPART_ARC
(10,6),1.06743 # DEPENDENCYPART_ARC
(10,7),2.15255 # DEPENDENCYPART_ARC
(10,8),2.08111 # DEPENDENCYPART_ARC
(10,9),3.39667 # DEPENDENCYPART_ARC
(10,11),-0.054532 # DEPENDENCYPART_ARC
