# _root_ Nem vitás , ez a helyi fórum nem tartozott a térségi lapok élgárdájába , sőt !
#goldHeads=2,0,2,7,7,7,9,9,2,12,12,13,9,9,9,2,
#predictedHeads=2,7,2,9,7,7,9,9,0,12,12,13,9,9,9,9,
(0,1),-1.58589 # DEPENDENCYPART_ARC
(0,2),-1.82084 # DEPENDENCYPART_ARC
(0,4),-2.53753 # DEPENDENCYPART_ARC
(0,6),-2.77078 # DEPENDENCYPART_ARC
(0,7),-3.8048 # DEPENDENCYPART_ARC
(0,8),-2.474 # DEPENDENCYPART_ARC
(0,9),-1.13258 # DEPENDENCYPART_ARC
(0,11),-2.83499 # DEPENDENCYPART_ARC
(0,12),-4.35121 # DEPENDENCYPART_ARC
(0,13),-4.45795 # DEPENDENCYPART_ARC
(0,15),-2.41727 # DEPENDENCYPART_ARC
(1,2),-0.126292 # DEPENDENCYPART_ARC
(1,3),-0.244613 # DEPENDENCYPART_ARC
(1,4),-1.06186 # DEPENDENCYPART_ARC
(1,6),-0.811699 # DEPENDENCYPART_ARC
(1,7),-1.14915 # DEPENDENCYPART_ARC
(1,8),-1.0981 # DEPENDENCYPART_ARC
(1,9),-0.633634 # DEPENDENCYPART_ARC
(1,11),-1.31313 # DEPENDENCYPART_ARC
(1,12),-1.80908 # DEPENDENCYPART_ARC
(1,13),-1.84776 # DEPENDENCYPART_ARC
(1,14),-0.734366 # DEPENDENCYPART_ARC
(1,16),0.0382847 # DEPENDENCYPART_ARC
(2,1),1.07343 # DEPENDENCYPART_ARC
(2,3),0.861769 # DEPENDENCYPART_ARC
(2,4),-0.607395 # DEPENDENCYPART_ARC
(2,5),-0.571994 # DEPENDENCYPART_ARC
(2,6),-0.536153 # DEPENDENCYPART_ARC
(2,7),-0.45033 # DEPENDENCYPART_ARC
(2,8),-0.31079 # DEPENDENCYPART_ARC
(2,9),0.396656 # DEPENDENCYPART_ARC
(2,10),-0.854989 # DEPENDENCYPART_ARC
(2,11),-0.957914 # DEPENDENCYPART_ARC
(2,12),-1.19701 # DEPENDENCYPART_ARC
(2,13),-1.45639 # DEPENDENCYPART_ARC
(2,14),0.118708 # DEPENDENCYPART_ARC
(2,15),-0.483759 # DEPENDENCYPART_ARC
(2,16),0.71298 # DEPENDENCYPART_ARC
(4,1),0.471412 # DEPENDENCYPART_ARC
(4,2),-0.509265 # DEPENDENCYPART_ARC
(4,3),0.420394 # DEPENDENCYPART_ARC
(4,5),-0.644314 # DEPENDENCYPART_ARC
(4,6),-0.230302 # DEPENDENCYPART_ARC
(4,7),0.2303 # DEPENDENCYPART_ARC
(4,8),0.0606905 # DEPENDENCYPART_ARC
(4,9),0.684938 # DEPENDENCYPART_ARC
(4,10),-0.69896 # DEPENDENCYPART_ARC
(4,11),-0.438803 # DEPENDENCYPART_ARC
(4,12),0.0997093 # DEPENDENCYPART_ARC
(4,13),-0.323934 # DEPENDENCYPART_ARC
(4,14),0.589017 # DEPENDENCYPART_ARC
(4,15),0.111655 # DEPENDENCYPART_ARC
(4,16),0.696622 # DEPENDENCYPART_ARC
(5,2),-1.47371 # DEPENDENCYPART_ARC
(5,3),-1.22346 # DEPENDENCYPART_ARC
(5,6),0.311407 # DEPENDENCYPART_ARC
(5,7),-0.5505 # DEPENDENCYPART_ARC
(5,11),-0.762612 # DEPENDENCYPART_ARC
(5,12),-1.49075 # DEPENDENCYPART_ARC
(5,13),-1.97756 # DEPENDENCYPART_ARC
(5,14),-0.648914 # DEPENDENCYPART_ARC
(6,1),-1.56126 # DEPENDENCYPART_ARC
(6,2),-1.97686 # DEPENDENCYPART_ARC
(6,3),-1.33168 # DEPENDENCYPART_ARC
(6,4),-1.34177 # DEPENDENCYPART_ARC
(6,5),0.33532 # DEPENDENCYPART_ARC
(6,7),-0.827938 # DEPENDENCYPART_ARC
(6,8),-1.305 # DEPENDENCYPART_ARC
(6,9),-0.995146 # DEPENDENCYPART_ARC
(6,10),-1.90118 # DEPENDENCYPART_ARC
(6,11),-1.89003 # DEPENDENCYPART_ARC
(6,12),-2.21882 # DEPENDENCYPART_ARC
(6,13),-2.38408 # DEPENDENCYPART_ARC
(6,14),-0.964921 # DEPENDENCYPART_ARC
(6,15),-1.53878 # DEPENDENCYPART_ARC
(6,16),-1.1532 # DEPENDENCYPART_ARC
(7,1),-0.690982 # DEPENDENCYPART_ARC
(7,2),0.0810913 # DEPENDENCYPART_ARC
(7,3),0.341109 # DEPENDENCYPART_ARC
(7,4),0.952819 # DEPENDENCYPART_ARC
(7,5),2.8981 # DEPENDENCYPART_ARC
(7,6),3.75724 # DEPENDENCYPART_ARC
(7,8),-0.640322 # DEPENDENCYPART_ARC
(7,9),-0.57347 # DEPENDENCYPART_ARC
(7,10),-1.0146 # DEPENDENCYPART_ARC
(7,11),-1.13971 # DEPENDENCYPART_ARC
(7,12),-1.11589 # DEPENDENCYPART_ARC
(7,13),-1.62885 # DEPENDENCYPART_ARC
(7,14),-0.117365 # DEPENDENCYPART_ARC
(7,15),-0.706046 # DEPENDENCYPART_ARC
(7,16),-0.297004 # DEPENDENCYPART_ARC
(8,1),-0.172466 # DEPENDENCYPART_ARC
(8,2),-0.632706 # DEPENDENCYPART_ARC
(8,3),-0.268356 # DEPENDENCYPART_ARC
(8,4),-0.321892 # DEPENDENCYPART_ARC
(8,6),-0.171705 # DEPENDENCYPART_ARC
(8,7),0.520706 # DEPENDENCYPART_ARC
(8,9),0.12938 # DEPENDENCYPART_ARC
(8,11),-0.461869 # DEPENDENCYPART_ARC
(8,12),-0.765342 # DEPENDENCYPART_ARC
(8,13),-0.719043 # DEPENDENCYPART_ARC
(8,14),-0.398034 # DEPENDENCYPART_ARC
(8,16),-0.278449 # DEPENDENCYPART_ARC
(9,1),0.862638 # DEPENDENCYPART_ARC
(9,2),-0.426992 # DEPENDENCYPART_ARC
(9,3),0.427233 # DEPENDENCYPART_ARC
(9,4),0.980304 # DEPENDENCYPART_ARC
(9,5),-0.487234 # DEPENDENCYPART_ARC
(9,6),0.462323 # DEPENDENCYPART_ARC
(9,7),2.593 # DEPENDENCYPART_ARC
(9,8),3.31083 # DEPENDENCYPART_ARC
(9,10),0.137972 # DEPENDENCYPART_ARC
(9,11),0.560092 # DEPENDENCYPART_ARC
(9,12),1.43446 # DEPENDENCYPART_ARC
(9,13),3.68153 # DEPENDENCYPART_ARC
(9,14),1.80005 # DEPENDENCYPART_ARC
(9,15),0.865439 # DEPENDENCYPART_ARC
(9,16),1.74169 # DEPENDENCYPART_ARC
(10,2),-2.27825 # DEPENDENCYPART_ARC
(10,3),-1.6867 # DEPENDENCYPART_ARC
(10,6),-2.05049 # DEPENDENCYPART_ARC
(10,7),-2.90641 # DEPENDENCYPART_ARC
(10,11),0.271897 # DEPENDENCYPART_ARC
(10,12),-0.663316 # DEPENDENCYPART_ARC
(10,13),-1.46019 # DEPENDENCYPART_ARC
(10,14),-0.52294 # DEPENDENCYPART_ARC
(11,1),-1.70539 # DEPENDENCYPART_ARC
(11,2),-2.40933 # DEPENDENCYPART_ARC
(11,3),-1.52602 # DEPENDENCYPART_ARC
(11,4),-2.29037 # DEPENDENCYPART_ARC
(11,5),-1.3959 # DEPENDENCYPART_ARC
(11,6),-1.79664 # DEPENDENCYPART_ARC
(11,7),-2.52226 # DEPENDENCYPART_ARC
(11,8),-0.991164 # DEPENDENCYPART_ARC
(11,9),-1.21226 # DEPENDENCYPART_ARC
(11,10),1.00484 # DEPENDENCYPART_ARC
(11,12),-1.05708 # DEPENDENCYPART_ARC
(11,13),-1.40198 # DEPENDENCYPART_ARC
(11,14),-0.686394 # DEPENDENCYPART_ARC
(11,15),-1.21744 # DEPENDENCYPART_ARC
(11,16),-1.27576 # DEPENDENCYPART_ARC
(12,1),-1.10953 # DEPENDENCYPART_ARC
(12,2),-1.64 # DEPENDENCYPART_ARC
(12,3),-0.715491 # DEPENDENCYPART_ARC
(12,4),-1.35014 # DEPENDENCYPART_ARC
(12,5),-0.078425 # DEPENDENCYPART_ARC
(12,6),0.0856124 # DEPENDENCYPART_ARC
