# _root_ Nyilván a riválisok is kíváncsiak az összetételére , mert a kidolgozók mindössze annyit hajlandók elárulni róla , hogy " ez egy polimerszerű folyadék " .
#goldHeads=9,3,9,9,9,7,9,9,0,11,15,15,15,15,9,15,15,15,15,13,23,23,13,9,9,
#predictedHeads=9,3,7,5,9,7,5,9,0,11,15,15,14,15,9,15,18,15,18,23,23,23,13,23,9,
(0,1),-1.62187 # DEPENDENCYPART_ARC
(0,2),-2.36977 # DEPENDENCYPART_ARC
(0,3),-2.81924 # DEPENDENCYPART_ARC
(0,4),-2.07508 # DEPENDENCYPART_ARC
(0,5),-1.93382 # DEPENDENCYPART_ARC
(0,6),-2.66749 # DEPENDENCYPART_ARC
(0,7),-3.65219 # DEPENDENCYPART_ARC
(0,8),-3.07429 # DEPENDENCYPART_ARC
(0,9),-0.962776 # DEPENDENCYPART_ARC
(0,10),-2.98941 # DEPENDENCYPART_ARC
(0,11),-3.78973 # DEPENDENCYPART_ARC
(0,12),-2.55382 # DEPENDENCYPART_ARC
(0,13),-3.46588 # DEPENDENCYPART_ARC
(0,14),-2.59196 # DEPENDENCYPART_ARC
(0,15),-2.29473 # DEPENDENCYPART_ARC
(0,16),-2.41584 # DEPENDENCYPART_ARC
(0,17),-3.45446 # DEPENDENCYPART_ARC
(0,18),-1.62083 # DEPENDENCYPART_ARC
(0,19),-3.11154 # DEPENDENCYPART_ARC
(0,20),-2.6019 # DEPENDENCYPART_ARC
(0,21),-2.59521 # DEPENDENCYPART_ARC
(0,22),-2.79959 # DEPENDENCYPART_ARC
(0,23),-4.54327 # DEPENDENCYPART_ARC
(0,24),-3.41437 # DEPENDENCYPART_ARC
(0,25),-4.81286 # DEPENDENCYPART_ARC
(1,2),-0.447173 # DEPENDENCYPART_ARC
(1,3),0.0202508 # DEPENDENCYPART_ARC
(1,4),-0.0298254 # DEPENDENCYPART_ARC
(1,5),-0.260286 # DEPENDENCYPART_ARC
(1,6),-0.655923 # DEPENDENCYPART_ARC
(1,7),-0.325565 # DEPENDENCYPART_ARC
(1,8),-0.240526 # DEPENDENCYPART_ARC
(1,9),-0.16534 # DEPENDENCYPART_ARC
(1,10),-0.861492 # DEPENDENCYPART_ARC
(1,11),-0.984641 # DEPENDENCYPART_ARC
(1,12),-0.481856 # DEPENDENCYPART_ARC
(1,13),-0.862482 # DEPENDENCYPART_ARC
(1,14),-1.17699 # DEPENDENCYPART_ARC
(1,15),-0.250074 # DEPENDENCYPART_ARC
(1,16),-0.65693 # DEPENDENCYPART_ARC
(1,17),-1.04059 # DEPENDENCYPART_ARC
(1,18),-0.450949 # DEPENDENCYPART_ARC
(1,19),-0.405741 # DEPENDENCYPART_ARC
(1,20),-0.980197 # DEPENDENCYPART_ARC
(1,21),-1.13077 # DEPENDENCYPART_ARC
(1,22),-1.71384 # DEPENDENCYPART_ARC
(1,23),-1.86962 # DEPENDENCYPART_ARC
(1,24),-0.573544 # DEPENDENCYPART_ARC
(1,25),0.939207 # DEPENDENCYPART_ARC
(2,1),-0.534414 # DEPENDENCYPART_ARC
(2,3),-0.374326 # DEPENDENCYPART_ARC
(2,4),-0.765444 # DEPENDENCYPART_ARC
(2,5),-0.614215 # DEPENDENCYPART_ARC
(2,6),-0.853075 # DEPENDENCYPART_ARC
