# _root_ Szkuratov irodáját lepecsételték , az ügyészséget első helyettese , Jurij_Csajka irányítja egyelőre .
#goldHeads=2,3,0,3,6,11,8,11,11,11,3,11,3,
#predictedHeads=2,3,0,3,6,11,8,11,11,11,3,11,3,
(0,1),-1.70806 # DEPENDENCYPART_ARC
(0,2),-2.41891 # DEPENDENCYPART_ARC
(0,3),-0.111666 # DEPENDENCYPART_ARC
(0,4),-2.90554 # DEPENDENCYPART_ARC
(0,5),-2.80316 # DEPENDENCYPART_ARC
(0,6),-3.46645 # DEPENDENCYPART_ARC
(0,7),-2.84589 # DEPENDENCYPART_ARC
(0,8),-3.73378 # DEPENDENCYPART_ARC
(0,9),-3.53822 # DEPENDENCYPART_ARC
(0,10),-3.13864 # DEPENDENCYPART_ARC
(0,11),-1.03867 # DEPENDENCYPART_ARC
(0,12),-2.33072 # DEPENDENCYPART_ARC
(0,13),-4.33859 # DEPENDENCYPART_ARC
(1,2),-0.653299 # DEPENDENCYPART_ARC
(1,3),-0.379713 # DEPENDENCYPART_ARC
(1,4),-0.218613 # DEPENDENCYPART_ARC
(1,5),-1.24552 # DEPENDENCYPART_ARC
(1,6),-1.49098 # DEPENDENCYPART_ARC
(1,7),-0.680748 # DEPENDENCYPART_ARC
(1,8),-1.08211 # DEPENDENCYPART_ARC
(1,9),-0.273235 # DEPENDENCYPART_ARC
(1,10),-1.48688 # DEPENDENCYPART_ARC
(1,11),-0.599187 # DEPENDENCYPART_ARC
(1,12),-1.02454 # DEPENDENCYPART_ARC
(1,13),0.180351 # DEPENDENCYPART_ARC
(2,1),4.13583 # DEPENDENCYPART_ARC
(2,3),-0.95205 # DEPENDENCYPART_ARC
(2,4),-0.489728 # DEPENDENCYPART_ARC
(2,5),-1.17324 # DEPENDENCYPART_ARC
(2,6),-1.77169 # DEPENDENCYPART_ARC
(2,7),-1.10225 # DEPENDENCYPART_ARC
(2,8),-1.75071 # DEPENDENCYPART_ARC
(2,9),-0.350137 # DEPENDENCYPART_ARC
(2,10),-1.56365 # DEPENDENCYPART_ARC
(2,11),-1.68919 # DEPENDENCYPART_ARC
(2,12),-1.01864 # DEPENDENCYPART_ARC
(2,13),0.184736 # DEPENDENCYPART_ARC
(3,1),2.25584 # DEPENDENCYPART_ARC
(3,2),4.6276 # DEPENDENCYPART_ARC
(3,4),1.87722 # DEPENDENCYPART_ARC
(3,5),0.308112 # DEPENDENCYPART_ARC
(3,6),0.489928 # DEPENDENCYPART_ARC
(3,7),-0.462075 # DEPENDENCYPART_ARC
(3,8),0.434012 # DEPENDENCYPART_ARC
(3,9),0.864205 # DEPENDENCYPART_ARC
(3,10),-1.84748 # DEPENDENCYPART_ARC
(3,11),2.25094 # DEPENDENCYPART_ARC
(3,12),0.538319 # DEPENDENCYPART_ARC
(3,13),2.65425 # DEPENDENCYPART_ARC
(4,1),-2.54227 # DEPENDENCYPART_ARC
(4,2),-2.3019 # DEPENDENCYPART_ARC
(4,3),-0.993949 # DEPENDENCYPART_ARC
(4,5),-0.882302 # DEPENDENCYPART_ARC
(4,6),-1.34206 # DEPENDENCYPART_ARC
(4,7),-1.06601 # DEPENDENCYPART_ARC
(4,8),-1.86816 # DEPENDENCYPART_ARC
(4,9),-1.05528 # DEPENDENCYPART_ARC
(4,10),-2.17506 # DEPENDENCYPART_ARC
(4,11),-1.41311 # DEPENDENCYPART_ARC
(4,12),-1.3789 # DEPENDENCYPART_ARC
(4,13),-1.29567 # DEPENDENCYPART_ARC
(5,1),-2.1115 # DEPENDENCYPART_ARC
(5,2),-2.32041 # DEPENDENCYPART_ARC
(5,3),-0.800386 # DEPENDENCYPART_ARC
(5,4),-0.268726 # DEPENDENCYPART_ARC
(5,6),-0.285521 # DEPENDENCYPART_ARC
(5,7),-0.141187 # DEPENDENCYPART_ARC
(5,8),-0.833541 # DEPENDENCYPART_ARC
(5,9),-0.0983713 # DEPENDENCYPART_ARC
(5,10),-0.754044 # DEPENDENCYPART_ARC
(5,11),-0.940968 # DEPENDENCYPART_ARC
(5,12),-0.877491 # DEPENDENCYPART_ARC
(5,13),-1.05183 # DEPENDENCYPART_ARC
(6,1),-1.66122 # DEPENDENCYPART_ARC
(6,2),-4.02944 # DEPENDENCYPART_ARC
(6,3),-0.737907 # DEPENDENCYPART_ARC
(6,4),-0.593847 # DEPENDENCYPART_ARC
(6,5),3.20509 # DEPENDENCYPART_ARC
(6,7),-0.465365 # DEPENDENCYPART_ARC
(6,8),-0.356602 # DEPENDENCYPART_ARC
(6,9),0.301082 # DEPENDENCYPART_ARC
(6,10),-0.684992 # DEPENDENCYPART_ARC
(6,11),-0.323673 # DEPENDENCYPART_ARC
(6,12),-0.636649 # DEPENDENCYPART_ARC
(6,13),0.0273749 # DEPENDENCYPART_ARC
(7,1),-1.26368 # DEPENDENCYPART_ARC
(7,2),-2.28764 # DEPENDENCYPART_ARC
(7,3),-0.806444 # DEPENDENCYPART_ARC
(7,4),-0.758533 # DEPENDENCYPART_ARC
(7,5),0.0850455 # DEPENDENCYPART_ARC
(7,6),-0.704944 # DEPENDENCYPART_ARC
(7,8),-0.146469 # DEPENDENCYPART_ARC
(7,9),-0.490763 # DEPENDENCYPART_ARC
(7,10),-1.57255 # DEPENDENCYPART_ARC
(7,11),-0.166614 # DEPENDENCYPART_ARC
(7,12),-1.38056 # DEPENDENCYPART_ARC
(7,13),-0.394932 # DEPENDENCYPART_ARC
(8,1),-0.446708 # DEPENDENCYPART_ARC
(8,2),-5.02583 # DEPENDENCYPART_ARC
(8,3),-0.471291 # DEPENDENCYPART_ARC
(8,4),-0.160421 # DEPENDENCYPART_ARC
(8,5),0.406487 # DEPENDENCYPART_ARC
(8,6),-0.382965 # DEPENDENCYPART_ARC
(8,7),3.37592 # DEPENDENCYPART_ARC
(8,9),0.173822 # DEPENDENCYPART_ARC
(8,10),-0.118409 # DEPENDENCYPART_ARC
(8,11),-0.793597 # DEPENDENCYPART_ARC
(8,12),-0.882073 # DEPENDENCYPART_ARC
(8,13),-0.255366 # DEPENDENCYPART_ARC
(9,1),-2.91887 # DEPENDENCYPART_ARC
(9,2),-2.88965 # DEPENDENCYPART_ARC
(9,3),-1.97426 # DEPENDENCYPART_ARC
(9,4),-1.53882 # DEPENDENCYPART_ARC
(9,5),-1.48493 # DEPENDENCYPART_ARC
(9,6),-2.21803 # DEPENDENCYPART_ARC
(9,7),-1.23291 # DEPENDENCYPART_ARC
(9,8),-1.44731 # DEPENDENCYPART_ARC
(9,10),-1.40552 # DEPENDENCYPART_ARC
(9,11),-1.19809 # DEPENDENCYPART_ARC
(9,12),-1.41831 # DEPENDENCYPART_ARC
(9,13),-1.38554 # DEPENDENCYPART_ARC
(10,1),-2.02071 # DEPENDENCYPART_ARC
(10,2),-4.4913 # DEPENDENCYPART_ARC
(10,3),-0.553587 # DEPENDENCYPART_ARC
(10,4),0.100803 # DEPENDENCYPART_ARC
(10,5),0.730205 # DEPENDENCYPART_ARC
(10,6),-1.70955 # DEPENDENCYPART_ARC
(10,7),0.589388 # DEPENDENCYPART_ARC
(10,8),0.341645 # DEPENDENCYPART_ARC
(10,9),0.762813 # DEPENDENCYPART_ARC
(10,11),-0.125509 # DEPENDENCYPART_ARC
(10,12),-0.699367 # DEPENDENCYPART_ARC
(10,13),-0.204186 # DEPENDENCYPART_ARC
(11,1),1.69304 # DEPENDENCYPART_ARC
(11,2),2.28027 # DEPENDENCYPART_ARC
(11,3),0.354927 # DEPENDENCYPART_ARC
(11,4),1.4368 # DEPENDENCYPART_ARC
(11,5),0.179374 # DEPENDENCYPART_ARC
(11,6),2.52829 # DEPENDENCYPART_ARC
(11,7),0.90457 # DEPENDENCYPART_ARC
(11,8),1.95953 # DEPENDENCYPART_ARC
