# _root_ Hogy pontosan mennyi , azt a Központi_Statisztikai_Hivatal illetékese , Próbáld_Ákos sem tudja megmondani .
#goldHeads=12,5,5,12,13,7,8,12,12,12,12,0,12,12,
#predictedHeads=12,13,5,5,13,7,8,5,12,12,12,0,12,12,
(0,1),-2.0824 # DEPENDENCYPART_ARC
(0,2),-2.3605 # DEPENDENCYPART_ARC
(0,3),-3.12203 # DEPENDENCYPART_ARC
(0,5),-4.0529 # DEPENDENCYPART_ARC
(0,7),-4.09374 # DEPENDENCYPART_ARC
(0,8),-4.48403 # DEPENDENCYPART_ARC
(0,10),-4.14056 # DEPENDENCYPART_ARC
(0,11),-3.68762 # DEPENDENCYPART_ARC
(0,12),-2.7146 # DEPENDENCYPART_ARC
(0,13),-3.03643 # DEPENDENCYPART_ARC
(1,2),-0.407725 # DEPENDENCYPART_ARC
(1,3),-1.24017 # DEPENDENCYPART_ARC
(1,4),0.025806 # DEPENDENCYPART_ARC
(1,5),-1.58575 # DEPENDENCYPART_ARC
(1,6),-1.29718 # DEPENDENCYPART_ARC
(1,7),-1.29928 # DEPENDENCYPART_ARC
(1,8),-1.43282 # DEPENDENCYPART_ARC
(1,9),-0.260805 # DEPENDENCYPART_ARC
(1,10),-1.77667 # DEPENDENCYPART_ARC
(1,11),-0.670599 # DEPENDENCYPART_ARC
(1,12),-0.378899 # DEPENDENCYPART_ARC
(1,13),-0.828295 # DEPENDENCYPART_ARC
(1,14),0.0559818 # DEPENDENCYPART_ARC
(2,1),-0.25733 # DEPENDENCYPART_ARC
(2,3),-0.756807 # DEPENDENCYPART_ARC
(2,4),-0.00699185 # DEPENDENCYPART_ARC
(2,5),-1.24644 # DEPENDENCYPART_ARC
(2,6),-0.986804 # DEPENDENCYPART_ARC
(2,7),-0.779553 # DEPENDENCYPART_ARC
(2,8),-0.779762 # DEPENDENCYPART_ARC
(2,9),-0.0655628 # DEPENDENCYPART_ARC
(2,10),-1.2418 # DEPENDENCYPART_ARC
(2,11),-0.981436 # DEPENDENCYPART_ARC
(2,12),-0.818353 # DEPENDENCYPART_ARC
(2,13),-0.793041 # DEPENDENCYPART_ARC
(2,14),0.594176 # DEPENDENCYPART_ARC
(3,2),0.784792 # DEPENDENCYPART_ARC
(3,4),0.185749 # DEPENDENCYPART_ARC
(3,8),-0.671579 # DEPENDENCYPART_ARC
(3,9),-0.135095 # DEPENDENCYPART_ARC
(3,14),0.43291 # DEPENDENCYPART_ARC
(5,1),0.160949 # DEPENDENCYPART_ARC
(5,2),0.366568 # DEPENDENCYPART_ARC
(5,3),0.897457 # DEPENDENCYPART_ARC
(5,4),0.41103 # DEPENDENCYPART_ARC
(5,6),-0.259692 # DEPENDENCYPART_ARC
(5,7),0.942685 # DEPENDENCYPART_ARC
(5,8),0.608471 # DEPENDENCYPART_ARC
(5,9),0.125774 # DEPENDENCYPART_ARC
(5,10),0.112352 # DEPENDENCYPART_ARC
(5,11),0.452487 # DEPENDENCYPART_ARC
(5,12),1.70649 # DEPENDENCYPART_ARC
(5,13),1.08692 # DEPENDENCYPART_ARC
(5,14),0.537334 # DEPENDENCYPART_ARC
(6,2),-1.30848 # DEPENDENCYPART_ARC
(6,4),-0.904093 # DEPENDENCYPART_ARC
(6,7),-0.337153 # DEPENDENCYPART_ARC
(6,8),-0.903474 # DEPENDENCYPART_ARC
(6,9),-0.326786 # DEPENDENCYPART_ARC
(6,10),-1.09252 # DEPENDENCYPART_ARC
