# _root_ A bíróságot nem annyira ez utóbbi zavarta , mint inkább a képrongálás , amelynek divatja úgy tűnik feltartóztathatatlan .
#goldHeads=2,7,7,7,6,7,0,7,7,5,12,5,5,18,18,17,18,5,7,
#predictedHeads=2,7,7,7,6,7,0,7,7,17,12,17,7,17,17,17,7,17,7,
(0,2),-2.39343 # DEPENDENCYPART_ARC
(0,3),-1.8507 # DEPENDENCYPART_ARC
(0,4),-1.98737 # DEPENDENCYPART_ARC
(0,5),-2.15308 # DEPENDENCYPART_ARC
(0,6),-2.94054 # DEPENDENCYPART_ARC
(0,7),0.516939 # DEPENDENCYPART_ARC
(0,9),-0.784257 # DEPENDENCYPART_ARC
(0,10),-2.13563 # DEPENDENCYPART_ARC
(0,12),-3.2237 # DEPENDENCYPART_ARC
(0,15),-3.72185 # DEPENDENCYPART_ARC
(0,16),-2.63714 # DEPENDENCYPART_ARC
(0,17),-0.618419 # DEPENDENCYPART_ARC
(0,18),-2.64627 # DEPENDENCYPART_ARC
(1,2),-0.858445 # DEPENDENCYPART_ARC
(1,6),-1.51546 # DEPENDENCYPART_ARC
(1,8),-0.849478 # DEPENDENCYPART_ARC
(1,12),-2.13964 # DEPENDENCYPART_ARC
(1,13),-1.12718 # DEPENDENCYPART_ARC
(1,15),-2.60021 # DEPENDENCYPART_ARC
(1,18),-2.08951 # DEPENDENCYPART_ARC
(2,1),3.08846 # DEPENDENCYPART_ARC
(2,3),-0.554385 # DEPENDENCYPART_ARC
(2,4),-0.62265 # DEPENDENCYPART_ARC
(2,5),-1.65017 # DEPENDENCYPART_ARC
(2,6),-1.23973 # DEPENDENCYPART_ARC
(2,7),-0.247451 # DEPENDENCYPART_ARC
(2,8),-0.249347 # DEPENDENCYPART_ARC
(2,9),-0.734975 # DEPENDENCYPART_ARC
(2,10),-0.682531 # DEPENDENCYPART_ARC
(2,11),-1.03647 # DEPENDENCYPART_ARC
(2,12),-2.25808 # DEPENDENCYPART_ARC
(2,13),-0.43997 # DEPENDENCYPART_ARC
(2,14),-1.99457 # DEPENDENCYPART_ARC
(2,15),-3.12226 # DEPENDENCYPART_ARC
(2,16),-0.93743 # DEPENDENCYPART_ARC
(2,17),-0.799829 # DEPENDENCYPART_ARC
(2,18),-1.98714 # DEPENDENCYPART_ARC
(2,19),0.556032 # DEPENDENCYPART_ARC
(3,2),-0.0275364 # DEPENDENCYPART_ARC
(3,4),-0.368138 # DEPENDENCYPART_ARC
(3,5),-0.801771 # DEPENDENCYPART_ARC
(3,6),-0.591405 # DEPENDENCYPART_ARC
(3,7),-0.16472 # DEPENDENCYPART_ARC
(3,8),-0.631443 # DEPENDENCYPART_ARC
(3,9),-0.354405 # DEPENDENCYPART_ARC
(3,10),-0.916861 # DEPENDENCYPART_ARC
(3,12),-1.54787 # DEPENDENCYPART_ARC
(3,13),-0.602494 # DEPENDENCYPART_ARC
(3,15),-2.1975 # DEPENDENCYPART_ARC
(3,16),-1.10134 # DEPENDENCYPART_ARC
(3,17),-1.22504 # DEPENDENCYPART_ARC
(3,18),-1.38992 # DEPENDENCYPART_ARC
(3,19),0.0251015 # DEPENDENCYPART_ARC
(4,2),0.457095 # DEPENDENCYPART_ARC
(4,5),-0.10518 # DEPENDENCYPART_ARC
(4,6),0.433593 # DEPENDENCYPART_ARC
(4,7),0.610122 # DEPENDENCYPART_ARC
(4,8),0.20692 # DEPENDENCYPART_ARC
(4,9),0.113688 # DEPENDENCYPART_ARC
(4,10),-0.299728 # DEPENDENCYPART_ARC
(4,12),-0.864518 # DEPENDENCYPART_ARC
(4,13),-0.0166956 # DEPENDENCYPART_ARC
(4,15),-1.32246 # DEPENDENCYPART_ARC
(4,16),-0.455862 # DEPENDENCYPART_ARC
(4,17),-0.337678 # DEPENDENCYPART_ARC
(4,18),-0.969616 # DEPENDENCYPART_ARC
(4,19),0.586057 # DEPENDENCYPART_ARC
(5,1),-0.033477 # DEPENDENCYPART_ARC
(5,2),-0.655433 # DEPENDENCYPART_ARC
(5,3),0.228712 # DEPENDENCYPART_ARC
(5,4),0.60327 # DEPENDENCYPART_ARC
(5,6),0.196239 # DEPENDENCYPART_ARC
(5,7),0.368018 # DEPENDENCYPART_ARC
(5,8),0.589706 # DEPENDENCYPART_ARC
(5,9),0.0897233 # DEPENDENCYPART_ARC
(5,10),-0.134251 # DEPENDENCYPART_ARC
(5,11),-0.874113 # DEPENDENCYPART_ARC
(5,12),-0.320472 # DEPENDENCYPART_ARC
(5,13),0.187513 # DEPENDENCYPART_ARC
(5,14),-0.0658401 # DEPENDENCYPART_ARC
(5,15),-0.557237 # DEPENDENCYPART_ARC
(5,16),-0.0935468 # DEPENDENCYPART_ARC
(5,17),1.29616 # DEPENDENCYPART_ARC
(5,18),-0.642374 # DEPENDENCYPART_ARC
(5,19),0.479518 # DEPENDENCYPART_ARC
(6,1),0.124212 # DEPENDENCYPART_ARC
(6,2),-3.26393 # DEPENDENCYPART_ARC
(6,3),0.18967 # DEPENDENCYPART_ARC
(6,4),0.560932 # DEPENDENCYPART_ARC
(6,5),2.94161 # DEPENDENCYPART_ARC
(6,7),-0.10201 # DEPENDENCYPART_ARC
(6,8),-0.405513 # DEPENDENCYPART_ARC
(6,9),-0.862017 # DEPENDENCYPART_ARC
(6,10),-0.772626 # DEPENDENCYPART_ARC
(6,11),-1.24018 # DEPENDENCYPART_ARC
(6,12),-1.67979 # DEPENDENCYPART_ARC
(6,13),-0.459617 # DEPENDENCYPART_ARC
(6,14),-2.03868 # DEPENDENCYPART_ARC
(6,15),-2.11796 # DEPENDENCYPART_ARC
(6,16),-0.980177 # DEPENDENCYPART_ARC
(6,17),-0.793392 # DEPENDENCYPART_ARC
(6,18),-1.99318 # DEPENDENCYPART_ARC
(6,19),0.0526881 # DEPENDENCYPART_ARC
(7,1),-0.694353 # DEPENDENCYPART_ARC
(7,2),2.16219 # DEPENDENCYPART_ARC
(7,3),2.05198 # DEPENDENCYPART_ARC
(7,4),2.1772 # DEPENDENCYPART_ARC
(7,5),2.21861 # DEPENDENCYPART_ARC
(7,6),4.40027 # DEPENDENCYPART_ARC
(7,8),1.90129 # DEPENDENCYPART_ARC
(7,9),2.24756 # DEPENDENCYPART_ARC
(7,10),0.509532 # DEPENDENCYPART_ARC
(7,11),-0.581545 # DEPENDENCYPART_ARC
(7,12),-0.100411 # DEPENDENCYPART_ARC
