# _root_ A reaktor felhasználási lehetőségei ez évtől kiteljesednek , ugyanis hamarosan üzembe helyezik az úgynevezett hidegneutron forrást , amely tulajdonképpen egy reaktorba helyezett hidrogéncella .
#goldHeads=2,4,4,7,6,7,9,9,0,12,12,9,16,16,16,12,12,12,12,23,22,23,12,9,
#predictedHeads=2,4,4,7,6,7,9,9,0,12,12,9,15,15,16,12,12,19,12,21,22,23,19,9,
(0,2),-1.74648 # DEPENDENCYPART_ARC
(0,3),-2.11561 # DEPENDENCYPART_ARC
(0,4),-3.00942 # DEPENDENCYPART_ARC
(0,5),-2.90942 # DEPENDENCYPART_ARC
(0,6),-3.49736 # DEPENDENCYPART_ARC
(0,7),-0.739698 # DEPENDENCYPART_ARC
(0,9),0.2039 # DEPENDENCYPART_ARC
(0,10),-2.73834 # DEPENDENCYPART_ARC
(0,11),-3.14475 # DEPENDENCYPART_ARC
(0,12),-1.28736 # DEPENDENCYPART_ARC
(0,14),-2.89384 # DEPENDENCYPART_ARC
(0,15),-3.59012 # DEPENDENCYPART_ARC
(0,16),-3.84181 # DEPENDENCYPART_ARC
(0,19),-2.64522 # DEPENDENCYPART_ARC
(0,21),-4.12876 # DEPENDENCYPART_ARC
(0,22),-3.16313 # DEPENDENCYPART_ARC
(0,23),-4.88893 # DEPENDENCYPART_ARC
(1,2),-0.695246 # DEPENDENCYPART_ARC
(1,3),-0.52183 # DEPENDENCYPART_ARC
(1,4),-1.6505 # DEPENDENCYPART_ARC
(1,6),-1.70602 # DEPENDENCYPART_ARC
(1,8),-0.957717 # DEPENDENCYPART_ARC
(1,9),-1.4126 # DEPENDENCYPART_ARC
(1,11),-2.1665 # DEPENDENCYPART_ARC
(1,14),-1.94016 # DEPENDENCYPART_ARC
(1,15),-2.36831 # DEPENDENCYPART_ARC
(1,16),-2.50361 # DEPENDENCYPART_ARC
(1,17),-1.36729 # DEPENDENCYPART_ARC
(1,21),-2.70948 # DEPENDENCYPART_ARC
(1,22),-2.55797 # DEPENDENCYPART_ARC
(1,23),-2.68133 # DEPENDENCYPART_ARC
(2,1),2.99243 # DEPENDENCYPART_ARC
(2,3),-0.512219 # DEPENDENCYPART_ARC
(2,4),-0.355378 # DEPENDENCYPART_ARC
(2,5),-1.43859 # DEPENDENCYPART_ARC
(2,6),-0.863976 # DEPENDENCYPART_ARC
(2,7),0.0924343 # DEPENDENCYPART_ARC
(2,8),-0.142576 # DEPENDENCYPART_ARC
(2,9),-0.590394 # DEPENDENCYPART_ARC
(2,10),-0.758992 # DEPENDENCYPART_ARC
(2,11),-2.15165 # DEPENDENCYPART_ARC
(2,12),-0.324591 # DEPENDENCYPART_ARC
(2,13),-1.22682 # DEPENDENCYPART_ARC
(2,14),-1.63878 # DEPENDENCYPART_ARC
(2,15),-1.58657 # DEPENDENCYPART_ARC
(2,16),-2.28438 # DEPENDENCYPART_ARC
(2,17),-0.0692139 # DEPENDENCYPART_ARC
(2,18),-1.60014 # DEPENDENCYPART_ARC
(2,19),-0.859149 # DEPENDENCYPART_ARC
(2,20),-1.08551 # DEPENDENCYPART_ARC
(2,21),-2.65749 # DEPENDENCYPART_ARC
(2,22),-2.07597 # DEPENDENCYPART_ARC
(2,23),-2.1327 # DEPENDENCYPART_ARC
(2,24),0.684977 # DEPENDENCYPART_ARC
(3,1),0.368266 # DEPENDENCYPART_ARC
(3,2),1.57863 # DEPENDENCYPART_ARC
(3,4),-1.29215 # DEPENDENCYPART_ARC
(3,5),-1.63587 # DEPENDENCYPART_ARC
(3,6),-1.08179 # DEPENDENCYPART_ARC
(3,7),-1.0247 # DEPENDENCYPART_ARC
(3,8),-0.875928 # DEPENDENCYPART_ARC
(3,9),-1.20828 # DEPENDENCYPART_ARC
(3,10),-1.38297 # DEPENDENCYPART_ARC
(3,11),-2.42198 # DEPENDENCYPART_ARC
(3,12),-1.37398 # DEPENDENCYPART_ARC
(3,13),-1.78643 # DEPENDENCYPART_ARC
(3,14),-2.02252 # DEPENDENCYPART_ARC
(3,15),-2.33328 # DEPENDENCYPART_ARC
(3,16),-2.66547 # DEPENDENCYPART_ARC
(3,17),-0.899367 # DEPENDENCYPART_ARC
(3,18),-2.08423 # DEPENDENCYPART_ARC
(3,19),-1.60729 # DEPENDENCYPART_ARC
(3,20),-1.60105 # DEPENDENCYPART_ARC
(3,21),-3.03281 # DEPENDENCYPART_ARC
(3,22),-2.19918 # DEPENDENCYPART_ARC
(3,23),-2.7887 # DEPENDENCYPART_ARC
(3,24),-0.222802 # DEPENDENCYPART_ARC
(4,1),1.68423 # DEPENDENCYPART_ARC
(4,2),3.29057 # DEPENDENCYPART_ARC
(4,3),3.56987 # DEPENDENCYPART_ARC
(4,5),-1.15221 # DEPENDENCYPART_ARC
(4,6),-0.599654 # DEPENDENCYPART_ARC
(4,7),-0.400473 # DEPENDENCYPART_ARC
(4,8),-0.0441477 # DEPENDENCYPART_ARC
(4,9),-0.364788 # DEPENDENCYPART_ARC
(4,10),-0.416356 # DEPENDENCYPART_ARC
(4,11),-2.19874 # DEPENDENCYPART_ARC
(4,12),-1.20834 # DEPENDENCYPART_ARC
(4,13),-1.08845 # DEPENDENCYPART_ARC
(4,14),-1.12042 # DEPENDENCYPART_ARC
(4,15),-1.59144 # DEPENDENCYPART_ARC
(4,16),-2.28007 # DEPENDENCYPART_ARC
(4,17),0.0140139 # DEPENDENCYPART_ARC
(4,18),-1.5807 # DEPENDENCYPART_ARC
(4,19),-0.618115 # DEPENDENCYPART_ARC
(4,20),-0.809168 # DEPENDENCYPART_ARC
(4,21),-2.74426 # DEPENDENCYPART_ARC
(4,22),-1.63288 # DEPENDENCYPART_ARC
(4,23),-1.97173 # DEPENDENCYPART_ARC
(4,24),0.922831 # DEPENDENCYPART_ARC
(5,1),-0.457364 # DEPENDENCYPART_ARC
(5,2),-0.934696 # DEPENDENCYPART_ARC
(5,3),-0.857714 # DEPENDENCYPART_ARC
(5,4),-0.565273 # DEPENDENCYPART_ARC
(5,6),-0.461322 # DEPENDENCYPART_ARC
(5,7),0.267602 # DEPENDENCYPART_ARC
(5,8),0.499754 # DEPENDENCYPART_ARC
(5,9),0.109211 # DEPENDENCYPART_ARC
(5,10),-0.176553 # DEPENDENCYPART_ARC
(5,11),-0.623798 # DEPENDENCYPART_ARC
(5,12),1.29253 # DEPENDENCYPART_ARC
(5,13),-0.682479 # DEPENDENCYPART_ARC
(5,14),-0.457375 # DEPENDENCYPART_ARC
(5,15),-0.104909 # DEPENDENCYPART_ARC
(5,16),-0.764664 # DEPENDENCYPART_ARC
(5,17),0.518414 # DEPENDENCYPART_ARC
(5,18),-0.207737 # DEPENDENCYPART_ARC
(5,19),0.0684655 # DEPENDENCYPART_ARC
(5,20),-0.661159 # DEPENDENCYPART_ARC
(5,21),-0.545715 # DEPENDENCYPART_ARC
(5,22),-0.565112 # DEPENDENCYPART_ARC
(5,23),-0.458452 # DEPENDENCYPART_ARC
(5,24),0.048665 # DEPENDENCYPART_ARC
(6,1),0.200463 # DEPENDENCYPART_ARC
(6,2),-1.62693 # DEPENDENCYPART_ARC
(6,3),0.692268 # DEPENDENCYPART_ARC
(6,4),-1.73796 # DEPENDENCYPART_ARC
(6,5),2.82768 # DEPENDENCYPART_ARC
(6,7),-0.445202 # DEPENDENCYPART_ARC
(6,8),-0.549605 # DEPENDENCYPART_ARC
(6,9),-0.611647 # DEPENDENCYPART_ARC
(6,10),-0.930596 # DEPENDENCYPART_ARC
(6,11),-1.89566 # DEPENDENCYPART_ARC
(6,12),-1.14627 # DEPENDENCYPART_ARC
(6,13),-1.31814 # DEPENDENCYPART_ARC
(6,14),-1.77305 # DEPENDENCYPART_ARC
(6,15),-1.8072 # DEPENDENCYPART_ARC
(6,16),-1.78777 # DEPENDENCYPART_ARC
(6,17),-0.457624 # DEPENDENCYPART_ARC
(6,18),-2.09251 # DEPENDENCYPART_ARC
(6,19),-1.17942 # DEPENDENCYPART_ARC
(6,20),-1.30232 # DEPENDENCYPART_ARC
(6,21),-2.71191 # DEPENDENCYPART_ARC
(6,22),-2.2166 # DEPENDENCYPART_ARC
(6,23),-2.41017 # DEPENDENCYPART_ARC
(6,24),0.145847 # DEPENDENCYPART_ARC
(7,1),-0.483052 # DEPENDENCYPART_ARC
(7,2),0.490466 # DEPENDENCYPART_ARC
(7,3),0.121127 # DEPENDENCYPART_ARC
(7,4),2.58801 # DEPENDENCYPART_ARC
(7,5),1.10119 # DEPENDENCYPART_ARC
(7,6),3.36448 # DEPENDENCYPART_ARC
(7,8),1.34476 # DEPENDENCYPART_ARC
(7,9),0.672653 # DEPENDENCYPART_ARC
(7,10),0.0216412 # DEPENDENCYPART_ARC
(7,11),-0.827401 # DEPENDENCYPART_ARC
(7,12),0.956032 # DEPENDENCYPART_ARC
(7,13),-1.15003 # DEPENDENCYPART_ARC
(7,14),-1.56933 # DEPENDENCYPART_ARC
(7,15),-2.16603 # DEPENDENCYPART_ARC
(7,16),-1.16886 # DEPENDENCYPART_ARC
(7,17),0.446318 # DEPENDENCYPART_ARC
(7,18),-1.29344 # DEPENDENCYPART_ARC
(7,19),-0.587693 # DEPENDENCYPART_ARC
(7,20),-1.78321 # DEPENDENCYPART_ARC
(7,21),-3.18074 # DEPENDENCYPART_ARC
(7,22),-1.79017 # DEPENDENCYPART_ARC
(7,23),-2.3616 # DEPENDENCYPART_ARC
(7,24),2.22494 # DEPENDENCYPART_ARC
(9,1),-1.21069 # DEPENDENCYPART_ARC
(9,2),-0.608175 # DEPENDENCYPART_ARC
(9,3),-0.373798 # DEPENDENCYPART_ARC
(9,4),-0.775728 # DEPENDENCYPART_ARC
(9,5),-0.659386 # DEPENDENCYPART_ARC
(9,6),-0.558233 # DEPENDENCYPART_ARC
(9,7),1.89602 # DEPENDENCYPART_ARC
