# _root_ Nagy rongyrázás nincs , de már érezni , hogy az emberek egyre jobban élnek .
#goldHeads=2,3,5,5,0,7,5,7,7,11,14,13,14,7,5,
#predictedHeads=2,3,5,5,0,7,3,7,7,11,14,14,14,7,5,
(0,1),-1.75772 # DEPENDENCYPART_ARC
(0,2),-2.29972 # DEPENDENCYPART_ARC
(0,3),-0.710685 # DEPENDENCYPART_ARC
(0,5),0.568882 # DEPENDENCYPART_ARC
(0,6),-2.36607 # DEPENDENCYPART_ARC
(0,7),-2.43125 # DEPENDENCYPART_ARC
(0,9),-1.58369 # DEPENDENCYPART_ARC
(0,11),-3.47869 # DEPENDENCYPART_ARC
(0,12),-2.3905 # DEPENDENCYPART_ARC
(0,13),-2.25191 # DEPENDENCYPART_ARC
(0,14),-2.12436 # DEPENDENCYPART_ARC
(1,2),-0.506984 # DEPENDENCYPART_ARC
(1,3),-0.630843 # DEPENDENCYPART_ARC
(1,4),-0.569065 # DEPENDENCYPART_ARC
(1,5),-0.949091 # DEPENDENCYPART_ARC
(1,6),-1.28717 # DEPENDENCYPART_ARC
(1,7),-1.13859 # DEPENDENCYPART_ARC
(1,8),-0.774885 # DEPENDENCYPART_ARC
(1,9),-0.928763 # DEPENDENCYPART_ARC
(1,10),-1.6389 # DEPENDENCYPART_ARC
(1,11),-2.41436 # DEPENDENCYPART_ARC
(1,12),-1.38101 # DEPENDENCYPART_ARC
(1,13),-1.45533 # DEPENDENCYPART_ARC
(1,14),-1.53921 # DEPENDENCYPART_ARC
(1,15),-0.0880493 # DEPENDENCYPART_ARC
(2,1),3.22169 # DEPENDENCYPART_ARC
(2,3),-0.662802 # DEPENDENCYPART_ARC
(2,4),-0.771838 # DEPENDENCYPART_ARC
(2,5),-0.877287 # DEPENDENCYPART_ARC
(2,6),-1.08762 # DEPENDENCYPART_ARC
(2,7),-1.12402 # DEPENDENCYPART_ARC
(2,8),-0.780601 # DEPENDENCYPART_ARC
(2,9),-1.20924 # DEPENDENCYPART_ARC
(2,10),-1.62493 # DEPENDENCYPART_ARC
(2,11),-2.88353 # DEPENDENCYPART_ARC
(2,12),-1.24457 # DEPENDENCYPART_ARC
(2,13),-1.21195 # DEPENDENCYPART_ARC
(2,14),-1.67762 # DEPENDENCYPART_ARC
(2,15),-0.434846 # DEPENDENCYPART_ARC
(3,1),0.998723 # DEPENDENCYPART_ARC
(3,2),3.90203 # DEPENDENCYPART_ARC
(3,4),1.6181 # DEPENDENCYPART_ARC
(3,5),0.568327 # DEPENDENCYPART_ARC
(3,6),0.215627 # DEPENDENCYPART_ARC
(3,7),2.13685 # DEPENDENCYPART_ARC
(3,8),0.778676 # DEPENDENCYPART_ARC
(3,9),1.26795 # DEPENDENCYPART_ARC
(3,10),-0.9829 # DEPENDENCYPART_ARC
(3,11),-2.8796 # DEPENDENCYPART_ARC
(3,12),-0.62615 # DEPENDENCYPART_ARC
(3,13),-0.581449 # DEPENDENCYPART_ARC
(3,14),-0.0629066 # DEPENDENCYPART_ARC
(3,15),1.60479 # DEPENDENCYPART_ARC
(5,1),-0.180422 # DEPENDENCYPART_ARC
(5,2),-0.36887 # DEPENDENCYPART_ARC
(5,3),2.05377 # DEPENDENCYPART_ARC
(5,4),2.38764 # DEPENDENCYPART_ARC
(5,6),0.136141 # DEPENDENCYPART_ARC
(5,7),1.59357 # DEPENDENCYPART_ARC
(5,8),0.557621 # DEPENDENCYPART_ARC
(5,9),0.818563 # DEPENDENCYPART_ARC
(5,10),-0.448761 # DEPENDENCYPART_ARC
(5,11),-1.39177 # DEPENDENCYPART_ARC
(5,12),-0.168328 # DEPENDENCYPART_ARC
(5,13),-0.0362573 # DEPENDENCYPART_ARC
(5,14),0.961767 # DEPENDENCYPART_ARC
(5,15),3.00248 # DEPENDENCYPART_ARC
(6,1),-1.01458 # DEPENDENCYPART_ARC
(6,2),-0.746916 # DEPENDENCYPART_ARC
(6,3),-0.265492 # DEPENDENCYPART_ARC
(6,4),-0.210414 # DEPENDENCYPART_ARC
(6,5),0.0253552 # DEPENDENCYPART_ARC
(6,7),0.21075 # DEPENDENCYPART_ARC
(6,8),-0.67724 # DEPENDENCYPART_ARC
(6,9),-0.253223 # DEPENDENCYPART_ARC
(6,10),-0.965556 # DEPENDENCYPART_ARC
(6,11),-1.26407 # DEPENDENCYPART_ARC
(6,12),-0.937041 # DEPENDENCYPART_ARC
(6,13),-1.0049 # DEPENDENCYPART_ARC
(6,14),-0.776994 # DEPENDENCYPART_ARC
(6,15),-0.618975 # DEPENDENCYPART_ARC
(7,1),-0.0235988 # DEPENDENCYPART_ARC
(7,2),0.71011 # DEPENDENCYPART_ARC
(7,3),-0.746322 # DEPENDENCYPART_ARC
(7,4),0.997749 # DEPENDENCYPART_ARC
(7,5),0.589139 # DEPENDENCYPART_ARC
(7,6),3.23327 # DEPENDENCYPART_ARC
(7,8),1.70624 # DEPENDENCYPART_ARC
(7,9),1.99782 # DEPENDENCYPART_ARC
(7,10),-0.0497519 # DEPENDENCYPART_ARC
(7,11),-1.13781 # DEPENDENCYPART_ARC
