# _root_ Fémlemezzel borított , falra és oszlopokra hasonlító elemek szolgálnak díszletül a Kár,_hogy_ká című John_Ford-dráma előadásához .
#goldHeads=2,8,8,7,7,7,8,9,0,9,14,13,14,15,9,9,
#predictedHeads=2,4,8,9,9,9,8,9,0,9,14,13,14,15,9,9,
(0,1),-2.44488 # DEPENDENCYPART_ARC
(0,2),-2.07255 # DEPENDENCYPART_ARC
(0,3),-2.89957 # DEPENDENCYPART_ARC
(0,4),-3.1571 # DEPENDENCYPART_ARC
(0,5),-2.71382 # DEPENDENCYPART_ARC
(0,6),-3.2452 # DEPENDENCYPART_ARC
(0,7),-2.8847 # DEPENDENCYPART_ARC
(0,8),-3.65874 # DEPENDENCYPART_ARC
(0,9),-1.79889 # DEPENDENCYPART_ARC
(0,10),-3.39941 # DEPENDENCYPART_ARC
(0,11),-3.42566 # DEPENDENCYPART_ARC
(0,12),-3.5114 # DEPENDENCYPART_ARC
(0,13),-3.08913 # DEPENDENCYPART_ARC
(0,14),-4.02794 # DEPENDENCYPART_ARC
(0,15),-4.50737 # DEPENDENCYPART_ARC
(0,16),-5.62778 # DEPENDENCYPART_ARC
(1,2),-0.680917 # DEPENDENCYPART_ARC
(1,3),-0.00040548 # DEPENDENCYPART_ARC
(1,4),-1.22134 # DEPENDENCYPART_ARC
(1,5),-0.275952 # DEPENDENCYPART_ARC
(1,6),-1.3153 # DEPENDENCYPART_ARC
(1,7),-1.32027 # DEPENDENCYPART_ARC
(1,8),-1.03235 # DEPENDENCYPART_ARC
(1,9),-1.03442 # DEPENDENCYPART_ARC
(1,10),-1.82696 # DEPENDENCYPART_ARC
(1,11),-1.13006 # DEPENDENCYPART_ARC
(1,12),-1.8058 # DEPENDENCYPART_ARC
(1,13),-1.78994 # DEPENDENCYPART_ARC
(1,14),-1.79983 # DEPENDENCYPART_ARC
(1,15),-2.09493 # DEPENDENCYPART_ARC
(1,16),-0.0629394 # DEPENDENCYPART_ARC
(2,1),2.34737 # DEPENDENCYPART_ARC
(2,3),0.900296 # DEPENDENCYPART_ARC
(2,4),0.0702438 # DEPENDENCYPART_ARC
(2,5),-0.236022 # DEPENDENCYPART_ARC
(2,6),-0.712329 # DEPENDENCYPART_ARC
(2,7),-0.579646 # DEPENDENCYPART_ARC
(2,8),-1.1507 # DEPENDENCYPART_ARC
(2,9),-0.297738 # DEPENDENCYPART_ARC
(2,10),-1.184 # DEPENDENCYPART_ARC
(2,11),-0.826195 # DEPENDENCYPART_ARC
(2,12),-1.40863 # DEPENDENCYPART_ARC
(2,13),-0.971975 # DEPENDENCYPART_ARC
(2,14),-1.37149 # DEPENDENCYPART_ARC
(2,15),-1.88312 # DEPENDENCYPART_ARC
(2,16),0.618343 # DEPENDENCYPART_ARC
(3,1),-1.90737 # DEPENDENCYPART_ARC
(3,2),-0.926198 # DEPENDENCYPART_ARC
(3,4),-1.58322 # DEPENDENCYPART_ARC
(3,5),-1.38733 # DEPENDENCYPART_ARC
(3,6),-2.16761 # DEPENDENCYPART_ARC
(3,7),-1.74244 # DEPENDENCYPART_ARC
(3,8),-2.38465 # DEPENDENCYPART_ARC
(3,9),-1.79296 # DEPENDENCYPART_ARC
(3,10),-2.63599 # DEPENDENCYPART_ARC
(3,11),-1.88179 # DEPENDENCYPART_ARC
(3,12),-2.8011 # DEPENDENCYPART_ARC
(3,13),-2.07343 # DEPENDENCYPART_ARC
(3,14),-2.95603 # DEPENDENCYPART_ARC
(3,15),-3.15052 # DEPENDENCYPART_ARC
(3,16),-2.04371 # DEPENDENCYPART_ARC
(4,1),-0.774218 # DEPENDENCYPART_ARC
(4,2),1.87497 # DEPENDENCYPART_ARC
(4,3),1.54532 # DEPENDENCYPART_ARC
(4,5),-0.55147 # DEPENDENCYPART_ARC
(4,6),-0.925853 # DEPENDENCYPART_ARC
(4,7),-0.825106 # DEPENDENCYPART_ARC
(4,8),-0.715559 # DEPENDENCYPART_ARC
(4,9),-1.15734 # DEPENDENCYPART_ARC
(4,10),-1.73458 # DEPENDENCYPART_ARC
(4,11),-1.32493 # DEPENDENCYPART_ARC
(4,12),-1.42112 # DEPENDENCYPART_ARC
(4,13),-1.43467 # DEPENDENCYPART_ARC
(4,14),-1.34964 # DEPENDENCYPART_ARC
(4,15),-2.05531 # DEPENDENCYPART_ARC
(4,16),-0.461103 # DEPENDENCYPART_ARC
(5,1),-0.191421 # DEPENDENCYPART_ARC
(5,2),-0.28669 # DEPENDENCYPART_ARC
(5,3),0.537014 # DEPENDENCYPART_ARC
(5,4),-0.29368 # DEPENDENCYPART_ARC
(5,6),-0.175162 # DEPENDENCYPART_ARC
(5,7),0.010517 # DEPENDENCYPART_ARC
(5,8),0.0910507 # DEPENDENCYPART_ARC
(5,9),0.163094 # DEPENDENCYPART_ARC
(5,10),-0.447665 # DEPENDENCYPART_ARC
(5,11),-0.939341 # DEPENDENCYPART_ARC
(5,12),-0.518404 # DEPENDENCYPART_ARC
(5,13),-0.947441 # DEPENDENCYPART_ARC
(5,14),-0.638541 # DEPENDENCYPART_ARC
(5,15),-1.48442 # DEPENDENCYPART_ARC
(5,16),-0.257641 # DEPENDENCYPART_ARC
(6,1),-1.13277 # DEPENDENCYPART_ARC
(6,2),0.172695 # DEPENDENCYPART_ARC
(6,3),0.877938 # DEPENDENCYPART_ARC
(6,4),0.457793 # DEPENDENCYPART_ARC
(6,5),1.09424 # DEPENDENCYPART_ARC
(6,7),0.065972 # DEPENDENCYPART_ARC
(6,8),0.3125 # DEPENDENCYPART_ARC
(6,9),-0.543389 # DEPENDENCYPART_ARC
(6,10),-1.15981 # DEPENDENCYPART_ARC
(6,11),-0.949389 # DEPENDENCYPART_ARC
(6,12),-1.03036 # DEPENDENCYPART_ARC
(6,13),-0.796084 # DEPENDENCYPART_ARC
(6,14),-1.02066 # DEPENDENCYPART_ARC
(6,15),-1.80062 # DEPENDENCYPART_ARC
(6,16),0.0431684 # DEPENDENCYPART_ARC
(7,1),0.599127 # DEPENDENCYPART_ARC
(7,2),-0.818373 # DEPENDENCYPART_ARC
(7,3),0.456137 # DEPENDENCYPART_ARC
(7,4),1.45638 # DEPENDENCYPART_ARC
(7,5),1.39937 # DEPENDENCYPART_ARC
(7,6),2.53229 # DEPENDENCYPART_ARC
(7,8),-0.688481 # DEPENDENCYPART_ARC
(7,9),-0.56312 # DEPENDENCYPART_ARC
(7,10),-1.12637 # DEPENDENCYPART_ARC
(7,11),-1.31648 # DEPENDENCYPART_ARC
(7,12),-1.52449 # DEPENDENCYPART_ARC
(7,13),-1.40662 # DEPENDENCYPART_ARC
(7,14),-1.53177 # DEPENDENCYPART_ARC
(7,15),-2.08139 # DEPENDENCYPART_ARC
(7,16),-0.447157 # DEPENDENCYPART_ARC
(8,1),-1.3724 # DEPENDENCYPART_ARC
(8,2),1.64905 # DEPENDENCYPART_ARC
(8,3),1.80269 # DEPENDENCYPART_ARC
(8,4),-0.561864 # DEPENDENCYPART_ARC
