# _root_ Ha ezt a hitelező nem adja meg , és a bank beváltja a hitelekhez járó állami garanciát , az az érintett gazdáknak az állami agrártámogatásokból való kizárását jelenti .
#goldHeads=28,6,4,6,6,28,6,28,28,11,12,28,14,15,17,17,12,28,28,22,22,28,25,25,26,27,28,0,28,
#predictedHeads=28,6,4,6,6,9,6,9,0,11,12,9,14,15,17,17,12,12,28,22,22,28,25,25,26,27,28,12,6,
(0,1),-2.2276 # DEPENDENCYPART_ARC
(0,2),-3.43491 # DEPENDENCYPART_ARC
(0,4),-3.35202 # DEPENDENCYPART_ARC
(0,5),-2.47973 # DEPENDENCYPART_ARC
(0,6),-1.3863 # DEPENDENCYPART_ARC
(0,7),-2.53442 # DEPENDENCYPART_ARC
(0,9),-1.07721 # DEPENDENCYPART_ARC
(0,11),-3.8887 # DEPENDENCYPART_ARC
(0,12),-1.71266 # DEPENDENCYPART_ARC
(0,14),-4.35154 # DEPENDENCYPART_ARC
(0,15),-2.87717 # DEPENDENCYPART_ARC
(0,16),-3.16461 # DEPENDENCYPART_ARC
(0,17),-4.74254 # DEPENDENCYPART_ARC
(0,19),-3.69843 # DEPENDENCYPART_ARC
(0,21),-3.47778 # DEPENDENCYPART_ARC
(0,22),-5.49865 # DEPENDENCYPART_ARC
(0,24),-3.54147 # DEPENDENCYPART_ARC
(0,25),-5.92851 # DEPENDENCYPART_ARC
(0,26),-3.83204 # DEPENDENCYPART_ARC
(0,27),-6.45229 # DEPENDENCYPART_ARC
(0,28),-1.32319 # DEPENDENCYPART_ARC
(1,2),-1.21794 # DEPENDENCYPART_ARC
(1,3),-1.12266 # DEPENDENCYPART_ARC
(1,4),-0.841846 # DEPENDENCYPART_ARC
(1,5),-0.698965 # DEPENDENCYPART_ARC
(1,6),-0.560081 # DEPENDENCYPART_ARC
(1,7),-0.679487 # DEPENDENCYPART_ARC
(1,8),0.271679 # DEPENDENCYPART_ARC
(1,9),0.178526 # DEPENDENCYPART_ARC
(1,10),-1.53931 # DEPENDENCYPART_ARC
(1,11),-1.45228 # DEPENDENCYPART_ARC
(1,12),-0.938642 # DEPENDENCYPART_ARC
(1,13),-1.62459 # DEPENDENCYPART_ARC
(1,14),-1.44647 # DEPENDENCYPART_ARC
(1,15),-1.08154 # DEPENDENCYPART_ARC
(1,16),-1.14546 # DEPENDENCYPART_ARC
(1,17),-1.32764 # DEPENDENCYPART_ARC
(1,18),0.183628 # DEPENDENCYPART_ARC
(1,19),-1.11662 # DEPENDENCYPART_ARC
(1,20),-1.64536 # DEPENDENCYPART_ARC
(1,21),-1.34651 # DEPENDENCYPART_ARC
(1,22),-1.19461 # DEPENDENCYPART_ARC
(1,23),-1.71119 # DEPENDENCYPART_ARC
(1,24),-1.39067 # DEPENDENCYPART_ARC
(1,25),-1.14786 # DEPENDENCYPART_ARC
(1,26),-1.66465 # DEPENDENCYPART_ARC
(1,27),-1.34379 # DEPENDENCYPART_ARC
(1,28),-1.05045 # DEPENDENCYPART_ARC
(1,29),-0.0176167 # DEPENDENCYPART_ARC
(2,1),-1.2407 # DEPENDENCYPART_ARC
(2,3),-1.39471 # DEPENDENCYPART_ARC
(2,4),-0.120852 # DEPENDENCYPART_ARC
(2,5),-0.384754 # DEPENDENCYPART_ARC
(2,6),-0.34663 # DEPENDENCYPART_ARC
(2,7),-0.602818 # DEPENDENCYPART_ARC
(2,8),-0.0685184 # DEPENDENCYPART_ARC
(2,9),-0.174284 # DEPENDENCYPART_ARC
(2,10),-1.53554 # DEPENDENCYPART_ARC
(2,11),-0.496411 # DEPENDENCYPART_ARC
(2,12),0.119083 # DEPENDENCYPART_ARC
(2,13),-1.57687 # DEPENDENCYPART_ARC
(2,14),-1.27037 # DEPENDENCYPART_ARC
(2,15),-1.29349 # DEPENDENCYPART_ARC
(2,16),-1.13364 # DEPENDENCYPART_ARC
(2,17),-1.21003 # DEPENDENCYPART_ARC
(2,18),-0.129431 # DEPENDENCYPART_ARC
(2,19),-0.76227 # DEPENDENCYPART_ARC
(2,20),-1.7734 # DEPENDENCYPART_ARC
(2,21),-1.06466 # DEPENDENCYPART_ARC
(2,22),-1.19815 # DEPENDENCYPART_ARC
(2,23),-1.91675 # DEPENDENCYPART_ARC
(2,24),-1.10103 # DEPENDENCYPART_ARC
(2,25),-1.42323 # DEPENDENCYPART_ARC
(2,26),-1.15781 # DEPENDENCYPART_ARC
(2,27),-1.57741 # DEPENDENCYPART_ARC
(2,28),-1.6039 # DEPENDENCYPART_ARC
(2,29),-1.1128 # DEPENDENCYPART_ARC
(3,4),-0.689382 # DEPENDENCYPART_ARC
(3,8),-0.772529 # DEPENDENCYPART_ARC
(3,9),-1.13425 # DEPENDENCYPART_ARC
(3,11),-1.89719 # DEPENDENCYPART_ARC
(3,14),-2.12558 # DEPENDENCYPART_ARC
(3,15),-1.82782 # DEPENDENCYPART_ARC
(3,16),-1.84154 # DEPENDENCYPART_ARC
(3,17),-2.42032 # DEPENDENCYPART_ARC
(3,18),-1.17969 # DEPENDENCYPART_ARC
(3,21),-2.20114 # DEPENDENCYPART_ARC
(3,22),-2.58682 # DEPENDENCYPART_ARC
(3,24),-2.44569 # DEPENDENCYPART_ARC
(3,25),-2.66812 # DEPENDENCYPART_ARC
(3,26),-2.72991 # DEPENDENCYPART_ARC
(3,27),-3.13536 # DEPENDENCYPART_ARC
(4,1),-1.08132 # DEPENDENCYPART_ARC
(4,2),0.274868 # DEPENDENCYPART_ARC
(4,3),3.21658 # DEPENDENCYPART_ARC
(4,5),-0.788592 # DEPENDENCYPART_ARC
(4,6),-0.337625 # DEPENDENCYPART_ARC
(4,7),-0.741694 # DEPENDENCYPART_ARC
(4,8),-0.505039 # DEPENDENCYPART_ARC
(4,9),-0.650213 # DEPENDENCYPART_ARC
(4,10),-1.29871 # DEPENDENCYPART_ARC
(4,11),-1.8746 # DEPENDENCYPART_ARC
(4,12),-0.961269 # DEPENDENCYPART_ARC
(4,13),-1.37739 # DEPENDENCYPART_ARC
(4,14),-2.39553 # DEPENDENCYPART_ARC
(4,15),-1.98499 # DEPENDENCYPART_ARC
(4,16),-1.83645 # DEPENDENCYPART_ARC
(4,17),-2.26494 # DEPENDENCYPART_ARC
(4,18),-0.384695 # DEPENDENCYPART_ARC
(4,19),-1.86794 # DEPENDENCYPART_ARC
(4,20),-1.54354 # DEPENDENCYPART_ARC
(4,21),-1.89525 # DEPENDENCYPART_ARC
(4,22),-2.7154 # DEPENDENCYPART_ARC
(4,23),-1.57617 # DEPENDENCYPART_ARC
(4,24),-2.02423 # DEPENDENCYPART_ARC
(4,25),-2.96035 # DEPENDENCYPART_ARC
(4,26),-1.98618 # DEPENDENCYPART_ARC
(4,27),-2.68243 # DEPENDENCYPART_ARC
(4,28),-1.3017 # DEPENDENCYPART_ARC
(4,29),0.369306 # DEPENDENCYPART_ARC
(5,1),-0.134048 # DEPENDENCYPART_ARC
(5,2),-0.407116 # DEPENDENCYPART_ARC
(5,4),0.408031 # DEPENDENCYPART_ARC
(5,6),-0.121424 # DEPENDENCYPART_ARC
(5,8),-0.670695 # DEPENDENCYPART_ARC
(5,9),-0.561743 # DEPENDENCYPART_ARC
(5,11),-1.84981 # DEPENDENCYPART_ARC
(5,12),-1.0877 # DEPENDENCYPART_ARC
(5,14),-1.85193 # DEPENDENCYPART_ARC
(5,15),-1.39162 # DEPENDENCYPART_ARC
(5,16),-1.34277 # DEPENDENCYPART_ARC
(5,17),-1.83831 # DEPENDENCYPART_ARC
(5,18),-1.03022 # DEPENDENCYPART_ARC
(5,19),-1.51108 # DEPENDENCYPART_ARC
(5,21),-1.7525 # DEPENDENCYPART_ARC
(5,22),-2.13488 # DEPENDENCYPART_ARC
(5,24),-1.88043 # DEPENDENCYPART_ARC
(5,25),-2.34746 # DEPENDENCYPART_ARC
(5,26),-2.03619 # DEPENDENCYPART_ARC
(5,27),-2.24494 # DEPENDENCYPART_ARC
(5,28),-1.88049 # DEPENDENCYPART_ARC
(5,29),0.285806 # DEPENDENCYPART_ARC
(6,1),1.50654 # DEPENDENCYPART_ARC
(6,2),1.40664 # DEPENDENCYPART_ARC
(6,3),-0.337655 # DEPENDENCYPART_ARC
(6,4),2.92768 # DEPENDENCYPART_ARC
(6,5),3.53773 # DEPENDENCYPART_ARC
(6,7),3.06957 # DEPENDENCYPART_ARC
(6,8),1.91475 # DEPENDENCYPART_ARC
(6,9),0.826596 # DEPENDENCYPART_ARC
(6,10),-0.969273 # DEPENDENCYPART_ARC
(6,11),-0.49445 # DEPENDENCYPART_ARC
(6,12),0.789485 # DEPENDENCYPART_ARC
(6,13),-1.38152 # DEPENDENCYPART_ARC
(6,14),-2.18978 # DEPENDENCYPART_ARC
(6,15),-1.43619 # DEPENDENCYPART_ARC
(6,16),-1.45872 # DEPENDENCYPART_ARC
(6,17),0.790722 # DEPENDENCYPART_ARC
(6,18),0.821517 # DEPENDENCYPART_ARC
(6,19),-1.9667 # DEPENDENCYPART_ARC
(6,20),-1.35067 # DEPENDENCYPART_ARC
(6,21),-2.02711 # DEPENDENCYPART_ARC
(6,22),-0.731146 # DEPENDENCYPART_ARC
(6,23),-1.3035 # DEPENDENCYPART_ARC
(6,24),-2.25524 # DEPENDENCYPART_ARC
(6,25),-2.07992 # DEPENDENCYPART_ARC
(6,26),-1.59263 # DEPENDENCYPART_ARC
(6,27),-0.449849 # DEPENDENCYPART_ARC
(6,28),-0.977372 # DEPENDENCYPART_ARC
(6,29),3.07686 # DEPENDENCYPART_ARC
(7,1),0.101094 # DEPENDENCYPART_ARC
(7,4),-0.0144545 # DEPENDENCYPART_ARC
(7,5),0.158936 # DEPENDENCYPART_ARC
(7,6),-0.0153993 # DEPENDENCYPART_ARC
(7,8),-0.441814 # DEPENDENCYPART_ARC
(7,9),-0.354248 # DEPENDENCYPART_ARC
(7,11),-1.04218 # DEPENDENCYPART_ARC
(7,12),-0.478624 # DEPENDENCYPART_ARC
