# _root_ 1994-ben Márkus_Gyulával közösen alapítója volt a privatizációk lebonyolítására szakosodott Márkus_Pénzügyi_Gazdasági_Tanácsadó_Kft.-nek , amely utóbb fiktív cégnek bizonyult ( HVG , 1998. február 28. ) .
#goldHeads=5,3,5,5,0,7,8,9,10,5,5,16,16,15,16,5,18,5,18,22,22,18,18,5,
#predictedHeads=5,3,5,5,0,7,8,9,10,5,5,16,16,15,16,5,18,16,18,21,22,18,18,5,
(0,1),-1.21547 # DEPENDENCYPART_ARC
(0,2),-1.76667 # DEPENDENCYPART_ARC
(0,3),-2.17072 # DEPENDENCYPART_ARC
(0,4),-2.66419 # DEPENDENCYPART_ARC
(0,5),-1.16571 # DEPENDENCYPART_ARC
(0,6),-2.73177 # DEPENDENCYPART_ARC
(0,7),-3.25475 # DEPENDENCYPART_ARC
(0,8),-3.10317 # DEPENDENCYPART_ARC
(0,9),-2.61096 # DEPENDENCYPART_ARC
(0,10),-3.32602 # DEPENDENCYPART_ARC
(0,11),-3.49308 # DEPENDENCYPART_ARC
(0,12),-3.75852 # DEPENDENCYPART_ARC
(0,13),-2.50309 # DEPENDENCYPART_ARC
(0,14),-2.74531 # DEPENDENCYPART_ARC
(0,15),-4.22975 # DEPENDENCYPART_ARC
(0,16),-1.4839 # DEPENDENCYPART_ARC
(0,17),-3.13804 # DEPENDENCYPART_ARC
(0,18),-3.72475 # DEPENDENCYPART_ARC
(0,19),-4.08735 # DEPENDENCYPART_ARC
(0,20),-4.18156 # DEPENDENCYPART_ARC
(0,21),-4.24932 # DEPENDENCYPART_ARC
(0,22),-4.21184 # DEPENDENCYPART_ARC
(0,23),-3.70837 # DEPENDENCYPART_ARC
(0,24),-5.54976 # DEPENDENCYPART_ARC
(1,2),0.0595495 # DEPENDENCYPART_ARC
(1,3),-0.254386 # DEPENDENCYPART_ARC
(1,4),-0.00227686 # DEPENDENCYPART_ARC
(1,5),0.246633 # DEPENDENCYPART_ARC
(1,6),-0.779407 # DEPENDENCYPART_ARC
(1,7),-1.00458 # DEPENDENCYPART_ARC
(1,8),-0.975017 # DEPENDENCYPART_ARC
(1,9),-0.87922 # DEPENDENCYPART_ARC
(1,10),-1.16268 # DEPENDENCYPART_ARC
(1,11),0.216344 # DEPENDENCYPART_ARC
(1,12),-1.38254 # DEPENDENCYPART_ARC
(1,13),-1.05283 # DEPENDENCYPART_ARC
(1,14),-1.11725 # DEPENDENCYPART_ARC
(1,15),-1.55231 # DEPENDENCYPART_ARC
(1,16),-0.628658 # DEPENDENCYPART_ARC
(1,17),0.290977 # DEPENDENCYPART_ARC
(1,18),-1.56016 # DEPENDENCYPART_ARC
(1,19),0.145054 # DEPENDENCYPART_ARC
(1,20),-0.880971 # DEPENDENCYPART_ARC
(1,21),-1.71563 # DEPENDENCYPART_ARC
(1,22),-1.69769 # DEPENDENCYPART_ARC
(1,23),-0.0303771 # DEPENDENCYPART_ARC
(1,24),1.81326 # DEPENDENCYPART_ARC
(2,1),0.811406 # DEPENDENCYPART_ARC
(2,3),-0.300011 # DEPENDENCYPART_ARC
(2,4),0.0651533 # DEPENDENCYPART_ARC
(2,5),-0.405543 # DEPENDENCYPART_ARC
(2,6),-0.892889 # DEPENDENCYPART_ARC
(2,7),-1.06181 # DEPENDENCYPART_ARC
(2,8),-1.27065 # DEPENDENCYPART_ARC
(2,9),-1.17878 # DEPENDENCYPART_ARC
(2,10),-0.723885 # DEPENDENCYPART_ARC
(2,11),0.109487 # DEPENDENCYPART_ARC
(2,12),-1.41624 # DEPENDENCYPART_ARC
(2,13),-0.758072 # DEPENDENCYPART_ARC
(2,14),-1.34212 # DEPENDENCYPART_ARC
(2,15),-1.79796 # DEPENDENCYPART_ARC
(2,16),-0.813802 # DEPENDENCYPART_ARC
(2,17),-0.389935 # DEPENDENCYPART_ARC
(2,18),-1.59466 # DEPENDENCYPART_ARC
(2,19),-0.0554488 # DEPENDENCYPART_ARC
(2,20),-0.893297 # DEPENDENCYPART_ARC
(2,21),-1.7279 # DEPENDENCYPART_ARC
(2,22),-1.51516 # DEPENDENCYPART_ARC
(2,23),-0.242617 # DEPENDENCYPART_ARC
(2,24),0.953324 # DEPENDENCYPART_ARC
(3,1),0.803774 # DEPENDENCYPART_ARC
(3,2),2.75992 # DEPENDENCYPART_ARC
(3,4),-0.434073 # DEPENDENCYPART_ARC
(3,5),-0.889445 # DEPENDENCYPART_ARC
(3,6),-1.18662 # DEPENDENCYPART_ARC
(3,7),-1.40423 # DEPENDENCYPART_ARC
(3,8),-1.24833 # DEPENDENCYPART_ARC
(3,9),-0.985501 # DEPENDENCYPART_ARC
(3,10),-1.36065 # DEPENDENCYPART_ARC
(3,11),-0.508212 # DEPENDENCYPART_ARC
(3,12),-1.61971 # DEPENDENCYPART_ARC
(3,13),-1.04616 # DEPENDENCYPART_ARC
(3,14),-1.27292 # DEPENDENCYPART_ARC
(3,15),-2.03495 # DEPENDENCYPART_ARC
(3,16),-1.69046 # DEPENDENCYPART_ARC
(3,17),-0.784732 # DEPENDENCYPART_ARC
(3,18),-1.95981 # DEPENDENCYPART_ARC
(3,19),-0.883715 # DEPENDENCYPART_ARC
(3,20),-1.18181 # DEPENDENCYPART_ARC
(3,21),-2.2489 # DEPENDENCYPART_ARC
(3,22),-2.11859 # DEPENDENCYPART_ARC
(3,23),-1.21042 # DEPENDENCYPART_ARC
(3,24),0.218549 # DEPENDENCYPART_ARC
(4,1),-0.764653 # DEPENDENCYPART_ARC
(4,2),0.892832 # DEPENDENCYPART_ARC
(4,3),0.548635 # DEPENDENCYPART_ARC
(4,5),-0.854946 # DEPENDENCYPART_ARC
(4,6),-1.37078 # DEPENDENCYPART_ARC
(4,7),-0.937364 # DEPENDENCYPART_ARC
(4,8),-1.48027 # DEPENDENCYPART_ARC
(4,9),-1.45735 # DEPENDENCYPART_ARC
(4,10),-1.00415 # DEPENDENCYPART_ARC
(4,11),-0.219011 # DEPENDENCYPART_ARC
(4,12),-2.13557 # DEPENDENCYPART_ARC
(4,13),-0.993436 # DEPENDENCYPART_ARC
(4,14),-1.65253 # DEPENDENCYPART_ARC
(4,15),-2.36659 # DEPENDENCYPART_ARC
(4,16),-1.40134 # DEPENDENCYPART_ARC
(4,17),-0.761361 # DEPENDENCYPART_ARC
(4,18),-1.54589 # DEPENDENCYPART_ARC
(4,19),-0.467636 # DEPENDENCYPART_ARC
(4,20),-1.25889 # DEPENDENCYPART_ARC
(4,21),-1.71227 # DEPENDENCYPART_ARC
(4,22),-1.82212 # DEPENDENCYPART_ARC
(4,23),-0.49381 # DEPENDENCYPART_ARC
(4,24),0.482856 # DEPENDENCYPART_ARC
(5,1),2.48222 # DEPENDENCYPART_ARC
(5,2),1.43845 # DEPENDENCYPART_ARC
(5,3),3.00946 # DEPENDENCYPART_ARC
(5,4),4.32838 # DEPENDENCYPART_ARC
(5,6),0.297948 # DEPENDENCYPART_ARC
(5,7),1.48015 # DEPENDENCYPART_ARC
(5,8),1.20599 # DEPENDENCYPART_ARC
(5,9),0.323899 # DEPENDENCYPART_ARC
(5,10),3.36131 # DEPENDENCYPART_ARC
(5,11),1.93112 # DEPENDENCYPART_ARC
(5,12),0.245757 # DEPENDENCYPART_ARC
(5,13),0.518516 # DEPENDENCYPART_ARC
(5,14),-0.257353 # DEPENDENCYPART_ARC
(5,15),0.404717 # DEPENDENCYPART_ARC
(5,16),1.26262 # DEPENDENCYPART_ARC
(5,17),0.289671 # DEPENDENCYPART_ARC
(5,18),1.37701 # DEPENDENCYPART_ARC
(5,19),0.840833 # DEPENDENCYPART_ARC
(5,20),-0.539012 # DEPENDENCYPART_ARC
(5,21),-1.69887 # DEPENDENCYPART_ARC
(5,22),0.18341 # DEPENDENCYPART_ARC
(5,23),0.276716 # DEPENDENCYPART_ARC
(5,24),2.69335 # DEPENDENCYPART_ARC
(6,1),-2.11504 # DEPENDENCYPART_ARC
(6,2),-2.59628 # DEPENDENCYPART_ARC
(6,3),-1.73718 # DEPENDENCYPART_ARC
(6,4),-2.75679 # DEPENDENCYPART_ARC
(6,5),-0.895302 # DEPENDENCYPART_ARC
(6,7),-0.383532 # DEPENDENCYPART_ARC
(6,8),-0.92717 # DEPENDENCYPART_ARC
(6,9),-0.634501 # DEPENDENCYPART_ARC
(6,10),-1.1654 # DEPENDENCYPART_ARC
(6,11),-0.541373 # DEPENDENCYPART_ARC
(6,12),-1.28975 # DEPENDENCYPART_ARC
(6,13),-1.10015 # DEPENDENCYPART_ARC
(6,14),-1.26689 # DEPENDENCYPART_ARC
(6,15),-1.77904 # DEPENDENCYPART_ARC
(6,16),-1.52041 # DEPENDENCYPART_ARC
(6,17),-0.684449 # DEPENDENCYPART_ARC
(6,18),-1.80128 # DEPENDENCYPART_ARC
(6,19),-0.830099 # DEPENDENCYPART_ARC
(6,20),-1.25742 # DEPENDENCYPART_ARC
(6,21),-1.91709 # DEPENDENCYPART_ARC
(6,22),-2.22485 # DEPENDENCYPART_ARC
(6,23),-0.793498 # DEPENDENCYPART_ARC
(6,24),-2.51171 # DEPENDENCYPART_ARC
(7,1),-3.12704 # DEPENDENCYPART_ARC
(7,2),-2.84913 # DEPENDENCYPART_ARC
(7,3),-3.39136 # DEPENDENCYPART_ARC
(7,4),-3.29587 # DEPENDENCYPART_ARC
(7,5),-0.967219 # DEPENDENCYPART_ARC
(7,6),3.09561 # DEPENDENCYPART_ARC
(7,8),-1.49947 # DEPENDENCYPART_ARC
(7,9),-0.945411 # DEPENDENCYPART_ARC
(7,10),-1.12856 # DEPENDENCYPART_ARC
(7,11),-0.179692 # DEPENDENCYPART_ARC
(7,12),-1.49238 # DEPENDENCYPART_ARC
(7,13),-1.15498 # DEPENDENCYPART_ARC
(7,14),-1.41199 # DEPENDENCYPART_ARC
(7,15),-2.12754 # DEPENDENCYPART_ARC
(7,16),-0.806211 # DEPENDENCYPART_ARC
(7,17),-0.816067 # DEPENDENCYPART_ARC
(7,18),-2.35064 # DEPENDENCYPART_ARC
(7,19),-0.760178 # DEPENDENCYPART_ARC
(7,20),-1.61752 # DEPENDENCYPART_ARC
(7,21),-2.46358 # DEPENDENCYPART_ARC
(7,22),-2.59254 # DEPENDENCYPART_ARC
(7,23),-0.721012 # DEPENDENCYPART_ARC
(7,24),0.107159 # DEPENDENCYPART_ARC
(8,1),-2.96709 # DEPENDENCYPART_ARC
(8,2),-3.39386 # DEPENDENCYPART_ARC
(8,3),-3.26693 # DEPENDENCYPART_ARC
(8,4),-1.77554 # DEPENDENCYPART_ARC
(8,5),-2.09981 # DEPENDENCYPART_ARC
(8,6),1.46738 # DEPENDENCYPART_ARC
(8,7),4.49653 # DEPENDENCYPART_ARC
(8,9),-0.296864 # DEPENDENCYPART_ARC
(8,10),0.225358 # DEPENDENCYPART_ARC
(8,11),0.160621 # DEPENDENCYPART_ARC
(8,12),-2.15707 # DEPENDENCYPART_ARC
(8,13),-0.904615 # DEPENDENCYPART_ARC
