# _root_ Aki elsőnek ér a tájékozódási pontokra , azé a tojás , és a legtöbb tojás tulajdonosa lesz a tojáskereső verseny győztese .
#goldHeads=3,3,8,6,6,3,8,12,10,8,12,0,15,15,16,17,12,20,20,21,17,12,
#predictedHeads=3,3,12,6,6,3,3,17,10,3,12,0,15,15,16,17,12,20,20,21,17,3,
(0,1),-2.30483 # DEPENDENCYPART_ARC
(0,2),-2.16756 # DEPENDENCYPART_ARC
(0,3),-0.638305 # DEPENDENCYPART_ARC
(0,4),-2.74943 # DEPENDENCYPART_ARC
(0,5),-2.62116 # DEPENDENCYPART_ARC
(0,6),-3.71383 # DEPENDENCYPART_ARC
(0,7),-3.03482 # DEPENDENCYPART_ARC
(0,8),-2.97343 # DEPENDENCYPART_ARC
(0,9),-3.11162 # DEPENDENCYPART_ARC
(0,10),-4.15095 # DEPENDENCYPART_ARC
(0,11),-3.35141 # DEPENDENCYPART_ARC
(0,12),-1.23153 # DEPENDENCYPART_ARC
(0,13),-3.34268 # DEPENDENCYPART_ARC
(0,14),-3.41917 # DEPENDENCYPART_ARC
(0,15),-4.57619 # DEPENDENCYPART_ARC
(0,16),-4.85756 # DEPENDENCYPART_ARC
(0,17),-1.96754 # DEPENDENCYPART_ARC
(0,18),-3.53746 # DEPENDENCYPART_ARC
(0,19),-3.3353 # DEPENDENCYPART_ARC
(0,20),-5.11537 # DEPENDENCYPART_ARC
(0,21),-5.41318 # DEPENDENCYPART_ARC
(0,22),-5.43648 # DEPENDENCYPART_ARC
(1,2),-0.640396 # DEPENDENCYPART_ARC
(1,3),-0.378252 # DEPENDENCYPART_ARC
(1,4),-1.37311 # DEPENDENCYPART_ARC
(1,5),-0.738738 # DEPENDENCYPART_ARC
(1,6),-1.10455 # DEPENDENCYPART_ARC
(1,7),-0.307068 # DEPENDENCYPART_ARC
(1,8),-1.12238 # DEPENDENCYPART_ARC
(1,9),-1.50607 # DEPENDENCYPART_ARC
(1,10),-1.04201 # DEPENDENCYPART_ARC
(1,11),-0.255999 # DEPENDENCYPART_ARC
