# _root_ Újabb háromórás várakozás , mire befutnak a tejkonzervek , s végre útnak indulhatunk Albánia felé .
#goldHeads=3,3,10,3,6,3,8,6,10,0,13,13,10,15,13,10,
#predictedHeads=3,3,6,6,6,10,8,6,10,0,13,13,10,15,13,10,
(0,1),-2.1213 # DEPENDENCYPART_ARC
(0,2),-2.3201 # DEPENDENCYPART_ARC
(0,3),-2.9712 # DEPENDENCYPART_ARC
(0,5),-2.48016 # DEPENDENCYPART_ARC
(0,6),-1.76458 # DEPENDENCYPART_ARC
(0,8),-3.92626 # DEPENDENCYPART_ARC
(0,10),0.59385 # DEPENDENCYPART_ARC
(0,11),-2.60453 # DEPENDENCYPART_ARC
(0,12),-3.78266 # DEPENDENCYPART_ARC
(0,13),-2.05302 # DEPENDENCYPART_ARC
(0,14),-3.00344 # DEPENDENCYPART_ARC
(0,15),-3.63071 # DEPENDENCYPART_ARC
(1,2),-0.786015 # DEPENDENCYPART_ARC
(1,3),-0.717162 # DEPENDENCYPART_ARC
(1,4),-0.559253 # DEPENDENCYPART_ARC
(1,5),-1.14955 # DEPENDENCYPART_ARC
(1,6),-0.808468 # DEPENDENCYPART_ARC
(1,7),-1.61109 # DEPENDENCYPART_ARC
(1,8),-2.2282 # DEPENDENCYPART_ARC
(1,9),-0.930559 # DEPENDENCYPART_ARC
(1,10),-1.20863 # DEPENDENCYPART_ARC
(1,11),-1.39854 # DEPENDENCYPART_ARC
(1,12),-2.49056 # DEPENDENCYPART_ARC
(1,13),-1.4689 # DEPENDENCYPART_ARC
(1,14),-2.11727 # DEPENDENCYPART_ARC
(1,15),-1.29183 # DEPENDENCYPART_ARC
(1,16),-0.289484 # DEPENDENCYPART_ARC
(2,1),1.48637 # DEPENDENCYPART_ARC
(2,3),-0.490389 # DEPENDENCYPART_ARC
(2,4),-0.664601 # DEPENDENCYPART_ARC
(2,5),-1.18227 # DEPENDENCYPART_ARC
(2,6),-0.99239 # DEPENDENCYPART_ARC
(2,7),-1.76671 # DEPENDENCYPART_ARC
(2,8),-2.04638 # DEPENDENCYPART_ARC
(2,9),-0.921815 # DEPENDENCYPART_ARC
(2,10),-1.23381 # DEPENDENCYPART_ARC
(2,11),-1.53749 # DEPENDENCYPART_ARC
(2,12),-2.39872 # DEPENDENCYPART_ARC
(2,13),-1.67926 # DEPENDENCYPART_ARC
(2,14),-2.57279 # DEPENDENCYPART_ARC
(2,15),-1.42017 # DEPENDENCYPART_ARC
(2,16),-0.479452 # DEPENDENCYPART_ARC
(3,1),2.49214 # DEPENDENCYPART_ARC
(3,2),3.64157 # DEPENDENCYPART_ARC
(3,4),0.139341 # DEPENDENCYPART_ARC
(3,5),-0.788444 # DEPENDENCYPART_ARC
(3,6),-0.132517 # DEPENDENCYPART_ARC
(3,7),-1.09546 # DEPENDENCYPART_ARC
(3,8),-1.30904 # DEPENDENCYPART_ARC
(3,9),-0.333989 # DEPENDENCYPART_ARC
(3,10),-0.543 # DEPENDENCYPART_ARC
(3,11),-0.825847 # DEPENDENCYPART_ARC
(3,12),-2.50941 # DEPENDENCYPART_ARC
(3,13),-1.10128 # DEPENDENCYPART_ARC
(3,14),-2.04411 # DEPENDENCYPART_ARC
(3,15),-0.866246 # DEPENDENCYPART_ARC
(3,16),0.12575 # DEPENDENCYPART_ARC
(5,3),-0.432691 # DEPENDENCYPART_ARC
(5,4),0.157512 # DEPENDENCYPART_ARC
(5,6),0.432196 # DEPENDENCYPART_ARC
(5,8),-0.552845 # DEPENDENCYPART_ARC
(5,9),-0.472151 # DEPENDENCYPART_ARC
(5,12),-1.68643 # DEPENDENCYPART_ARC
(5,13),-0.472321 # DEPENDENCYPART_ARC
(5,14),-1.47564 # DEPENDENCYPART_ARC
(5,15),-0.442075 # DEPENDENCYPART_ARC
(5,16),-0.149294 # DEPENDENCYPART_ARC
(6,1),-0.497472 # DEPENDENCYPART_ARC
(6,2),-0.716678 # DEPENDENCYPART_ARC
(6,3),0.0602274 # DEPENDENCYPART_ARC
(6,4),0.796049 # DEPENDENCYPART_ARC
(6,5),2.40919 # DEPENDENCYPART_ARC
(6,7),-0.313978 # DEPENDENCYPART_ARC
(6,8),2.54951 # DEPENDENCYPART_ARC
(6,9),1.20756 # DEPENDENCYPART_ARC
(6,10),0.557169 # DEPENDENCYPART_ARC
(6,11),-0.121849 # DEPENDENCYPART_ARC
(6,12),-1.00446 # DEPENDENCYPART_ARC
(6,13),0.595664 # DEPENDENCYPART_ARC
(6,14),-1.67441 # DEPENDENCYPART_ARC
(6,15),0.100632 # DEPENDENCYPART_ARC
(6,16),1.53398 # DEPENDENCYPART_ARC
(7,1),-2.171 # DEPENDENCYPART_ARC
(7,2),-2.17369 # DEPENDENCYPART_ARC
(7,3),-3.21227 # DEPENDENCYPART_ARC
(7,4),-1.53851 # DEPENDENCYPART_ARC
(7,8),-0.367057 # DEPENDENCYPART_ARC
(7,9),-0.416515 # DEPENDENCYPART_ARC
(7,10),-0.806637 # DEPENDENCYPART_ARC
(7,12),-1.46213 # DEPENDENCYPART_ARC
(7,14),-1.6036 # DEPENDENCYPART_ARC
(8,1),-2.25012 # DEPENDENCYPART_ARC
(8,2),-1.92425 # DEPENDENCYPART_ARC
(8,3),-3.24416 # DEPENDENCYPART_ARC
(8,4),-1.62272 # DEPENDENCYPART_ARC
(8,5),-0.986917 # DEPENDENCYPART_ARC
(8,6),-1.58273 # DEPENDENCYPART_ARC
(8,7),3.12556 # DEPENDENCYPART_ARC
(8,9),-0.347925 # DEPENDENCYPART_ARC
(8,10),-1.03637 # DEPENDENCYPART_ARC
(8,11),-1.05425 # DEPENDENCYPART_ARC
(8,12),-2.26954 # DEPENDENCYPART_ARC
(8,13),-1.12639 # DEPENDENCYPART_ARC
(8,14),-2.25292 # DEPENDENCYPART_ARC
(8,15),-0.932255 # DEPENDENCYPART_ARC
(8,16),-0.660262 # DEPENDENCYPART_ARC
(10,1),0.0876676 # DEPENDENCYPART_ARC
(10,2),-0.511063 # DEPENDENCYPART_ARC
(10,3),-1.06278 # DEPENDENCYPART_ARC
(10,4),0.676842 # DEPENDENCYPART_ARC
(10,5),0.471153 # DEPENDENCYPART_ARC
(10,6),2.12345 # DEPENDENCYPART_ARC
(10,7),-0.146661 # DEPENDENCYPART_ARC
(10,8),-0.46254 # DEPENDENCYPART_ARC
(10,9),2.21939 # DEPENDENCYPART_ARC
(10,11),0.0807229 # DEPENDENCYPART_ARC
(10,12),-0.301785 # DEPENDENCYPART_ARC
(10,13),1.88601 # DEPENDENCYPART_ARC
(10,14),-0.487248 # DEPENDENCYPART_ARC
(10,15),-0.152101 # DEPENDENCYPART_ARC
(10,16),3.06842 # DEPENDENCYPART_ARC
(11,1),-1.07785 # DEPENDENCYPART_ARC
(11,2),-1.06086 # DEPENDENCYPART_ARC
(11,3),-1.3032 # DEPENDENCYPART_ARC
(11,4),-0.429006 # DEPENDENCYPART_ARC
(11,5),-0.692414 # DEPENDENCYPART_ARC
(11,6),-0.505536 # DEPENDENCYPART_ARC
(11,7),-0.512239 # DEPENDENCYPART_ARC
(11,8),-0.45073 # DEPENDENCYPART_ARC
(11,9),0.0496226 # DEPENDENCYPART_ARC
(11,10),0.267795 # DEPENDENCYPART_ARC
(11,12),-0.289746 # DEPENDENCYPART_ARC
(11,13),0.135045 # DEPENDENCYPART_ARC
(11,14),-0.71413 # DEPENDENCYPART_ARC
(11,15),-0.0152535 # DEPENDENCYPART_ARC
(11,16),-0.158249 # DEPENDENCYPART_ARC
(12,1),-1.43504 # DEPENDENCYPART_ARC
(12,2),-1.15168 # DEPENDENCYPART_ARC
(12,3),-2.9918 # DEPENDENCYPART_ARC
(12,4),-0.913845 # DEPENDENCYPART_ARC
(12,5),-0.717128 # DEPENDENCYPART_ARC
(12,6),-1.91503 # DEPENDENCYPART_ARC
(12,7),0.274005 # DEPENDENCYPART_ARC
(12,8),-1.37147 # DEPENDENCYPART_ARC
(12,9),0.582073 # DEPENDENCYPART_ARC
(12,10),1.03289 # DEPENDENCYPART_ARC
(12,11),0.938945 # DEPENDENCYPART_ARC
(12,13),-1.07957 # DEPENDENCYPART_ARC
(12,14),-0.902333 # DEPENDENCYPART_ARC
(12,15),-0.287609 # DEPENDENCYPART_ARC
(12,16),-0.410581 # DEPENDENCYPART_ARC
(13,1),-1.56701 # DEPENDENCYPART_ARC
(13,2),-2.04173 # DEPENDENCYPART_ARC
(13,3),-1.55093 # DEPENDENCYPART_ARC
(13,4),0.369223 # DEPENDENCYPART_ARC
(13,5),0.69898 # DEPENDENCYPART_ARC
(13,6),-0.222999 # DEPENDENCYPART_ARC
(13,7),-0.452032 # DEPENDENCYPART_ARC
(13,8),0.0397542 # DEPENDENCYPART_ARC
(13,9),0.869174 # DEPENDENCYPART_ARC
(13,10),1.08383 # DEPENDENCYPART_ARC
(13,11),2.12188 # DEPENDENCYPART_ARC
(13,12),2.61855 # DEPENDENCYPART_ARC
(13,14),1.00276 # DEPENDENCYPART_ARC
(13,15),2.22235 # DEPENDENCYPART_ARC
(13,16),1.61939 # DEPENDENCYPART_ARC
(14,1),-2.32017 # DEPENDENCYPART_ARC
(14,2),-2.16736 # DEPENDENCYPART_ARC
(14,3),-4.06422 # DEPENDENCYPART_ARC
(14,4),-1.482 # DEPENDENCYPART_ARC
(14,6),-2.23691 # DEPENDENCYPART_ARC
(14,7),-0.655701 # DEPENDENCYPART_ARC
(14,8),-3.24437 # DEPENDENCYPART_ARC
(14,9),-0.831503 # DEPENDENCYPART_ARC
(14,10),-0.0798296 # DEPENDENCYPART_ARC
(14,11),-0.492703 # DEPENDENCYPART_ARC
(14,12),-2.02048 # DEPENDENCYPART_ARC
(14,13),0.503431 # DEPENDENCYPART_ARC
(14,15),-0.29825 # DEPENDENCYPART_ARC
(14,16),-0.804598 # DEPENDENCYPART_ARC
(15,1),-0.837474 # DEPENDENCYPART_ARC
(15,2),-0.85366 # DEPENDENCYPART_ARC
(15,3),-0.903358 # DEPENDENCYPART_ARC
(15,4),-0.436534 # DEPENDENCYPART_ARC
(15,6),-0.793552 # DEPENDENCYPART_ARC
(15,7),-0.401128 # DEPENDENCYPART_ARC
(15,8),-0.165335 # DEPENDENCYPART_ARC
(15,9),0.358355 # DEPENDENCYPART_ARC
(15,10),0.346725 # DEPENDENCYPART_ARC
(15,11),0.0739225 # DEPENDENCYPART_ARC
(15,12),0.603623 # DEPENDENCYPART_ARC
(15,13),0.818334 # DEPENDENCYPART_ARC
(15,14),4.00105 # DEPENDENCYPART_ARC
(15,16),-0.161646 # DEPENDENCYPART_ARC
