# _root_ A kávéházak és a passzázsokból kialakított bevásárlóudvarok zsúfolásig tömve vannak , mintha csak azt szeretnék bizonyítani , hogy itt Argentínához és Uruguayhoz hasonlóan igen is erős középosztály van .
#goldHeads=2,9,9,5,6,7,9,9,10,0,10,10,16,16,10,15,15,15,28,23,23,23,28,25,28,27,28,14,10,
#predictedHeads=2,10,10,5,6,7,10,10,10,0,10,10,15,16,10,15,15,15,28,28,28,23,28,25,26,27,28,14,15,
(0,1),-2.07918 # DEPENDENCYPART_ARC
(0,2),-2.11916 # DEPENDENCYPART_ARC
(0,3),-2.30416 # DEPENDENCYPART_ARC
(0,4),-2.47925 # DEPENDENCYPART_ARC
(0,5),-2.55818 # DEPENDENCYPART_ARC
(0,6),-2.10579 # DEPENDENCYPART_ARC
(0,7),-2.9268 # DEPENDENCYPART_ARC
(0,8),-3.07214 # DEPENDENCYPART_ARC
(0,9),-2.3765 # DEPENDENCYPART_ARC
(0,10),-1.02493 # DEPENDENCYPART_ARC
(0,11),-3.17069 # DEPENDENCYPART_ARC
(0,12),-0.35167 # DEPENDENCYPART_ARC
(0,13),-2.27433 # DEPENDENCYPART_ARC
(0,14),-3.58168 # DEPENDENCYPART_ARC
(0,15),-0.857615 # DEPENDENCYPART_ARC
(0,16),-1.8242 # DEPENDENCYPART_ARC
(0,17),-3.3025 # DEPENDENCYPART_ARC
(0,18),-3.01281 # DEPENDENCYPART_ARC
(0,19),-1.49833 # DEPENDENCYPART_ARC
(0,20),-2.7915 # DEPENDENCYPART_ARC
(0,21),-1.7894 # DEPENDENCYPART_ARC
(0,22),-2.42913 # DEPENDENCYPART_ARC
(0,23),-2.52802 # DEPENDENCYPART_ARC
(0,24),-2.46246 # DEPENDENCYPART_ARC
(0,25),-3.67129 # DEPENDENCYPART_ARC
(0,26),-2.89769 # DEPENDENCYPART_ARC
(0,27),-3.30227 # DEPENDENCYPART_ARC
(0,28),-2.00588 # DEPENDENCYPART_ARC
(0,29),-5.27057 # DEPENDENCYPART_ARC
(1,2),-0.54514 # DEPENDENCYPART_ARC
(1,3),-0.889769 # DEPENDENCYPART_ARC
(1,4),-0.941615 # DEPENDENCYPART_ARC
(1,5),-1.37043 # DEPENDENCYPART_ARC
(1,6),-1.02838 # DEPENDENCYPART_ARC
(1,7),-1.66833 # DEPENDENCYPART_ARC
(1,8),-1.82525 # DEPENDENCYPART_ARC
(1,9),-1.25502 # DEPENDENCYPART_ARC
(1,10),-1.64113 # DEPENDENCYPART_ARC
(1,11),-0.785414 # DEPENDENCYPART_ARC
(1,12),-1.36528 # DEPENDENCYPART_ARC
(1,13),-1.36272 # DEPENDENCYPART_ARC
(1,14),-1.64607 # DEPENDENCYPART_ARC
(1,15),-1.86419 # DEPENDENCYPART_ARC
(1,16),-1.51229 # DEPENDENCYPART_ARC
(1,17),-0.884236 # DEPENDENCYPART_ARC
(1,18),-1.42926 # DEPENDENCYPART_ARC
(1,19),-1.45816 # DEPENDENCYPART_ARC
(1,20),-2.12507 # DEPENDENCYPART_ARC
(1,21),-1.88137 # DEPENDENCYPART_ARC
(1,22),-2.19919 # DEPENDENCYPART_ARC
(1,23),-2.53941 # DEPENDENCYPART_ARC
(1,24),-1.40289 # DEPENDENCYPART_ARC
(1,25),-1.55457 # DEPENDENCYPART_ARC
(1,26),-2.47412 # DEPENDENCYPART_ARC
(1,27),-2.43662 # DEPENDENCYPART_ARC
(1,28),-2.33458 # DEPENDENCYPART_ARC
(1,29),-2.89117 # DEPENDENCYPART_ARC
(2,1),3.17865 # DEPENDENCYPART_ARC
(2,3),-0.737592 # DEPENDENCYPART_ARC
(2,4),-1.23734 # DEPENDENCYPART_ARC
(2,5),-1.83025 # DEPENDENCYPART_ARC
(2,6),-1.14785 # DEPENDENCYPART_ARC
(2,7),-1.0899 # DEPENDENCYPART_ARC
(2,8),-2.00886 # DEPENDENCYPART_ARC
(2,9),-1.08287 # DEPENDENCYPART_ARC
(2,10),-1.10682 # DEPENDENCYPART_ARC
(2,11),-0.782646 # DEPENDENCYPART_ARC
(2,12),-1.1771 # DEPENDENCYPART_ARC
(2,13),-1.06369 # DEPENDENCYPART_ARC
(2,14),-1.95193 # DEPENDENCYPART_ARC
(2,15),-1.83238 # DEPENDENCYPART_ARC
(2,16),-1.29446 # DEPENDENCYPART_ARC
(2,17),-1.07371 # DEPENDENCYPART_ARC
(2,18),-1.07104 # DEPENDENCYPART_ARC
(2,19),-1.00011 # DEPENDENCYPART_ARC
(2,20),-4.02167 # DEPENDENCYPART_ARC
(2,21),-1.15167 # DEPENDENCYPART_ARC
(2,22),-4.21431 # DEPENDENCYPART_ARC
(2,23),-2.51441 # DEPENDENCYPART_ARC
(2,24),-1.10326 # DEPENDENCYPART_ARC
(2,25),-1.72588 # DEPENDENCYPART_ARC
(2,26),-2.17262 # DEPENDENCYPART_ARC
(2,27),-3.70439 # DEPENDENCYPART_ARC
(2,28),-2.70516 # DEPENDENCYPART_ARC
(2,29),-0.15818 # DEPENDENCYPART_ARC
(3,1),-0.125316 # DEPENDENCYPART_ARC
(3,2),0.846372 # DEPENDENCYPART_ARC
(3,4),-0.053304 # DEPENDENCYPART_ARC
(3,5),0.921017 # DEPENDENCYPART_ARC
(3,6),0.0800685 # DEPENDENCYPART_ARC
(3,7),0.733742 # DEPENDENCYPART_ARC
(3,8),-0.0825904 # DEPENDENCYPART_ARC
(3,9),-0.250895 # DEPENDENCYPART_ARC
(3,10),0.5359 # DEPENDENCYPART_ARC
(3,11),0.260754 # DEPENDENCYPART_ARC
(3,12),0.105894 # DEPENDENCYPART_ARC
(3,13),-0.22514 # DEPENDENCYPART_ARC
(3,14),-1.08261 # DEPENDENCYPART_ARC
(3,15),-0.238276 # DEPENDENCYPART_ARC
(3,16),-0.630092 # DEPENDENCYPART_ARC
(3,17),0.0238997 # DEPENDENCYPART_ARC
(3,18),-0.0884593 # DEPENDENCYPART_ARC
(3,19),-0.714401 # DEPENDENCYPART_ARC
(3,20),-1.97958 # DEPENDENCYPART_ARC
(3,21),-0.697053 # DEPENDENCYPART_ARC
(3,22),-2.26757 # DEPENDENCYPART_ARC
(3,23),-1.40144 # DEPENDENCYPART_ARC
(3,24),-0.0983065 # DEPENDENCYPART_ARC
(3,25),-0.614115 # DEPENDENCYPART_ARC
(3,26),-1.26814 # DEPENDENCYPART_ARC
(3,27),-1.9069 # DEPENDENCYPART_ARC
(3,28),-2.03801 # DEPENDENCYPART_ARC
(3,29),1.13154 # DEPENDENCYPART_ARC
(4,1),-1.00556 # DEPENDENCYPART_ARC
(4,2),-1.82192 # DEPENDENCYPART_ARC
(4,3),-0.331805 # DEPENDENCYPART_ARC
(4,5),-0.538128 # DEPENDENCYPART_ARC
(4,6),-0.218426 # DEPENDENCYPART_ARC
(4,7),-1.09775 # DEPENDENCYPART_ARC
(4,8),-1.3078 # DEPENDENCYPART_ARC
(4,9),-1.05208 # DEPENDENCYPART_ARC
(4,10),-1.37394 # DEPENDENCYPART_ARC
(4,11),-0.603246 # DEPENDENCYPART_ARC
