# _root_ Nagy_Lajos , a kisgazdapárt helyi vezetője azt szeretné elérni , hogy a gázvagyonért kapott 45_millió forint felhasználását ellenőrizhessék .
#goldHeads=8,8,4,6,6,8,9,0,8,8,8,13,14,16,16,17,18,7,8,
#predictedHeads=6,8,4,6,6,8,9,0,8,8,8,13,14,16,16,17,18,7,8,
(0,1),-1.9729 # DEPENDENCYPART_ARC
(0,2),-2.69274 # DEPENDENCYPART_ARC
(0,3),-2.61713 # DEPENDENCYPART_ARC
(0,4),-2.77733 # DEPENDENCYPART_ARC
(0,5),-2.42712 # DEPENDENCYPART_ARC
(0,6),-3.51502 # DEPENDENCYPART_ARC
(0,7),-3.99157 # DEPENDENCYPART_ARC
(0,8),-0.533124 # DEPENDENCYPART_ARC
(0,9),-1.84325 # DEPENDENCYPART_ARC
(0,10),-3.28571 # DEPENDENCYPART_ARC
(0,11),-1.99747 # DEPENDENCYPART_ARC
(0,12),-3.16481 # DEPENDENCYPART_ARC
(0,13),-3.91656 # DEPENDENCYPART_ARC
(0,14),-2.7302 # DEPENDENCYPART_ARC
(0,15),-3.62063 # DEPENDENCYPART_ARC
(0,16),-4.45264 # DEPENDENCYPART_ARC
(0,17),-4.52976 # DEPENDENCYPART_ARC
(0,18),-2.45541 # DEPENDENCYPART_ARC
(0,19),-4.95915 # DEPENDENCYPART_ARC
(1,2),0.328832 # DEPENDENCYPART_ARC
(1,3),-0.66838 # DEPENDENCYPART_ARC
(1,4),0.160512 # DEPENDENCYPART_ARC
(1,5),-0.390461 # DEPENDENCYPART_ARC
(1,6),0.421254 # DEPENDENCYPART_ARC
(1,7),-1.24044 # DEPENDENCYPART_ARC
(1,8),-0.189321 # DEPENDENCYPART_ARC
(1,9),0.265859 # DEPENDENCYPART_ARC
(1,10),0.0796213 # DEPENDENCYPART_ARC
(1,11),-0.336602 # DEPENDENCYPART_ARC
(1,12),-1.01274 # DEPENDENCYPART_ARC
(1,13),-1.99815 # DEPENDENCYPART_ARC
(1,14),-1.10793 # DEPENDENCYPART_ARC
(1,15),-0.45478 # DEPENDENCYPART_ARC
(1,16),-1.32225 # DEPENDENCYPART_ARC
(1,17),-1.36591 # DEPENDENCYPART_ARC
(1,18),-0.712291 # DEPENDENCYPART_ARC
(1,19),1.14036 # DEPENDENCYPART_ARC
(2,1),-1.4499 # DEPENDENCYPART_ARC
(2,3),-0.807877 # DEPENDENCYPART_ARC
(2,4),-1.30341 # DEPENDENCYPART_ARC
(2,5),-1.1228 # DEPENDENCYPART_ARC
(2,6),-1.78287 # DEPENDENCYPART_ARC
(2,7),-1.3965 # DEPENDENCYPART_ARC
(2,8),-1.25553 # DEPENDENCYPART_ARC
(2,9),-1.31623 # DEPENDENCYPART_ARC
(2,10),-0.963951 # DEPENDENCYPART_ARC
(2,11),-0.997013 # DEPENDENCYPART_ARC
(2,12),-1.31544 # DEPENDENCYPART_ARC
(2,13),-2.35276 # DEPENDENCYPART_ARC
(2,14),-1.60228 # DEPENDENCYPART_ARC
(2,15),-1.43093 # DEPENDENCYPART_ARC
(2,16),-2.48513 # DEPENDENCYPART_ARC
(2,17),-2.51467 # DEPENDENCYPART_ARC
(2,18),-1.5983 # DEPENDENCYPART_ARC
(2,19),-1.3449 # DEPENDENCYPART_ARC
(3,1),-1.75403 # DEPENDENCYPART_ARC
(3,2),-0.518042 # DEPENDENCYPART_ARC
(3,4),-0.251791 # DEPENDENCYPART_ARC
(3,5),-0.129541 # DEPENDENCYPART_ARC
(3,6),-1.18676 # DEPENDENCYPART_ARC
(3,7),-0.937166 # DEPENDENCYPART_ARC
(3,8),-1.08894 # DEPENDENCYPART_ARC
(3,9),-0.896953 # DEPENDENCYPART_ARC
(3,10),-0.402767 # DEPENDENCYPART_ARC
(3,11),-0.861492 # DEPENDENCYPART_ARC
(3,12),-0.970296 # DEPENDENCYPART_ARC
(3,13),-1.57108 # DEPENDENCYPART_ARC
(3,14),-1.38562 # DEPENDENCYPART_ARC
(3,15),-0.881326 # DEPENDENCYPART_ARC
(3,16),-1.75565 # DEPENDENCYPART_ARC
(3,17),-2.21768 # DEPENDENCYPART_ARC
(3,18),-1.56077 # DEPENDENCYPART_ARC
(3,19),-1.96835 # DEPENDENCYPART_ARC
(4,1),-0.407244 # DEPENDENCYPART_ARC
(4,2),-0.502739 # DEPENDENCYPART_ARC
(4,3),3.32978 # DEPENDENCYPART_ARC
(4,5),-0.569042 # DEPENDENCYPART_ARC
(4,6),0.0145098 # DEPENDENCYPART_ARC
