# _root_ Ő korábban — egyebek között — az Ybl_Bank csődjét okozó Hepta-csoport egyik cégének , a Carbontransz_Rt.-nek volt az elnök-vezérigazgatója ( HVG , 1992. augusztus 1. )
#goldHeads=17,17,17,5,17,17,8,9,10,11,13,13,17,13,16,13,0,19,17,21,17,21,25,25,21,21,
#predictedHeads=5,5,5,5,17,17,8,9,10,11,13,13,17,17,16,17,0,19,17,21,17,17,25,25,17,2,
(0,1),-2.50218 # DEPENDENCYPART_ARC
(0,2),-1.93846 # DEPENDENCYPART_ARC
(0,3),-2.57325 # DEPENDENCYPART_ARC
(0,4),-2.12546 # DEPENDENCYPART_ARC
(0,5),-2.69097 # DEPENDENCYPART_ARC
(0,6),-2.79078 # DEPENDENCYPART_ARC
(0,7),-2.71883 # DEPENDENCYPART_ARC
(0,8),-3.314 # DEPENDENCYPART_ARC
(0,9),-3.69251 # DEPENDENCYPART_ARC
(0,10),-2.79275 # DEPENDENCYPART_ARC
(0,11),-3.85041 # DEPENDENCYPART_ARC
(0,12),-2.90623 # DEPENDENCYPART_ARC
(0,13),-4.35106 # DEPENDENCYPART_ARC
(0,14),-3.90329 # DEPENDENCYPART_ARC
(0,15),-3.3675 # DEPENDENCYPART_ARC
(0,16),-4.59832 # DEPENDENCYPART_ARC
(0,17),-1.53305 # DEPENDENCYPART_ARC
(0,18),-3.34037 # DEPENDENCYPART_ARC
(0,19),-4.95172 # DEPENDENCYPART_ARC
(0,20),-3.72188 # DEPENDENCYPART_ARC
(0,21),-4.61279 # DEPENDENCYPART_ARC
(0,22),-4.66069 # DEPENDENCYPART_ARC
(0,23),-4.77455 # DEPENDENCYPART_ARC
(0,24),-5.14814 # DEPENDENCYPART_ARC
(0,25),-5.50281 # DEPENDENCYPART_ARC
(0,26),-4.6973 # DEPENDENCYPART_ARC
(1,2),-0.618388 # DEPENDENCYPART_ARC
(1,3),-0.714537 # DEPENDENCYPART_ARC
(1,4),-1.18679 # DEPENDENCYPART_ARC
(1,5),-0.286319 # DEPENDENCYPART_ARC
(1,6),-0.790112 # DEPENDENCYPART_ARC
(1,7),-1.37014 # DEPENDENCYPART_ARC
(1,8),-1.26484 # DEPENDENCYPART_ARC
(1,9),-1.35217 # DEPENDENCYPART_ARC
(1,10),-0.87762 # DEPENDENCYPART_ARC
(1,11),-1.05163 # DEPENDENCYPART_ARC
(1,12),-1.22509 # DEPENDENCYPART_ARC
(1,13),-1.27907 # DEPENDENCYPART_ARC
(1,14),-0.656074 # DEPENDENCYPART_ARC
(1,15),-1.70713 # DEPENDENCYPART_ARC
(1,16),-1.72151 # DEPENDENCYPART_ARC
(1,17),0.0448001 # DEPENDENCYPART_ARC
(1,18),-1.50054 # DEPENDENCYPART_ARC
(1,19),-1.72026 # DEPENDENCYPART_ARC
(1,20),-0.996109 # DEPENDENCYPART_ARC
(1,21),-2.13249 # DEPENDENCYPART_ARC
(1,22),-0.845424 # DEPENDENCYPART_ARC
(1,23),-0.799918 # DEPENDENCYPART_ARC
(1,24),-2.19857 # DEPENDENCYPART_ARC
(1,25),-2.09475 # DEPENDENCYPART_ARC
(1,26),-0.553573 # DEPENDENCYPART_ARC
(2,1),1.05442 # DEPENDENCYPART_ARC
(2,3),0.795583 # DEPENDENCYPART_ARC
(2,4),-0.341769 # DEPENDENCYPART_ARC
(2,5),0.300735 # DEPENDENCYPART_ARC
(2,6),0.560118 # DEPENDENCYPART_ARC
(2,7),-0.631063 # DEPENDENCYPART_ARC
(2,8),-0.727349 # DEPENDENCYPART_ARC
(2,9),-0.774152 # DEPENDENCYPART_ARC
(2,10),-0.855321 # DEPENDENCYPART_ARC
(2,11),-0.869693 # DEPENDENCYPART_ARC
(2,12),-0.723229 # DEPENDENCYPART_ARC
(2,13),-0.914802 # DEPENDENCYPART_ARC
