# _root_ Tudjuk , ahányfajta életmód , anynyiféle kultúra .
#goldHeads=0,1,4,1,1,7,1,1,
#predictedHeads=0,1,4,1,1,7,1,1,
(0,1),-0.353763 # DEPENDENCYPART_ARC
(0,3),-2.39084 # DEPENDENCYPART_ARC
(0,4),-2.88901 # DEPENDENCYPART_ARC
(0,6),-2.52458 # DEPENDENCYPART_ARC
(0,7),-3.51091 # DEPENDENCYPART_ARC
(1,2),2.34878 # DEPENDENCYPART_ARC
(1,3),0.547749 # DEPENDENCYPART_ARC
(1,4),0.629367 # DEPENDENCYPART_ARC
(1,5),1.3525 # DEPENDENCYPART_ARC
(1,6),0.457279 # DEPENDENCYPART_ARC
(1,7),-0.211267 # DEPENDENCYPART_ARC
(1,8),2.22315 # DEPENDENCYPART_ARC
(3,1),0.408536 # DEPENDENCYPART_ARC
(3,2),0.300101 # DEPENDENCYPART_ARC
(3,4),0.00800099 # DEPENDENCYPART_ARC
(3,5),-0.0268747 # DEPENDENCYPART_ARC
(3,6),-0.67275 # DEPENDENCYPART_ARC
(3,7),-0.961494 # DEPENDENCYPART_ARC
(3,8),-0.834536 # DEPENDENCYPART_ARC
(4,1),-0.115942 # DEPENDENCYPART_ARC
(4,2),0.810521 # DEPENDENCYPART_ARC
(4,3),3.44417 # DEPENDENCYPART_ARC
(4,5),0.469218 # DEPENDENCYPART_ARC
(4,6),-0.126725 # DEPENDENCYPART_ARC
(4,7),-0.342575 # DEPENDENCYPART_ARC
(4,8),0.108531 # DEPENDENCYPART_ARC
(6,1),-0.0720374 # DEPENDENCYPART_ARC
(6,2),0.197329 # DEPENDENCYPART_ARC
(6,3),0.479832 # DEPENDENCYPART_ARC
(6,4),0.267975 # DEPENDENCYPART_ARC
(6,5),0.804144 # DEPENDENCYPART_ARC
(6,7),0.208969 # DEPENDENCYPART_ARC
(6,8),0.0690656 # DEPENDENCYPART_ARC
(7,1),-0.756389 # DEPENDENCYPART_ARC
(7,2),0.664177 # DEPENDENCYPART_ARC
(7,3),1.08405 # DEPENDENCYPART_ARC
(7,4),0.149275 # DEPENDENCYPART_ARC
(7,5),0.768572 # DEPENDENCYPART_ARC
(7,6),2.18854 # DEPENDENCYPART_ARC
(7,8),0.0556594 # DEPENDENCYPART_ARC
