# _root_ Nem volt nagy , ám a másodikhoz már elkelt a segítség , én nyúltam alá a merítőhálóval .
#goldHeads=2,5,2,5,0,7,9,9,5,11,9,5,14,5,14,17,14,5,
#predictedHeads=2,5,2,5,0,7,9,9,5,11,9,9,14,5,14,17,14,5,
(0,1),-1.74456 # DEPENDENCYPART_ARC
(0,2),-0.36565 # DEPENDENCYPART_ARC
(0,3),-2.05107 # DEPENDENCYPART_ARC
(0,5),0.128382 # DEPENDENCYPART_ARC
(0,7),-3.5622 # DEPENDENCYPART_ARC
(0,8),-2.15749 # DEPENDENCYPART_ARC
(0,9),-1.30929 # DEPENDENCYPART_ARC
(0,11),-3.74729 # DEPENDENCYPART_ARC
(0,13),-2.30701 # DEPENDENCYPART_ARC
(0,14),-1.44791 # DEPENDENCYPART_ARC
(0,15),-2.51055 # DEPENDENCYPART_ARC
(0,17),-4.78703 # DEPENDENCYPART_ARC
(1,2),-0.176123 # DEPENDENCYPART_ARC
(1,3),-0.561864 # DEPENDENCYPART_ARC
(1,4),-0.784874 # DEPENDENCYPART_ARC
(1,5),-0.603293 # DEPENDENCYPART_ARC
(1,7),-1.91051 # DEPENDENCYPART_ARC
(1,8),-1.13422 # DEPENDENCYPART_ARC
(1,9),-1.30022 # DEPENDENCYPART_ARC
(1,11),-1.95972 # DEPENDENCYPART_ARC
(1,12),-0.989142 # DEPENDENCYPART_ARC
(1,14),-1.39492 # DEPENDENCYPART_ARC
(1,17),-2.7509 # DEPENDENCYPART_ARC
(1,18),-0.0404873 # DEPENDENCYPART_ARC
(2,1),3.31917 # DEPENDENCYPART_ARC
(2,3),2.50128 # DEPENDENCYPART_ARC
(2,4),1.97989 # DEPENDENCYPART_ARC
(2,5),1.14598 # DEPENDENCYPART_ARC
(2,6),-0.0865976 # DEPENDENCYPART_ARC
(2,7),0.345808 # DEPENDENCYPART_ARC
(2,8),0.56886 # DEPENDENCYPART_ARC
(2,9),1.16967 # DEPENDENCYPART_ARC
(2,10),-0.618931 # DEPENDENCYPART_ARC
(2,11),0.00417886 # DEPENDENCYPART_ARC
