# _root_ Orbán egyetlen " házon belüli " kritikusa , Tölgyessy_Péter már hónapokkal ezelőtt jelezte , hogy a kormányfő megválasztása után egyfajta elnöki rendszer kiépítésébe fogott .
#goldHeads=7,7,7,5,7,7,13,13,13,13,12,13,0,13,13,17,24,19,24,22,22,23,24,13,13,
#predictedHeads=7,4,4,5,7,7,13,13,13,13,12,13,0,13,13,17,18,19,24,22,22,23,24,13,13,
(0,1),-1.9242 # DEPENDENCYPART_ARC
(0,2),-2.14219 # DEPENDENCYPART_ARC
(0,4),-3.02047 # DEPENDENCYPART_ARC
(0,5),-2.74835 # DEPENDENCYPART_ARC
(0,7),-3.9016 # DEPENDENCYPART_ARC
(0,9),-3.46317 # DEPENDENCYPART_ARC
(0,10),-2.70547 # DEPENDENCYPART_ARC
(0,11),-4.20357 # DEPENDENCYPART_ARC
(0,12),-4.13456 # DEPENDENCYPART_ARC
(0,13),-1.13189 # DEPENDENCYPART_ARC
(0,15),-1.47835 # DEPENDENCYPART_ARC
(0,17),-4.10413 # DEPENDENCYPART_ARC
(0,18),-4.27119 # DEPENDENCYPART_ARC
(0,19),-4.70434 # DEPENDENCYPART_ARC
(0,20),-3.48298 # DEPENDENCYPART_ARC
(0,21),-3.78125 # DEPENDENCYPART_ARC
(0,22),-4.43957 # DEPENDENCYPART_ARC
(0,23),-4.81577 # DEPENDENCYPART_ARC
(0,24),-2.56655 # DEPENDENCYPART_ARC
(1,2),-0.254943 # DEPENDENCYPART_ARC
(1,3),0.526848 # DEPENDENCYPART_ARC
(1,4),-1.00203 # DEPENDENCYPART_ARC
(1,5),-0.563137 # DEPENDENCYPART_ARC
(1,6),0.27184 # DEPENDENCYPART_ARC
(1,7),-0.679689 # DEPENDENCYPART_ARC
(1,8),0.0842969 # DEPENDENCYPART_ARC
(1,9),-1.01754 # DEPENDENCYPART_ARC
(1,10),-1.00071 # DEPENDENCYPART_ARC
(1,11),-2.01251 # DEPENDENCYPART_ARC
(1,12),-0.398898 # DEPENDENCYPART_ARC
(1,13),-0.444203 # DEPENDENCYPART_ARC
(1,14),-0.521729 # DEPENDENCYPART_ARC
(1,15),-0.860524 # DEPENDENCYPART_ARC
(1,16),-1.41942 # DEPENDENCYPART_ARC
(1,17),-1.81706 # DEPENDENCYPART_ARC
(1,18),-1.80776 # DEPENDENCYPART_ARC
(1,19),-0.744461 # DEPENDENCYPART_ARC
(1,20),-1.4102 # DEPENDENCYPART_ARC
(1,21),-1.3361 # DEPENDENCYPART_ARC
(1,22),-1.45466 # DEPENDENCYPART_ARC
(1,23),-2.40612 # DEPENDENCYPART_ARC
(1,24),-1.08705 # DEPENDENCYPART_ARC
(1,25),0.266289 # DEPENDENCYPART_ARC
(2,1),1.10321 # DEPENDENCYPART_ARC
(2,3),1.25704 # DEPENDENCYPART_ARC
(2,4),0.282779 # DEPENDENCYPART_ARC
(2,5),-0.156339 # DEPENDENCYPART_ARC
(2,6),0.753819 # DEPENDENCYPART_ARC
(2,7),-0.629022 # DEPENDENCYPART_ARC
(2,8),0.455856 # DEPENDENCYPART_ARC
(2,9),-1.10466 # DEPENDENCYPART_ARC
(2,10),-0.240783 # DEPENDENCYPART_ARC
(2,11),-1.59639 # DEPENDENCYPART_ARC
(2,12),-0.120348 # DEPENDENCYPART_ARC
(2,13),-0.159415 # DEPENDENCYPART_ARC
(2,14),-0.14731 # DEPENDENCYPART_ARC
(2,15),-0.325703 # DEPENDENCYPART_ARC
(2,16),-0.939463 # DEPENDENCYPART_ARC
(2,17),-1.54188 # DEPENDENCYPART_ARC
(2,18),-1.63526 # DEPENDENCYPART_ARC
(2,19),-0.364651 # DEPENDENCYPART_ARC
(2,20),-1.23587 # DEPENDENCYPART_ARC
(2,21),-1.24209 # DEPENDENCYPART_ARC
(2,22),-1.72579 # DEPENDENCYPART_ARC
(2,23),-2.24225 # DEPENDENCYPART_ARC
(2,24),-0.938401 # DEPENDENCYPART_ARC
(2,25),0.713399 # DEPENDENCYPART_ARC
(4,1),0.770791 # DEPENDENCYPART_ARC
(4,2),1.64078 # DEPENDENCYPART_ARC
(4,3),1.64886 # DEPENDENCYPART_ARC
(4,5),-0.668098 # DEPENDENCYPART_ARC
(4,6),0.455887 # DEPENDENCYPART_ARC
(4,7),-0.635818 # DEPENDENCYPART_ARC
(4,8),0.180002 # DEPENDENCYPART_ARC
(4,9),-0.649886 # DEPENDENCYPART_ARC
(4,10),-0.840611 # DEPENDENCYPART_ARC
(4,11),-1.10316 # DEPENDENCYPART_ARC
(4,12),-0.26249 # DEPENDENCYPART_ARC
(4,13),-0.297326 # DEPENDENCYPART_ARC
(4,14),-0.200404 # DEPENDENCYPART_ARC
(4,15),-0.651176 # DEPENDENCYPART_ARC
(4,16),-1.30491 # DEPENDENCYPART_ARC
(4,17),-2.23758 # DEPENDENCYPART_ARC
(4,18),-2.05196 # DEPENDENCYPART_ARC
(4,19),-0.704812 # DEPENDENCYPART_ARC
(4,20),-1.90108 # DEPENDENCYPART_ARC
(4,21),-1.69037 # DEPENDENCYPART_ARC
(4,22),-1.70914 # DEPENDENCYPART_ARC
(4,23),-2.1889 # DEPENDENCYPART_ARC
(4,24),-0.762169 # DEPENDENCYPART_ARC
(4,25),0.174396 # DEPENDENCYPART_ARC
(5,1),0.446266 # DEPENDENCYPART_ARC
(5,2),0.0689297 # DEPENDENCYPART_ARC
(5,3),0.862965 # DEPENDENCYPART_ARC
(5,4),2.97454 # DEPENDENCYPART_ARC
(5,6),1.06359 # DEPENDENCYPART_ARC
(5,7),-0.221789 # DEPENDENCYPART_ARC
(5,8),0.386255 # DEPENDENCYPART_ARC
(5,9),-0.935717 # DEPENDENCYPART_ARC
(5,10),-0.396166 # DEPENDENCYPART_ARC
(5,11),-1.63297 # DEPENDENCYPART_ARC
(5,12),-0.205512 # DEPENDENCYPART_ARC
(5,13),-0.107179 # DEPENDENCYPART_ARC
(5,14),-0.303958 # DEPENDENCYPART_ARC
(5,15),-0.221208 # DEPENDENCYPART_ARC
(5,16),-0.997708 # DEPENDENCYPART_ARC
(5,17),-1.70075 # DEPENDENCYPART_ARC
(5,18),-1.83139 # DEPENDENCYPART_ARC
(5,19),-0.528174 # DEPENDENCYPART_ARC
(5,20),-1.26242 # DEPENDENCYPART_ARC
(5,21),-1.3234 # DEPENDENCYPART_ARC
(5,22),-1.76724 # DEPENDENCYPART_ARC
(5,23),-2.39203 # DEPENDENCYPART_ARC
(5,24),-0.712329 # DEPENDENCYPART_ARC
(5,25),0.587678 # DEPENDENCYPART_ARC
(7,1),1.92012 # DEPENDENCYPART_ARC
(7,2),1.07659 # DEPENDENCYPART_ARC
(7,3),1.59301 # DEPENDENCYPART_ARC
(7,4),0.491432 # DEPENDENCYPART_ARC
(7,5),1.98976 # DEPENDENCYPART_ARC
(7,6),2.50374 # DEPENDENCYPART_ARC
(7,8),0.343147 # DEPENDENCYPART_ARC
(7,9),-0.416468 # DEPENDENCYPART_ARC
(7,10),-0.856731 # DEPENDENCYPART_ARC
(7,11),-1.05841 # DEPENDENCYPART_ARC
(7,12),-0.250865 # DEPENDENCYPART_ARC
(7,13),-0.79647 # DEPENDENCYPART_ARC
(7,14),-0.269274 # DEPENDENCYPART_ARC
(7,15),-1.05275 # DEPENDENCYPART_ARC
(7,16),-1.48762 # DEPENDENCYPART_ARC
(7,17),-1.76748 # DEPENDENCYPART_ARC
(7,18),-1.5933 # DEPENDENCYPART_ARC
(7,19),-0.916923 # DEPENDENCYPART_ARC
(7,20),-1.94883 # DEPENDENCYPART_ARC
(7,21),-1.78543 # DEPENDENCYPART_ARC
(7,22),-1.42692 # DEPENDENCYPART_ARC
(7,23),-2.21033 # DEPENDENCYPART_ARC
(7,24),-1.12568 # DEPENDENCYPART_ARC
(7,25),-0.00686731 # DEPENDENCYPART_ARC
(9,1),-0.630075 # DEPENDENCYPART_ARC
