# _root_ Az internacionális BEK-döntő első mérkőzésén a magyar bajnok 4:2-re győzött , s ha csak ezt tekintjük , a Marczibányi téri visszavágó nem ígér különösebb izgalmakat .
#goldHeads=3,3,5,5,10,8,8,10,10,12,12,0,23,16,16,23,23,21,20,21,23,23,12,25,23,12,
#predictedHeads=3,3,5,5,10,8,8,10,10,12,12,0,23,16,16,12,16,19,21,21,23,23,15,25,23,12,
(0,1),-2.08226 # DEPENDENCYPART_ARC
(0,2),-1.78564 # DEPENDENCYPART_ARC
(0,3),-1.99232 # DEPENDENCYPART_ARC
(0,4),-2.20239 # DEPENDENCYPART_ARC
(0,5),-2.96401 # DEPENDENCYPART_ARC
(0,6),-2.72825 # DEPENDENCYPART_ARC
(0,7),-2.5978 # DEPENDENCYPART_ARC
(0,8),-3.33295 # DEPENDENCYPART_ARC
(0,9),-2.45116 # DEPENDENCYPART_ARC
(0,10),-0.474027 # DEPENDENCYPART_ARC
(0,11),-3.07125 # DEPENDENCYPART_ARC
(0,12),0.394767 # DEPENDENCYPART_ARC
(0,13),-2.05018 # DEPENDENCYPART_ARC
(0,14),-2.41379 # DEPENDENCYPART_ARC
(0,15),-3.71549 # DEPENDENCYPART_ARC
(0,16),-1.12828 # DEPENDENCYPART_ARC
(0,17),-3.26439 # DEPENDENCYPART_ARC
(0,18),-3.12192 # DEPENDENCYPART_ARC
(0,19),-3.1655 # DEPENDENCYPART_ARC
(0,20),-2.72885 # DEPENDENCYPART_ARC
(0,21),-3.94495 # DEPENDENCYPART_ARC
(0,22),-2.47931 # DEPENDENCYPART_ARC
(0,23),-2.30499 # DEPENDENCYPART_ARC
(0,24),-3.01223 # DEPENDENCYPART_ARC
(0,25),-4.84361 # DEPENDENCYPART_ARC
(0,26),-5.34995 # DEPENDENCYPART_ARC
(1,2),0.151898 # DEPENDENCYPART_ARC
(1,3),-0.53305 # DEPENDENCYPART_ARC
(1,4),-0.590739 # DEPENDENCYPART_ARC
(1,5),-1.3231 # DEPENDENCYPART_ARC
(1,6),-0.869909 # DEPENDENCYPART_ARC
(1,7),-0.826545 # DEPENDENCYPART_ARC
(1,8),-1.3766 # DEPENDENCYPART_ARC
(1,9),-0.81751 # DEPENDENCYPART_ARC
(1,10),-1.15649 # DEPENDENCYPART_ARC
(1,11),-0.530733 # DEPENDENCYPART_ARC
(1,12),-0.883121 # DEPENDENCYPART_ARC
(1,13),-1.02631 # DEPENDENCYPART_ARC
(1,14),-1.34649 # DEPENDENCYPART_ARC
(1,15),-1.54829 # DEPENDENCYPART_ARC
(1,16),-1.47273 # DEPENDENCYPART_ARC
(1,17),-0.697089 # DEPENDENCYPART_ARC
(1,18),-1.10758 # DEPENDENCYPART_ARC
(1,19),-1.85066 # DEPENDENCYPART_ARC
(1,20),-1.4093 # DEPENDENCYPART_ARC
(1,21),-2.02248 # DEPENDENCYPART_ARC
(1,22),-1.39451 # DEPENDENCYPART_ARC
(1,23),-1.51898 # DEPENDENCYPART_ARC
(1,24),-1.93873 # DEPENDENCYPART_ARC
(1,25),-2.3147 # DEPENDENCYPART_ARC
(1,26),-1.98694 # DEPENDENCYPART_ARC
(2,1),1.08379 # DEPENDENCYPART_ARC
(2,3),-0.400179 # DEPENDENCYPART_ARC
(2,4),-0.665943 # DEPENDENCYPART_ARC
(2,5),-1.03842 # DEPENDENCYPART_ARC
(2,6),-1.49839 # DEPENDENCYPART_ARC
(2,7),-1.3533 # DEPENDENCYPART_ARC
(2,8),-1.34566 # DEPENDENCYPART_ARC
(2,9),-1.14961 # DEPENDENCYPART_ARC
(2,10),-0.975958 # DEPENDENCYPART_ARC
(2,11),-0.837719 # DEPENDENCYPART_ARC
(2,12),-1.31077 # DEPENDENCYPART_ARC
(2,13),-1.36027 # DEPENDENCYPART_ARC
(2,14),-1.38151 # DEPENDENCYPART_ARC
(2,15),-2.17041 # DEPENDENCYPART_ARC
(2,16),-1.58509 # DEPENDENCYPART_ARC
(2,17),-0.939524 # DEPENDENCYPART_ARC
(2,18),-1.78725 # DEPENDENCYPART_ARC
(2,19),-2.54313 # DEPENDENCYPART_ARC
(2,20),-2.07782 # DEPENDENCYPART_ARC
(2,21),-2.31442 # DEPENDENCYPART_ARC
(2,22),-1.37741 # DEPENDENCYPART_ARC
(2,23),-1.74423 # DEPENDENCYPART_ARC
(2,24),-2.0412 # DEPENDENCYPART_ARC
(2,25),-3.48234 # DEPENDENCYPART_ARC
(2,26),-0.128696 # DEPENDENCYPART_ARC
(3,1),3.06711 # DEPENDENCYPART_ARC
(3,2),3.64116 # DEPENDENCYPART_ARC
(3,4),-0.182374 # DEPENDENCYPART_ARC
(3,5),-0.617101 # DEPENDENCYPART_ARC
(3,6),-0.714481 # DEPENDENCYPART_ARC
(3,7),-0.615794 # DEPENDENCYPART_ARC
(3,8),0.0310015 # DEPENDENCYPART_ARC
(3,9),-0.192638 # DEPENDENCYPART_ARC
(3,10),-0.402429 # DEPENDENCYPART_ARC
(3,11),0.0281895 # DEPENDENCYPART_ARC
(3,12),-0.129938 # DEPENDENCYPART_ARC
