# _root_ A versenyeken továbbra is lassúak voltunk , és egy idő után arra a következtetésre jutottunk , hogy valószínűleg nem bennünk van a hiba .
#goldHeads=2,6,6,6,6,8,8,0,10,11,15,14,14,15,8,15,15,21,21,21,12,23,21,8,
#predictedHeads=2,6,6,6,6,8,8,0,10,11,15,14,14,15,8,15,15,21,21,21,12,23,21,8,
(0,2),-2.47174 # DEPENDENCYPART_ARC
(0,3),-1.99766 # DEPENDENCYPART_ARC
(0,4),-2.0611 # DEPENDENCYPART_ARC
(0,5),-2.20755 # DEPENDENCYPART_ARC
(0,6),-0.315804 # DEPENDENCYPART_ARC
(0,8),-0.313862 # DEPENDENCYPART_ARC
(0,10),-3.13608 # DEPENDENCYPART_ARC
(0,11),-3.45352 # DEPENDENCYPART_ARC
(0,12),-2.76176 # DEPENDENCYPART_ARC
(0,14),-3.88182 # DEPENDENCYPART_ARC
(0,15),-1.20792 # DEPENDENCYPART_ARC
(0,17),-2.69269 # DEPENDENCYPART_ARC
(0,18),-2.98267 # DEPENDENCYPART_ARC
(0,19),-2.37814 # DEPENDENCYPART_ARC
(0,20),-2.54977 # DEPENDENCYPART_ARC
(0,21),-2.17255 # DEPENDENCYPART_ARC
(0,23),-4.19146 # DEPENDENCYPART_ARC
(1,2),-0.840271 # DEPENDENCYPART_ARC
(1,4),-1.02636 # DEPENDENCYPART_ARC
(1,5),-1.01649 # DEPENDENCYPART_ARC
(1,7),-0.786755 # DEPENDENCYPART_ARC
(1,8),-1.25805 # DEPENDENCYPART_ARC
(1,10),-2.01624 # DEPENDENCYPART_ARC
(1,14),-2.44301 # DEPENDENCYPART_ARC
(1,16),-1.07994 # DEPENDENCYPART_ARC
(1,23),-2.50537 # DEPENDENCYPART_ARC
(2,1),3.16014 # DEPENDENCYPART_ARC
(2,3),-0.62278 # DEPENDENCYPART_ARC
(2,4),-0.743238 # DEPENDENCYPART_ARC
(2,5),-0.715723 # DEPENDENCYPART_ARC
(2,6),-1.04238 # DEPENDENCYPART_ARC
(2,7),-0.479767 # DEPENDENCYPART_ARC
(2,8),-0.362675 # DEPENDENCYPART_ARC
(2,9),-0.84607 # DEPENDENCYPART_ARC
(2,10),-2.3833 # DEPENDENCYPART_ARC
(2,11),-0.541693 # DEPENDENCYPART_ARC
(2,12),-1.75463 # DEPENDENCYPART_ARC
(2,13),-1.31002 # DEPENDENCYPART_ARC
(2,14),-3.08313 # DEPENDENCYPART_ARC
(2,15),-1.66108 # DEPENDENCYPART_ARC
(2,16),-0.915217 # DEPENDENCYPART_ARC
(2,17),-0.924901 # DEPENDENCYPART_ARC
(2,18),-0.838878 # DEPENDENCYPART_ARC
(2,19),-0.946145 # DEPENDENCYPART_ARC
(2,20),-0.926698 # DEPENDENCYPART_ARC
(2,21),-2.07917 # DEPENDENCYPART_ARC
(2,22),-1.51943 # DEPENDENCYPART_ARC
(2,23),-4.05158 # DEPENDENCYPART_ARC
(2,24),0.194783 # DEPENDENCYPART_ARC
(3,1),-0.562495 # DEPENDENCYPART_ARC
(3,2),0.0283422 # DEPENDENCYPART_ARC
(3,4),-0.223311 # DEPENDENCYPART_ARC
(3,5),-0.36313 # DEPENDENCYPART_ARC
(3,6),-0.359236 # DEPENDENCYPART_ARC
(3,7),-0.767512 # DEPENDENCYPART_ARC
(3,8),-0.709983 # DEPENDENCYPART_ARC
(3,10),-1.65579 # DEPENDENCYPART_ARC
(3,11),-0.768894 # DEPENDENCYPART_ARC
(3,12),-1.33679 # DEPENDENCYPART_ARC
(3,13),-1.29284 # DEPENDENCYPART_ARC
(3,14),-2.04339 # DEPENDENCYPART_ARC
(3,15),-0.914678 # DEPENDENCYPART_ARC
(3,16),-1.31302 # DEPENDENCYPART_ARC
(3,17),-0.865364 # DEPENDENCYPART_ARC
(3,18),-1.16939 # DEPENDENCYPART_ARC
(3,19),-1.26066 # DEPENDENCYPART_ARC
(3,20),-1.12268 # DEPENDENCYPART_ARC
(3,21),-1.33744 # DEPENDENCYPART_ARC
(3,22),-1.47585 # DEPENDENCYPART_ARC
(3,23),-2.58508 # DEPENDENCYPART_ARC
(3,24),-0.281612 # DEPENDENCYPART_ARC
(4,1),-0.897914 # DEPENDENCYPART_ARC
(4,2),-0.486676 # DEPENDENCYPART_ARC
(4,3),0.359713 # DEPENDENCYPART_ARC
(4,5),-0.310893 # DEPENDENCYPART_ARC
(4,6),0.278945 # DEPENDENCYPART_ARC
