# _root_ Az előrehaladás akadálymentesnek látszik , amikor — már 1992-ben — jön egy váratlan kitérő : egy tárgyaláson a külföldi partner felfedezi , és pazar állásajánlattal téríti el .
#goldHeads=2,4,4,0,4,11,11,11,11,11,4,14,14,11,4,17,21,20,20,21,23,23,4,25,26,23,26,4,
#predictedHeads=2,4,4,11,4,11,11,11,11,11,21,14,14,11,11,17,21,20,20,21,23,23,0,25,26,23,26,4,
(0,1),-2.06827 # DEPENDENCYPART_ARC
(0,2),-1.45324 # DEPENDENCYPART_ARC
(0,3),-2.01759 # DEPENDENCYPART_ARC
(0,4),0.248477 # DEPENDENCYPART_ARC
(0,5),-2.59762 # DEPENDENCYPART_ARC
(0,6),-1.89182 # DEPENDENCYPART_ARC
(0,7),-2.53811 # DEPENDENCYPART_ARC
(0,8),-1.63868 # DEPENDENCYPART_ARC
(0,9),-2.42899 # DEPENDENCYPART_ARC
(0,10),-2.62326 # DEPENDENCYPART_ARC
(0,11),-0.551308 # DEPENDENCYPART_ARC
(0,12),-2.34667 # DEPENDENCYPART_ARC
(0,13),-2.79244 # DEPENDENCYPART_ARC
(0,14),-3.202 # DEPENDENCYPART_ARC
(0,15),-2.9137 # DEPENDENCYPART_ARC
(0,16),-2.39597 # DEPENDENCYPART_ARC
(0,17),-3.7789 # DEPENDENCYPART_ARC
(0,18),-3.22107 # DEPENDENCYPART_ARC
(0,19),-2.99981 # DEPENDENCYPART_ARC
(0,20),-4.16505 # DEPENDENCYPART_ARC
(0,21),-1.49263 # DEPENDENCYPART_ARC
(0,22),-3.82752 # DEPENDENCYPART_ARC
(0,23),-0.423803 # DEPENDENCYPART_ARC
(0,24),-3.00531 # DEPENDENCYPART_ARC
(0,25),-4.65432 # DEPENDENCYPART_ARC
(0,26),-1.67319 # DEPENDENCYPART_ARC
(0,27),-2.77042 # DEPENDENCYPART_ARC
(0,28),-5.08678 # DEPENDENCYPART_ARC
(1,2),-0.397068 # DEPENDENCYPART_ARC
(1,3),-0.398215 # DEPENDENCYPART_ARC
(1,4),-1.01108 # DEPENDENCYPART_ARC
(1,5),-0.468216 # DEPENDENCYPART_ARC
(1,6),-1.15995 # DEPENDENCYPART_ARC
(1,7),-0.543392 # DEPENDENCYPART_ARC
(1,8),-1.20759 # DEPENDENCYPART_ARC
(1,9),-1.13517 # DEPENDENCYPART_ARC
(1,10),-0.757344 # DEPENDENCYPART_ARC
(1,11),-1.3395 # DEPENDENCYPART_ARC
(1,12),-1.21901 # DEPENDENCYPART_ARC
(1,13),-1.18394 # DEPENDENCYPART_ARC
(1,14),-2.11288 # DEPENDENCYPART_ARC
(1,15),-0.656496 # DEPENDENCYPART_ARC
(1,16),-1.29219 # DEPENDENCYPART_ARC
(1,17),-2.34567 # DEPENDENCYPART_ARC
(1,18),-1.27191 # DEPENDENCYPART_ARC
(1,19),-1.5517 # DEPENDENCYPART_ARC
(1,20),-2.32561 # DEPENDENCYPART_ARC
(1,21),-1.38509 # DEPENDENCYPART_ARC
(1,22),-1.129 # DEPENDENCYPART_ARC
(1,23),-1.40093 # DEPENDENCYPART_ARC
(1,24),-1.79451 # DEPENDENCYPART_ARC
(1,25),-2.65791 # DEPENDENCYPART_ARC
(1,26),-1.57699 # DEPENDENCYPART_ARC
(1,27),-1.86614 # DEPENDENCYPART_ARC
(1,28),-1.89559 # DEPENDENCYPART_ARC
(2,1),3.19139 # DEPENDENCYPART_ARC
(2,3),-0.462875 # DEPENDENCYPART_ARC
(2,4),0.121613 # DEPENDENCYPART_ARC
(2,5),0.131307 # DEPENDENCYPART_ARC
(2,6),-0.442281 # DEPENDENCYPART_ARC
(2,7),-0.239707 # DEPENDENCYPART_ARC
(2,8),-0.493628 # DEPENDENCYPART_ARC
(2,9),-0.928656 # DEPENDENCYPART_ARC
(2,10),-0.232991 # DEPENDENCYPART_ARC
(2,11),-0.160221 # DEPENDENCYPART_ARC
(2,12),-0.638935 # DEPENDENCYPART_ARC
(2,13),-1.19069 # DEPENDENCYPART_ARC
(2,14),-0.926817 # DEPENDENCYPART_ARC
(2,15),0.0283907 # DEPENDENCYPART_ARC
(2,16),-0.836756 # DEPENDENCYPART_ARC
(2,17),-2.12469 # DEPENDENCYPART_ARC
(2,18),-1.21904 # DEPENDENCYPART_ARC
(2,19),-1.32721 # DEPENDENCYPART_ARC
(2,20),-1.1033 # DEPENDENCYPART_ARC
(2,21),-0.391694 # DEPENDENCYPART_ARC
(2,22),-0.383113 # DEPENDENCYPART_ARC
(2,23),-0.566551 # DEPENDENCYPART_ARC
(2,24),-1.50423 # DEPENDENCYPART_ARC
(2,25),-2.17417 # DEPENDENCYPART_ARC
(2,26),-0.852127 # DEPENDENCYPART_ARC
(2,27),-0.814 # DEPENDENCYPART_ARC
(2,28),0.974765 # DEPENDENCYPART_ARC
(3,1),1.18004 # DEPENDENCYPART_ARC
(3,2),0.719479 # DEPENDENCYPART_ARC
(3,4),-0.279022 # DEPENDENCYPART_ARC
(3,5),-0.264632 # DEPENDENCYPART_ARC
(3,6),-0.678448 # DEPENDENCYPART_ARC
(3,7),-0.401521 # DEPENDENCYPART_ARC
(3,8),-0.865905 # DEPENDENCYPART_ARC
(3,9),-0.79093 # DEPENDENCYPART_ARC
(3,10),-0.390524 # DEPENDENCYPART_ARC
(3,11),-1.01922 # DEPENDENCYPART_ARC
(3,12),-1.001 # DEPENDENCYPART_ARC
(3,13),-1.19031 # DEPENDENCYPART_ARC
(3,14),-1.62202 # DEPENDENCYPART_ARC
(3,15),-0.673311 # DEPENDENCYPART_ARC
(3,16),-1.15159 # DEPENDENCYPART_ARC
(3,17),-1.98928 # DEPENDENCYPART_ARC
(3,18),-1.38159 # DEPENDENCYPART_ARC
(3,19),-1.43864 # DEPENDENCYPART_ARC
(3,20),-2.05126 # DEPENDENCYPART_ARC
(3,21),-1.26935 # DEPENDENCYPART_ARC
(3,22),-0.907848 # DEPENDENCYPART_ARC
(3,23),-0.759001 # DEPENDENCYPART_ARC
(3,24),-1.69759 # DEPENDENCYPART_ARC
(3,25),-2.69283 # DEPENDENCYPART_ARC
(3,26),-1.61553 # DEPENDENCYPART_ARC
(3,27),-1.09415 # DEPENDENCYPART_ARC
(3,28),1.08836 # DEPENDENCYPART_ARC
(4,1),-0.0640574 # DEPENDENCYPART_ARC
(4,2),1.96327 # DEPENDENCYPART_ARC
(4,3),3.15586 # DEPENDENCYPART_ARC
(4,5),1.79405 # DEPENDENCYPART_ARC
(4,6),1.09665 # DEPENDENCYPART_ARC
(4,7),0.804608 # DEPENDENCYPART_ARC
(4,8),-0.0759487 # DEPENDENCYPART_ARC
(4,9),0.397436 # DEPENDENCYPART_ARC
(4,10),-0.0182972 # DEPENDENCYPART_ARC
(4,11),0.738296 # DEPENDENCYPART_ARC
(4,12),-1.25759 # DEPENDENCYPART_ARC
(4,13),-1.21645 # DEPENDENCYPART_ARC
(4,14),-1.25551 # DEPENDENCYPART_ARC
(4,15),0.900931 # DEPENDENCYPART_ARC
(4,16),-1.22414 # DEPENDENCYPART_ARC
(4,17),-2.4919 # DEPENDENCYPART_ARC
(4,18),-1.09686 # DEPENDENCYPART_ARC
(4,19),-1.73829 # DEPENDENCYPART_ARC
(4,20),-2.82106 # DEPENDENCYPART_ARC
(4,21),1.1371 # DEPENDENCYPART_ARC
(4,22),0.386013 # DEPENDENCYPART_ARC
(4,23),-0.396407 # DEPENDENCYPART_ARC
(4,24),-1.68435 # DEPENDENCYPART_ARC
(4,25),-3.68034 # DEPENDENCYPART_ARC
(4,26),0.659507 # DEPENDENCYPART_ARC
(4,27),-0.552773 # DEPENDENCYPART_ARC
(4,28),4.14896 # DEPENDENCYPART_ARC
(5,1),-2.00752 # DEPENDENCYPART_ARC
(5,2),-2.5361 # DEPENDENCYPART_ARC
(5,3),-1.91478 # DEPENDENCYPART_ARC
(5,4),-0.948137 # DEPENDENCYPART_ARC
(5,6),-1.19435 # DEPENDENCYPART_ARC
(5,7),-1.08673 # DEPENDENCYPART_ARC
(5,8),-1.48481 # DEPENDENCYPART_ARC
(5,9),-1.45678 # DEPENDENCYPART_ARC
(5,10),-1.26549 # DEPENDENCYPART_ARC
(5,11),-1.59164 # DEPENDENCYPART_ARC
(5,12),-1.69409 # DEPENDENCYPART_ARC
(5,13),-1.88891 # DEPENDENCYPART_ARC
(5,14),-2.47758 # DEPENDENCYPART_ARC
(5,15),-1.35712 # DEPENDENCYPART_ARC
(5,16),-1.78981 # DEPENDENCYPART_ARC
(5,17),-2.7655 # DEPENDENCYPART_ARC
(5,18),-1.88775 # DEPENDENCYPART_ARC
(5,19),-2.06072 # DEPENDENCYPART_ARC
(5,20),-2.85692 # DEPENDENCYPART_ARC
(5,21),-1.98881 # DEPENDENCYPART_ARC
(5,22),-1.48878 # DEPENDENCYPART_ARC
(5,23),-1.58769 # DEPENDENCYPART_ARC
(5,24),-2.03995 # DEPENDENCYPART_ARC
(5,25),-2.99408 # DEPENDENCYPART_ARC
(5,26),-2.18229 # DEPENDENCYPART_ARC
(5,27),-1.82643 # DEPENDENCYPART_ARC
(5,28),-1.87712 # DEPENDENCYPART_ARC
(6,1),-0.259815 # DEPENDENCYPART_ARC
(6,2),0.309706 # DEPENDENCYPART_ARC
(6,3),0.182185 # DEPENDENCYPART_ARC
(6,4),0.265817 # DEPENDENCYPART_ARC
(6,5),0.432027 # DEPENDENCYPART_ARC
(6,7),0.658607 # DEPENDENCYPART_ARC
(6,8),-0.0797325 # DEPENDENCYPART_ARC
(6,9),-0.139523 # DEPENDENCYPART_ARC
(6,10),0.637626 # DEPENDENCYPART_ARC
(6,11),0.331992 # DEPENDENCYPART_ARC
(6,12),-0.574517 # DEPENDENCYPART_ARC
(6,13),-0.806262 # DEPENDENCYPART_ARC
(6,14),-0.83812 # DEPENDENCYPART_ARC
(6,15),0.307366 # DEPENDENCYPART_ARC
(6,16),-0.652718 # DEPENDENCYPART_ARC
(6,17),-1.34752 # DEPENDENCYPART_ARC
(6,18),-0.859796 # DEPENDENCYPART_ARC
(6,19),-1.3534 # DEPENDENCYPART_ARC
(6,20),-1.57684 # DEPENDENCYPART_ARC
(6,21),0.240461 # DEPENDENCYPART_ARC
(6,22),-0.709422 # DEPENDENCYPART_ARC
(6,23),-0.371595 # DEPENDENCYPART_ARC
(6,24),-1.53183 # DEPENDENCYPART_ARC
(6,25),-1.79175 # DEPENDENCYPART_ARC
(6,26),-0.2066 # DEPENDENCYPART_ARC
(6,27),-0.76897 # DEPENDENCYPART_ARC
(6,28),0.477915 # DEPENDENCYPART_ARC
(7,1),-2.56724 # DEPENDENCYPART_ARC
(7,2),-3.27275 # DEPENDENCYPART_ARC
(7,3),-2.79985 # DEPENDENCYPART_ARC
(7,4),-2.26092 # DEPENDENCYPART_ARC
(7,5),-2.00986 # DEPENDENCYPART_ARC
(7,6),-1.24422 # DEPENDENCYPART_ARC
(7,8),-1.02286 # DEPENDENCYPART_ARC
(7,9),-1.02166 # DEPENDENCYPART_ARC
(7,10),-0.913896 # DEPENDENCYPART_ARC
(7,11),-1.27162 # DEPENDENCYPART_ARC
(7,12),-1.46624 # DEPENDENCYPART_ARC
(7,13),-1.59564 # DEPENDENCYPART_ARC
(7,14),-2.19167 # DEPENDENCYPART_ARC
(7,15),-1.16838 # DEPENDENCYPART_ARC
(7,16),-1.56505 # DEPENDENCYPART_ARC
(7,17),-2.34264 # DEPENDENCYPART_ARC
(7,18),-1.60501 # DEPENDENCYPART_ARC
(7,19),-1.80303 # DEPENDENCYPART_ARC
(7,20),-2.65733 # DEPENDENCYPART_ARC
(7,21),-1.70313 # DEPENDENCYPART_ARC
(7,22),-1.32589 # DEPENDENCYPART_ARC
(7,23),-1.30738 # DEPENDENCYPART_ARC
(7,24),-1.7531 # DEPENDENCYPART_ARC
(7,25),-2.72131 # DEPENDENCYPART_ARC
(7,26),-1.70627 # DEPENDENCYPART_ARC
(7,27),-1.69599 # DEPENDENCYPART_ARC
(7,28),-1.62032 # DEPENDENCYPART_ARC
(8,1),-0.887922 # DEPENDENCYPART_ARC
(8,2),-0.530523 # DEPENDENCYPART_ARC
(8,3),-0.732836 # DEPENDENCYPART_ARC
(8,4),-0.0319347 # DEPENDENCYPART_ARC
(8,5),-0.0101466 # DEPENDENCYPART_ARC
(8,6),-0.141369 # DEPENDENCYPART_ARC
(8,7),0.508426 # DEPENDENCYPART_ARC
(8,9),0.401339 # DEPENDENCYPART_ARC
(8,10),1.10579 # DEPENDENCYPART_ARC
(8,11),0.76168 # DEPENDENCYPART_ARC
(8,12),-0.124599 # DEPENDENCYPART_ARC
(8,13),-0.187306 # DEPENDENCYPART_ARC
(8,14),-0.0741029 # DEPENDENCYPART_ARC
(8,15),0.867078 # DEPENDENCYPART_ARC
(8,16),-0.313436 # DEPENDENCYPART_ARC
(8,17),-0.315705 # DEPENDENCYPART_ARC
(8,18),-0.38729 # DEPENDENCYPART_ARC
(8,19),-0.914759 # DEPENDENCYPART_ARC
(8,20),-0.615865 # DEPENDENCYPART_ARC
(8,21),0.56581 # DEPENDENCYPART_ARC
(8,22),0.191115 # DEPENDENCYPART_ARC
(8,23),-0.0357124 # DEPENDENCYPART_ARC
(8,24),-1.13167 # DEPENDENCYPART_ARC
(8,25),-0.733271 # DEPENDENCYPART_ARC
(8,26),0.296866 # DEPENDENCYPART_ARC
(8,27),-0.531362 # DEPENDENCYPART_ARC
(8,28),0.880541 # DEPENDENCYPART_ARC
(9,1),0.221796 # DEPENDENCYPART_ARC
(9,2),-0.95674 # DEPENDENCYPART_ARC
(9,3),-0.699463 # DEPENDENCYPART_ARC
(9,4),-0.87084 # DEPENDENCYPART_ARC
(9,5),0.438583 # DEPENDENCYPART_ARC
(9,6),0.770262 # DEPENDENCYPART_ARC
(9,7),0.462418 # DEPENDENCYPART_ARC
(9,8),1.44659 # DEPENDENCYPART_ARC
(9,10),0.875738 # DEPENDENCYPART_ARC
(9,11),1.51914 # DEPENDENCYPART_ARC
(9,12),-0.146332 # DEPENDENCYPART_ARC
(9,13),-0.154097 # DEPENDENCYPART_ARC
(9,14),0.0696943 # DEPENDENCYPART_ARC
(9,15),0.698615 # DEPENDENCYPART_ARC
(9,16),-0.354888 # DEPENDENCYPART_ARC
(9,17),-0.900234 # DEPENDENCYPART_ARC
(9,18),-0.580637 # DEPENDENCYPART_ARC
(9,19),-0.451922 # DEPENDENCYPART_ARC
(9,20),-0.634047 # DEPENDENCYPART_ARC
(9,21),0.382578 # DEPENDENCYPART_ARC
(9,22),-0.0497472 # DEPENDENCYPART_ARC
(9,23),-0.311193 # DEPENDENCYPART_ARC
(9,24),-0.678205 # DEPENDENCYPART_ARC
(9,25),-1.31073 # DEPENDENCYPART_ARC
(9,26),0.240748 # DEPENDENCYPART_ARC
(9,27),-0.89974 # DEPENDENCYPART_ARC
(9,28),1.73191 # DEPENDENCYPART_ARC
(10,1),-1.89989 # DEPENDENCYPART_ARC
(10,2),-2.65938 # DEPENDENCYPART_ARC
(10,3),-2.23436 # DEPENDENCYPART_ARC
(10,4),-1.82974 # DEPENDENCYPART_ARC
(10,5),-1.4259 # DEPENDENCYPART_ARC
(10,6),-1.35072 # DEPENDENCYPART_ARC
(10,7),-1.08306 # DEPENDENCYPART_ARC
(10,8),-1.04867 # DEPENDENCYPART_ARC
(10,9),-0.494401 # DEPENDENCYPART_ARC
(10,11),-0.724761 # DEPENDENCYPART_ARC
(10,12),-1.11322 # DEPENDENCYPART_ARC
(10,13),-1.21158 # DEPENDENCYPART_ARC
(10,14),-1.75793 # DEPENDENCYPART_ARC
(10,15),-1.06232 # DEPENDENCYPART_ARC
(10,16),-1.3681 # DEPENDENCYPART_ARC
(10,17),-2.17599 # DEPENDENCYPART_ARC
(10,18),-1.44783 # DEPENDENCYPART_ARC
(10,19),-1.60073 # DEPENDENCYPART_ARC
(10,20),-2.29827 # DEPENDENCYPART_ARC
(10,21),-1.48727 # DEPENDENCYPART_ARC
(10,22),-1.21262 # DEPENDENCYPART_ARC
(10,23),-1.22203 # DEPENDENCYPART_ARC
(10,24),-1.68922 # DEPENDENCYPART_ARC
(10,25),-2.51462 # DEPENDENCYPART_ARC
(10,26),-1.55161 # DEPENDENCYPART_ARC
(10,27),-1.4291 # DEPENDENCYPART_ARC
(10,28),-1.52724 # DEPENDENCYPART_ARC
(11,1),-0.441551 # DEPENDENCYPART_ARC
(11,2),0.116368 # DEPENDENCYPART_ARC
(11,3),0.591129 # DEPENDENCYPART_ARC
(11,4),1.10741 # DEPENDENCYPART_ARC
(11,5),1.51049 # DEPENDENCYPART_ARC
(11,6),1.55294 # DEPENDENCYPART_ARC
(11,7),1.82821 # DEPENDENCYPART_ARC
(11,8),2.35593 # DEPENDENCYPART_ARC
(11,9),2.18014 # DEPENDENCYPART_ARC
(11,10),1.69192 # DEPENDENCYPART_ARC
(11,12),0.314962 # DEPENDENCYPART_ARC
(11,13),1.01626 # DEPENDENCYPART_ARC
(11,14),3.76014 # DEPENDENCYPART_ARC
(11,15),2.52485 # DEPENDENCYPART_ARC
(11,16),0.0940111 # DEPENDENCYPART_ARC
(11,17),1.86239 # DEPENDENCYPART_ARC
(11,18),-0.0607569 # DEPENDENCYPART_ARC
(11,19),-0.545285 # DEPENDENCYPART_ARC
(11,20),1.5195 # DEPENDENCYPART_ARC
(11,21),1.9944 # DEPENDENCYPART_ARC
(11,22),2.35268 # DEPENDENCYPART_ARC
(11,23),0.802973 # DEPENDENCYPART_ARC
(11,24),-0.875477 # DEPENDENCYPART_ARC
(11,25),0.0173188 # DEPENDENCYPART_ARC
(11,26),1.43933 # DEPENDENCYPART_ARC
(11,27),1.20298 # DEPENDENCYPART_ARC
(11,28),3.50606 # DEPENDENCYPART_ARC
(12,1),-1.72999 # DEPENDENCYPART_ARC
(12,2),-2.78307 # DEPENDENCYPART_ARC
(12,3),-1.91763 # DEPENDENCYPART_ARC
(12,4),-1.85322 # DEPENDENCYPART_ARC
(12,5),-1.30905 # DEPENDENCYPART_ARC
(12,6),-1.63735 # DEPENDENCYPART_ARC
(12,7),-1.4244 # DEPENDENCYPART_ARC
(12,8),-1.39064 # DEPENDENCYPART_ARC
(12,9),-1.34071 # DEPENDENCYPART_ARC
(12,10),-1.23143 # DEPENDENCYPART_ARC
(12,11),-0.283405 # DEPENDENCYPART_ARC
(12,13),0.480175 # DEPENDENCYPART_ARC
(12,14),-0.441047 # DEPENDENCYPART_ARC
(12,15),-0.201163 # DEPENDENCYPART_ARC
(12,16),-0.795422 # DEPENDENCYPART_ARC
(12,17),-1.08851 # DEPENDENCYPART_ARC
(12,18),-0.917173 # DEPENDENCYPART_ARC
(12,19),-0.529156 # DEPENDENCYPART_ARC
