# _root_ Elébb egy , majd két téesz alakult a falu földjein : a Dózsa és a Petőfi , majd ezek egyesültek a nagy Egyetértésben .
#goldHeads=2,4,4,18,6,7,4,9,10,7,4,13,14,4,16,14,18,0,20,18,23,23,20,18,
#predictedHeads=4,4,4,0,6,7,4,9,10,7,7,13,14,7,16,14,18,7,20,18,23,23,20,4,
(0,1),-1.59057 # DEPENDENCYPART_ARC
(0,2),-1.24434 # DEPENDENCYPART_ARC
(0,4),-0.753951 # DEPENDENCYPART_ARC
(0,5),-2.2753 # DEPENDENCYPART_ARC
(0,6),-3.23171 # DEPENDENCYPART_ARC
(0,7),-0.803616 # DEPENDENCYPART_ARC
(0,9),-3.50116 # DEPENDENCYPART_ARC
(0,10),-3.90207 # DEPENDENCYPART_ARC
(0,13),-3.94283 # DEPENDENCYPART_ARC
(0,14),-2.07511 # DEPENDENCYPART_ARC
(0,16),-3.99096 # DEPENDENCYPART_ARC
(0,18),-0.839701 # DEPENDENCYPART_ARC
(0,19),-3.45678 # DEPENDENCYPART_ARC
(0,20),-2.15815 # DEPENDENCYPART_ARC
(0,22),-2.62417 # DEPENDENCYPART_ARC
(0,23),-4.72412 # DEPENDENCYPART_ARC
(1,2),-0.0151721 # DEPENDENCYPART_ARC
(1,3),0.00393434 # DEPENDENCYPART_ARC
(1,4),-0.0862534 # DEPENDENCYPART_ARC
(1,5),-0.280425 # DEPENDENCYPART_ARC
(1,6),-0.544581 # DEPENDENCYPART_ARC
(1,7),-0.317522 # DEPENDENCYPART_ARC
(1,8),-0.823592 # DEPENDENCYPART_ARC
(1,9),-1.27356 # DEPENDENCYPART_ARC
(1,10),-1.23114 # DEPENDENCYPART_ARC
(1,11),0.276408 # DEPENDENCYPART_ARC
(1,12),-1.0086 # DEPENDENCYPART_ARC
(1,13),-1.83637 # DEPENDENCYPART_ARC
(1,14),-0.749812 # DEPENDENCYPART_ARC
(1,15),-1.13828 # DEPENDENCYPART_ARC
(1,16),-1.78585 # DEPENDENCYPART_ARC
(1,17),-0.888272 # DEPENDENCYPART_ARC
(1,18),-0.950489 # DEPENDENCYPART_ARC
