# _root_ Az események hátterét kutatva folyamatokat , trendeket szándékozik bemutatni , segítve a polgárosulási folyamatot és a város jövőképének közös formálását .
#goldHeads=2,3,4,8,9,9,9,0,8,8,8,14,14,11,11,17,18,20,20,11,8,
#predictedHeads=2,3,9,9,9,8,9,0,8,11,4,14,14,11,18,17,18,19,20,11,11,
(0,1),-2.06827 # DEPENDENCYPART_ARC
(0,2),-1.86864 # DEPENDENCYPART_ARC
(0,3),-2.46596 # DEPENDENCYPART_ARC
(0,4),-1.85597 # DEPENDENCYPART_ARC
(0,5),-2.49836 # DEPENDENCYPART_ARC
(0,6),-2.92105 # DEPENDENCYPART_ARC
(0,7),-3.19654 # DEPENDENCYPART_ARC
(0,8),-1.07038 # DEPENDENCYPART_ARC
(0,9),-1.4796 # DEPENDENCYPART_ARC
(0,10),-3.12734 # DEPENDENCYPART_ARC
(0,11),-1.83421 # DEPENDENCYPART_ARC
(0,12),-2.95476 # DEPENDENCYPART_ARC
(0,13),-2.57031 # DEPENDENCYPART_ARC
(0,14),-3.57077 # DEPENDENCYPART_ARC
(0,15),-1.39754 # DEPENDENCYPART_ARC
(0,16),-3.10314 # DEPENDENCYPART_ARC
(0,17),-3.32928 # DEPENDENCYPART_ARC
(0,18),-3.39428 # DEPENDENCYPART_ARC
(0,19),-2.64698 # DEPENDENCYPART_ARC
(0,20),-4.40261 # DEPENDENCYPART_ARC
(0,21),-5.54935 # DEPENDENCYPART_ARC
(1,2),-0.46401 # DEPENDENCYPART_ARC
(1,3),-1.00012 # DEPENDENCYPART_ARC
(1,4),-0.901022 # DEPENDENCYPART_ARC
(1,5),-1.25171 # DEPENDENCYPART_ARC
(1,6),-0.56154 # DEPENDENCYPART_ARC
(1,7),-1.62989 # DEPENDENCYPART_ARC
(1,8),-1.36166 # DEPENDENCYPART_ARC
(1,9),-1.00914 # DEPENDENCYPART_ARC
(1,10),-0.642036 # DEPENDENCYPART_ARC
(1,11),-1.24863 # DEPENDENCYPART_ARC
(1,12),-1.19871 # DEPENDENCYPART_ARC
(1,13),-1.60151 # DEPENDENCYPART_ARC
(1,14),-2.18874 # DEPENDENCYPART_ARC
(1,15),-1.35583 # DEPENDENCYPART_ARC
(1,16),-1.27189 # DEPENDENCYPART_ARC
(1,17),-2.05997 # DEPENDENCYPART_ARC
(1,18),-2.38661 # DEPENDENCYPART_ARC
(1,19),-2.17663 # DEPENDENCYPART_ARC
(1,20),-2.54199 # DEPENDENCYPART_ARC
(1,21),-2.208 # DEPENDENCYPART_ARC
(2,1),3.15123 # DEPENDENCYPART_ARC
(2,3),-1.35464 # DEPENDENCYPART_ARC
(2,4),-0.851649 # DEPENDENCYPART_ARC
(2,5),-1.29249 # DEPENDENCYPART_ARC
(2,6),-0.0752649 # DEPENDENCYPART_ARC
(2,7),-1.67831 # DEPENDENCYPART_ARC
(2,8),-0.555373 # DEPENDENCYPART_ARC
(2,9),-0.430674 # DEPENDENCYPART_ARC
(2,10),-0.169276 # DEPENDENCYPART_ARC
(2,11),-0.917371 # DEPENDENCYPART_ARC
(2,12),-1.34102 # DEPENDENCYPART_ARC
(2,13),-1.61994 # DEPENDENCYPART_ARC
(2,14),-2.49008 # DEPENDENCYPART_ARC
(2,15),-0.753753 # DEPENDENCYPART_ARC
(2,16),-1.5533 # DEPENDENCYPART_ARC
(2,17),-2.55182 # DEPENDENCYPART_ARC
(2,18),-2.96182 # DEPENDENCYPART_ARC
(2,19),-1.89687 # DEPENDENCYPART_ARC
(2,20),-3.1456 # DEPENDENCYPART_ARC
(2,21),-0.270846 # DEPENDENCYPART_ARC
(3,1),1.47002 # DEPENDENCYPART_ARC
(3,2),4.5921 # DEPENDENCYPART_ARC
(3,4),-0.801854 # DEPENDENCYPART_ARC
(3,5),-0.819839 # DEPENDENCYPART_ARC
(3,6),-0.123014 # DEPENDENCYPART_ARC
(3,7),-1.33178 # DEPENDENCYPART_ARC
(3,8),-1.27879 # DEPENDENCYPART_ARC
(3,9),-0.52197 # DEPENDENCYPART_ARC
(3,10),-0.254177 # DEPENDENCYPART_ARC
(3,11),-1.00633 # DEPENDENCYPART_ARC
(3,12),-1.44769 # DEPENDENCYPART_ARC
(3,13),-1.81481 # DEPENDENCYPART_ARC
(3,14),-2.30022 # DEPENDENCYPART_ARC
(3,15),-0.611971 # DEPENDENCYPART_ARC
(3,16),-1.65702 # DEPENDENCYPART_ARC
(3,17),-2.81314 # DEPENDENCYPART_ARC
(3,18),-2.64793 # DEPENDENCYPART_ARC
(3,19),-2.18438 # DEPENDENCYPART_ARC
(3,20),-2.83347 # DEPENDENCYPART_ARC
(3,21),-0.00151035 # DEPENDENCYPART_ARC
(4,1),0.748478 # DEPENDENCYPART_ARC
(4,2),1.17292 # DEPENDENCYPART_ARC
(4,3),1.51632 # DEPENDENCYPART_ARC
(4,5),0.907743 # DEPENDENCYPART_ARC
(4,6),0.847843 # DEPENDENCYPART_ARC
(4,7),0.558805 # DEPENDENCYPART_ARC
(4,8),0.816349 # DEPENDENCYPART_ARC
(4,9),0.547796 # DEPENDENCYPART_ARC
(4,10),0.824971 # DEPENDENCYPART_ARC
(4,11),0.325384 # DEPENDENCYPART_ARC
(4,12),-0.114147 # DEPENDENCYPART_ARC
(4,13),-0.0682514 # DEPENDENCYPART_ARC
(4,14),-0.367103 # DEPENDENCYPART_ARC
(4,15),0.349135 # DEPENDENCYPART_ARC
(4,16),-0.223881 # DEPENDENCYPART_ARC
(4,17),-0.670977 # DEPENDENCYPART_ARC
(4,18),-0.720762 # DEPENDENCYPART_ARC
(4,19),-0.293039 # DEPENDENCYPART_ARC
(4,20),-0.60321 # DEPENDENCYPART_ARC
(4,21),1.11437 # DEPENDENCYPART_ARC
(5,1),0.616189 # DEPENDENCYPART_ARC
(5,2),-0.291852 # DEPENDENCYPART_ARC
(5,3),-0.668065 # DEPENDENCYPART_ARC
(5,4),0.646178 # DEPENDENCYPART_ARC
(5,6),0.397531 # DEPENDENCYPART_ARC
(5,7),-0.236301 # DEPENDENCYPART_ARC
(5,8),-0.154826 # DEPENDENCYPART_ARC
(5,9),0.0965742 # DEPENDENCYPART_ARC
(5,10),0.289744 # DEPENDENCYPART_ARC
(5,11),-0.482577 # DEPENDENCYPART_ARC
(5,12),-0.704467 # DEPENDENCYPART_ARC
(5,13),-0.996239 # DEPENDENCYPART_ARC
(5,14),-1.30401 # DEPENDENCYPART_ARC
