# _root_ Azon fáradozunk , hogy az utánpótlás-nevelésre fordítható öszszeg évről évre emelkedjen , ezzel is segítve a hazai labdarúgás kimozdulását a mély kátyúból .
#goldHeads=2,0,2,2,6,7,8,11,11,11,1,11,15,11,11,18,18,19,15,22,22,15,2,
#predictedHeads=2,0,2,2,6,7,9,9,11,11,1,15,15,15,1,18,18,19,15,22,22,15,2,
(0,1),-2.51301 # DEPENDENCYPART_ARC
(0,2),-0.0571483 # DEPENDENCYPART_ARC
(0,3),-2.19168 # DEPENDENCYPART_ARC
(0,4),-0.560238 # DEPENDENCYPART_ARC
(0,5),-2.40514 # DEPENDENCYPART_ARC
(0,6),-2.91121 # DEPENDENCYPART_ARC
(0,7),-2.23921 # DEPENDENCYPART_ARC
(0,8),-2.15816 # DEPENDENCYPART_ARC
(0,9),-3.26448 # DEPENDENCYPART_ARC
(0,10),-3.14991 # DEPENDENCYPART_ARC
(0,11),-1.40766 # DEPENDENCYPART_ARC
(0,12),-3.12243 # DEPENDENCYPART_ARC
(0,13),-3.62871 # DEPENDENCYPART_ARC
(0,14),-2.47086 # DEPENDENCYPART_ARC
(0,15),-2.51506 # DEPENDENCYPART_ARC
(0,16),-2.97043 # DEPENDENCYPART_ARC
(0,17),-2.52628 # DEPENDENCYPART_ARC
(0,18),-3.73623 # DEPENDENCYPART_ARC
(0,19),-4.03235 # DEPENDENCYPART_ARC
(0,20),-3.28517 # DEPENDENCYPART_ARC
(0,21),-2.82519 # DEPENDENCYPART_ARC
(0,22),-4.79877 # DEPENDENCYPART_ARC
(0,23),-5.1273 # DEPENDENCYPART_ARC
(1,2),1.47408 # DEPENDENCYPART_ARC
(1,3),1.17157 # DEPENDENCYPART_ARC
(1,4),1.51421 # DEPENDENCYPART_ARC
(1,5),0.0816979 # DEPENDENCYPART_ARC
(1,6),0.3244 # DEPENDENCYPART_ARC
(1,7),0.40988 # DEPENDENCYPART_ARC
(1,8),0.998488 # DEPENDENCYPART_ARC
(1,9),0.318097 # DEPENDENCYPART_ARC
(1,10),-0.182907 # DEPENDENCYPART_ARC
(1,11),3.73795 # DEPENDENCYPART_ARC
(1,12),1.27978 # DEPENDENCYPART_ARC
(1,13),0.374343 # DEPENDENCYPART_ARC
(1,14),1.13664 # DEPENDENCYPART_ARC
(1,15),0.987252 # DEPENDENCYPART_ARC
(1,16),-0.200977 # DEPENDENCYPART_ARC
(1,17),0.0271047 # DEPENDENCYPART_ARC
(1,18),0.746043 # DEPENDENCYPART_ARC
(1,19),0.0261258 # DEPENDENCYPART_ARC
(1,20),-0.308737 # DEPENDENCYPART_ARC
(1,21),-0.141603 # DEPENDENCYPART_ARC
(1,22),0.325393 # DEPENDENCYPART_ARC
(1,23),0.988491 # DEPENDENCYPART_ARC
(2,1),2.7567 # DEPENDENCYPART_ARC
(2,3),2.91989 # DEPENDENCYPART_ARC
(2,4),3.4955 # DEPENDENCYPART_ARC
(2,5),0.155761 # DEPENDENCYPART_ARC
(2,6),-0.172108 # DEPENDENCYPART_ARC
(2,7),-0.255136 # DEPENDENCYPART_ARC
(2,8),0.290997 # DEPENDENCYPART_ARC
(2,9),0.0852927 # DEPENDENCYPART_ARC
(2,10),-0.416534 # DEPENDENCYPART_ARC
(2,11),2.26342 # DEPENDENCYPART_ARC
(2,12),1.13119 # DEPENDENCYPART_ARC
(2,13),-1.40601 # DEPENDENCYPART_ARC
(2,14),-0.0095007 # DEPENDENCYPART_ARC
(2,15),-0.194637 # DEPENDENCYPART_ARC
(2,16),-0.556252 # DEPENDENCYPART_ARC
(2,17),-1.4302 # DEPENDENCYPART_ARC
(2,18),-2.59134 # DEPENDENCYPART_ARC
(2,19),-1.78907 # DEPENDENCYPART_ARC
(2,20),-0.517643 # DEPENDENCYPART_ARC
(2,21),-1.65237 # DEPENDENCYPART_ARC
(2,22),-1.48989 # DEPENDENCYPART_ARC
(2,23),3.2601 # DEPENDENCYPART_ARC
(3,1),-2.18563 # DEPENDENCYPART_ARC
(3,2),-1.50871 # DEPENDENCYPART_ARC
(3,4),-1.45451 # DEPENDENCYPART_ARC
(3,5),-1.76847 # DEPENDENCYPART_ARC
(3,6),-2.41306 # DEPENDENCYPART_ARC
(3,7),-1.98629 # DEPENDENCYPART_ARC
(3,8),-1.8727 # DEPENDENCYPART_ARC
(3,9),-2.79523 # DEPENDENCYPART_ARC
(3,10),-2.89069 # DEPENDENCYPART_ARC
(3,11),-2.14015 # DEPENDENCYPART_ARC
(3,12),-1.83694 # DEPENDENCYPART_ARC
(3,13),-2.32745 # DEPENDENCYPART_ARC
(3,14),-1.88717 # DEPENDENCYPART_ARC
(3,15),-2.15014 # DEPENDENCYPART_ARC
(3,16),-2.28993 # DEPENDENCYPART_ARC
(3,17),-2.46291 # DEPENDENCYPART_ARC
(3,18),-3.23835 # DEPENDENCYPART_ARC
(3,19),-3.29656 # DEPENDENCYPART_ARC
(3,20),-2.24328 # DEPENDENCYPART_ARC
(3,21),-2.54814 # DEPENDENCYPART_ARC
(3,22),-3.45608 # DEPENDENCYPART_ARC
(3,23),-2.41345 # DEPENDENCYPART_ARC
(4,1),-0.033846 # DEPENDENCYPART_ARC
(4,2),0.539906 # DEPENDENCYPART_ARC
(4,3),1.1609 # DEPENDENCYPART_ARC
(4,5),-0.499742 # DEPENDENCYPART_ARC
(4,6),-0.658295 # DEPENDENCYPART_ARC
(4,7),0.00853586 # DEPENDENCYPART_ARC
(4,8),0.204661 # DEPENDENCYPART_ARC
(4,9),-0.687925 # DEPENDENCYPART_ARC
(4,10),-1.24925 # DEPENDENCYPART_ARC
(4,11),0.758166 # DEPENDENCYPART_ARC
(4,12),0.441985 # DEPENDENCYPART_ARC
(4,13),-1.18918 # DEPENDENCYPART_ARC
(4,14),-0.218074 # DEPENDENCYPART_ARC
(4,15),-0.255552 # DEPENDENCYPART_ARC
(4,16),-1.25858 # DEPENDENCYPART_ARC
(4,17),-0.681324 # DEPENDENCYPART_ARC
(4,18),-1.61311 # DEPENDENCYPART_ARC
(4,19),-1.7899 # DEPENDENCYPART_ARC
(4,20),-1.44136 # DEPENDENCYPART_ARC
(4,21),-0.607297 # DEPENDENCYPART_ARC
(4,22),-2.24105 # DEPENDENCYPART_ARC
(4,23),2.06545 # DEPENDENCYPART_ARC
(5,1),-2.52334 # DEPENDENCYPART_ARC
(5,2),-1.63788 # DEPENDENCYPART_ARC
(5,3),-1.24929 # DEPENDENCYPART_ARC
(5,4),-0.674189 # DEPENDENCYPART_ARC
