# _root_ Japán ízek , kevés fűszer , sok nyers hal .
#goldHeads=2,0,2,5,2,2,9,9,2,2,
#predictedHeads=2,0,2,5,2,7,9,9,5,2,
(0,1),-1.71135 # DEPENDENCYPART_ARC
(0,2),-2.18575 # DEPENDENCYPART_ARC
(0,3),-2.69503 # DEPENDENCYPART_ARC
(0,4),-2.51858 # DEPENDENCYPART_ARC
(0,5),-2.93477 # DEPENDENCYPART_ARC
(0,6),-3.07865 # DEPENDENCYPART_ARC
(0,7),-3.01267 # DEPENDENCYPART_ARC
(0,8),-3.14652 # DEPENDENCYPART_ARC
(0,9),-3.71127 # DEPENDENCYPART_ARC
(0,10),-3.88078 # DEPENDENCYPART_ARC
(1,2),-0.518355 # DEPENDENCYPART_ARC
(1,3),-0.369169 # DEPENDENCYPART_ARC
(1,4),-0.672206 # DEPENDENCYPART_ARC
(1,5),-0.945506 # DEPENDENCYPART_ARC
(1,6),-0.630275 # DEPENDENCYPART_ARC
(1,7),-0.818387 # DEPENDENCYPART_ARC
(1,8),-1.49173 # DEPENDENCYPART_ARC
(1,9),-1.51152 # DEPENDENCYPART_ARC
(1,10),-0.632871 # DEPENDENCYPART_ARC
(2,1),3.69203 # DEPENDENCYPART_ARC
(2,3),0.711581 # DEPENDENCYPART_ARC
(2,4),-0.127174 # DEPENDENCYPART_ARC
(2,5),0.040167 # DEPENDENCYPART_ARC
(2,6),0.571695 # DEPENDENCYPART_ARC
(2,7),-0.323077 # DEPENDENCYPART_ARC
(2,8),-0.318966 # DEPENDENCYPART_ARC
(2,9),-0.425909 # DEPENDENCYPART_ARC
(2,10),0.754514 # DEPENDENCYPART_ARC
(3,1),-1.47581 # DEPENDENCYPART_ARC
(3,2),-1.5213 # DEPENDENCYPART_ARC
(3,4),-0.684082 # DEPENDENCYPART_ARC
(3,5),-1.27404 # DEPENDENCYPART_ARC
(3,6),-0.795425 # DEPENDENCYPART_ARC
(3,7),-1.11925 # DEPENDENCYPART_ARC
(3,8),-1.32017 # DEPENDENCYPART_ARC
(3,9),-2.13955 # DEPENDENCYPART_ARC
(3,10),-1.1232 # DEPENDENCYPART_ARC
(4,1),-0.5736 # DEPENDENCYPART_ARC
(4,2),-0.150722 # DEPENDENCYPART_ARC
(4,3),0.417494 # DEPENDENCYPART_ARC
(4,5),0.289795 # DEPENDENCYPART_ARC
(4,6),-0.178046 # DEPENDENCYPART_ARC
(4,7),-0.867573 # DEPENDENCYPART_ARC
(4,8),-0.838235 # DEPENDENCYPART_ARC
(4,9),-0.803235 # DEPENDENCYPART_ARC
(4,10),-0.42149 # DEPENDENCYPART_ARC
(5,1),1.161 # DEPENDENCYPART_ARC
(5,2),-0.630506 # DEPENDENCYPART_ARC
(5,3),0.540866 # DEPENDENCYPART_ARC
(5,4),3.21417 # DEPENDENCYPART_ARC
(5,6),0.505939 # DEPENDENCYPART_ARC
(5,7),-0.361392 # DEPENDENCYPART_ARC
(5,8),-0.433269 # DEPENDENCYPART_ARC
(5,9),-0.0273871 # DEPENDENCYPART_ARC
(5,10),0.240577 # DEPENDENCYPART_ARC
(6,1),-2.08689 # DEPENDENCYPART_ARC
(6,2),-2.65656 # DEPENDENCYPART_ARC
(6,3),-1.28573 # DEPENDENCYPART_ARC
(6,4),-1.32151 # DEPENDENCYPART_ARC
(6,5),-1.49472 # DEPENDENCYPART_ARC
(6,7),-0.789766 # DEPENDENCYPART_ARC
(6,8),-1.00108 # DEPENDENCYPART_ARC
(6,9),-1.8209 # DEPENDENCYPART_ARC
(6,10),-1.21204 # DEPENDENCYPART_ARC
(7,1),-0.973076 # DEPENDENCYPART_ARC
(7,2),-0.619107 # DEPENDENCYPART_ARC
(7,3),0.0632378 # DEPENDENCYPART_ARC
(7,4),0.112026 # DEPENDENCYPART_ARC
(7,5),-0.0203053 # DEPENDENCYPART_ARC
(7,6),0.767617 # DEPENDENCYPART_ARC
(7,8),-0.164018 # DEPENDENCYPART_ARC
(7,9),0.0709926 # DEPENDENCYPART_ARC
(7,10),-0.631287 # DEPENDENCYPART_ARC
(8,1),-1.05945 # DEPENDENCYPART_ARC
(8,2),-1.88811 # DEPENDENCYPART_ARC
(8,3),-0.312814 # DEPENDENCYPART_ARC
(8,4),0.325535 # DEPENDENCYPART_ARC
(8,5),-0.958042 # DEPENDENCYPART_ARC
(8,6),0.118723 # DEPENDENCYPART_ARC
(8,7),2.15076 # DEPENDENCYPART_ARC
(8,9),-0.547942 # DEPENDENCYPART_ARC
(8,10),-1.0094 # DEPENDENCYPART_ARC
(9,1),1.42178 # DEPENDENCYPART_ARC
(9,2),-0.881377 # DEPENDENCYPART_ARC
(9,3),0.420632 # DEPENDENCYPART_ARC
(9,4),0.959164 # DEPENDENCYPART_ARC
(9,5),0.255184 # DEPENDENCYPART_ARC
(9,6),0.710752 # DEPENDENCYPART_ARC
(9,7),2.25389 # DEPENDENCYPART_ARC
(9,8),3.76923 # DEPENDENCYPART_ARC
(9,10),0.111153 # DEPENDENCYPART_ARC
(10,1),-3.00137 # DEPENDENCYPART_ARC
(10,2),-3.74901 # DEPENDENCYPART_ARC
(10,3),-2.3498 # DEPENDENCYPART_ARC
(10,4),-2.63357 # DEPENDENCYPART_ARC
(10,5),-3.46959 # DEPENDENCYPART_ARC
(10,6),-2.25716 # DEPENDENCYPART_ARC
(10,7),-2.28035 # DEPENDENCYPART_ARC
(10,8),-2.22773 # DEPENDENCYPART_ARC
(10,9),-2.6098 # DEPENDENCYPART_ARC
