# _root_ Olyannyira erősen , hogy megkésett hordalékra tippeltem , majd meg öreg márnára .
#goldHeads=2,4,4,0,6,7,9,9,4,9,12,10,4,
#predictedHeads=7,7,6,9,6,7,9,7,0,12,12,7,7,
(0,1),-1.49527 # DEPENDENCYPART_ARC
(0,2),-1.6514 # DEPENDENCYPART_ARC
(0,3),-2.48484 # DEPENDENCYPART_ARC
(0,4),-0.14932 # DEPENDENCYPART_ARC
(0,5),-2.17389 # DEPENDENCYPART_ARC
(0,6),-3.07939 # DEPENDENCYPART_ARC
(0,7),-1.09849 # DEPENDENCYPART_ARC
(0,8),-2.95751 # DEPENDENCYPART_ARC
(0,9),0.165797 # DEPENDENCYPART_ARC
(0,10),-0.853889 # DEPENDENCYPART_ARC
(0,11),-2.4103 # DEPENDENCYPART_ARC
(0,12),-3.39741 # DEPENDENCYPART_ARC
(0,13),-3.56034 # DEPENDENCYPART_ARC
(1,2),0.0974321 # DEPENDENCYPART_ARC
(1,3),-0.253126 # DEPENDENCYPART_ARC
(1,4),-0.0511453 # DEPENDENCYPART_ARC
(1,5),-0.429375 # DEPENDENCYPART_ARC
(1,6),-0.501467 # DEPENDENCYPART_ARC
(1,7),-0.154368 # DEPENDENCYPART_ARC
(1,8),-0.508826 # DEPENDENCYPART_ARC
(1,9),-0.495526 # DEPENDENCYPART_ARC
(1,10),-0.455156 # DEPENDENCYPART_ARC
(1,11),-1.11598 # DEPENDENCYPART_ARC
(1,12),-1.47024 # DEPENDENCYPART_ARC
(1,13),-0.274635 # DEPENDENCYPART_ARC
(2,1),1.00004 # DEPENDENCYPART_ARC
(2,3),0.360695 # DEPENDENCYPART_ARC
(2,4),0.00329524 # DEPENDENCYPART_ARC
(2,5),-0.0753227 # DEPENDENCYPART_ARC
(2,6),-0.251041 # DEPENDENCYPART_ARC
(2,7),-0.496845 # DEPENDENCYPART_ARC
(2,8),-0.102705 # DEPENDENCYPART_ARC
(2,9),-0.135577 # DEPENDENCYPART_ARC
(2,10),-0.207258 # DEPENDENCYPART_ARC
(2,11),-0.682118 # DEPENDENCYPART_ARC
(2,12),-1.07407 # DEPENDENCYPART_ARC
(2,13),0.647658 # DEPENDENCYPART_ARC
(3,1),-1.70002 # DEPENDENCYPART_ARC
(3,2),-1.40812 # DEPENDENCYPART_ARC
(3,4),-1.36668 # DEPENDENCYPART_ARC
(3,5),-1.55874 # DEPENDENCYPART_ARC
(3,6),-2.27853 # DEPENDENCYPART_ARC
(3,7),-1.81401 # DEPENDENCYPART_ARC
(3,8),-1.65489 # DEPENDENCYPART_ARC
