# _root_ — Öt percet kaptunk , hogy elhagyjuk a lakásunkat — meséli egy asszony , akit az EBESZ-szóvivő találomra állít meg .
#goldHeads=11,3,4,11,4,4,4,9,7,11,0,13,11,11,19,17,19,19,11,19,11,
#predictedHeads=11,3,4,11,4,4,4,9,7,11,0,13,11,11,19,17,19,19,11,19,11,
(0,2),-1.99313 # DEPENDENCYPART_ARC
(0,3),-3.15651 # DEPENDENCYPART_ARC
(0,4),-1.02945 # DEPENDENCYPART_ARC
(0,6),-0.789364 # DEPENDENCYPART_ARC
(0,7),-1.80703 # DEPENDENCYPART_ARC
(0,9),-4.21897 # DEPENDENCYPART_ARC
(0,11),-0.308163 # DEPENDENCYPART_ARC
(0,13),-4.08879 # DEPENDENCYPART_ARC
(0,17),-4.47001 # DEPENDENCYPART_ARC
(0,18),-3.08366 # DEPENDENCYPART_ARC
(0,19),-2.40214 # DEPENDENCYPART_ARC
(0,20),-3.13823 # DEPENDENCYPART_ARC
(2,1),0.187404 # DEPENDENCYPART_ARC
(2,3),-0.901286 # DEPENDENCYPART_ARC
(2,4),-0.783347 # DEPENDENCYPART_ARC
(2,5),-0.376453 # DEPENDENCYPART_ARC
(2,6),-0.960774 # DEPENDENCYPART_ARC
(2,7),-1.14612 # DEPENDENCYPART_ARC
(2,8),-1.30109 # DEPENDENCYPART_ARC
(2,9),-2.27088 # DEPENDENCYPART_ARC
(2,10),-0.618269 # DEPENDENCYPART_ARC
(2,11),-0.410242 # DEPENDENCYPART_ARC
(2,13),-1.73219 # DEPENDENCYPART_ARC
(2,14),-0.776165 # DEPENDENCYPART_ARC
(2,15),-1.79399 # DEPENDENCYPART_ARC
(2,16),-1.64622 # DEPENDENCYPART_ARC
(2,17),-2.09314 # DEPENDENCYPART_ARC
(2,18),-1.44705 # DEPENDENCYPART_ARC
(2,19),-0.994562 # DEPENDENCYPART_ARC
(2,21),0.592041 # DEPENDENCYPART_ARC
(3,1),0.160001 # DEPENDENCYPART_ARC
(3,2),2.85469 # DEPENDENCYPART_ARC
(3,4),-1.09122 # DEPENDENCYPART_ARC
(3,5),-0.741212 # DEPENDENCYPART_ARC
(3,6),-1.12486 # DEPENDENCYPART_ARC
(3,7),-2.13729 # DEPENDENCYPART_ARC
(3,8),-1.41955 # DEPENDENCYPART_ARC
(3,9),-2.08417 # DEPENDENCYPART_ARC
(3,10),-0.512818 # DEPENDENCYPART_ARC
(3,11),-1.20068 # DEPENDENCYPART_ARC
(3,12),-1.32501 # DEPENDENCYPART_ARC
(3,13),-2.23322 # DEPENDENCYPART_ARC
(3,14),-0.779622 # DEPENDENCYPART_ARC
(3,15),-2.46068 # DEPENDENCYPART_ARC
(3,16),-1.72884 # DEPENDENCYPART_ARC
(3,17),-2.93684 # DEPENDENCYPART_ARC
(3,18),-1.44536 # DEPENDENCYPART_ARC
(3,19),-1.47979 # DEPENDENCYPART_ARC
(3,20),-1.40239 # DEPENDENCYPART_ARC
(3,21),0.278417 # DEPENDENCYPART_ARC
(4,1),1.65034 # DEPENDENCYPART_ARC
(4,2),0.396387 # DEPENDENCYPART_ARC
(4,3),3.31564 # DEPENDENCYPART_ARC
(4,5),1.77402 # DEPENDENCYPART_ARC
(4,6),3.17921 # DEPENDENCYPART_ARC
(4,7),3.12349 # DEPENDENCYPART_ARC
(4,8),-0.0520953 # DEPENDENCYPART_ARC
(4,9),-0.302024 # DEPENDENCYPART_ARC
(4,10),0.026881 # DEPENDENCYPART_ARC
(4,11),0.549724 # DEPENDENCYPART_ARC
(4,12),-1.0109 # DEPENDENCYPART_ARC
(4,13),-1.88877 # DEPENDENCYPART_ARC
(4,14),0.53747 # DEPENDENCYPART_ARC
(4,15),-2.3948 # DEPENDENCYPART_ARC
(4,16),-0.239468 # DEPENDENCYPART_ARC
(4,17),-3.77406 # DEPENDENCYPART_ARC
