# _root_ Nehézség : a magyar nyelv , ugye és az időzónák eltolódása miatti fáradékonyság , aluszékonyság .
#goldHeads=0,1,5,5,15,15,15,15,10,11,12,13,15,15,1,1,
#predictedHeads=0,1,5,5,1,15,8,11,10,11,12,13,15,15,1,1,
(0,1),-2.75942 # DEPENDENCYPART_ARC
(0,4),-2.85033 # DEPENDENCYPART_ARC
(0,5),-3.76477 # DEPENDENCYPART_ARC
(0,7),-2.82192 # DEPENDENCYPART_ARC
(0,8),-2.84739 # DEPENDENCYPART_ARC
(0,10),-4.25491 # DEPENDENCYPART_ARC
(0,11),-4.05737 # DEPENDENCYPART_ARC
(0,12),-3.20024 # DEPENDENCYPART_ARC
(0,13),-4.62524 # DEPENDENCYPART_ARC
(0,15),-4.58236 # DEPENDENCYPART_ARC
(1,2),0.402178 # DEPENDENCYPART_ARC
(1,3),-0.531678 # DEPENDENCYPART_ARC
(1,4),-0.384917 # DEPENDENCYPART_ARC
(1,5),0.360791 # DEPENDENCYPART_ARC
(1,6),0.243602 # DEPENDENCYPART_ARC
(1,8),-0.0558822 # DEPENDENCYPART_ARC
(1,9),-0.740179 # DEPENDENCYPART_ARC
(1,10),-1.32593 # DEPENDENCYPART_ARC
(1,11),-0.669582 # DEPENDENCYPART_ARC
(1,12),-1.18803 # DEPENDENCYPART_ARC
(1,13),-0.732997 # DEPENDENCYPART_ARC
(1,14),0.00868053 # DEPENDENCYPART_ARC
(1,15),-1.6767 # DEPENDENCYPART_ARC
(1,16),0.450571 # DEPENDENCYPART_ARC
(3,1),-2.59531 # DEPENDENCYPART_ARC
(3,2),-1.06572 # DEPENDENCYPART_ARC
(3,4),0.156447 # DEPENDENCYPART_ARC
(3,5),-0.818711 # DEPENDENCYPART_ARC
(3,6),-0.499929 # DEPENDENCYPART_ARC
(3,8),-1.06401 # DEPENDENCYPART_ARC
(3,10),-1.74166 # DEPENDENCYPART_ARC
(3,11),-2.0642 # DEPENDENCYPART_ARC
(3,12),-1.39502 # DEPENDENCYPART_ARC
(3,13),-1.91628 # DEPENDENCYPART_ARC
(3,14),-0.947541 # DEPENDENCYPART_ARC
(3,15),-2.23717 # DEPENDENCYPART_ARC
(4,1),-2.99803 # DEPENDENCYPART_ARC
(4,2),-1.35476 # DEPENDENCYPART_ARC
(4,3),0.155963 # DEPENDENCYPART_ARC
(4,5),-0.638892 # DEPENDENCYPART_ARC
(4,6),-0.81854 # DEPENDENCYPART_ARC
(4,8),-1.43498 # DEPENDENCYPART_ARC
(4,9),-1.92965 # DEPENDENCYPART_ARC
(4,10),-2.4552 # DEPENDENCYPART_ARC
(4,11),-2.31389 # DEPENDENCYPART_ARC
(4,12),-2.04827 # DEPENDENCYPART_ARC
(4,13),-2.02156 # DEPENDENCYPART_ARC
(4,14),-1.0062 # DEPENDENCYPART_ARC
(4,15),-2.54345 # DEPENDENCYPART_ARC
(4,16),-1.40629 # DEPENDENCYPART_ARC
(5,1),-1.27554 # DEPENDENCYPART_ARC
(5,2),-0.418843 # DEPENDENCYPART_ARC
(5,3),3.03103 # DEPENDENCYPART_ARC
(5,4),3.74981 # DEPENDENCYPART_ARC
(5,6),0.0601729 # DEPENDENCYPART_ARC
(5,8),-0.572746 # DEPENDENCYPART_ARC
(5,9),-1.13397 # DEPENDENCYPART_ARC
(5,10),-1.63093 # DEPENDENCYPART_ARC
(5,11),-1.14359 # DEPENDENCYPART_ARC
(5,12),-1.60718 # DEPENDENCYPART_ARC
(5,13),-0.85801 # DEPENDENCYPART_ARC
(5,14),-0.262164 # DEPENDENCYPART_ARC
(5,15),-1.84207 # DEPENDENCYPART_ARC
(5,16),-0.197036 # DEPENDENCYPART_ARC
(7,1),-1.06385 # DEPENDENCYPART_ARC
(7,2),-0.766101 # DEPENDENCYPART_ARC
(7,4),-0.481309 # DEPENDENCYPART_ARC
(7,5),-0.757797 # DEPENDENCYPART_ARC
(7,6),-0.199231 # DEPENDENCYPART_ARC
(7,8),-0.26048 # DEPENDENCYPART_ARC
(7,10),-0.902776 # DEPENDENCYPART_ARC
(7,11),-0.994293 # DEPENDENCYPART_ARC
(7,12),-0.947262 # DEPENDENCYPART_ARC
(7,13),-1.10548 # DEPENDENCYPART_ARC
(7,14),-0.784371 # DEPENDENCYPART_ARC
(7,15),-1.54115 # DEPENDENCYPART_ARC
(7,16),-0.28429 # DEPENDENCYPART_ARC
(8,1),-0.918143 # DEPENDENCYPART_ARC
(8,2),-0.355562 # DEPENDENCYPART_ARC
(8,3),-1.22238 # DEPENDENCYPART_ARC
(8,4),-1.09453 # DEPENDENCYPART_ARC
(8,5),-0.660229 # DEPENDENCYPART_ARC
(8,6),0.356475 # DEPENDENCYPART_ARC
(8,7),-0.163717 # DEPENDENCYPART_ARC
(8,9),-0.140683 # DEPENDENCYPART_ARC
(8,10),0.675233 # DEPENDENCYPART_ARC
(8,11),0.056215 # DEPENDENCYPART_ARC
(8,12),-0.231521 # DEPENDENCYPART_ARC
(8,13),0.0525421 # DEPENDENCYPART_ARC
(8,14),0.0986572 # DEPENDENCYPART_ARC
(8,15),-0.816498 # DEPENDENCYPART_ARC
(8,16),-0.00953779 # DEPENDENCYPART_ARC
(9,1),-2.663 # DEPENDENCYPART_ARC
(9,2),-1.17335 # DEPENDENCYPART_ARC
(9,4),-1.46425 # DEPENDENCYPART_ARC
(9,5),-2.31457 # DEPENDENCYPART_ARC
(9,6),-0.705946 # DEPENDENCYPART_ARC
(9,8),-0.251132 # DEPENDENCYPART_ARC
(9,10),-0.579722 # DEPENDENCYPART_ARC
(9,11),-0.995487 # DEPENDENCYPART_ARC
(9,12),-0.784004 # DEPENDENCYPART_ARC
(9,13),-1.20247 # DEPENDENCYPART_ARC
(9,14),-0.677251 # DEPENDENCYPART_ARC
(9,15),-1.60044 # DEPENDENCYPART_ARC
(10,1),-3.09156 # DEPENDENCYPART_ARC
(10,2),-1.83814 # DEPENDENCYPART_ARC
(10,3),-0.402875 # DEPENDENCYPART_ARC
(10,4),-0.834116 # DEPENDENCYPART_ARC
(10,5),-1.99646 # DEPENDENCYPART_ARC
(10,6),-0.726471 # DEPENDENCYPART_ARC
(10,8),0.132805 # DEPENDENCYPART_ARC
(10,9),3.20716 # DEPENDENCYPART_ARC
(10,11),-1.1808 # DEPENDENCYPART_ARC
(10,12),-1.19275 # DEPENDENCYPART_ARC
(10,13),-0.973191 # DEPENDENCYPART_ARC
(10,14),-0.425579 # DEPENDENCYPART_ARC
(10,15),-1.79824 # DEPENDENCYPART_ARC
(10,16),-0.889839 # DEPENDENCYPART_ARC
(11,1),-0.649549 # DEPENDENCYPART_ARC
(11,2),-0.940047 # DEPENDENCYPART_ARC
(11,3),-0.839017 # DEPENDENCYPART_ARC
(11,4),-0.46901 # DEPENDENCYPART_ARC
(11,5),0.0178703 # DEPENDENCYPART_ARC
(11,6),0.112919 # DEPENDENCYPART_ARC
(11,8),0.907018 # DEPENDENCYPART_ARC
(11,9),1.40781 # DEPENDENCYPART_ARC
(11,10),4.5203 # DEPENDENCYPART_ARC
(11,12),-0.72388 # DEPENDENCYPART_ARC
(11,13),0.00702283 # DEPENDENCYPART_ARC
(11,14),0.0778079 # DEPENDENCYPART_ARC
(11,15),-0.961603 # DEPENDENCYPART_ARC
(11,16),-0.446352 # DEPENDENCYPART_ARC
(12,1),-1.90873 # DEPENDENCYPART_ARC
(12,2),-0.103747 # DEPENDENCYPART_ARC
(12,3),-0.678152 # DEPENDENCYPART_ARC
(12,4),-0.808619 # DEPENDENCYPART_ARC
(12,5),-1.07563 # DEPENDENCYPART_ARC
(12,6),0.166787 # DEPENDENCYPART_ARC
(12,8),0.543109 # DEPENDENCYPART_ARC
(12,9),0.31872 # DEPENDENCYPART_ARC
(12,10),0.759599 # DEPENDENCYPART_ARC
(12,11),1.9375 # DEPENDENCYPART_ARC
(12,13),-0.328402 # DEPENDENCYPART_ARC
(12,14),-0.261129 # DEPENDENCYPART_ARC
(12,15),-1.21622 # DEPENDENCYPART_ARC
(12,16),-0.811366 # DEPENDENCYPART_ARC
(13,1),-2.59268 # DEPENDENCYPART_ARC
(13,2),-1.74514 # DEPENDENCYPART_ARC
(13,3),0.265047 # DEPENDENCYPART_ARC
(13,4),0.380444 # DEPENDENCYPART_ARC
(13,5),-1.81726 # DEPENDENCYPART_ARC
(13,6),-0.00408098 # DEPENDENCYPART_ARC
(13,8),0.21214 # DEPENDENCYPART_ARC
(13,9),1.65292 # DEPENDENCYPART_ARC
(13,10),0.171023 # DEPENDENCYPART_ARC
(13,11),0.437332 # DEPENDENCYPART_ARC
(13,12),3.67524 # DEPENDENCYPART_ARC
(13,14),0.214544 # DEPENDENCYPART_ARC
(13,15),-0.77516 # DEPENDENCYPART_ARC
(13,16),-0.151143 # DEPENDENCYPART_ARC
(15,1),-1.72445 # DEPENDENCYPART_ARC
(15,2),-1.32856 # DEPENDENCYPART_ARC
(15,3),-0.39677 # DEPENDENCYPART_ARC
(15,4),-0.281704 # DEPENDENCYPART_ARC
(15,5),-1.15163 # DEPENDENCYPART_ARC
(15,6),0.421955 # DEPENDENCYPART_ARC
(15,8),0.39736 # DEPENDENCYPART_ARC
(15,9),1.12464 # DEPENDENCYPART_ARC
(15,10),-0.447989 # DEPENDENCYPART_ARC
(15,11),-0.747091 # DEPENDENCYPART_ARC
(15,12),1.17416 # DEPENDENCYPART_ARC
(15,13),1.05807 # DEPENDENCYPART_ARC
(15,14),0.89724 # DEPENDENCYPART_ARC
(15,16),0.176539 # DEPENDENCYPART_ARC
